date_obj,Black%20helm%20(h2) price
2016-01-28,1592
2016-01-29,1592
2016-01-30,1592
2016-01-31,1560
2016-02-01,1560
2016-02-02,1560
2016-02-03,1560
2016-02-04,1501
2016-02-05,1501
2016-02-06,1501
2016-02-07,1501
2016-02-08,1501
2016-02-09,1459
2016-02-10,1459
2016-02-11,1459
2016-02-12,1459
2016-02-13,1417
2016-02-14,1417
2016-02-15,1417
2016-02-16,1417
2016-02-17,1417
2016-02-18,1405
2016-02-19,1405
2016-02-20,1405
2016-02-21,1405
2016-02-22,1405
2016-02-23,1405
2016-02-24,1391
2016-02-25,1391
2016-02-26,1391
2016-02-27,1391
2016-02-28,1366
2016-02-29,1366
2016-03-01,1366
2016-03-02,1366
2016-03-03,1366
2016-03-04,1332
2016-03-05,1332
2016-03-06,1332
2016-03-07,1332
2016-03-08,1332
2016-03-09,1306
2016-03-10,1306
2016-03-11,1306
2016-03-12,1306
2016-03-13,1306
2016-03-14,1306
2016-03-15,1264
2016-03-16,1264
2016-03-17,1264
2016-03-18,1264
2016-03-19,1264
2016-03-20,1208
2016-03-21,1208
2016-03-22,1208
2016-03-23,1208
2016-03-24,1151
2016-03-25,1151
2016-03-26,1151
2016-03-27,1151
2016-03-28,1104
2016-03-29,1104
2016-03-30,1104
2016-03-31,1104
2016-04-01,1104
2016-04-02,1056
2016-04-03,1056
2016-04-04,1056
2016-04-05,1056
2016-04-06,1024
2016-04-07,1024
2016-04-08,1024
2016-04-09,1024
2016-04-10,996
2016-04-11,996
2016-04-12,996
2016-04-13,996
2016-04-14,996
2016-04-15,987
2016-04-16,987
2016-04-17,987
2016-04-18,987
2016-04-19,992
2016-04-20,992
2016-04-21,992
2016-04-22,992
2016-04-23,992
2016-04-24,1018
2016-04-25,1018
2016-04-26,1018
2016-04-27,1018
2016-04-28,1061
2016-04-29,1061
2016-04-30,1061
2016-05-01,1061
2016-05-02,1061
2016-05-03,1046
2016-05-04,1046
2016-05-05,1046
2016-05-06,1046
2016-05-07,1046
2016-05-08,1025
2016-05-09,1025
2016-05-10,1025
2016-05-11,1025
2016-05-12,1025
2016-05-13,983
2016-05-14,983
2016-05-15,983
2016-05-16,983
2016-05-17,993
2016-05-18,993
2016-05-19,993
2016-05-22,993
2016-05-23,973
2016-05-24,973
2016-05-25,973
2016-05-26,973
2016-05-27,1001
2016-05-28,1001
2016-05-29,1001
2016-05-30,1001
2016-05-31,1001
2016-06-01,1049
2016-06-02,1049
2016-06-03,1049
2016-06-04,1049
2016-06-05,1049
2016-06-06,1043
2016-06-07,1043
2016-06-08,1043
2016-06-09,1043
2016-06-10,1043
2016-06-11,1083
2016-06-12,1083
2016-06-13,1083
2016-06-14,1083
2016-06-15,1083
2016-06-16,1137
2016-06-17,1137
2016-06-18,1137
2016-06-19,1192
2016-06-20,1192
2016-06-21,1192
2016-06-22,1192
2016-06-23,1250
2016-06-24,1250
2016-06-25,1250
2016-06-26,1250
2016-06-27,1310
2016-06-28,1310
2016-06-29,1310
2016-06-30,1310
2016-07-01,1371
2016-07-02,1371
2016-07-03,1371
2016-07-04,1371
2016-07-05,1371
2016-07-06,1430
2016-07-07,1430
2016-07-08,1430
2016-07-09,1435
2016-07-10,1435
2016-07-11,1497
2016-07-12,1497
2016-07-13,1497
2016-07-14,1572
2016-07-15,1572
2016-07-16,1572
2016-07-17,1572
2016-07-18,1651
2016-07-23,1688
2016-07-24,1688
2016-07-25,1688
2016-07-26,1759
2016-07-27,1759
2016-07-28,1759
2016-07-29,1796
2016-07-30,1796
2016-07-31,1796
2016-08-01,1796
2016-08-02,1796
2016-08-03,1737
2016-08-04,1737
2016-08-05,1737
2016-08-06,1737
2016-08-07,1737
2016-08-08,1696
2016-08-09,1696
2016-08-10,1696
2016-08-11,1696
2016-08-12,1696
2016-08-13,1687
2016-08-14,1687
2016-08-15,1687
2016-08-16,1687
2016-08-17,1687
2016-08-18,1704
2016-08-19,1704
2016-08-20,1704
2016-08-21,1704
2016-08-22,1704
2016-08-23,1729
2016-08-24,1729
2016-08-25,1729
2016-08-26,1729
2016-08-28,1775
2016-08-31,1775
2016-09-01,1775
2016-09-02,1775
2016-09-03,1775
2016-09-04,1726
2016-09-05,1726
2016-09-06,1726
2016-09-07,1726
2016-09-08,1726
2016-09-09,1726
2016-09-10,1776
2016-09-11,1776
2016-09-12,1776
2016-09-13,1776
2016-09-14,1776
2016-09-15,1776
2016-09-16,1807
2016-09-17,1807
2016-09-18,1807
2016-09-19,1807
2016-09-20,1807
2016-09-21,1807
2016-09-22,1745
2016-09-23,1745
2016-09-24,1745
2016-09-25,1745
2016-09-26,1745
2016-09-27,1745
2016-09-28,1745
2016-09-29,1748
2016-09-30,1748
2016-10-01,1748
2016-10-02,1748
2016-10-03,1748
2016-10-04,1722
2016-10-05,1722
2016-10-06,1722
2016-10-07,1722
2016-10-08,1722
2016-10-09,1722
2016-10-10,1657
2016-10-11,1657
2016-10-12,1657
2016-10-13,1657
2016-10-14,1591
2016-10-15,1591
2016-10-16,1591
2016-10-17,1591
2016-10-18,1532
2016-10-19,1532
2016-10-20,1532
2016-10-21,1532
2016-10-22,1532
2016-10-23,1474
2016-10-24,1474
2016-10-25,1474
2016-10-26,1474
2016-10-27,1474
2016-10-28,1474
2016-10-29,1428
2016-10-30,1428
2016-10-31,1428
2016-11-01,1428
2016-11-02,1428
2016-11-03,1428
2016-11-04,1432
2016-11-05,1432
2016-11-06,1432
2016-11-07,1432
2016-11-08,1432
2016-11-09,1500
2016-11-10,1500
2016-11-11,1500
2016-11-12,1500
2016-11-13,1573
2016-11-14,1573
2016-11-15,1573
2016-12-07,1688
2016-12-08,1716
2016-12-09,1716
2016-12-10,1716
2016-12-11,1716
2016-12-12,1677
2016-12-13,1677
2016-12-14,1677
2016-12-15,1677
2016-12-16,1702
2016-12-17,1702
2016-12-18,1702
2016-12-19,1702
2016-12-20,1764
2016-12-21,1764
2016-12-22,1764
2016-12-23,1764
2016-12-24,1764
2016-12-25,1764
2016-12-26,1840
2016-12-27,1840
2016-12-28,1840
2016-12-29,1840
2016-12-30,1840
2016-12-31,1930
2017-01-01,1930
2017-01-02,1930
2017-01-03,1930
2017-01-04,1930
2017-01-05,2021
2017-01-06,2021
2017-01-07,2021
2017-01-08,2021
2017-01-09,2056
2017-01-10,2056
2017-01-11,2056
2017-01-12,1957
2017-01-13,1957
2017-01-14,1957
2017-01-15,1903
2017-01-16,1903
2017-01-17,1856
2017-01-18,1856
2017-01-19,1856
2017-01-20,1856
2017-01-21,1856
2017-01-22,1853
2017-01-23,1853
2017-01-27,1928
2017-01-28,1928
2017-01-29,1928
2017-01-30,1928
2017-01-31,1928
2017-02-01,1955
2017-02-02,1955
2017-02-03,1955
2017-02-04,1955
2017-02-05,1955
2017-02-06,2024
2017-02-07,2024
2017-02-08,2024
2017-02-09,2024
2017-02-10,2024
2017-02-11,1936
2017-02-12,1936
2017-02-13,1936
2017-02-14,1936
2017-02-15,1936
2017-02-16,1848
2017-02-18,1848
2017-02-19,1848
2017-02-20,1848
2017-02-21,1917
2017-02-22,1917
2017-02-23,1917
2017-02-24,1917
2017-02-25,1917
2017-02-26,1987
2017-02-27,1987
2017-02-28,1987
2017-03-01,1987
2017-03-02,2082
2017-03-03,2082
2017-03-04,2082
2017-03-05,2082
2017-03-06,2177
2017-03-07,2177
2017-03-08,2177
2017-03-09,2177
2017-03-10,2177
2017-03-11,2237
2017-03-12,2237
2017-03-13,2237
2017-03-14,2237
2017-03-15,2322
2017-03-16,2322
2017-03-17,2322
2017-03-18,2322
2017-03-19,2322
2017-03-20,2386
2017-03-21,2386
2017-03-22,2386
2017-03-23,2386
2017-03-24,2386
2017-03-25,2386
2017-03-26,2489
2017-03-27,2489
2017-03-28,2489
2017-03-29,2489
2017-03-30,2489
2017-03-31,2599
2017-04-01,2599
2017-04-02,2599
2017-04-03,2599
2017-04-04,2599
2017-04-12,2806
2017-04-13,2806
2017-04-14,2806
2017-04-15,2806
2017-04-16,2889
2017-04-17,2889
2017-04-18,2889
2017-04-19,2889
2017-04-20,2889
2017-04-21,3014
2017-04-22,3014
2017-04-23,3014
2017-04-24,3014
2017-04-25,3014
2017-04-26,3014
2017-04-27,3118
2017-04-28,3118
2017-04-29,3118
2017-04-30,3118
2017-05-01,3118
2017-05-02,3076
2017-05-03,3076
2017-05-04,3076
2017-05-05,3076
2017-05-06,3076
2017-05-07,3076
2017-05-08,3226
2017-05-09,3226
2017-05-10,3226
2017-05-11,3226
2017-05-12,3226
2017-05-13,3226
2017-05-14,3310
2017-05-15,3310
2017-05-16,3310
2017-05-17,3310
2017-05-18,3310
2017-05-19,3310
2017-05-20,3436
2017-05-21,3436
2017-05-22,3436
2017-05-23,3436
2017-05-24,3436
2017-05-25,3436
2017-05-26,3436
2017-05-27,3513
2017-05-28,3513
2017-05-29,3513
2017-05-30,3513
2017-05-31,3513
2017-06-01,3679
2017-06-02,3679
2017-06-03,3679
2017-06-04,3679
2017-06-05,3679
2017-06-06,3679
2017-06-07,3844
2017-06-08,3844
2017-06-09,3844
2017-06-10,3844
2017-06-11,3844
2017-06-12,4020
2017-06-13,4020
2017-06-14,4020
2017-06-15,4020
2017-06-16,4020
2017-06-17,4020
2017-06-18,4168
2017-06-19,4168
2017-06-20,4168
2017-06-21,4168
2017-06-22,4168
2017-06-23,4168
2017-06-24,4168
2017-06-25,4342
2017-06-26,4342
2017-06-27,4342
2017-06-28,4342
2017-06-29,4342
2017-06-30,4342
2017-07-01,4342
2017-07-02,4282
2017-07-03,4282
2017-07-04,4282
2017-07-05,4282
2017-07-06,4282
2017-07-07,4282
2017-07-08,4282
2017-07-13,4133
2017-07-14,4133
2017-07-15,4054
2017-07-16,4054
2017-07-17,4054
2017-07-18,4054
2017-07-19,4054
2017-07-20,3988
2017-07-21,3988
2017-07-22,3988
2017-07-23,3988
2017-07-24,3988
2017-07-25,4022
2017-07-26,4022
2017-07-27,4022
2017-07-28,4022
2017-07-29,4022
2017-07-30,4122
2017-07-31,4122
2017-08-01,4122
2017-08-02,4122
2017-08-03,4122
2017-08-04,4122
2017-08-05,4239
2017-08-06,4239
2017-08-07,4239
2017-08-08,4239
2017-08-09,4239
2017-08-10,4132
2017-08-11,4132
2017-08-12,4132
2017-08-13,4132
2017-08-14,4132
2017-08-15,4305
2017-08-16,4305
2017-08-17,4305
2017-08-18,4305
2017-08-19,4305
2017-08-20,4213
2017-08-21,4213
2017-08-22,4213
2017-08-23,4213
2017-08-24,4396
2017-08-25,4396
2017-08-26,4396
2017-08-27,4396
2017-08-28,4396
2017-08-29,4396
2017-08-30,4450
2017-08-31,4450
2017-09-01,4450
2017-09-02,4450
2017-09-03,4450
2017-09-04,4567
2017-09-05,4567
2017-09-06,4567
2017-09-07,4567
2017-09-08,4611
2017-09-09,4611
2017-09-10,4611
2017-09-11,4611
2017-09-12,4611
2017-09-13,4432
2017-09-14,4432
2017-09-15,4432
2017-09-16,4432
2017-09-17,4432
2017-09-18,4372
2017-09-19,4372
2017-09-20,4372
2017-09-22,4372
2017-09-23,4372
2017-09-24,4248
2017-09-25,4248
2017-09-26,4248
2017-09-27,4248
2017-09-28,4248
2017-09-29,4072
2017-09-30,4072
2017-10-01,4072
2017-10-02,4072
2017-10-03,4072
2017-10-04,4072
2017-10-05,4072
2017-10-06,4039
2017-10-07,4039
2017-10-08,4039
2017-10-09,4039
2017-10-10,4039
2017-10-11,4234
2017-10-12,4234
2017-10-13,4234
2017-10-14,4234
2017-10-15,4234
2017-10-16,4234
2017-10-17,4414
2017-10-18,4414
2017-10-19,4414
2017-10-20,4414
2017-10-21,4414
2017-10-22,4414
2017-10-23,4522
2017-10-24,4522
2017-10-25,4522
2017-10-26,4522
2017-10-27,4522
2017-10-28,4522
2017-10-29,4522
2017-10-30,4572
2017-10-31,4572
2017-11-01,4572
2017-11-02,4572
2017-11-03,4572
2017-11-04,4753
2017-11-05,4753
2017-11-06,4753
2017-11-07,4753
2017-11-08,4753
2017-11-09,4910
2017-11-10,4910
2017-11-11,4910
2017-11-12,4910
2017-11-13,4910
2017-11-14,4910
2017-11-15,4910
2017-11-16,5002
2017-11-17,5002
2017-11-18,5002
2017-11-19,5002
2017-11-20,5002
2017-11-21,5002
2017-11-22,4937
2017-11-23,4937
2017-11-24,4937
2017-11-25,4937
2017-11-26,4937
2017-11-27,4937
2017-11-28,4937
2017-11-29,4949
2017-11-30,4949
2017-12-01,4949
2017-12-02,4949
2017-12-03,4949
2017-12-04,4949
2017-12-05,4941
2017-12-06,4941
2017-12-07,4941
2017-12-08,4941
2017-12-09,4941
2017-12-10,4941
2017-12-11,4767
2017-12-12,4767
2017-12-13,4767
2017-12-14,4767
2017-12-15,4767
2017-12-16,4767
2017-12-17,4767
2017-12-18,4545
2017-12-19,4545
2017-12-20,4545
2017-12-21,4545
2017-12-22,4545
2017-12-23,4545
2017-12-24,4488
2017-12-25,4488
2017-12-26,4488
2017-12-27,4488
2017-12-28,4393
2017-12-29,4393
2017-12-30,4393
2017-12-31,4393
2018-01-01,4393
2018-01-02,4243
2018-01-03,4243
2018-01-04,4243
2018-01-05,4243
2018-01-06,4066
2018-01-07,4066
2018-01-08,4066
2018-01-09,4066
2018-01-10,4066
2018-01-11,4082
2018-01-12,4082
2018-01-13,4082
2018-01-14,4082
2018-01-15,4082
2018-01-16,4031
2018-01-17,4031
2018-01-18,4031
2018-01-19,4031
2018-01-20,4201
2018-01-21,4201
2018-01-22,4201
2018-01-23,4201
2018-01-24,4201
2018-01-25,4284
2018-01-26,4284
2018-01-27,4284
2018-01-28,4284
2018-01-29,4284
2018-01-30,4284
2018-01-31,4158
2018-02-01,4158
2018-02-02,4158
2018-02-03,4158
2018-02-04,4158
2018-02-05,4158
2018-02-06,4039
2018-02-07,4039
2018-02-08,4039
2018-02-09,4039
2018-02-10,4039
2018-02-11,3852
2018-02-12,3852
2018-02-13,3852
2018-02-14,3852
2018-02-15,3852
2018-02-16,3688
2018-02-17,3688
2018-02-18,3688
2018-02-19,3688
2018-02-20,3688
2018-02-21,3512
2018-02-22,3512
2018-02-23,3512
2018-02-24,3512
2018-02-25,3376
2018-02-26,3376
2018-02-27,3376
2018-02-28,3376
2018-03-01,3376
2018-03-02,3371
2018-03-03,3371
2018-03-04,3371
2018-03-05,3371
2018-03-06,3371
2018-03-07,3476
2018-03-08,3476
2018-03-09,3476
2018-03-10,3476
2018-03-11,3476
2018-03-12,3371
2018-03-13,3371
2018-03-14,3371
2018-03-15,3371
2018-03-16,3371
2018-03-17,3371
2018-03-18,3241
2018-03-20,3241
2018-03-21,3241
2018-03-22,3241
2018-03-23,3241
2018-03-24,3261
2018-03-25,3261
2018-03-26,3261
2018-03-27,3261
2018-03-28,3261
2018-03-29,3110
2018-03-30,3110
2018-03-31,3110
2018-04-01,3110
2018-04-02,3110
2018-04-03,3021
2018-04-04,3021
2018-04-05,3021
2018-04-06,3021
2018-04-07,3021
2018-04-08,3021
2018-04-09,3021
2018-04-10,2917
2018-04-11,2917
2018-04-12,2917
2018-04-13,2917
2018-04-14,3035
2018-04-15,3035
2018-04-16,3035
2018-04-17,3035
2018-04-18,3035
2018-04-19,3035
2018-04-20,3179
2018-04-21,3179
2018-04-22,3179
2018-04-23,3179
2018-04-24,3179
2018-04-25,3179
2018-04-26,3310
2018-04-27,3310
2018-04-28,3310
2018-04-29,3310
2018-04-30,3310
2018-05-01,3310
2018-05-02,3441
2018-05-03,3441
2018-05-04,3441
2018-05-05,3441
2018-05-06,3441
2018-05-07,3441
2018-05-08,3441
2018-05-09,3580
2018-05-10,3580
2018-05-11,3580
2018-05-12,3580
2018-05-13,3580
2018-05-14,3548
2018-05-15,3548
2018-05-16,3548
2018-05-17,3548
2018-05-18,3548
2018-05-19,3406
2018-05-20,3406
2018-05-21,3406
2018-05-22,3406
2018-05-23,3406
2018-05-24,3406
2018-05-25,3406
2018-05-26,3568
2018-05-27,3568
2018-05-28,3568
2018-05-29,3568
2018-05-30,3568
2018-05-31,3568
2018-06-01,3735
2018-06-02,3735
2018-06-03,3735
2018-06-04,3735
2018-06-05,3735
2018-06-06,3859
2018-06-07,3859
