date_obj,Amulet%20of%20defence%20(t) price
2019-10-08,41826
2019-10-09,41826
2019-10-10,41892
2019-10-11,41892
2019-10-12,41933
2019-10-13,42138
2019-10-14,42138
2019-10-15,42175
2019-10-16,42623
2019-10-17,42623
2019-10-18,42202
2019-10-19,41852
2019-10-20,41852
2019-10-21,41858
2019-10-22,41858
2019-10-23,41015
2019-10-24,41015
2019-10-25,41236
2019-10-26,41780
2019-10-27,41780
2019-10-28,41094
2019-10-29,41094
2019-10-30,40105
2019-10-31,40105
2019-11-01,38633
2019-11-02,37383
2019-11-03,36772
2019-11-04,36772
2019-11-05,36149
2019-11-06,36149
2019-11-07,35966
2019-11-08,35966
2019-11-09,35769
2019-11-10,35616
2019-11-11,35616
2019-11-12,35608
2019-11-13,35608
2019-11-14,35031
2019-11-15,35031
2019-11-16,34656
2019-11-17,34656
2019-11-18,34137
2019-11-19,34137
2019-11-20,33986
2019-11-21,33986
2019-11-22,33267
2019-11-23,33267
2019-11-24,33105
2019-11-25,33105
2019-11-26,32799
2019-11-27,32799
2019-11-28,32734
2019-11-29,32734
2019-11-30,32465
2019-12-01,32465
2019-12-02,31968
2019-12-03,31959
2019-12-04,31959
2019-12-05,31875
2019-12-06,31875
2019-12-07,32983
2019-12-08,32983
2019-12-09,34170
2019-12-10,35458
2019-12-11,35458
2019-12-12,36786
2019-12-13,36786
2019-12-14,37447
2019-12-15,38454
2019-12-16,38454
2019-12-17,39603
2019-12-18,39603
2019-12-19,39773
2019-12-20,39773
2019-12-21,39726
2019-12-22,39166
2019-12-23,39166
2019-12-24,39330
2019-12-25,39330
2019-12-26,38873
2019-12-27,38254
2019-12-28,37440
2019-12-29,37440
2019-12-30,36809
2019-12-31,36809
2020-01-01,36080
2020-01-02,36080
2020-01-03,35574
2020-01-04,35574
2020-01-05,35508
2020-01-06,35508
2020-01-07,35645
2020-01-08,35645
2020-01-09,35512
2020-01-10,35606
2020-01-11,35260
2020-01-12,35260
2020-01-13,35460
2020-01-14,35460
2020-01-15,35487
2020-01-16,35487
2020-01-17,34969
2020-01-18,34969
2020-01-19,35105
2020-01-20,35105
2020-01-21,34836
2020-01-22,33979
2020-01-23,33497
2020-01-24,33497
2020-01-25,33265
2020-01-26,33063
2020-01-27,33063
2020-01-28,32559
2020-01-29,32237
2020-01-30,32237
2020-01-31,32087
2020-02-01,32087
2020-02-02,31887
2020-02-03,31887
2020-02-04,31804
2020-02-05,31804
2020-02-06,31369
2020-02-07,31369
2020-02-08,31531
2020-02-09,31531
2020-02-10,31175
2020-02-11,31175
2020-02-12,31433
2020-02-13,31433
2020-02-14,31882
2020-02-15,31882
2020-02-16,32378
2020-02-17,32559
2020-02-18,32677
2020-02-19,32677
2020-02-20,32828
2020-02-21,32828
2020-02-22,32982
2020-02-23,32982
2020-02-24,32821
2020-02-25,32821
2020-02-26,31972
2020-02-27,31972
2020-02-28,31774
2020-02-29,31774
2020-03-01,31135
2020-03-02,31135
2020-03-03,30779
2020-03-04,30779
2020-03-05,31187
2020-03-06,31053
2020-03-07,31053
2020-03-08,30577
2020-03-09,30745
2020-03-10,30506
2020-03-11,30506
2020-03-12,30543
2020-03-13,30543
2020-03-14,30053
2020-03-15,30053
2020-03-16,29953
2020-03-17,29953
2020-03-18,29360
2020-03-19,29360
2020-03-20,28567
2020-03-21,28086
2020-03-22,27698
2020-03-23,27698
2020-03-24,27866
2020-03-25,27390
2020-03-26,27442
2020-03-27,27710
2020-03-28,27714
2020-03-29,27468
2020-03-30,27525
2020-03-31,27508
2020-04-01,27530
2020-04-02,27642
2020-04-03,27642
2020-04-04,27308
2020-04-05,27308
2020-04-06,26927
2020-04-07,26767
2020-04-08,25916
2020-04-09,25570
2020-04-10,25570
2020-04-11,25234
2020-04-12,24643
2020-04-13,24232
2020-04-14,23900
2020-04-15,22863
2020-04-16,22863
2020-04-17,22556
2020-04-18,22097
2020-04-19,21468
2020-04-20,21133
2020-04-21,21133
2020-04-22,20629
2020-04-23,20543
2020-04-24,20757
2020-04-25,20203
2020-04-26,19748
2020-04-27,19455
2020-04-28,19091
2020-04-29,19091
2020-04-30,18784
2020-05-01,18784
2020-05-02,18611
2020-05-03,18487
2020-05-04,18540
2020-05-05,18455
2020-05-06,18204
2020-05-07,18005
2020-05-08,18005
2020-05-09,17902
2020-05-10,18005
2020-05-11,18005
2020-05-12,18019
2020-05-13,17964
