date_obj,Jar%20of%20stone price
2018-09-11,2508201
2018-09-12,2508201
2018-09-13,2508201
2018-09-14,2508201
2018-09-15,2508201
2018-09-16,2508201
2018-09-17,2508201
2018-09-18,2508201
2018-09-19,2508201
2018-09-20,2508201
2018-09-21,2508201
2018-09-22,2508201
2018-09-23,2508201
2018-09-24,2508201
2018-09-25,2508201
2018-09-26,2467063
2018-09-27,2467063
2018-09-28,2467063
2018-09-29,2467063
2018-09-30,2467063
2018-10-02,2467063
2018-10-03,2467063
2018-10-04,2467063
2018-10-05,2467063
2018-10-06,2467063
2018-10-07,2467063
2018-10-08,2467063
2018-10-09,2467063
2018-10-10,2467063
2018-10-11,2467063
2018-10-12,2467063
2018-10-13,2467063
2018-10-14,2467063
2018-10-15,2467063
2018-10-16,2467063
2018-10-17,2467063
2018-10-18,2467063
2018-10-19,2467063
2018-10-20,2467063
2018-10-21,2467063
2018-10-22,2467063
2018-10-23,2380235
2018-10-24,2380235
2018-10-25,2380235
2018-10-26,2380235
2018-10-27,2380235
2018-10-28,2380235
2018-10-29,2380235
2018-10-30,2380235
2018-10-31,2380235
2018-11-01,2380235
2018-11-03,2380235
2018-11-04,2380235
2018-11-05,2380235
2018-11-06,2380235
2018-11-07,2380235
2018-11-08,2380235
2018-11-09,2380235
2018-11-10,2370619
2018-11-11,2370619
2018-11-12,2370619
2018-11-13,2370619
2018-11-14,2370619
2018-11-15,2370619
2018-11-16,2370619
2018-11-17,2370619
2018-11-18,2370619
2018-11-19,2370619
2018-11-20,2370619
2018-11-21,2370619
2018-11-22,2370619
2018-11-23,2370619
2018-11-24,2370619
2018-11-25,2370619
2018-11-26,2467951
2018-11-27,2467951
2018-11-28,2467951
2018-11-29,2467951
2018-12-01,2467951
2018-12-02,2467951
2018-12-03,2467951
2018-12-04,2467951
2018-12-05,2467951
2018-12-07,2467951
2018-12-09,2467951
2018-12-10,2467951
2018-12-11,2467951
2018-12-12,2467951
2018-12-13,2478217
2018-12-14,2478217
2018-12-15,2478217
2018-12-16,2478217
2018-12-17,2478217
2018-12-18,2478217
2018-12-19,2478217
2018-12-20,2478217
2018-12-21,2478217
2018-12-22,2478217
2018-12-23,2478217
2018-12-24,2478217
2018-12-25,2478217
2018-12-26,2478217
2018-12-27,2478217
2018-12-28,2378524
2018-12-29,2378524
2018-12-30,2378524
2018-12-31,2378524
2019-01-01,2378524
2019-01-02,2378524
2019-01-03,2378524
2019-01-04,2378524
2019-01-05,2378524
2019-01-06,2378524
2019-01-08,2378524
2019-01-10,2378524
2019-01-11,2378524
2019-01-12,2268568
2019-01-13,2268568
2019-01-14,2268568
2019-01-15,2268568
2019-01-16,2268568
2019-01-17,2268568
2019-01-18,2268568
2019-01-19,2268568
2019-01-20,2268568
2019-01-21,2268568
2019-01-22,2268568
2019-01-23,2268568
2019-01-24,2159865
2019-01-25,2159865
2019-01-26,2159865
2019-01-27,2159865
2019-01-28,2159865
2019-01-29,2159865
2019-01-30,2159865
2019-01-31,2159865
2019-02-01,2159865
2019-02-02,2159865
2019-02-03,2159865
2019-02-04,2159865
2019-02-05,2159865
2019-02-06,2159865
2019-02-07,2053989
2019-02-08,2053989
2019-02-09,2053989
2019-02-10,2053989
2019-02-11,2053989
2019-02-12,2053989
2019-02-13,2053989
2019-02-14,2053989
2019-02-15,2053989
2019-02-16,2053989
2019-02-17,2053989
2019-02-18,2053989
2019-02-19,2053989
2019-02-20,2053989
2019-02-21,2053989
2019-02-22,2053989
2019-02-23,1954253
2019-02-24,1954253
2019-02-25,1954253
2019-02-26,1954253
2019-02-27,1954253
2019-02-28,1954253
2019-03-01,1954253
2019-03-02,1954253
2019-03-03,1954253
2019-03-04,1954253
2019-03-05,1954253
2019-03-06,1954253
2019-03-07,1954253
2019-03-08,1954253
2019-03-09,1954253
2019-03-10,1954253
2019-03-11,1954253
2019-03-12,1954253
2019-03-13,1954253
2019-03-14,1954253
2019-03-15,1954253
2019-03-16,1954253
2019-03-17,1954253
2019-03-18,1954253
2019-03-19,1954253
2019-03-20,1934886
2019-03-21,1934886
2019-03-22,1934886
2019-03-23,1934886
2019-03-24,1934886
2019-03-25,1934886
2019-03-26,1934886
2019-03-27,1934886
2019-03-28,1934886
2019-03-29,1934886
2019-03-30,1934886
2019-03-31,1934886
2019-04-01,1934886
2019-04-02,1934886
2019-04-03,1934886
2019-04-04,1934886
2019-04-05,1934886
2019-04-06,1934886
2019-04-07,1934886
2019-04-08,2016307
2019-04-09,2016307
2019-04-10,2016307
2019-04-11,2016307
2019-04-12,2016307
2019-04-13,2016307
2019-04-14,2016307
2019-04-15,2016307
2019-04-16,2016307
2019-04-17,2016307
2019-04-18,2016307
2019-04-19,2016307
2019-04-20,2016307
2019-04-21,2016307
2019-04-22,2016307
2019-04-23,2016307
2019-04-24,2016307
2019-04-25,2109689
2019-04-26,2109689
2019-04-27,2109689
2019-04-28,2109689
2019-04-29,2109689
2019-04-30,2109689
2019-05-01,2109689
2019-05-02,2109689
2019-05-03,2109689
2019-05-04,2109689
2019-05-05,2109689
2019-05-06,2109689
2019-05-07,2109689
2019-05-08,2109689
2019-05-09,2109689
2019-05-10,2109689
2019-05-11,2109689
2019-05-12,2182230
2019-05-13,2182230
2019-05-14,2182230
2019-05-15,2182230
2019-05-16,2182230
2019-05-17,2182230
2019-05-18,2182230
2019-05-19,2182230
2019-05-20,2182230
2019-05-21,2182230
2019-05-22,2182230
2019-05-23,2182230
2019-05-24,2182230
2019-05-25,2182230
2019-05-26,2182230
2019-05-27,2182230
2019-05-28,2182230
2019-05-29,2182230
2019-05-30,2182230
2019-05-31,2182230
2019-06-01,2182230
2019-06-02,2187700
2019-06-03,2187700
2019-06-04,2187700
2019-06-05,2187700
2019-06-06,2187700
2019-06-07,2187700
2019-06-08,2187700
2019-06-09,2187700
2019-06-10,2187700
2019-06-11,2187700
2019-06-12,2187700
2019-06-13,2187700
2019-06-14,2187700
2019-06-15,2187700
2019-06-16,2187700
2019-06-17,2187700
2019-06-18,2187700
2019-06-19,2187700
2019-06-20,2187700
2019-06-21,2120679
2019-06-22,2120679
2019-06-23,2120679
2019-06-24,2120679
2019-06-25,2120679
2019-06-26,2120679
2019-06-27,2120679
2019-06-28,2120679
2019-06-29,2120679
2019-06-30,2120679
2019-07-01,2120679
2019-07-02,2120679
2019-07-03,2120679
2019-07-04,2120679
2019-07-05,2120679
2019-07-06,2120679
2019-07-07,2120679
2019-07-08,2120679
2019-07-09,2190199
2019-07-10,2190199
2019-07-11,2190199
2019-07-12,2190199
2019-07-13,2190199
2019-07-14,2190199
2019-07-15,2190199
2019-07-16,2190199
2019-07-17,2190199
2019-07-18,2190199
2019-07-19,2190199
2019-07-20,2190199
2019-07-21,2190199
2019-07-22,2190199
2019-07-23,2190199
2019-07-24,2190199
2019-07-25,2190199
2019-07-26,2190199
2019-07-27,2190199
2019-07-28,2289307
2019-07-29,2289307
2019-07-30,2289307
2019-07-31,2289307
2019-08-01,2289307
2019-08-02,2289307
2019-08-03,2289307
2019-08-04,2289307
2019-08-05,2289307
2019-08-06,2289307
2019-08-07,2289307
2019-08-08,2289307
2019-08-09,2289307
2019-08-10,2289307
2019-08-11,2289307
2019-08-12,2289307
2019-08-13,2289307
2019-08-14,2289307
2019-08-15,2289307
2019-08-16,2289307
2019-08-17,2289307
2019-08-18,2289307
2019-08-19,2289307
2019-08-20,2289307
2019-08-21,2347850
2019-08-22,2347850
2019-08-23,2347850
2019-08-24,2347850
2019-08-24,2347850
2019-08-25,2347850
2019-08-25,2347850
2019-08-26,2347850
2019-08-26,2347850
2019-08-27,2347850
2019-08-27,2347850
2019-08-28,2347850
2019-08-29,2347850
2019-08-30,2347850
2019-08-31,2347850
2019-09-01,2347850
2019-09-02,2347850
2019-09-03,2347850
2019-09-04,2347850
2019-09-05,2347850
2019-09-06,2347850
2019-09-07,2347850
2019-09-08,2347850
2019-09-09,2347850
2019-09-10,2391958
2019-09-11,2391958
2019-09-12,2391958
2019-09-13,2391958
2019-09-14,2391958
2019-09-15,2391958
2019-09-16,2391958
2019-09-17,2391958
2019-09-18,2391958
2019-09-19,2391958
2019-09-20,2391958
2019-09-21,2391958
2019-09-22,2391958
2019-09-23,2391958
2019-09-24,2391958
2019-09-25,2391958
2019-09-26,2391958
2019-09-27,2391958
2019-09-28,2391958
2019-09-29,2391958
2019-09-30,2391958
2019-10-01,2397503
2019-10-02,2397503
2019-10-03,2397503
2019-10-04,2397503
2019-10-05,2397503
2019-10-06,2397503
2019-10-07,2397503
2019-10-08,2397503
2019-10-09,2397503
2019-10-10,2397503
2019-10-11,2397503
2019-10-12,2397503
2019-10-13,2397503
2019-10-14,2397503
2019-10-15,2397503
2019-10-16,2397503
2019-10-17,2397503
2019-10-18,2397503
2019-10-19,2397503
2019-10-20,2397503
2019-10-21,2397503
2019-10-22,2366299
2019-10-23,2366299
2019-10-24,2366299
2019-10-25,2366299
2019-10-26,2366299
2019-10-27,2366299
2019-10-28,2366299
2019-10-29,2366299
2019-10-30,2366299
2019-10-31,2366299
2019-11-01,2366299
2019-11-02,2366299
2019-11-03,2366299
2019-11-04,2366299
2019-11-05,2366299
2019-11-06,2366299
2019-11-07,2366299
2019-11-08,2366299
2019-11-09,2366299
2019-11-10,2400137
2019-11-11,2400137
2019-11-12,2400137
2019-11-13,2400137
2019-11-14,2400137
2019-11-15,2400137
2019-11-16,2400137
2019-11-17,2400137
2019-11-18,2400137
2019-11-19,2400137
2019-11-20,2400137
2019-11-21,2400137
2019-11-22,2400137
2019-11-23,2400137
2019-11-24,2400137
2019-11-25,2400137
2019-11-26,2400137
2019-11-27,2400137
2019-11-28,2400137
2019-11-29,2400137
2019-11-30,2400137
2019-12-01,2400137
2019-12-02,2400137
2019-12-03,2400137
2019-12-04,2400137
2019-12-05,2400137
2019-12-06,2413123
2019-12-07,2413123
2019-12-08,2413123
2019-12-09,2413123
2019-12-10,2413123
2019-12-11,2413123
2019-12-12,2413123
2019-12-13,2413123
2019-12-14,2413123
2019-12-15,2413123
2019-12-16,2413123
2019-12-17,2413123
2019-12-18,2413123
2019-12-19,2413123
2019-12-20,2413123
2019-12-21,2413123
2019-12-22,2413123
2019-12-23,2413123
2019-12-24,2413123
2019-12-25,2413123
2019-12-26,2413123
2019-12-27,2337813
2019-12-28,2337813
2019-12-29,2337813
2019-12-30,2337813
2019-12-31,2337813
2020-01-01,2337813
2020-01-02,2337813
2020-01-03,2337813
2020-01-04,2337813
2020-01-05,2337813
2020-01-06,2337813
2020-01-07,2337813
2020-01-08,2337813
2020-01-09,2337813
2020-01-10,2337813
2020-01-11,2337813
2020-01-12,2337813
2020-01-13,2337813
2020-01-14,2337813
2020-01-15,2330629
2020-01-16,2330629
2020-01-17,2330629
2020-01-18,2330629
2020-01-19,2330629
2020-01-20,2330629
2020-01-21,2330629
2020-01-22,2330629
2020-01-23,2330629
2020-01-24,2330629
2020-01-25,2330629
2020-01-26,2330629
2020-01-27,2330629
2020-01-28,2330629
2020-01-29,2330629
2020-01-30,2330629
2020-01-31,2342566
2020-02-01,2342566
2020-02-02,2342566
2020-02-03,2342566
2020-02-04,2342566
2020-02-05,2342566
2020-02-06,2342566
2020-02-07,2342566
2020-02-08,2342566
2020-02-09,2342566
2020-02-10,2342566
2020-02-11,2262235
2020-02-12,2262235
2020-02-13,2262235
2020-02-14,2262235
2020-02-15,2262235
2020-02-16,2262235
2020-02-17,2262235
2020-02-18,2262235
2020-02-19,2262235
2020-02-20,2262235
2020-02-21,2262235
2020-02-22,2262235
2020-02-23,2262235
2020-02-24,2262235
2020-02-25,2243854
2020-02-26,2243854
2020-02-27,2243854
2020-02-28,2243854
2020-02-29,2243854
2020-03-01,2243854
2020-03-02,2243854
2020-03-03,2243854
2020-03-04,2243854
2020-03-05,2243854
2020-03-06,2243854
2020-03-07,2243854
2020-03-08,2243854
2020-03-09,2179821
2020-03-10,2179821
2020-03-11,2179821
2020-03-12,2179821
2020-03-13,2179821
2020-03-14,2179821
2020-03-15,2179821
2020-03-16,2179821
2020-03-17,2179821
2020-03-18,2179821
2020-03-19,2179821
2020-03-20,2179821
2020-03-21,2179821
2020-03-22,2143405
2020-03-23,2143405
2020-03-24,2143405
2020-03-25,2143405
2020-03-26,2143405
2020-03-27,2143405
2020-03-28,2143405
2020-03-29,2143405
2020-03-30,2143405
2020-03-31,2143405
2020-04-01,2143405
2020-04-02,2154234
2020-04-03,2154234
2020-04-04,2154234
2020-04-05,2154234
2020-04-06,2154234
2020-04-07,2154234
2020-04-08,2154234
2020-04-09,2154234
2020-04-10,2154234
2020-04-11,2154234
2020-04-12,2154234
2020-04-13,2154234
2020-04-14,2070132
2020-04-15,2070132
2020-04-16,2070132
2020-04-17,2070132
2020-04-18,2070132
2020-04-19,2070132
2020-04-20,2070132
2020-04-21,2070132
2020-04-22,2070132
2020-04-23,1975016
2020-04-24,1975016
2020-04-25,1975016
2020-04-26,1975016
2020-04-27,1975016
2020-04-28,1975016
2020-04-29,1975016
2020-04-30,1975016
2020-05-01,1975016
2020-05-02,1886163
2020-05-03,1886163
2020-05-04,1886163
2020-05-05,1886163
2020-05-06,1886163
2020-05-07,1886163
2020-05-08,1886163
2020-05-09,1886163
2020-05-10,1886163
2020-05-11,1886163
2020-05-12,1829727
2020-05-13,1829727
