date_obj,Sandwich%20lady%20top price
2019-09-18,11734
2019-09-19,11734
2019-09-20,11433
2019-09-21,11433
2019-09-22,11489
2019-09-23,11540
2019-09-24,11540
2019-09-25,11282
2019-09-26,11282
2019-09-27,11077
2019-09-28,11004
2019-09-29,11004
2019-09-30,10693
2019-10-01,11007
2019-10-02,11007
2019-10-03,11385
2019-10-04,11385
2019-10-05,11058
2019-10-06,11107
2019-10-07,11107
2019-10-08,10947
2019-10-09,10947
2019-10-10,11124
2019-10-11,11124
2019-10-12,11424
2019-10-13,11136
2019-10-14,11136
2019-10-15,11390
2019-10-16,11552
2019-10-17,11552
2019-10-18,11677
2019-10-19,11961
2019-10-20,11961
2019-10-21,12237
2019-10-22,12237
2019-10-23,12202
2019-10-24,12202
2019-10-25,11990
2019-10-26,11990
2019-10-27,11844
2019-10-28,11844
2019-10-29,11759
2019-10-30,11759
2019-10-31,12155
2019-11-01,12155
2019-11-02,12132
2019-11-03,12132
2019-11-04,11785
2019-11-05,11785
2019-11-06,11536
2019-11-07,11536
2019-11-08,11742
2019-11-09,11742
2019-11-10,12296
2019-11-11,12296
2019-11-12,12250
2019-11-13,12250
2019-11-14,12375
2019-11-15,12375
2019-11-16,12468
2019-11-17,12468
2019-11-18,12274
2019-11-19,12274
2019-11-20,12109
2019-11-21,12109
2019-11-22,12090
2019-11-23,12090
2019-11-24,12404
2019-11-25,12404
2019-11-26,12512
2019-11-27,12512
2019-11-28,12484
2019-11-29,12484
2019-11-30,12179
2019-12-01,12179
2019-12-02,12174
2019-12-03,12691
2019-12-04,12691
2019-12-05,13297
2019-12-06,13297
2019-12-07,13962
2019-12-08,13962
2019-12-09,14477
2019-12-10,14477
2019-12-11,15042
2019-12-12,15042
2019-12-13,15233
2019-12-14,15233
2019-12-15,15224
2019-12-16,15224
2019-12-17,15226
2019-12-18,15226
2019-12-19,15527
2019-12-20,15527
2019-12-21,15398
2019-12-22,14836
2019-12-23,14836
2019-12-24,14521
2019-12-25,14521
2019-12-26,14103
2019-12-27,14103
2019-12-28,13797
2019-12-29,13797
2019-12-30,13678
2019-12-31,13678
2020-01-01,13901
2020-01-02,13947
2020-01-03,13947
2020-01-04,13947
2020-01-05,13737
2020-01-06,13737
2020-01-07,13433
2020-01-08,13433
2020-01-09,12865
2020-01-10,12309
2020-01-11,11789
2020-01-12,11789
2020-01-13,11199
2020-01-14,11199
2020-01-15,10742
2020-01-16,10742
2020-01-17,10533
2020-01-18,10533
2020-01-19,10050
2020-01-20,10050
2020-01-21,9617
2020-01-22,9207
2020-01-23,9207
2020-01-24,8915
2020-01-25,8915
2020-01-26,8648
2020-01-27,8464
2020-01-28,8464
2020-01-29,8266
2020-01-30,8266
2020-01-31,8201
2020-02-01,8201
2020-02-02,8002
2020-02-03,8002
2020-02-04,7852
2020-02-05,7852
2020-02-06,7675
2020-02-07,7675
2020-02-08,7636
2020-02-09,7636
2020-02-10,7312
2020-02-11,7312
2020-02-12,7005
2020-02-13,7005
2020-02-14,6726
2020-02-15,6726
2020-02-16,6523
2020-02-17,6389
2020-02-18,6389
2020-02-19,6325
2020-02-20,6121
2020-02-21,6121
2020-02-22,5903
2020-02-23,5903
2020-02-24,5644
2020-02-25,5644
2020-02-26,5687
2020-02-27,5687
2020-02-28,5720
2020-02-29,5720
2020-03-01,5691
2020-03-02,5691
2020-03-03,5579
2020-03-04,5579
2020-03-05,5541
2020-03-06,5322
2020-03-07,5322
2020-03-08,5087
2020-03-09,5087
2020-03-10,4904
2020-03-11,4904
2020-03-12,4740
2020-03-13,4740
2020-03-14,4664
2020-03-15,4664
2020-03-16,4568
2020-03-17,4568
2020-03-18,4481
2020-03-19,4481
2020-03-20,4419
2020-03-21,4419
2020-03-22,4318
2020-03-23,4318
2020-03-24,4243
2020-03-25,4126
2020-03-26,3951
2020-03-27,3855
2020-03-28,3855
2020-03-29,3703
2020-03-30,3593
2020-03-31,3501
2020-04-01,3438
2020-04-02,3310
2020-04-03,3310
2020-04-04,3210
2020-04-05,3210
2020-04-06,3111
2020-04-07,3000
2020-04-08,2887
2020-04-09,2775
2020-04-10,2775
2020-04-11,2666
2020-04-12,2574
2020-04-13,2598
2020-04-14,2572
2020-04-15,2513
2020-04-16,2513
2020-04-17,2458
2020-04-18,2405
2020-04-19,2468
2020-04-20,2487
2020-04-21,2487
2020-04-22,2525
2020-04-23,2525
2020-04-24,2652
2020-04-25,2779
2020-04-26,2912
2020-04-27,3058
2020-04-28,3211
2020-04-29,3211
2020-04-30,3372
2020-05-01,3372
2020-05-02,3541
2020-05-03,3706
2020-05-04,3706
2020-05-05,3892
2020-05-06,3961
2020-05-07,3961
2020-05-08,4049
2020-05-09,4077
2020-05-10,4118
2020-05-11,4118
2020-05-12,4284
2020-05-13,4215
