date_obj,Hydra's%20claw price
2019-10-13,72807835
2019-10-14,72807835
2019-10-15,73294080
2019-10-16,73294080
2019-10-17,73294080
2019-10-18,73294080
2019-10-19,73294080
2019-10-20,73756914
2019-10-21,73756914
2019-10-22,73756914
2019-10-23,73756914
2019-10-24,73756914
2019-10-25,73756914
2019-10-26,74683102
2019-10-27,74683102
2019-10-28,74683102
2019-10-29,74683102
2019-10-30,74683102
2019-10-31,74683102
2019-11-01,73928167
2019-11-02,73928167
2019-11-03,73928167
2019-11-04,73928167
2019-11-05,73928167
2019-11-06,73928167
2019-11-07,74563389
2019-11-08,74563389
2019-11-09,74563389
2019-11-10,77343583
2019-11-11,77343583
2019-11-12,77343583
2019-11-13,77343583
2019-11-14,77343583
2019-11-15,77343583
2019-11-16,77125879
2019-11-17,77125879
2019-11-18,77125879
2019-11-19,77125879
2019-11-20,77125879
2019-11-21,77125879
2019-11-22,77125879
2019-11-23,74608775
2019-11-24,74608775
2019-11-25,74608775
2019-11-26,74608775
2019-11-27,74608775
2019-11-28,74608775
2019-11-29,73845343
2019-11-30,73845343
2019-12-01,73845343
2019-12-02,73845343
2019-12-03,73845343
2019-12-04,73845343
2019-12-05,73845343
2019-12-06,72524755
2019-12-07,72524755
2019-12-08,72524755
2019-12-09,72524755
2019-12-10,72524755
2019-12-11,72524755
2019-12-12,71998031
2019-12-13,71998031
2019-12-14,71998031
2019-12-15,71998031
2019-12-16,71998031
2019-12-17,72702718
2019-12-18,72702718
2019-12-19,72702718
2019-12-20,72702718
2019-12-21,72702718
2019-12-22,73905744
2019-12-23,73905744
2019-12-24,73905744
2019-12-25,73905744
2019-12-26,73905744
2019-12-27,74394332
2019-12-28,74394332
2019-12-29,74394332
2019-12-30,74394332
2019-12-31,76480326
2020-01-01,76480326
2020-01-02,76480326
2020-01-03,76480326
2020-01-04,78254229
2020-01-05,78254229
2020-01-06,78254229
2020-01-07,78254229
2020-01-08,77239587
2020-01-09,77239587
2020-01-10,77239587
2020-01-11,77239587
2020-01-12,77170369
2020-01-13,77170369
2020-01-14,77170369
2020-01-15,77170369
2020-01-16,78164344
2020-01-17,78164344
2020-01-18,78164344
2020-01-19,78164344
2020-01-20,79246220
2020-01-21,79246220
2020-01-22,79246220
2020-01-23,79246220
2020-01-24,79246220
2020-01-25,79294372
2020-01-26,79294372
2020-01-27,79294372
2020-01-28,79294372
2020-01-29,76973106
2020-01-30,76973106
2020-01-31,76973106
2020-02-01,76973106
2020-02-02,75264426
2020-02-03,75264426
2020-02-04,75264426
2020-02-05,75264426
2020-02-06,74955753
2020-02-07,74955753
2020-02-08,74955753
2020-02-09,74955753
2020-02-10,72012950
2020-02-11,72012950
2020-02-12,72012950
2020-02-13,72012950
2020-02-14,71298713
2020-02-15,71298713
2020-02-16,71298713
2020-02-17,72584551
2020-02-18,72584551
2020-02-19,72584551
2020-02-20,72584551
2020-02-21,73175258
2020-02-22,73175258
2020-02-23,73175258
2020-02-24,73175258
2020-02-25,73337977
2020-02-26,73337977
2020-02-27,73337977
2020-02-28,73337977
2020-02-29,72600410
2020-03-01,72600410
2020-03-02,72600410
2020-03-03,71559425
2020-03-04,71559425
2020-03-05,71559425
2020-03-06,71559425
2020-03-07,70816341
2020-03-08,70816341
2020-03-09,70816341
2020-03-10,71025148
2020-03-11,71025148
2020-03-12,71025148
2020-03-13,71025148
2020-03-14,71920605
2020-03-15,71920605
2020-03-16,71920605
2020-03-17,73399705
2020-03-18,73399705
2020-03-19,73399705
2020-03-20,73399705
2020-03-21,74357894
2020-03-22,74357894
2020-03-23,74357894
2020-03-24,74719014
2020-03-25,74719014
2020-03-26,74719014
2020-03-27,74380134
2020-03-28,74380134
2020-03-29,73297932
2020-03-30,73297932
2020-03-31,73297932
2020-04-01,73187062
2020-04-02,73187062
2020-04-03,73187062
2020-04-04,74945595
2020-04-05,74945595
2020-04-06,74945595
2020-04-07,75813929
2020-04-08,75813929
2020-04-09,76291404
2020-04-10,76291404
2020-04-11,78149802
2020-04-12,78149802
2020-04-13,78149802
2020-04-14,80018689
2020-04-15,80018689
2020-04-16,81662834
2020-04-17,81662834
2020-04-18,81329470
2020-04-19,81329470
2020-04-20,79905893
2020-04-21,79905893
2020-04-22,76809284
2020-04-23,76809284
2020-04-24,76809284
2020-04-25,78148711
2020-04-26,78148711
2020-04-27,79107680
2020-04-28,79107680
2020-04-29,79107680
2020-04-30,79029130
2020-05-01,79029130
2020-05-02,79029130
2020-05-03,78962141
2020-05-04,78962141
2020-05-05,78962141
2020-05-06,79485752
2020-05-07,79485752
2020-05-08,79485752
2020-05-09,80699936
2020-05-10,80699936
2020-05-11,80699936
2020-05-12,81896491
2020-05-13,81896491
