date_obj,3rd%20age%20range%20top price
2016-05-13,30443843
2016-05-14,30443843
2016-05-15,30229274
2016-05-16,30229274
2016-05-17,30229274
2016-05-18,29936832
2016-05-19,29936832
2016-05-21,29789671
2016-05-22,29789671
2016-05-23,29789671
2016-05-24,29396271
2016-05-25,29396271
2016-05-26,29396271
2016-05-27,29146533
2016-05-28,29146533
2016-05-29,29146533
2016-05-30,29146533
2016-05-31,29230663
2016-06-01,29230663
2016-06-02,29421784
2016-06-03,29421784
2016-06-04,29421784
2016-06-05,29383407
2016-06-06,29383407
2016-06-07,29383407
2016-06-08,29383407
2016-06-09,29297333
2016-06-10,29297333
2016-06-11,29297333
2016-06-12,29142662
2016-06-13,29142662
2016-06-14,29142662
2016-06-15,28758451
2016-06-16,28758451
2016-06-17,28758451
2016-06-18,28758451
2016-06-19,28703051
2016-06-20,28703051
2016-06-21,28703051
2016-06-22,28235252
2016-06-23,28235252
2016-06-24,28235252
2016-06-25,28086850
2016-06-26,28086850
2016-06-27,28086850
2016-06-28,28086850
2016-06-29,27696119
2016-06-30,27696119
2016-07-01,27720072
2016-07-02,27720072
2016-07-03,27720072
2016-07-04,28377104
2016-07-05,28377104
2016-07-06,28377104
2016-07-07,27621332
2016-07-08,27621332
2016-07-09,27621332
2016-07-10,27380138
2016-07-11,27380138
2016-07-12,27380138
2016-07-13,27429663
2016-07-14,27429663
2016-07-15,27429663
2016-07-16,27073618
2016-07-17,27073618
2016-07-18,27073618
2016-07-23,26945857
2016-07-24,26945857
2016-07-25,27522924
2016-07-26,27522924
2016-07-27,27522924
2016-07-28,27522924
2016-07-29,27382012
2016-07-30,27382012
2016-07-31,27382012
2016-08-01,27249880
2016-08-02,27249880
2016-08-03,27249880
2016-08-04,27071250
2016-08-05,27071250
2016-08-06,27071250
2016-08-07,26946705
2016-08-08,26946705
2016-08-09,26946705
2016-08-10,26641707
2016-08-11,26641707
2016-08-12,26641707
2016-08-13,26641707
2016-08-14,26456352
2016-08-15,26456352
2016-08-16,26456352
2016-08-17,26427382
