date_obj,Jade%20amulet price
2018-12-22,859
2018-12-23,859
2018-12-24,859
2018-12-25,859
2018-12-26,859
2018-12-27,859
2018-12-28,859
2018-12-29,859
2018-12-30,875
2018-12-31,875
2019-01-01,875
2019-01-02,875
2019-01-03,875
2019-01-04,875
2019-01-05,875
2019-01-06,875
2019-01-08,875
2019-01-10,856
2019-01-11,856
2019-01-12,856
2019-01-13,856
2019-01-14,856
2019-01-15,856
2019-01-16,856
2019-01-17,856
2019-01-18,856
2019-01-19,856
2019-01-20,867
2019-01-21,867
2019-01-22,867
2019-01-23,867
2019-01-24,867
2019-01-25,867
2019-01-26,867
2019-01-27,867
2019-01-28,867
2019-01-29,867
2019-01-30,867
2019-01-31,867
2019-02-01,862
2019-02-02,862
2019-02-03,862
2019-02-04,862
2019-02-05,862
2019-02-06,862
2019-02-07,862
2019-02-08,862
2019-02-09,862
2019-02-10,862
2019-02-11,862
2019-02-12,862
2019-02-13,862
2019-02-14,862
2019-02-15,855
2019-02-16,855
2019-02-17,855
2019-02-18,855
2019-02-19,855
2019-02-20,855
2019-02-21,855
2019-02-22,855
2019-02-23,855
2019-02-24,870
2019-02-25,870
2019-02-26,870
2019-02-27,870
2019-02-28,870
2019-03-01,870
2019-03-02,870
2019-03-03,870
2019-03-04,870
2019-03-05,870
2019-03-06,870
2019-03-07,870
2019-03-08,870
2019-03-09,870
2019-03-10,870
2019-03-11,870
2019-03-12,870
2019-03-13,870
2019-03-14,864
2019-03-15,864
2019-03-16,864
2019-03-17,864
2019-03-18,864
2019-03-19,864
2019-03-20,864
2019-03-21,864
2019-03-22,864
2019-03-23,864
2019-03-24,864
2019-03-25,864
2019-03-26,864
2019-03-27,864
2019-03-28,864
2019-03-29,864
2019-03-30,864
2019-03-31,854
2019-04-01,854
2019-04-02,854
2019-04-03,854
2019-04-04,854
2019-04-05,854
2019-04-06,854
2019-04-07,854
2019-04-08,854
2019-04-09,854
2019-04-10,854
2019-04-11,854
2019-04-12,854
2019-04-13,854
2019-04-14,854
2019-04-15,854
2019-04-16,854
2019-04-17,854
2019-04-18,854
2019-04-19,854
2019-04-20,825
2019-04-21,825
2019-04-22,825
2019-04-23,825
2019-04-24,825
2019-04-25,825
2019-04-26,825
2019-04-27,825
2019-04-28,825
2019-04-29,825
2019-04-30,825
2019-05-01,825
2019-05-02,825
2019-05-03,825
2019-05-04,825
2019-05-05,825
2019-05-06,825
2019-05-07,825
2019-05-08,825
2019-05-09,825
2019-05-10,825
2019-05-11,825
2019-05-12,825
2019-05-13,825
2019-05-14,825
2019-05-15,825
2019-05-16,825
2019-05-17,825
2019-05-18,825
2019-05-19,825
2019-05-20,825
2019-05-21,825
2019-05-22,825
2019-05-23,825
2019-05-24,825
2019-05-25,825
2019-05-26,825
2019-05-27,825
2019-05-28,825
2019-05-29,825
2019-05-30,813
2019-05-31,813
2019-06-01,813
2019-06-02,813
2019-06-03,813
2019-06-04,813
2019-06-05,813
2019-06-06,813
2019-06-07,813
2019-06-08,813
2019-06-09,813
2019-06-10,813
2019-06-11,813
2019-06-12,813
2019-06-13,813
2019-06-14,813
2019-06-15,813
2019-06-16,829
2019-06-17,829
2019-06-18,829
2019-06-19,829
2019-06-20,829
2019-06-21,829
2019-06-22,829
2019-06-23,829
2019-06-24,829
2019-06-25,829
2019-06-26,829
2019-06-27,829
2019-06-28,829
2019-06-29,829
2019-06-30,829
2019-07-01,829
2019-07-02,829
2019-07-03,836
2019-07-04,836
2019-07-05,836
2019-07-06,836
2019-07-07,836
2019-07-08,836
2019-07-09,836
2019-07-10,836
2019-07-11,836
2019-07-12,836
2019-07-13,836
2019-07-14,856
2019-07-15,856
2019-07-16,856
2019-07-17,856
2019-07-18,856
2019-07-19,856
2019-07-20,856
2019-07-21,856
2019-07-22,856
2019-07-23,856
2019-07-24,856
2019-07-25,856
2019-07-26,856
2019-07-27,856
2019-07-28,856
2019-07-29,856
2019-07-30,856
2019-07-31,856
2019-08-01,856
2019-08-02,856
2019-08-03,864
2019-08-04,864
2019-08-05,864
2019-08-06,864
2019-08-07,864
2019-08-08,864
2019-08-09,864
2019-08-10,864
2019-08-11,864
2019-08-12,864
2019-08-13,864
2019-08-14,864
2019-08-15,864
2019-08-16,864
2019-08-17,864
2019-08-18,864
2019-08-19,864
