date_obj,Stony%20basalt price
2019-08-03,986
2019-08-04,985
2019-08-05,958
2019-08-06,925
2019-08-07,906
2019-08-08,906
2019-08-09,915
2019-08-10,928
2019-08-11,935
2019-08-12,939
2019-08-13,980
2019-08-14,1012
2019-08-15,1052
2019-08-16,1081
2019-08-17,1081
2019-08-18,1072
2019-08-19,1031
2019-08-20,982
2019-08-21,936
2019-08-22,927
2019-08-23,927
2019-08-24,940
2019-08-24,940
2019-08-25,940
2019-08-25,940
2019-08-26,987
2019-08-26,987
2019-08-27,1037
2019-08-27,1037
2019-08-28,1089
2019-08-29,1134
2019-08-30,1092
2019-08-31,1092
2019-09-01,1037
2019-09-02,1037
2019-09-03,985
2019-09-04,935
2019-09-05,946
2019-09-06,946
2019-09-07,951
2019-09-08,979
2019-09-09,1017
2019-09-10,1000
2019-09-11,964
2019-09-12,933
2019-09-13,905
2019-09-14,903
2019-09-15,861
2019-09-16,834
2019-09-17,797
2019-09-18,805
2019-09-19,827
2019-09-20,827
2019-09-21,814
2019-09-22,844
2019-09-23,825
2019-09-24,825
2019-09-25,815
2019-09-26,804
2019-09-27,804
2019-09-28,806
2019-09-29,806
2019-09-30,846
2019-10-01,855
2019-10-02,855
2019-10-03,872
2019-10-04,889
2019-10-05,922
2019-10-06,898
2019-10-07,914
2019-10-08,914
2019-10-09,914
2019-10-10,898
2019-10-11,877
2019-10-12,861
2019-10-13,872
2019-10-14,913
2019-10-15,913
2019-10-16,930
2019-10-17,930
2019-10-18,968
2019-10-19,995
2019-10-20,1014
2019-10-21,1009
2019-10-22,1011
2019-10-23,1019
2019-10-24,985
2019-10-25,949
2019-10-26,902
2019-10-27,865
2019-10-28,857
2019-10-29,857
2019-10-30,861
2019-10-31,846
2019-11-01,808
2019-11-02,821
2019-11-03,841
2019-11-04,873
2019-11-05,873
2019-11-06,909
2019-11-07,906
2019-11-08,943
2019-11-09,975
2019-11-10,1023
2019-11-11,1068
2019-11-12,1084
2019-11-13,1130
2019-11-14,1132
2019-11-15,1131
2019-11-16,1162
2019-11-17,1162
2019-11-18,1207
2019-11-19,1207
2019-11-20,1254
2019-11-21,1254
2019-11-22,1293
2019-11-23,1352
2019-11-24,1402
2019-11-25,1417
2019-11-26,1440
2019-11-27,1440
2019-11-28,1419
2019-11-29,1419
2019-11-30,1452
2019-12-01,1516
2019-12-02,1504
2019-12-03,1500
2019-12-04,1564
2019-12-05,1564
2019-12-06,1596
2019-12-07,1567
2019-12-08,1569
2019-12-09,1523
2019-12-10,1482
2019-12-11,1410
2019-12-12,1410
2019-12-13,1339
2019-12-14,1292
2019-12-15,1291
2019-12-16,1226
2019-12-17,1187
2019-12-18,1187
2019-12-19,1170
2019-12-20,1127
2019-12-21,1072
2019-12-22,1019
2019-12-23,969
2019-12-24,952
2019-12-25,995
2019-12-26,980
2019-12-27,989
2019-12-28,1038
2019-12-29,1082
2019-12-30,1131
2019-12-31,1188
2020-01-01,1224
2020-01-02,1280
2020-01-03,1344
2020-01-04,1372
2020-01-05,1441
2020-01-06,1501
2020-01-07,1457
2020-01-08,1457
2020-01-09,1436
2020-01-10,1405
2020-01-11,1393
2020-01-12,1409
2020-01-13,1409
2020-01-14,1382
2020-01-15,1352
2020-01-16,1287
2020-01-17,1222
2020-01-18,1183
2020-01-19,1163
2020-01-20,1203
2020-01-21,1223
2020-01-22,1219
2020-01-23,1159
2020-01-24,1141
2020-01-25,1125
2020-01-26,1074
2020-01-27,1020
2020-01-28,969
2020-01-29,920
2020-01-30,879
2020-01-31,904
2020-02-01,941
2020-02-02,979
2020-02-03,1027
2020-02-04,1039
2020-02-05,1008
2020-02-06,957
2020-02-07,909
2020-02-08,876
2020-02-09,919
2020-02-10,956
2020-02-11,1002
2020-02-12,1003
2020-02-13,978
2020-02-14,956
2020-02-15,952
2020-02-16,940
2020-02-17,920
2020-02-18,904
2020-02-19,873
2020-02-20,840
2020-02-21,840
2020-02-22,819
2020-02-23,843
2020-02-24,886
2020-02-25,931
2020-02-26,978
2020-02-27,1027
2020-02-28,1069
2020-02-29,1069
2020-03-01,1067
2020-03-02,1013
2020-03-03,962
2020-03-04,914
2020-03-05,868
2020-03-06,849
2020-03-07,853
2020-03-08,844
2020-03-09,854
2020-03-10,897
2020-03-11,938
2020-03-12,961
2020-03-13,941
2020-03-14,932
2020-03-15,936
2020-03-16,926
2020-03-17,900
2020-03-18,903
2020-03-19,946
2020-03-20,994
2020-03-21,1044
2020-03-22,1097
2020-03-23,1132
2020-03-24,1171
2020-03-25,1224
2020-03-26,1250
2020-03-27,1287
2020-03-28,1273
2020-03-29,1279
2020-03-30,1234
2020-03-31,1203
2020-04-01,1156
2020-04-02,1098
2020-04-03,1098
2020-04-04,1059
2020-04-05,1090
2020-04-06,1096
2020-04-07,1147
2020-04-08,1188
2020-04-09,1147
2020-04-10,1139
2020-04-11,1091
2020-04-12,1036
2020-04-13,984
2020-04-14,934
2020-04-15,923
2020-04-16,966
2020-04-17,976
2020-04-18,1004
2020-04-19,1048
2020-04-20,1092
2020-04-21,1121
2020-04-22,1074
2020-04-23,1033
2020-04-24,1073
2020-04-25,1078
2020-04-26,1060
2020-04-27,1088
2020-04-28,1116
2020-04-29,1125
2020-04-30,1146
2020-05-01,1101
2020-05-02,1072
2020-05-03,1049
2020-05-04,1028
2020-05-05,1027
2020-05-06,1047
2020-05-07,1096
2020-05-08,1110
2020-05-09,1097
2020-05-10,1047
2020-05-11,994
2020-05-12,975
2020-05-13,984
