date_obj,Red%20elegant%20legs price
2016-07-16,32068
2016-07-17,31689
2016-07-18,31689
2016-07-23,30659
2016-07-24,30659
2016-07-25,30659
2016-07-26,29497
2016-07-27,29497
2016-07-28,29497
2016-07-29,28980
2016-07-30,28980
2016-07-31,28980
2016-08-01,28477
2016-08-02,28477
2016-08-03,28477
2016-08-04,28336
2016-08-05,28336
2016-08-06,28336
2016-08-07,28116
2016-08-08,28116
2016-08-09,28116
2016-08-10,27968
2016-08-11,27968
2016-08-12,27968
2016-08-13,27968
2016-08-14,27481
2016-08-15,27481
2016-08-16,27481
2016-08-17,27402
2016-08-18,27402
2016-08-19,27402
2016-08-20,27140
2016-08-21,27140
2016-08-22,27140
2016-08-23,27140
2016-08-24,26831
2016-08-25,26831
2016-08-26,26831
2016-08-28,26535
2016-08-31,26535
2016-09-01,26447
2016-09-02,26447
2016-09-03,26447
2016-09-04,26152
2016-09-05,26152
2016-09-06,26152
2016-09-07,25702
2016-09-08,25702
2016-09-09,25702
2016-09-10,25702
2016-09-11,25741
2016-09-12,25741
2016-09-13,25741
2016-09-14,25741
2016-09-15,25361
2016-09-16,25361
2016-09-17,25361
2016-09-18,25361
2016-09-19,24861
2016-09-20,24861
2016-09-21,24861
2016-09-22,24861
2016-09-23,24861
2016-09-24,24563
2016-09-25,24563
2016-09-26,24563
2016-09-27,24563
2016-09-28,24178
2016-09-29,24178
2016-09-30,24178
2016-10-01,23490
2016-10-02,23490
2016-10-03,23490
2016-10-04,23490
2016-10-05,23490
2016-10-06,23008
2016-10-07,23008
2016-10-08,23008
2016-10-09,22277
2016-10-10,22277
2016-10-11,22277
2016-10-12,22277
2016-10-13,22197
2016-10-14,22197
2016-10-15,22197
2016-10-16,22197
2016-10-17,21292
2016-10-18,21292
2016-10-19,21292
2016-10-20,21292
2016-10-21,21194
2016-10-22,21194
2016-10-23,21194
2016-10-24,21194
2016-10-25,21194
2016-10-26,21118
2016-10-27,21118
2016-10-28,21118
2016-10-29,21118
2016-10-30,21118
2016-10-31,20869
2016-11-01,20869
2016-11-02,20869
2016-11-03,20869
2016-11-04,20869
2016-11-05,20505
2016-11-06,20505
2016-11-07,20505
2016-11-08,20505
2016-11-09,20505
2016-11-10,20166
2016-11-11,20166
2016-11-12,20166
2016-11-13,20166
2016-11-14,19675
2016-12-08,19860
2016-12-09,19860
2016-12-10,20762
2016-12-11,20762
2016-12-12,20762
2016-12-13,20762
2016-12-14,21769
2016-12-15,21769
2016-12-16,21769
2016-12-17,22744
2016-12-18,22744
2016-12-19,22744
2016-12-20,22744
2016-12-21,23788
2016-12-22,23788
2016-12-23,23788
2016-12-24,24906
2016-12-25,24906
2016-12-26,24906
2016-12-27,24906
2016-12-28,26130
2016-12-29,26130
2016-12-30,26130
2016-12-31,27161
2017-01-01,27161
2017-01-02,27161
2017-01-03,28467
2017-01-04,28467
2017-01-05,28467
2017-01-06,28467
2017-01-07,29557
2017-01-08,29557
2017-01-09,29557
2017-01-10,29793
2017-01-11,29793
2017-01-12,29793
2017-01-13,28346
2017-01-14,28346
2017-01-15,28346
2017-01-16,27021
2017-01-17,27021
2017-01-18,25727
2017-01-19,25727
2017-01-20,25727
2017-01-21,25727
2017-01-22,24557
2017-01-27,22244
2017-01-28,22244
2017-01-29,21268
2017-01-30,21268
2017-01-31,21268
2017-02-01,20488
2017-02-02,20488
2017-02-03,20488
2017-02-04,20036
2017-02-05,20036
2017-02-06,20036
2017-02-07,20036
2017-02-08,19403
2017-02-09,19403
2017-02-10,19403
