date_obj,Red%20headband price
2016-06-28,17496
2016-06-29,17496
2016-06-30,17432
2016-07-01,17432
2016-07-02,17432
2016-07-03,16736
2016-07-04,16736
2016-07-05,16736
2016-07-06,16070
2016-07-07,16070
2016-07-08,16070
2016-07-09,15305
2016-07-10,15305
2016-07-11,15305
2016-07-12,14672
2016-07-13,14672
2016-07-14,14672
2016-07-15,14672
2016-07-16,13938
2016-07-17,13938
2016-07-18,13938
2016-07-23,13261
2016-07-24,12651
2016-07-25,12651
2016-07-26,12651
2016-07-27,12651
2016-07-28,12651
2016-07-29,12018
2016-07-30,12018
2016-07-31,12018
2016-08-01,12018
2016-08-02,12018
2016-08-03,11454
2016-08-04,11454
2016-08-05,11454
2016-08-06,11454
2016-08-07,11454
2016-08-08,11132
2016-08-09,11132
2016-08-10,11132
2016-08-11,11132
2016-08-12,11132
2016-08-13,10700
2016-08-14,10700
2016-08-15,10700
2016-08-16,10700
2016-08-17,10700
2016-08-18,10700
2016-08-19,10237
2016-08-20,10237
2016-08-21,10237
2016-08-22,10237
2016-08-23,10237
2016-08-24,10275
2016-08-25,10275
2016-08-26,10275
2016-08-28,10275
2016-08-31,10014
2016-09-01,10014
2016-09-02,10014
2016-09-03,10014
2016-09-04,10014
2016-09-05,9574
2016-09-06,9574
2016-09-07,9574
2016-09-08,9574
2016-09-09,9574
2016-09-10,9574
2016-09-11,9457
2016-09-12,9457
2016-09-13,9457
2016-09-14,9457
2016-09-15,9457
2016-09-16,9602
2016-09-17,9602
2016-09-18,9602
2016-09-19,9602
2016-09-20,9745
2016-09-21,9745
2016-09-22,9745
2016-09-23,9745
2016-09-24,9992
2016-09-25,9992
2016-09-26,9992
2016-09-27,9992
2016-09-28,10103
2016-09-29,10103
2016-09-30,10103
2016-10-01,10103
2016-10-02,10103
2016-10-03,10103
2016-10-04,10039
2016-10-05,10039
2016-10-06,10039
2016-10-07,10039
2016-10-08,10039
2016-10-09,10039
2016-10-10,9885
2016-10-11,9885
2016-10-12,9885
2016-10-13,9885
2016-10-14,9885
2016-10-15,9716
2016-10-16,9716
