date_obj,Helm%20of%20neitiznot price
2017-04-28,38004
2017-04-29,39050
2017-04-30,40028
2017-05-01,39972
2017-05-02,40086
2017-05-03,39431
2017-05-04,38898
2017-05-05,38597
2017-05-06,38930
2017-05-07,39479
2017-05-08,38683
2017-05-09,38406
2017-05-10,38207
2017-05-11,38152
2017-05-12,38201
2017-05-13,38111
2017-05-14,38225
2017-05-15,36996
2017-05-16,35620
2017-05-17,34470
2017-05-18,34124
2017-05-19,33635
2017-05-20,32918
2017-05-21,32249
2017-05-22,32555
2017-05-23,33160
2017-05-24,33507
2017-05-25,35136
2017-05-26,35956
2017-05-27,35637
2017-05-28,34382
2017-05-29,33533
2017-05-30,33007
2017-05-31,33119
2017-06-01,32013
2017-06-02,32355
2017-06-03,32189
2017-06-04,31565
2017-06-06,32490
2017-06-07,32697
2017-06-08,32588
2017-06-09,32323
2017-06-10,32369
2017-06-11,31414
2017-06-12,31043
2017-06-13,31585
2017-06-14,31220
2017-06-15,30769
2017-06-16,30725
2017-06-17,31125
2017-06-18,30830
2017-06-19,31017
2017-06-20,31600
2017-06-21,31195
2017-06-22,30644
2017-06-23,30335
2017-06-24,30993
2017-06-25,31290
2017-06-26,31495
2017-06-27,31487
2017-06-28,30812
2017-06-29,31061
2017-06-30,31009
2017-07-01,30602
2017-07-02,30479
2017-07-03,30601
2017-07-04,30363
2017-07-05,30464
2017-07-06,30363
2017-07-07,30648
2017-07-08,30718
2017-07-13,31363
2017-07-14,31483
2017-07-15,30996
2017-07-16,31184
2017-07-17,31142
2017-07-18,31239
2017-07-19,31373
2017-07-20,32202
2017-07-21,32737
2017-07-22,32232
2017-07-23,32686
2017-07-24,33571
2017-07-25,34095
2017-07-26,34065
2017-07-27,33909
2017-07-28,33734
2017-07-29,34255
2017-07-30,34463
2017-07-31,34937
2017-08-01,36334
2017-08-02,37720
2017-08-03,38834
2017-08-04,37133
2017-08-05,35998
2017-08-06,35934
2017-08-09,33583
2017-08-10,32825
2017-08-11,32424
2017-08-12,32279
2017-08-13,31926
2017-08-14,32089
2017-08-15,32259
2017-08-16,33306
2017-08-17,33344
2017-08-18,32829
2017-08-19,32799
2017-08-20,33590
2017-08-21,34642
2017-08-22,34157
2017-08-23,34779
2017-08-24,34554
2017-08-25,35206
2017-08-26,36868
2017-08-27,38642
2017-08-28,40413
2017-08-29,39057
2017-08-30,37308
2017-08-31,36285
2017-09-01,36900
2017-09-02,36932
2017-09-03,37150
2017-09-04,36857
2017-09-05,37206
2017-09-06,36546
2017-09-07,36545
2017-09-08,36927
2017-09-09,36438
2017-09-10,35997
2017-09-11,35714
2017-09-12,35534
2017-09-13,35504
2017-09-14,35454
2017-09-15,35027
2017-09-16,35233
2017-09-17,34823
2017-09-18,34401
2017-09-19,34066
2017-09-20,34033
2017-09-21,34078
2017-09-22,34792
2017-09-23,34556
2017-09-24,34167
2017-09-25,34022
2017-09-26,33714
2017-09-27,33452
2017-09-28,32688
2017-09-29,32055
2017-09-30,31635
2017-10-01,31928
2017-10-02,31503
2017-10-03,31378
2017-10-04,31391
2017-10-05,31746
2017-10-06,32763
2017-10-07,32517
2017-10-08,33467
2017-10-09,33724
2017-10-10,33387
2017-10-11,32443
2017-10-12,32046
2017-10-13,31363
2017-10-14,30590
2017-10-15,30510
2017-10-16,30305
2017-10-17,30190
2017-10-18,30370
2017-10-19,30342
2017-10-20,30313
2017-10-21,30112
2017-10-22,29736
2017-10-23,29720
2017-10-24,30023
2017-10-25,30058
2017-10-26,29848
2017-10-27,29969
2017-10-28,29896
2017-10-29,30052
2017-10-30,29943
2017-10-31,30046
2017-11-01,30407
2017-11-02,30633
2017-11-03,30649
2017-11-04,30475
2017-11-05,30291
2017-11-06,30242
2017-11-07,29949
2017-11-08,29712
2017-11-09,29728
2017-11-10,30363
2017-11-11,31055
2017-11-12,30939
2017-11-13,30555
2017-11-14,30149
2017-11-15,30262
2017-11-16,30099
2017-11-17,30077
2017-11-18,29862
2017-11-19,29775
2017-11-20,30293
2017-11-21,30056
2017-11-22,30005
2017-11-23,31245
2017-11-24,32808
2017-11-25,34443
2017-11-26,36166
2017-11-27,37975
2017-11-28,39674
2017-11-29,37906
2017-11-30,36766
2017-12-01,35223
2017-12-02,33461
2017-12-03,32283
2017-12-04,31986
2017-12-05,31703
2017-12-06,31280
2017-12-07,32176
2017-12-08,32066
2017-12-09,31571
2017-12-10,32706
2017-12-11,33214
2017-12-12,33541
2017-12-13,33713
2017-12-14,32956
2017-12-15,31930
2017-12-16,32747
2017-12-17,32240
2017-12-18,31807
2017-12-19,31086
2017-12-20,30685
2017-12-21,30770
2017-12-22,31072
2017-12-23,30698
2017-12-24,30246
2017-12-25,30313
2017-12-26,30297
2017-12-27,30185
2017-12-28,30182
2017-12-29,30297
2017-12-30,30244
2017-12-31,29924
2018-01-01,30232
2018-01-02,30145
2018-01-03,29758
2018-01-04,29761
2018-01-05,30245
2018-01-06,29840
2018-01-07,30097
2018-01-08,30613
2018-01-09,30819
2018-01-10,31137
2018-01-11,30686
2018-01-12,30903
2018-01-13,31096
2018-01-14,30893
2018-01-15,30642
2018-01-16,30516
2018-01-17,30398
2018-01-18,30768
2018-01-19,30900
2018-01-20,30532
2018-01-21,30482
2018-01-22,30642
2018-01-23,30468
2018-01-25,30870
2018-01-26,31306
2018-01-27,32329
2018-01-28,32689
2018-01-29,32984
2018-01-30,32992
2018-01-31,33911
2018-02-01,34596
2018-02-02,34058
2018-02-03,32924
2018-02-04,31678
2018-02-05,31716
2018-02-06,31780
2018-02-07,32162
2018-02-08,33698
2018-02-09,35190
2018-02-10,36793
2018-02-11,38508
2018-02-12,39839
2018-02-13,41808
2018-02-14,43899
2018-02-15,45361
2018-02-16,43369
2018-02-17,41200
2018-02-18,39390
2018-02-19,37952
2018-02-20,37748
2018-02-21,36391
2018-02-22,34815
2018-02-23,33686
2018-02-24,33146
2018-02-25,32681
2018-02-26,31894
2018-02-27,31361
2018-02-28,32156
2018-03-01,32718
2018-03-02,32640
2018-03-03,32923
2018-03-04,33656
2018-03-05,34245
2018-03-06,34808
2018-03-07,35522
2018-03-08,34141
2018-03-09,33016
2018-03-10,32971
2018-03-11,33019
2018-03-12,32556
2018-03-13,32401
2018-03-14,33685
2018-03-15,34589
2018-03-16,35607
2018-03-17,35395
2018-03-18,34719
2018-03-19,34065
2018-03-20,34065
2018-03-21,33907
2018-03-23,33189
2018-03-24,33206
2018-03-25,33318
2018-03-26,33304
2018-03-27,33755
2018-03-28,33950
2018-03-29,33850
2018-03-30,33661
2018-03-31,34233
2018-04-01,34451
2018-04-02,34309
2018-04-03,33639
2018-04-04,33861
2018-04-05,34371
2018-04-06,35364
2018-04-07,36856
2018-04-08,38106
2018-04-09,38482
2018-04-10,38442
2018-04-11,37223
2018-04-12,36863
2018-04-13,36467
2018-04-14,35734
2018-04-15,34286
2018-04-16,33106
2018-04-17,32334
2018-04-18,31735
2018-04-19,32131
2018-04-20,32339
2018-04-21,32608
2018-04-22,32899
2018-04-23,33087
2018-04-24,33573
2018-04-25,33883
2018-04-26,33706
2018-04-27,33671
2018-04-28,33811
2018-04-29,35015
2018-04-30,35717
2018-05-01,36837
2018-05-03,35658
2018-05-04,35876
2018-05-05,36009
2018-05-06,36089
2018-05-07,36050
2018-05-08,35991
2018-05-09,35484
2018-05-10,35873
2018-05-11,35979
2018-05-12,37160
2018-05-13,37363
2018-05-14,37748
2018-05-15,38880
2018-05-16,39499
2018-05-17,38751
2018-05-18,38275
2018-05-19,37902
2018-05-20,37957
2018-05-21,37888
2018-05-22,39282
2018-05-23,39692
2018-05-24,40252
2018-05-25,39420
2018-05-26,38802
2018-05-27,38349
2018-05-28,37749
2018-05-29,37613
2018-05-30,38564
2018-05-31,38626
2018-06-01,39074
2018-06-02,38833
2018-06-03,38041
2018-06-04,38170
2018-06-05,38078
2018-06-06,36869
2018-06-07,35471
2018-06-08,33779
2018-06-09,32391
2018-06-10,31542
2018-06-11,30789
2018-06-12,31335
2018-06-13,31726
2018-06-14,31649
2018-06-15,31474
2018-06-16,31581
2018-06-17,31874
2018-06-18,32636
2018-06-19,32826
2018-06-20,32473
2018-06-21,33353
2018-06-22,33313
2018-06-23,33759
2018-06-24,34225
2018-06-25,33601
2018-06-26,33340
2018-06-27,33245
2018-06-28,33014
2018-06-29,32878
2018-06-30,32684
2018-07-01,33382
2018-07-02,33519
2018-07-03,33502
2018-07-04,34192
2018-07-05,34061
2018-07-06,34404
2018-07-07,35107
2018-07-08,34875
2018-07-09,34738
2018-07-10,34675
2018-07-11,34230
2018-07-12,33807
2018-07-13,34112
2018-07-14,34186
2018-07-15,34529
2018-07-16,34293
2018-07-17,35199
2018-07-18,36472
2018-07-19,37610
2018-07-20,38955
2018-07-21,39809
2018-07-22,39941
2018-07-23,39572
2018-07-24,39052
2018-07-25,38418
2018-07-26,38184
2018-07-27,38870
2018-07-28,39791
2018-07-29,39954
2018-07-30,41530
2018-07-31,42294
2018-08-01,40179
2018-08-02,38783
2018-08-03,40188
2018-08-04,40214
2018-08-05,41105
2018-08-06,43083
2018-08-07,44399
2018-08-08,46227
2018-08-09,48293
2018-08-10,49723
2018-08-11,49448
2018-08-12,49196
2018-08-14,50418
2018-08-16,50749
2018-08-17,49885
2018-08-18,49704
2018-08-19,49472
2018-08-20,49959
2018-08-21,49393
2018-08-22,48913
2018-08-23,48798
2018-08-24,48213
2018-08-25,46663
2018-08-26,44338
2018-08-27,42243
2018-08-28,40389
2018-08-29,39323
2018-08-30,38747
2018-08-31,38717
2018-09-01,38489
2018-09-02,38723
2018-09-03,39658
2018-09-04,40188
2018-09-05,41157
2018-09-06,41071
2018-09-07,40746
2018-09-08,39802
2018-09-09,38466
2018-09-10,38433
2018-09-11,38550
2018-09-12,38610
2018-09-13,38734
2018-09-14,39046
2018-09-15,38798
2018-09-16,37895
2018-09-17,37675
2018-09-18,37570
2018-09-19,37409
2018-09-20,37085
2018-09-21,36974
2018-09-22,37122
2018-09-23,37024
2018-09-24,37057
2018-09-25,37242
2018-09-26,37944
2018-09-27,37591
2018-09-28,38024
2018-09-29,39706
2018-09-30,40191
2018-10-01,38966
2018-10-02,38462
2018-10-03,37972
2018-10-04,37952
2018-10-05,37747
2018-10-06,37280
2018-10-07,36895
2018-10-08,36202
2018-10-09,35964
2018-10-10,34724
2018-10-11,33883
2018-10-12,32929
2018-10-13,32587
2018-10-14,32903
2018-10-15,33439
2018-10-16,33911
2018-10-17,34035
2018-10-18,34729
2018-10-19,34677
2018-10-20,33994
2018-10-21,33678
2018-10-22,33241
2018-10-23,32499
2018-10-24,32263
2018-10-25,32713
2018-10-26,32646
2018-10-27,32443
2018-10-28,32521
2018-10-29,32453
2018-10-30,32715
2018-10-31,32634
2018-11-01,32900
2018-11-03,33754
2018-11-04,32862
2018-11-05,32077
2018-11-06,31852
2018-11-07,31945
2018-11-08,31182
2018-11-09,31028
2018-11-10,31451
2018-11-11,31448
2018-11-12,31479
2018-11-13,31816
2018-11-14,31871
2018-11-15,31457
2018-11-16,31353
2018-11-17,31173
2018-11-18,30569
2018-11-19,30771
2018-11-20,30584
2018-11-21,30887
2018-11-22,30700
2018-11-23,30254
2018-11-24,30345
2018-11-25,30347
2018-11-26,30314
2018-11-27,30298
2018-11-28,30432
2018-11-29,30400
2018-12-01,30617
2018-12-02,30592
2018-12-03,30389
2018-12-04,30447
2018-12-05,30330
2018-12-07,31215
2018-12-09,32189
2018-12-10,32025
2018-12-11,31816
2018-12-12,31851
2018-12-13,31702
2018-12-14,30805
2018-12-15,30630
2018-12-16,30718
2018-12-17,30430
2018-12-18,30462
2018-12-19,30672
2018-12-20,30713
2018-12-21,30762
2018-12-22,30720
2018-12-23,30768
2018-12-24,30790
2018-12-25,30818
2018-12-26,30746
2018-12-27,30834
2018-12-28,30848
2018-12-29,30851
2018-12-30,30860
2018-12-31,31153
2019-01-01,31288
2019-01-02,31553
2019-01-03,31419
2019-01-04,31336
2019-01-05,31119
2019-01-06,30563
2019-01-08,30505
2019-01-10,30363
2019-01-11,30184
2019-01-12,30506
2019-01-13,30397
2019-01-14,29957
2019-01-15,30049
2019-01-16,30163
2019-01-17,30263
2019-01-18,30016
2019-01-19,30311
2019-01-20,30399
2019-01-21,30438
2019-01-22,30533
2019-01-23,30558
2019-01-24,30594
2019-01-25,30562
2019-01-26,30575
2019-01-27,30369
2019-01-28,30376
2019-01-29,30437
2019-01-30,30438
2019-01-31,30287
2019-02-01,30340
2019-02-02,30508
2019-02-03,30523
2019-02-04,30448
2019-02-05,30662
2019-02-06,30649
2019-02-07,30549
2019-02-08,30431
2019-02-09,30525
2019-02-10,30596
2019-02-11,30391
2019-02-12,30452
2019-02-13,30550
2019-02-14,30474
2019-02-15,30661
2019-02-16,30970
2019-02-17,31019
2019-02-18,31291
2019-02-19,31677
2019-02-20,31175
2019-02-21,31124
2019-02-22,30798
2019-02-23,30654
2019-02-24,30484
2019-02-25,30821
2019-02-26,31051
2019-02-27,31278
2019-02-28,31652
2019-03-01,32213
2019-03-02,31764
2019-03-03,31423
2019-03-04,31781
2019-03-05,31624
2019-03-06,31708
2019-03-07,31325
2019-03-08,31950
2019-03-09,32098
2019-03-10,32004
2019-03-11,32093
2019-03-12,32084
2019-03-13,32249
2019-03-14,32425
2019-03-15,32252
2019-03-16,32193
2019-03-17,32941
2019-03-18,32787
2019-03-19,33803
2019-03-20,35287
2019-03-21,36913
2019-03-22,37445
2019-03-23,36505
2019-03-24,34711
2019-03-25,32975
2019-03-26,31448
2019-03-27,30674
