date_obj,Worm%20crunchies price
2016-08-28,486
2016-08-31,486
2016-09-01,486
2016-09-02,486
2016-09-03,486
2016-09-04,486
2016-09-05,486
2016-09-06,486
2016-09-07,486
2016-09-08,486
2016-09-09,486
2016-09-10,486
2016-09-11,486
2016-09-12,486
2016-09-13,486
2016-09-14,486
2016-09-15,486
2016-09-16,486
2016-09-17,486
2016-09-18,486
2016-09-19,486
2016-09-20,486
2016-09-21,486
2016-09-22,486
2016-09-23,486
2016-09-24,486
2016-09-25,486
2016-09-26,486
2016-09-27,486
2016-09-28,486
2016-09-29,486
2016-09-30,486
2016-10-01,486
2016-10-02,486
2016-10-03,486
2016-10-04,486
2016-10-05,486
2016-10-06,486
2016-10-07,486
2016-10-08,486
2016-10-09,486
2016-10-10,486
2016-10-11,486
2016-10-12,495
2016-10-13,495
2016-10-14,495
2016-10-15,495
2016-10-16,495
2016-10-17,495
2016-10-18,495
2016-10-19,495
2016-10-20,495
2016-10-21,495
2016-10-22,495
2016-10-23,495
2016-10-24,495
2016-10-25,495
2016-10-26,495
2016-10-27,495
2016-10-28,495
2016-10-29,495
2016-10-30,495
2016-10-31,495
2016-11-01,495
2016-11-02,495
2016-11-03,495
2016-11-04,495
2016-11-05,495
2016-11-06,495
2016-11-07,495
2016-11-08,495
2016-11-09,495
2016-11-10,495
2016-11-11,495
2016-11-12,495
2016-11-13,495
2016-11-14,495
2016-12-08,509
2016-12-09,509
2016-12-10,509
2016-12-11,509
2016-12-12,509
2016-12-13,509
2016-12-14,509
2016-12-15,509
2016-12-16,509
2016-12-17,509
2016-12-18,509
2016-12-19,509
2016-12-20,509
2016-12-21,509
2016-12-22,509
2016-12-23,509
2016-12-24,509
2016-12-25,509
2016-12-26,509
2016-12-27,509
2016-12-28,509
2016-12-29,509
2016-12-30,509
2016-12-31,509
2017-01-01,509
2017-01-02,509
2017-01-03,509
2017-01-04,509
2017-01-05,509
2017-01-06,509
2017-01-07,509
2017-01-08,509
2017-01-09,509
2017-01-10,509
2017-01-11,509
2017-01-12,509
2017-01-13,509
2017-01-14,531
2017-01-15,531
2017-01-16,531
2017-01-17,531
2017-01-18,531
2017-01-19,531
2017-01-20,531
2017-01-21,531
2017-01-22,531
2017-01-27,531
2017-01-28,531
2017-01-29,531
2017-01-30,531
2017-01-31,531
2017-02-01,531
2017-02-02,531
2017-02-03,531
2017-02-04,531
2017-02-05,531
2017-02-06,531
2017-02-07,531
2017-02-08,531
2017-02-09,531
2017-02-10,531
2017-02-11,531
2017-02-12,531
2017-02-13,531
2017-02-14,531
2017-02-15,531
2017-02-16,531
2017-02-18,531
2017-02-19,531
2017-02-20,531
2017-02-21,531
2017-02-22,531
2017-02-23,531
2017-02-24,531
2017-02-25,531
2017-02-26,531
2017-02-27,538
2017-02-28,538
2017-03-01,538
2017-03-02,538
2017-03-03,538
2017-03-04,538
2017-03-05,538
2017-03-06,538
2017-03-07,538
2017-03-08,538
2017-03-09,538
2017-03-10,538
2017-03-11,538
2017-03-12,538
2017-03-13,538
2017-03-14,538
2017-03-15,538
2017-03-16,538
2017-03-17,538
2017-03-18,538
2017-03-19,538
2017-03-20,538
2017-03-21,538
2017-03-22,538
2017-03-23,538
2017-03-24,538
2017-03-25,538
2017-03-26,538
2017-03-27,538
2017-03-28,538
2017-03-29,538
2017-03-30,538
2017-03-31,538
2017-04-01,538
2017-04-02,538
2017-04-03,541
2017-04-04,541
2017-04-12,541
2017-04-13,541
2017-04-14,541
2017-04-15,541
2017-04-16,541
2017-04-17,541
2017-04-18,541
2017-04-19,541
2017-04-20,541
2017-04-21,541
2017-04-22,541
2017-04-23,541
2017-04-24,541
2017-04-25,541
2017-04-26,541
2017-04-27,541
2017-04-28,541
2017-04-29,541
2017-04-30,541
2017-05-01,541
2017-05-02,541
2017-05-03,541
2017-05-04,541
2017-05-05,541
2017-05-06,541
2017-05-07,541
2017-05-08,541
2017-05-09,559
2017-05-10,559
2017-05-11,559
2017-05-12,559
2017-05-13,559
2017-05-14,559
2017-05-15,559
2017-05-16,559
2017-05-17,559
2017-05-18,559
2017-05-19,559
2017-05-20,559
2017-05-21,559
2017-05-22,559
2017-05-23,559
2017-05-24,559
2017-05-25,559
2017-05-26,559
2017-05-27,559
2017-05-28,559
2017-05-29,559
2017-05-30,559
2017-05-31,559
2017-06-01,559
2017-06-02,559
2017-06-03,559
2017-06-06,577
2017-06-07,577
2017-06-08,577
2017-06-09,577
2017-06-10,577
2017-06-11,577
2017-06-12,577
2017-06-13,577
2017-06-14,577
2017-06-15,577
2017-06-16,577
2017-06-17,577
2017-06-18,577
2017-06-19,577
2017-06-20,577
2017-06-21,577
2017-06-22,577
2017-06-23,577
2017-06-24,577
2017-06-25,577
2017-06-26,577
2017-06-27,577
2017-06-28,577
2017-06-29,577
2017-06-30,577
2017-07-01,577
2017-07-02,596
2017-07-03,596
2017-07-04,596
2017-07-05,596
2017-07-06,596
2017-07-07,596
2017-07-08,596
2017-07-13,596
2017-07-14,596
2017-07-15,596
2017-07-16,596
2017-07-17,596
2017-07-18,596
2017-07-19,596
2017-07-20,596
2017-07-21,596
2017-07-22,596
2017-07-23,596
2017-07-24,596
2017-07-25,596
2017-07-26,596
2017-07-27,596
2017-07-28,596
2017-07-29,596
2017-07-30,596
2017-07-31,603
2017-08-01,603
2017-08-02,603
2017-08-03,603
2017-08-04,603
2017-08-05,603
2017-08-06,603
2017-08-09,603
2017-08-10,603
2017-08-11,603
2017-08-12,603
2017-08-13,603
2017-08-14,603
2017-08-15,603
2017-08-16,603
2017-08-17,603
2017-08-18,603
2017-08-19,603
2017-08-20,603
2017-08-21,603
2017-08-22,603
2017-08-23,603
2017-08-24,603
2017-08-25,603
2017-08-26,603
2017-08-27,603
2017-08-28,615
2017-08-29,615
2017-08-30,615
