date_obj,Amulet%20of%20glory price
2015-09-12,28700
2015-09-13,28618
2015-09-14,28653
2015-09-15,28118
2015-09-16,27990
2015-09-17,27031
2015-09-18,27147
2015-09-19,27746
2015-09-20,28336
2015-09-21,28285
2015-09-22,28146
2015-09-23,28183
2015-09-24,28354
2015-09-25,27813
2015-09-27,28178
2015-09-28,28080
2015-09-29,27866
2015-09-30,28113
2015-10-05,28091
2015-10-06,27850
2015-10-07,27689
2015-10-08,27619
2015-10-09,27852
2015-10-10,27932
2015-10-11,27240
2015-10-12,27372
2015-10-13,26696
2015-10-14,27094
2015-10-15,27086
2015-10-16,27013
2015-10-17,27096
2015-10-18,27548
2015-10-19,27297
2015-10-20,27414
2015-10-22,27058
2015-10-23,26998
2015-10-24,27245
2015-10-25,27976
2015-10-26,28331
2015-10-27,29061
2015-10-28,29752
2015-10-29,29228
2015-10-30,28413
2015-10-31,28459
2015-11-01,29335
2015-11-02,29533
2015-11-03,29135
2015-11-04,29056
2015-11-05,29061
2015-11-06,29390
2015-11-07,29202
2015-11-08,29152
2015-11-09,29052
2015-11-10,28679
2015-11-11,28957
2015-11-12,28920
2015-11-13,28891
2015-11-14,29199
2015-11-15,28778
2015-11-16,28986
2015-11-17,28625
2015-11-18,28494
2015-11-19,28679
2015-11-20,28915
2015-11-21,29087
2015-11-22,28974
2015-11-23,29363
2015-11-24,29610
2015-11-25,29328
2015-11-26,29427
2015-11-27,29550
2015-11-28,29223
2015-11-29,29343
2015-11-30,29294
2015-12-01,29500
2015-12-02,29336
2015-12-03,29423
2015-12-04,29384
2015-12-05,29500
2015-12-06,29115
2015-12-07,29570
2015-12-08,29931
2015-12-09,29668
2015-12-10,30007
2015-12-11,29598
2015-12-12,29562
2015-12-13,29629
2015-12-14,29594
2015-12-15,29749
2015-12-16,30111
2015-12-17,30032
2015-12-18,29986
2015-12-19,29691
2015-12-20,29949
2015-12-21,29743
2015-12-22,29830
2015-12-23,30047
2015-12-24,29640
2015-12-25,29820
2015-12-26,30241
2015-12-27,30397
2015-12-28,30181
2015-12-29,30195
2015-12-30,30231
2015-12-31,30156
2016-01-01,30446
2016-01-02,30892
2016-01-03,31279
2016-01-04,32140
2016-01-05,32395
2016-01-06,32215
2016-01-07,32841
2016-01-08,33923
2016-01-09,34012
2016-01-10,33624
2016-01-11,33182
2016-01-12,32715
2016-01-13,32189
2016-01-14,32358
2016-01-15,32406
2016-01-16,32768
2016-01-17,33031
2016-01-18,32412
2016-01-19,31938
2016-01-20,31813
2016-01-21,31862
2016-01-22,31761
2016-01-23,31976
2016-01-24,31805
2016-01-25,31425
2016-01-26,31148
2016-01-27,30894
2016-01-28,31032
2016-01-29,31404
2016-01-30,31411
2016-01-31,31033
2016-02-01,30878
2016-02-02,30926
2016-02-03,30890
2016-02-04,30730
2016-02-05,30770
2016-02-06,30707
2016-02-07,30607
2016-02-08,30758
2016-02-09,30958
2016-02-10,30798
2016-02-11,30392
2016-02-12,30511
2016-02-13,30233
2016-02-14,30217
2016-02-15,30028
2016-02-16,30039
2016-02-17,29950
2016-02-18,30049
2016-02-19,30017
2016-02-20,30030
2016-02-21,30041
2016-02-22,29940
2016-02-23,29909
2016-02-24,30137
2016-02-25,29925
2016-02-26,29573
2016-02-27,29966
2016-02-28,30857
2016-02-29,31681
2016-03-01,31345
2016-03-02,31255
2016-03-03,31173
2016-03-04,31057
2016-03-05,31127
2016-03-06,30824
2016-03-07,30007
2016-03-08,29749
2016-03-09,29695
2016-03-10,29993
2016-03-11,29841
2016-03-12,29902
2016-03-13,29936
2016-03-14,30161
2016-03-15,29983
2016-03-16,29998
2016-03-17,30052
2016-03-18,30221
2016-03-19,31080
2016-03-20,32331
2016-03-21,31845
2016-03-22,31904
2016-03-23,32412
2016-03-24,33202
2016-03-25,32685
2016-03-26,32123
2016-03-27,32027
2016-03-28,31917
2016-03-29,31888
2016-03-30,32180
2016-03-31,32022
2016-04-01,32154
2016-04-02,31800
2016-04-03,32204
2016-04-04,32282
2016-04-05,32178
2016-04-06,32165
2016-04-07,32476
2016-04-08,32454
2016-04-09,32644
2016-04-10,33037
2016-04-11,33565
2016-04-12,33771
2016-04-13,33810
2016-04-14,33559
2016-04-15,33273
2016-04-16,33116
2016-04-17,33347
2016-04-18,33388
2016-04-19,33679
2016-04-20,33862
2016-04-21,34004
2016-04-22,33813
2016-04-23,34462
2016-04-24,34431
2016-04-25,34515
2016-04-26,34478
2016-04-27,34560
2016-04-28,34605
2016-04-29,34331
2016-04-30,34426
2016-05-01,34358
2016-05-02,34149
2016-05-03,33501
2016-05-04,32821
2016-05-05,32776
2016-05-06,32214
2016-05-07,31686
2016-05-08,31168
2016-05-09,30503
2016-05-10,30260
2016-05-11,29633
2016-05-12,30056
2016-05-13,30340
2016-05-14,30693
2016-05-15,30554
2016-05-16,30581
2016-05-17,30621
2016-05-18,30403
2016-05-19,30266
2016-05-22,29921
2016-05-23,30016
2016-05-24,30267
2016-05-25,30191
2016-05-26,29915
2016-05-27,29830
2016-05-28,29374
2016-05-29,29717
2016-05-30,29899
2016-05-31,29768
2016-06-01,29586
2016-06-02,29459
2016-06-03,29208
2016-06-04,29103
2016-06-05,28895
2016-06-06,28970
2016-06-07,29024
2016-06-08,29052
2016-06-09,28971
2016-06-10,28826
2016-06-11,28837
2016-06-12,28989
2016-06-13,29033
2016-06-14,29034
2016-06-15,29157
2016-06-16,29060
2016-06-17,30099
2016-06-18,31560
2016-06-19,32176
2016-06-20,32771
2016-06-21,32740
2016-06-22,33076
2016-06-23,32603
2016-06-24,32111
2016-06-25,31701
2016-06-26,31231
2016-06-27,30960
2016-06-28,30806
2016-06-29,30537
2016-06-30,31555
2016-07-01,31514
2016-07-02,31954
2016-07-03,32592
2016-07-04,32216
2016-07-05,31038
2016-07-06,29730
2016-07-07,29245
2016-07-08,29234
2016-07-09,29048
2016-07-10,28934
2016-07-11,29136
2016-07-12,29093
2016-07-13,29082
2016-07-14,29256
2016-07-15,29496
2016-07-16,29431
2016-07-17,29292
2016-07-18,29674
2016-07-23,29816
2016-07-24,29814
2016-07-25,29935
2016-07-26,30045
2016-07-27,30145
2016-07-28,30244
2016-07-29,30307
2016-07-30,30509
2016-07-31,30524
2016-08-01,30627
2016-08-02,30607
2016-08-03,30548
2016-08-04,30380
2016-08-05,30203
2016-08-06,30082
2016-08-07,30079
2016-08-08,29707
2016-08-09,29637
2016-08-10,29549
2016-08-11,29084
2016-08-12,29161
2016-08-13,29062
2016-08-14,29003
2016-08-15,28860
2016-08-16,28720
2016-08-17,28635
2016-08-18,28970
2016-08-19,29195
2016-08-20,28991
2016-08-21,28478
2016-08-22,28241
2016-08-23,28097
2016-08-24,27375
2016-08-25,26681
2016-08-26,26319
2016-08-28,26854
2016-08-31,26897
2016-09-01,27083
2016-09-02,27216
2016-09-03,27206
2016-09-04,27104
2016-09-05,26836
2016-09-06,26874
2016-09-07,26906
2016-09-08,26576
2016-09-09,26069
2016-09-10,26091
2016-09-11,25180
2016-09-12,24985
2016-09-13,24932
2016-09-14,25031
2016-09-15,25523
2016-09-16,25477
2016-09-17,25258
2016-09-18,25435
2016-09-19,25484
2016-09-20,25402
2016-09-21,25169
2016-09-22,25047
2016-09-23,24926
2016-09-24,25375
2016-09-25,24626
2016-09-26,24343
2016-09-27,23842
2016-09-28,23454
2016-09-29,23439
2016-09-30,23563
2016-10-01,23397
2016-10-02,23145
2016-10-03,22672
2016-10-04,23101
2016-10-05,23449
2016-10-06,23157
2016-10-07,23151
2016-10-08,23025
2016-10-09,22963
2016-10-10,22719
2016-10-11,22350
2016-10-12,22247
2016-10-13,21960
2016-10-14,21747
2016-10-15,21840
2016-10-16,21513
2016-10-17,21294
2016-10-18,21372
2016-10-19,21312
2016-10-20,21211
2016-10-21,21312
2016-10-22,20853
2016-10-23,21372
2016-10-24,21487
2016-10-25,21882
2016-10-26,21868
2016-10-27,21787
2016-10-28,21803
2016-10-29,21838
2016-10-30,21944
2016-10-31,21759
2016-11-01,21535
2016-11-02,21641
2016-11-03,21479
2016-11-04,21122
2016-11-05,21185
2016-11-06,21428
2016-11-07,21557
2016-11-08,21386
2016-11-09,21532
2016-11-10,21516
2016-11-11,21650
2016-11-12,21406
2016-11-13,21150
2016-11-14,20968
2016-11-15,20814
2016-12-07,21102
2016-12-08,21198
2016-12-09,21067
2016-12-10,20819
2016-12-11,20977
2016-12-12,20912
2016-12-13,20737
2016-12-14,20562
2016-12-15,20603
2016-12-16,20498
2016-12-17,20536
2016-12-18,20558
2016-12-19,20582
2016-12-20,20667
2016-12-21,20633
2016-12-22,20567
2016-12-23,20439
2016-12-24,19984
2016-12-25,20184
2016-12-26,20116
2016-12-27,20110
2016-12-28,20066
2016-12-29,20157
2016-12-30,20282
2016-12-31,20255
2017-01-01,20161
2017-01-02,20072
2017-01-03,19882
2017-01-04,19733
2017-01-05,19202
2017-01-06,18747
2017-01-07,18574
2017-01-08,18365
2017-01-09,18338
2017-01-10,18500
2017-01-11,18445
2017-01-12,18203
2017-01-13,18163
2017-01-14,18260
2017-01-15,18472
2017-01-16,18453
2017-01-17,18562
2017-01-18,18543
2017-01-19,18403
2017-01-20,18235
2017-01-21,18069
2017-01-22,18151
2017-01-23,18223
2017-01-27,18154
2017-01-28,18123
2017-01-29,18046
2017-01-30,18083
2017-01-31,18229
2017-02-01,18187
2017-02-02,18156
2017-02-03,18144
2017-02-04,18102
2017-02-05,18152
2017-02-06,17954
2017-02-07,17934
2017-02-08,17783
2017-02-09,17644
2017-02-10,17731
2017-02-11,17632
2017-02-12,17531
2017-02-13,17534
2017-02-14,17476
2017-02-15,17585
2017-02-16,17536
2017-02-17,17370
2017-02-18,17137
2017-02-19,16899
2017-02-20,16531
2017-02-21,16521
2017-02-22,16667
2017-02-23,16462
2017-02-24,16079
2017-02-25,16117
2017-02-26,16473
2017-02-27,16772
2017-02-28,17022
2017-03-01,17527
2017-03-02,17705
2017-03-03,18127
2017-03-04,18406
2017-03-05,18217
2017-03-06,17771
2017-03-07,17497
2017-03-08,17514
2017-03-09,17629
2017-03-10,17573
2017-03-11,17477
2017-03-12,17111
2017-03-13,16922
2017-03-14,16849
2017-03-15,17157
2017-03-16,17139
2017-03-17,17118
2017-03-18,16822
2017-03-19,16795
2017-03-20,16842
2017-03-21,16767
2017-03-22,16755
2017-03-23,16551
2017-03-24,16662
2017-03-25,16635
2017-03-26,16619
2017-03-27,16691
2017-03-28,16760
2017-03-29,16738
2017-03-30,16783
2017-03-31,16829
2017-04-01,16735
2017-04-02,16672
2017-04-03,16656
2017-04-04,16711
2017-04-05,16704
2017-04-12,16968
2017-04-13,16959
2017-04-14,17198
2017-04-15,17434
2017-04-16,18022
2017-04-17,18182
2017-04-18,18158
2017-04-19,18242
2017-04-20,18028
2017-04-21,17862
2017-04-22,17367
2017-04-23,17519
2017-04-24,17415
2017-04-25,17354
2017-04-26,17296
2017-04-27,17274
2017-04-28,17285
2017-04-29,17347
2017-04-30,17408
2017-05-01,17309
2017-05-02,17369
2017-05-03,17530
2017-05-04,17650
2017-05-05,17905
2017-05-06,18109
2017-05-07,17972
2017-05-08,17553
2017-05-09,17426
2017-05-10,17454
2017-05-11,17482
2017-05-12,17654
2017-05-13,17840
2017-05-14,17592
2017-05-15,17774
2017-05-16,17453
2017-05-17,17520
2017-05-18,17583
2017-05-19,17665
2017-05-20,17788
2017-05-21,17810
2017-05-22,17841
2017-05-23,17937
2017-05-24,17661
2017-05-25,17341
2017-05-26,16779
2017-05-27,16603
2017-05-28,16245
2017-05-29,16470
2017-05-30,16533
2017-05-31,16155
2017-06-01,16151
2017-06-02,16078
2017-06-03,16162
2017-06-04,16316
2017-06-05,16147
2017-06-06,16250
2017-06-07,16353
2017-06-08,16446
2017-06-09,16453
2017-06-10,16312
2017-06-11,16076
2017-06-12,16021
2017-06-13,15985
2017-06-14,15497
2017-06-15,15621
2017-06-16,15660
2017-06-17,15437
2017-06-18,15451
2017-06-19,15489
2017-06-20,15477
2017-06-21,15611
2017-06-22,15726
2017-06-23,15958
2017-06-24,16036
2017-06-25,15985
2017-06-26,15877
2017-06-27,16170
2017-06-28,16211
2017-06-29,16701
2017-06-30,17535
2017-07-01,17517
2017-07-02,17640
2017-07-03,17946
2017-07-04,17920
2017-07-05,17734
2017-07-06,17898
2017-07-07,18314
2017-07-08,18919
2017-07-09,18851
2017-07-13,18291
2017-07-14,18187
2017-07-15,18085
2017-07-16,18014
2017-07-17,17981
2017-07-18,18118
2017-07-19,18223
2017-07-20,18205
2017-07-21,18254
2017-07-22,18855
2017-07-23,19155
2017-07-24,18516
2017-07-25,18400
2017-07-26,18530
2017-07-27,18552
2017-07-28,18549
2017-07-29,18549
2017-07-30,18506
2017-07-31,18374
2017-08-01,18399
2017-08-02,18327
2017-08-03,18333
2017-08-04,18283
2017-08-05,18221
2017-08-06,18202
2017-08-07,18126
2017-08-08,18134
2017-08-09,18132
2017-08-10,17981
2017-08-11,17920
2017-08-12,17890
2017-08-13,17844
2017-08-14,17462
2017-08-15,17453
2017-08-16,17592
2017-08-17,17753
2017-08-18,17940
2017-08-19,17980
2017-08-20,18001
2017-08-21,18277
2017-08-22,18573
2017-08-23,18594
2017-08-24,18748
2017-08-25,18776
2017-08-26,18679
2017-08-27,18736
2017-08-28,18505
2017-08-29,18617
2017-08-30,18599
2017-08-31,18675
2017-09-01,18684
2017-09-02,18820
2017-09-03,19043
2017-09-04,19051
2017-09-05,19183
2017-09-06,19071
2017-09-07,19010
2017-09-08,19029
2017-09-09,19122
2017-09-10,19129
2017-09-11,19230
2017-09-12,19051
2017-09-13,18843
2017-09-14,18723
2017-09-15,18480
2017-09-16,18303
2017-09-17,18408
2017-09-18,18484
2017-09-19,18595
2017-09-20,18591
2017-09-21,18488
2017-09-22,18643
2017-09-23,18769
2017-09-24,18696
2017-09-25,19155
2017-09-26,19376
2017-09-27,19657
2017-09-28,20032
2017-09-29,20244
2017-09-30,20494
2017-10-01,20683
2017-10-02,21149
2017-10-03,20912
2017-10-04,20992
2017-10-05,21246
2017-10-06,21306
2017-10-07,21301
2017-10-08,21536
2017-10-09,21583
2017-10-10,21588
2017-10-11,21428
2017-10-12,21010
2017-10-13,21168
2017-10-14,21138
2017-10-15,20948
2017-10-16,20636
2017-10-17,20647
2017-10-18,20541
2017-10-19,20575
2017-10-20,20649
2017-10-21,20686
2017-10-22,20606
2017-10-23,20543
2017-10-24,20797
2017-10-25,20698
2017-10-26,20463
2017-10-27,20412
2017-10-28,20350
2017-10-29,20431
2017-10-30,20433
2017-10-31,20418
2017-11-01,20322
2017-11-02,20263
2017-11-03,20297
2017-11-04,20238
2017-11-05,20226
2017-11-06,20247
2017-11-07,20204
2017-11-08,20186
2017-11-09,20351
2017-11-10,20499
2017-11-11,20414
2017-11-12,20379
2017-11-13,20442
2017-11-14,20214
2017-11-15,20222
2017-11-16,20132
2017-11-17,19872
2017-11-18,19623
2017-11-19,19593
2017-11-20,19091
2017-11-21,18782
2017-11-22,18710
2017-11-23,18789
2017-11-24,18785
2017-11-25,18881
2017-11-26,18957
2017-11-27,18957
2017-11-28,19134
2017-11-29,19519
2017-11-30,19862
2017-12-01,19885
2017-12-02,19699
2017-12-03,19773
2017-12-04,19970
2017-12-05,19901
2017-12-06,19786
2017-12-07,19821
2017-12-08,19810
2017-12-09,19580
2017-12-10,19545
2017-12-11,19613
2017-12-12,19560
2017-12-13,19599
2017-12-14,19563
2017-12-15,19600
2017-12-16,19566
2017-12-17,19587
2017-12-18,19572
2017-12-19,19476
2017-12-20,19331
2017-12-21,19290
2017-12-22,19413
2017-12-23,19254
2017-12-24,19255
2017-12-25,19358
2017-12-26,19198
2017-12-27,19166
2017-12-28,19168
2017-12-29,19080
2017-12-30,19059
2017-12-31,19100
2018-01-01,18909
2018-01-02,18698
2018-01-03,18727
2018-01-04,18671
2018-01-05,18657
2018-01-06,18679
2018-01-07,18690
2018-01-08,18510
2018-01-09,18453
2018-01-10,18371
2018-01-11,18119
2018-01-12,17971
2018-01-13,17657
2018-01-14,17528
2018-01-15,17545
2018-01-16,17442
2018-01-17,17231
2018-01-18,17108
2018-01-19,17019
2018-01-20,17009
2018-01-21,17027
2018-01-22,16841
2018-01-23,16414
2018-01-24,16311
2018-01-25,16365
2018-01-26,16520
2018-01-27,16562
2018-01-28,16345
2018-01-29,16372
2018-01-30,16301
2018-01-31,16173
2018-02-01,16181
2018-02-02,15984
2018-02-03,15784
2018-02-04,15642
2018-02-05,15574
2018-02-06,15562
2018-02-07,15634
2018-02-08,15203
2018-02-09,15482
2018-02-10,15534
2018-02-11,15442
2018-02-12,15534
2018-02-13,15542
2018-02-14,15401
2018-02-15,15357
2018-02-16,15347
2018-02-17,15184
2018-02-18,15023
2018-02-19,15064
2018-02-20,14712
2018-02-21,14444
2018-02-22,14087
2018-02-23,13827
2018-02-24,14004
2018-02-25,14009
2018-02-26,14012
2018-02-27,14029
2018-02-28,13940
2018-03-01,14034
2018-03-02,14039
2018-03-03,14188
2018-03-04,14256
2018-03-05,14305
2018-03-06,14190
2018-03-07,14222
2018-03-08,14183
2018-03-09,14151
2018-03-10,14092
2018-03-11,14057
2018-03-12,14066
2018-03-13,14082
2018-03-14,14024
2018-03-15,13970
2018-03-16,13893
2018-03-17,13755
2018-03-18,13408
2018-03-19,13413
2018-03-20,13474
2018-03-21,13579
2018-03-22,13519
2018-03-23,13419
2018-03-24,13161
2018-03-25,13020
2018-03-26,12888
2018-03-27,12647
2018-03-28,12407
2018-03-29,12031
2018-03-30,11659
2018-03-31,11551
2018-04-01,11897
2018-04-02,11784
2018-04-03,11800
2018-04-04,12112
2018-04-05,12160
2018-04-06,12049
2018-04-07,11990
2018-04-08,11880
2018-04-09,12130
2018-04-10,12182
2018-04-11,12153
2018-04-12,12189
2018-04-13,12285
2018-04-14,12169
2018-04-15,12079
2018-04-16,12101
2018-04-17,12100
2018-04-18,11951
2018-04-19,12010
2018-04-20,11921
2018-04-21,11790
2018-04-22,11617
2018-04-23,11491
2018-04-24,11322
2018-04-25,11353
2018-04-26,11447
2018-04-27,11694
2018-04-28,11507
2018-04-29,11440
2018-04-30,11472
2018-05-01,11549
2018-05-02,11615
2018-05-03,11717
2018-05-04,11525
2018-05-05,11793
2018-05-06,12187
2018-05-07,11934
2018-05-08,11722
2018-05-09,12085
2018-05-10,12260
2018-05-11,12529
2018-05-12,12672
2018-05-13,12662
2018-05-14,12701
2018-05-15,12804
2018-05-16,13028
2018-05-17,12974
2018-05-18,13021
2018-05-19,13420
2018-05-20,13222
2018-05-21,13139
2018-05-22,13014
2018-05-23,13038
2018-05-24,12995
2018-05-25,12843
2018-05-26,12695
2018-05-27,12640
2018-05-28,12615
2018-05-29,12455
2018-05-30,12297
2018-05-31,12301
2018-06-01,12112
2018-06-02,11877
2018-06-03,11958
2018-06-04,12010
2018-06-05,11925
2018-06-06,11913
2018-06-07,11927
2018-06-08,11839
2018-06-09,11764
2018-06-10,11793
2018-06-11,11594
2018-06-12,11712
2018-06-13,11910
2018-06-14,11864
2018-06-15,11867
2018-06-16,12024
2018-06-17,11994
2018-06-18,11881
2018-06-19,11807
2018-06-20,11808
2018-06-21,11838
2018-06-22,11987
2018-06-23,12253
2018-06-24,12120
2018-06-25,12130
2018-06-26,12598
2018-06-27,12588
2018-06-28,12457
2018-06-29,12197
2018-06-30,11942
2018-07-01,12256
2018-07-02,12292
2018-07-03,12334
2018-07-04,12219
2018-07-05,12347
2018-07-06,12568
2018-07-07,12700
2018-07-08,12623
2018-07-09,12477
2018-07-10,12459
2018-07-11,12624
2018-07-12,12585
2018-07-13,12410
2018-07-14,12282
2018-07-15,12354
2018-07-16,12286
2018-07-17,12195
2018-07-18,12162
2018-07-19,12229
2018-07-20,12234
2018-07-21,12330
2018-07-22,12338
2018-07-23,12338
2018-07-24,12310
2018-07-25,12166
2018-07-26,12198
2018-07-27,12234
2018-07-28,12319
2018-07-29,12238
2018-07-30,12107
2018-07-31,12102
2018-08-01,12000
2018-08-02,12087
2018-08-03,12123
2018-08-04,12055
2018-08-05,12044
2018-08-06,12075
2018-08-07,12178
2018-08-08,12239
2018-08-09,12360
2018-08-10,12316
2018-08-11,12436
2018-08-12,12504
2018-08-14,12814
2018-08-16,12585
2018-08-17,12297
2018-08-18,12147
2018-08-19,12056
2018-08-20,12091
2018-08-21,12047
2018-08-22,12154
2018-08-23,12191
2018-08-24,12228
2018-08-25,12267
2018-08-26,12212
2018-08-27,12122
2018-08-28,12085
2018-08-29,12109
2018-08-30,12168
2018-08-31,12221
2018-09-01,12106
2018-09-02,12028
2018-09-03,12090
2018-09-04,12157
2018-09-05,12192
2018-09-06,12245
2018-09-07,12706
2018-09-08,12615
2018-09-09,12619
2018-09-10,12849
2018-09-11,13273
2018-09-12,13216
2018-09-13,12890
2018-09-14,12894
2018-09-15,12809
2018-09-16,12782
2018-09-17,12658
2018-09-18,12739
2018-09-19,12871
2018-09-20,12849
2018-09-21,12430
2018-09-22,12389
2018-09-23,12300
2018-09-24,12252
2018-09-25,12465
2018-09-26,12444
2018-09-27,12704
2018-09-28,12654
2018-09-29,12614
2018-09-30,12595
2018-10-01,12659
2018-10-02,12557
2018-10-03,12468
2018-10-04,12403
2018-10-05,12406
2018-10-06,12379
2018-10-07,12369
2018-10-08,12268
2018-10-09,12192
2018-10-10,12272
2018-10-11,12450
2018-10-12,12538
2018-10-13,12463
2018-10-14,12228
2018-10-15,12285
2018-10-16,12398
2018-10-17,12440
2018-10-18,12430
2018-10-19,12378
2018-10-20,12379
2018-10-21,12369
2018-10-22,12310
2018-10-23,12472
2018-10-24,12425
2018-10-25,12428
2018-10-26,12366
2018-10-27,12301
2018-10-28,12328
2018-10-29,12300
2018-10-30,12365
2018-10-31,12361
2018-11-01,12356
2018-11-03,12254
2018-11-04,12243
2018-11-05,12274
2018-11-06,12289
2018-11-07,12313
2018-11-08,12248
2018-11-09,12133
2018-11-10,12116
2018-11-11,12061
2018-11-12,12268
2018-11-13,12451
2018-11-14,12675
2018-11-15,12727
2018-11-16,12904
2018-11-17,12985
2018-11-18,13121
2018-11-19,13172
2018-11-20,13324
2018-11-21,13417
2018-11-22,13282
2018-11-23,13214
2018-11-24,13201
2018-11-25,13068
2018-11-26,13127
2018-11-27,13195
2018-11-28,13075
2018-11-29,13034
2018-12-01,12676
2018-12-02,12824
2018-12-03,12799
2018-12-04,13015
2018-12-05,12919
2018-12-07,12776
2018-12-09,12684
2018-12-10,12712
2018-12-11,12573
2018-12-12,12567
2018-12-13,12503
2018-12-14,12453
2018-12-15,12403
2018-12-16,12410
2018-12-17,12398
2018-12-18,12350
2018-12-19,12366
2018-12-20,12339
2018-12-21,12243
2018-12-22,12172
2018-12-23,12188
2018-12-24,12261
2018-12-25,12261
2018-12-26,12166
2018-12-27,12243
2018-12-28,12205
2018-12-29,12214
2018-12-30,12251
2018-12-31,12259
2019-01-01,12242
2019-01-02,12157
2019-01-03,12091
2019-01-04,12208
2019-01-05,12227
2019-01-06,12188
2019-01-08,12266
2019-01-10,12351
2019-01-11,12273
2019-01-12,12172
2019-01-13,12268
2019-01-14,12305
2019-01-15,12395
2019-01-16,12417
2019-01-17,12319
2019-01-18,12236
2019-01-19,12270
2019-01-20,12304
2019-01-21,12311
2019-01-22,12385
2019-01-23,12457
2019-01-24,12500
2019-01-25,12672
2019-01-26,12734
2019-01-27,12720
2019-01-28,12755
2019-01-29,12723
2019-01-30,12697
2019-01-31,12735
2019-02-01,12633
2019-02-02,12634
2019-02-03,12582
2019-02-04,12504
2019-02-05,12438
2019-02-06,12405
2019-02-07,12348
2019-02-08,12180
2019-02-09,12166
2019-02-10,12189
2019-02-11,12262
2019-02-12,12337
2019-02-13,12309
2019-02-14,12258
2019-02-15,12317
2019-02-16,12327
2019-02-17,12285
2019-02-18,12310
2019-02-19,12298
2019-02-20,12262
2019-02-21,12223
2019-02-22,12164
2019-02-23,12113
2019-02-24,12082
2019-02-25,12068
2019-02-26,12147
2019-02-27,12149
2019-02-28,12108
2019-03-01,12100
2019-03-02,12103
2019-03-03,12106
2019-03-04,12135
2019-03-05,12167
2019-03-06,12325
2019-03-07,12367
2019-03-08,12320
2019-03-09,12349
2019-03-10,12258
2019-03-11,12217
2019-03-12,12293
2019-03-13,12292
2019-03-14,12276
2019-03-15,12230
2019-03-16,12202
