date_obj,Black%20spiky%20vambraces price
2016-09-23,3857
2016-09-24,3857
2016-09-25,3808
2016-09-26,3808
2016-09-27,3670
2016-09-28,3670
2016-09-29,3517
2016-09-30,3454
2016-10-01,3463
2016-10-02,3463
2016-10-03,3547
2016-10-04,3547
2016-10-05,3556
2016-10-06,3556
2016-10-07,3495
2016-10-08,3495
2016-10-09,3495
2016-10-10,3550
2016-10-11,3550
2016-10-12,3586
2016-10-13,3586
2016-10-14,3560
2016-10-15,3560
2016-10-16,3621
2016-10-17,3669
2016-10-18,3669
2016-10-19,3696
2016-10-20,3696
2016-10-21,3680
2016-10-22,3680
2016-10-23,3650
2016-10-24,3572
2016-10-25,3572
2016-10-26,3493
2016-10-27,3493
2016-10-28,3484
2016-10-29,3612
2016-10-30,3612
2016-10-31,3770
2016-11-01,3770
2016-11-02,3959
2016-11-03,3959
2016-11-04,4034
2016-11-05,4034
2016-11-06,4005
2016-11-07,4005
2016-11-08,4044
2016-11-09,4044
2016-11-10,4149
2016-11-11,4149
2016-11-12,4086
2016-11-13,4086
2016-11-14,4105
2016-11-15,4105
2016-12-07,4865
2016-12-08,4935
2016-12-09,4935
2016-12-10,5087
2016-12-11,5087
2016-12-12,5177
2016-12-13,5177
2016-12-14,5206
2016-12-15,5206
2016-12-16,5206
2016-12-17,5189
2016-12-18,5189
2016-12-19,5185
2016-12-20,5197
2016-12-21,5197
2016-12-22,5258
2016-12-23,5201
2016-12-24,5201
2016-12-25,5314
2016-12-26,5314
2016-12-27,5226
2016-12-28,5054
2016-12-29,5008
2016-12-30,5008
2016-12-31,5073
2017-01-01,5073
2017-01-02,4964
2017-01-03,4964
2017-01-04,4723
2017-01-05,4723
2017-01-06,4515
2017-01-07,4474
2017-01-08,4453
2017-01-09,4289
2017-01-10,4289
2017-01-11,4252
2017-01-12,4241
2017-01-13,4241
2017-01-14,4274
2017-01-15,4191
2017-01-16,4258
2017-01-17,4213
2017-01-18,4200
2017-01-19,4200
2017-01-20,4170
2017-01-21,4171
2017-01-22,4171
2017-01-23,4206
2017-01-27,4105
2017-01-28,4084
2017-01-29,4141
2017-01-30,4141
2017-01-31,4194
2017-02-01,4300
2017-02-02,4300
2017-02-03,4382
2017-02-04,4415
2017-02-05,4415
2017-02-06,4425
2017-02-07,4425
2017-02-08,4503
2017-02-09,4503
2017-02-10,4492
2017-02-11,4405
2017-02-12,4405
2017-02-13,4428
2017-02-14,4414
2017-02-15,4414
2017-02-16,4488
2017-02-18,4548
2017-02-19,4590
2017-02-20,4590
2017-02-21,4593
2017-02-22,4593
2017-02-23,4626
2017-02-24,4626
2017-02-25,4638
2017-02-26,4638
2017-02-27,4636
2017-02-28,4690
2017-03-01,4690
2017-03-02,4760
2017-03-03,4760
2017-03-04,4762
2017-03-05,4762
2017-03-06,4837
2017-03-07,4902
2017-03-08,4902
2017-03-09,4998
2017-03-10,4975
2017-03-11,5041
2017-03-12,5041
2017-03-13,5131
2017-03-14,5052
2017-03-15,4805
2017-03-16,4805
2017-03-17,4574
2017-03-18,4574
2017-03-19,4656
2017-03-20,4720
2017-03-21,4700
2017-03-22,4700
2017-03-23,4710
2017-03-24,4716
2017-03-25,4716
2017-03-26,4664
2017-03-27,4659
2017-03-28,4659
2017-03-29,4426
2017-03-30,4326
2017-03-31,4340
2017-04-01,4340
2017-04-02,4406
2017-04-03,4405
2017-04-04,4405
2017-04-12,4190
2017-04-13,4339
2017-04-14,4339
2017-04-15,4353
2017-04-16,4299
2017-04-17,4241
2017-04-18,4241
2017-04-19,4157
2017-04-20,4157
2017-04-21,4083
2017-04-22,4083
2017-04-23,4195
2017-04-24,4238
2017-04-25,4227
2017-04-26,4227
2017-04-27,4258
2017-04-28,4254
2017-04-29,4232
2017-04-30,4232
2017-05-01,4204
2017-05-02,4102
2017-05-03,4102
2017-05-04,4172
2017-05-05,4172
2017-05-06,4194
2017-05-07,4194
2017-05-08,4196
2017-05-09,4184
2017-05-10,4184
2017-05-11,4244
2017-05-12,4261
2017-05-13,4299
2017-05-14,4299
2017-05-15,4496
2017-05-16,4393
2017-05-17,4393
2017-05-18,4232
2017-05-19,4232
2017-05-20,4228
2017-05-21,4228
2017-05-22,4340
2017-05-23,4340
2017-05-24,4362
2017-05-25,4362
2017-05-26,4375
2017-05-27,4338
2017-05-28,4338
2017-05-29,4183
2017-05-30,4183
2017-05-31,4077
2017-06-01,4097
2017-06-02,4072
2017-06-03,4072
2017-06-04,4132
2017-06-05,4132
2017-06-06,4115
2017-06-07,4223
2017-06-08,4223
2017-06-09,4130
2017-06-10,4133
2017-06-11,3988
2017-06-12,3988
2017-06-13,4047
2017-06-14,4046
2017-06-15,4046
2017-06-16,4005
2017-06-17,4005
2017-06-18,4037
2017-06-19,4037
2017-06-20,4070
2017-06-21,4158
2017-06-22,4158
2017-06-23,4207
2017-06-24,4272
2017-06-25,4272
2017-06-26,4239
2017-06-27,4383
2017-06-28,4383
2017-06-29,4560
2017-06-30,4560
2017-07-01,4517
2017-07-02,4517
2017-07-03,4506
2017-07-04,4398
2017-07-05,4398
2017-07-06,4427
2017-07-07,4427
2017-07-08,4333
2017-07-13,4160
2017-07-14,4186
2017-07-15,4186
2017-07-16,4231
2017-07-17,4248
2017-07-18,4248
2017-07-19,4313
2017-07-20,4319
2017-07-21,4319
2017-07-22,4288
2017-07-23,4333
2017-07-24,4333
2017-07-25,4388
2017-07-26,4583
2017-07-27,4704
2017-07-28,4704
2017-07-29,4739
2017-07-30,4797
2017-07-31,4797
2017-08-01,4769
2017-08-02,4603
2017-08-03,4603
2017-08-04,4490
2017-08-05,4435
2017-08-06,4435
2017-08-07,4389
2017-08-08,4309
2017-08-09,4309
2017-08-10,4250
2017-08-11,4250
2017-08-12,4272
2017-08-13,4272
2017-08-14,4232
2017-08-15,4252
2017-08-16,4252
2017-08-17,4177
2017-08-18,4177
2017-08-19,4088
2017-08-20,4195
2017-08-21,4195
2017-08-22,4196
2017-08-23,4196
2017-08-24,4227
2017-08-25,4227
2017-08-26,4311
2017-08-27,4281
2017-08-28,4281
2017-08-29,4127
2017-08-30,3987
2017-08-31,3987
2017-09-01,3855
2017-09-02,3913
2017-09-03,3913
2017-09-04,3780
2017-09-05,3887
2017-09-06,3887
2017-09-07,3867
2017-09-08,3867
2017-09-09,3782
2017-09-10,3887
2017-09-11,4062
2017-09-12,4062
2017-09-13,4265
2017-09-14,4431
2017-09-15,4431
2017-09-16,4619
2017-09-17,4576
2017-09-18,4576
2017-09-19,4394
2017-09-20,4186
2017-09-22,3976
2017-09-23,3976
2017-09-24,3777
2017-09-25,3592
2017-09-26,3603
2017-09-27,3603
2017-09-28,3647
2017-09-29,3712
2017-09-30,3712
2017-10-01,3780
2017-10-02,3608
2017-10-03,3608
2017-10-04,3715
2017-10-05,3738
2017-10-06,3790
2017-10-07,3725
2017-10-08,3725
2017-10-09,3754
2017-10-10,3597
2017-10-11,3597
2017-10-12,3530
2017-10-13,3461
2017-10-14,3467
2017-10-15,3467
2017-10-16,3577
2017-10-17,3577
2017-10-18,3551
2017-10-19,3551
2017-10-20,3446
2017-10-21,3446
2017-10-22,3330
2017-10-23,3330
2017-10-24,3280
2017-10-25,3369
2017-10-26,3369
2017-10-27,3393
2017-10-28,3393
