date_obj,Amethyst%20broad%20bolts price
2019-03-04,290
2019-03-05,291
2019-03-06,298
2019-03-07,301
2019-03-08,301
2019-03-09,298
2019-03-10,295
2019-03-11,293
2019-03-12,289
2019-03-13,289
2019-03-14,286
2019-03-15,285
2019-03-16,286
2019-03-17,290
2019-03-18,290
2019-03-19,293
2019-03-20,287
2019-03-21,277
2019-03-22,275
2019-03-23,273
2019-03-24,279
2019-03-25,279
2019-03-26,285
2019-03-27,285
2019-03-28,293
2019-03-29,293
2019-03-30,293
2019-03-31,287
2019-04-01,279
2019-04-02,273
2019-04-03,274
2019-04-04,280
2019-04-05,281
2019-04-06,281
2019-04-07,289
2019-04-08,290
2019-04-09,286
2019-04-10,287
2019-04-11,286
2019-04-12,285
2019-04-13,289
2019-04-14,294
2019-04-15,289
2019-04-16,284
2019-04-17,280
2019-04-18,276
2019-04-19,274
2019-04-20,277
2019-04-21,281
2019-04-22,282
2019-04-23,281
2019-04-24,284
2019-04-25,282
2019-04-26,282
2019-04-27,280
2019-04-28,276
2019-04-29,277
2019-04-30,276
2019-05-01,272
2019-05-02,271
2019-05-03,274
2019-05-04,272
2019-05-05,274
2019-05-06,274
2019-05-07,276
2019-05-08,274
2019-05-09,280
2019-05-10,279
2019-05-11,286
2019-05-12,287
2019-05-13,290
2019-05-14,302
2019-05-15,302
2019-05-16,298
2019-05-17,298
2019-05-18,296
2019-05-19,291
2019-05-20,289
2019-05-21,289
2019-05-22,287
2019-05-23,285
2019-05-24,286
2019-05-25,288
2019-05-26,288
2019-05-27,292
2019-05-28,302
2019-05-29,302
2019-05-30,296
2019-05-31,296
2019-06-01,291
2019-06-02,291
2019-06-03,289
2019-06-04,287
2019-06-05,282
2019-06-06,275
2019-06-07,274
2019-06-08,280
2019-06-09,285
2019-06-10,285
2019-06-11,293
2019-06-12,295
2019-06-13,295
2019-06-14,289
2019-06-15,289
2019-06-16,284
2019-06-17,281
2019-06-18,281
2019-06-19,281
2019-06-20,278
2019-06-21,277
2019-06-22,279
2019-06-23,282
2019-06-24,286
2019-06-25,294
2019-06-26,297
2019-06-27,295
2019-06-28,295
2019-06-29,297
2019-06-30,294
2019-07-01,294
2019-07-02,288
2019-07-03,285
2019-07-04,285
2019-07-05,281
2019-07-06,277
2019-07-07,273
2019-07-08,272
2019-07-09,277
2019-07-10,281
2019-07-11,285
2019-07-12,288
2019-07-13,288
2019-07-14,288
2019-07-15,288
2019-07-16,302
2019-07-17,312
2019-07-18,303
2019-07-19,294
2019-07-20,287
2019-07-21,285
2019-07-22,281
2019-07-23,284
2019-07-24,284
2019-07-25,284
2019-07-26,284
2019-07-27,287
2019-07-28,290
2019-07-29,288
2019-07-30,289
2019-07-31,285
2019-08-01,286
2019-08-02,286
2019-08-03,281
2019-08-04,281
2019-08-05,273
2019-08-06,273
2019-08-07,272
2019-08-08,272
2019-08-09,269
2019-08-10,273
2019-08-11,273
2019-08-12,276
2019-08-13,276
2019-08-14,276
2019-08-15,272
2019-08-16,268
2019-08-17,268
2019-08-18,268
2019-08-19,273
2019-08-20,273
2019-08-21,274
2019-08-22,275
2019-08-23,275
2019-08-24,276
2019-08-24,276
2019-08-25,276
2019-08-25,276
