date_obj,Cooked%20slimy%20eel price
2017-01-05,784
2017-01-06,784
2017-01-07,784
2017-01-08,784
2017-01-09,784
2017-01-10,784
2017-01-11,784
2017-01-12,784
2017-01-13,784
2017-01-14,784
2017-01-15,784
2017-01-16,784
2017-01-17,784
2017-01-18,784
2017-01-19,784
2017-01-20,766
2017-01-21,766
2017-01-22,766
2017-01-23,766
2017-01-27,766
2017-01-28,766
2017-01-29,766
2017-01-30,766
2017-01-31,766
2017-02-01,766
2017-02-02,766
2017-02-03,766
2017-02-04,766
2017-02-05,766
2017-02-06,766
2017-02-07,750
2017-02-08,750
2017-02-09,750
2017-02-10,750
2017-02-11,750
2017-02-12,750
2017-02-13,750
2017-02-14,750
2017-02-15,750
2017-02-16,750
2017-02-18,750
2017-02-19,750
2017-02-20,750
2017-02-21,750
2017-02-22,750
2017-02-23,750
2017-02-24,750
2017-02-25,725
2017-02-26,725
2017-02-27,725
2017-02-28,725
2017-03-01,725
2017-03-02,725
2017-03-03,725
2017-03-04,725
2017-03-05,725
2017-03-06,725
2017-03-07,725
2017-03-08,725
2017-03-09,725
2017-03-10,725
2017-03-11,725
2017-03-12,725
2017-03-13,725
2017-03-14,725
2017-03-15,725
2017-03-16,732
2017-03-17,732
2017-03-18,732
2017-03-19,732
2017-03-20,732
2017-03-21,732
2017-03-22,732
2017-03-23,732
2017-03-24,732
2017-03-25,732
2017-03-26,732
2017-03-27,732
2017-03-28,732
2017-03-29,732
2017-03-30,732
2017-03-31,732
2017-04-01,732
2017-04-02,732
2017-04-03,732
2017-04-04,733
2017-04-12,733
2017-04-13,733
2017-04-14,733
2017-04-15,733
2017-04-16,733
2017-04-17,733
2017-04-18,733
2017-04-19,733
2017-04-20,733
2017-04-21,733
2017-04-22,733
2017-04-23,733
2017-04-24,733
2017-04-25,741
2017-04-26,741
2017-04-27,741
2017-04-28,741
2017-04-29,741
2017-04-30,741
2017-05-01,741
2017-05-02,741
2017-05-03,741
2017-05-04,741
2017-05-05,741
2017-05-06,741
2017-05-07,741
2017-05-08,741
2017-05-09,741
2017-05-10,741
2017-05-11,741
2017-05-12,741
2017-05-13,741
2017-05-14,742
2017-05-15,742
2017-05-16,742
2017-05-17,742
2017-05-18,742
2017-05-19,742
2017-05-20,742
2017-05-21,742
2017-05-22,742
2017-05-23,742
2017-05-24,742
2017-05-25,742
2017-05-26,742
2017-05-27,742
2017-05-28,742
2017-05-29,742
2017-05-30,742
2017-05-31,742
2017-06-01,742
2017-06-02,742
2017-06-03,742
2017-06-04,742
2017-06-05,708
2017-06-06,708
2017-06-07,708
2017-06-08,708
2017-06-09,708
2017-06-10,708
2017-06-11,708
2017-06-12,708
2017-06-13,708
2017-06-14,708
2017-06-15,708
2017-06-16,708
2017-06-17,708
2017-06-18,708
2017-06-19,708
2017-06-20,708
2017-06-21,708
2017-06-22,708
2017-06-23,708
2017-06-24,708
2017-06-25,708
2017-06-26,708
2017-06-27,687
2017-06-28,687
2017-06-29,687
2017-06-30,687
2017-07-01,687
2017-07-02,687
2017-07-03,687
2017-07-04,687
2017-07-05,687
2017-07-06,687
2017-07-07,687
2017-07-08,687
2017-07-13,687
2017-07-14,687
2017-07-15,687
2017-07-16,687
2017-07-17,687
2017-07-18,687
2017-07-19,684
2017-07-20,684
2017-07-21,684
2017-07-22,684
2017-07-23,684
2017-07-24,684
2017-07-25,684
2017-07-26,684
2017-07-27,684
2017-07-28,684
2017-07-29,684
2017-07-30,684
2017-07-31,684
2017-08-01,684
2017-08-02,684
2017-08-03,684
2017-08-04,684
2017-08-05,684
2017-08-06,684
2017-08-09,653
2017-08-10,653
2017-08-11,653
2017-08-12,653
2017-08-13,653
2017-08-14,653
2017-08-15,653
2017-08-16,653
2017-08-17,653
2017-08-18,653
2017-08-19,653
2017-08-20,653
2017-08-21,653
2017-08-22,653
2017-08-23,653
2017-08-24,653
2017-08-25,653
2017-08-26,653
2017-08-27,653
2017-08-28,653
2017-08-29,653
2017-08-30,621
2017-08-31,621
2017-09-01,621
2017-09-03,621
2017-09-04,621
2017-09-05,621
2017-09-06,621
2017-09-07,621
2017-09-08,621
2017-09-09,621
2017-09-10,621
2017-09-11,621
2017-09-12,621
2017-09-13,621
2017-09-14,621
2017-09-15,621
2017-09-16,621
2017-09-17,621
2017-09-18,621
2017-09-19,621
2017-09-20,621
2017-09-21,591
2017-09-22,591
2017-09-23,591
2017-09-24,591
2017-09-25,591
2017-09-26,591
2017-09-27,591
2017-09-28,591
2017-09-29,591
2017-09-30,591
2017-10-01,591
2017-10-02,591
2017-10-03,591
2017-10-04,591
2017-10-05,591
2017-10-06,591
2017-10-07,591
2017-10-08,591
2017-10-09,591
2017-10-10,591
2017-10-11,591
2017-10-12,591
2017-10-13,591
2017-10-14,591
2017-10-15,591
2017-10-16,575
2017-10-17,575
2017-10-18,575
2017-10-19,575
2017-10-20,575
2017-10-21,575
2017-10-22,575
2017-10-23,575
2017-10-24,575
2017-10-25,575
2017-10-26,575
2017-10-27,575
2017-10-28,575
2017-10-29,575
2017-10-30,575
2017-10-31,575
2017-11-01,575
2017-11-02,575
2017-11-03,575
2017-11-04,575
2017-11-05,575
2017-11-06,575
2017-11-07,575
2017-11-08,575
2017-11-09,581
2017-11-10,581
2017-11-11,581
2017-11-12,581
2017-11-13,581
2017-11-14,581
2017-11-15,581
2017-11-16,581
2017-11-17,581
2017-11-18,581
2017-11-19,581
2017-11-20,581
2017-11-21,581
2017-11-22,581
2017-11-23,581
2017-11-24,581
2017-11-25,581
2017-11-26,581
2017-11-27,581
2017-11-28,581
2017-11-29,581
2017-11-30,581
2017-12-01,581
2017-12-02,581
2017-12-03,581
2017-12-04,581
2017-12-05,595
2017-12-06,595
2017-12-07,595
2017-12-08,595
2017-12-09,595
2017-12-10,595
2017-12-11,595
2017-12-12,595
2017-12-13,595
2017-12-14,595
2017-12-15,595
2017-12-16,595
2017-12-17,595
2017-12-18,595
2017-12-19,595
2017-12-20,595
2017-12-21,595
2017-12-22,595
2017-12-23,595
2017-12-24,595
2017-12-25,595
2017-12-26,595
2017-12-27,595
2017-12-28,612
2017-12-29,612
2017-12-30,612
2017-12-31,612
2018-01-01,612
2018-01-02,612
2018-01-03,612
2018-01-04,612
2018-01-05,612
2018-01-06,612
2018-01-07,612
2018-01-08,612
2018-01-09,612
2018-01-10,612
2018-01-11,612
2018-01-12,612
2018-01-13,612
2018-01-14,612
2018-01-15,612
2018-01-16,612
2018-01-17,632
2018-01-18,632
2018-01-19,632
2018-01-20,632
2018-01-21,632
2018-01-22,632
2018-01-23,632
2018-01-24,632
2018-01-25,632
2018-01-26,632
2018-01-27,632
2018-01-28,658
2018-01-29,658
2018-01-30,658
2018-01-31,658
2018-02-01,658
2018-02-02,658
2018-02-03,658
2018-02-04,658
2018-02-05,658
2018-02-06,658
2018-02-07,658
2018-02-08,658
2018-02-09,685
2018-02-10,685
2018-02-11,685
2018-02-12,685
2018-02-13,685
2018-02-14,685
2018-02-15,685
2018-02-16,685
2018-02-17,685
2018-02-18,685
2018-02-19,685
2018-02-20,685
2018-02-21,650
2018-02-22,650
2018-02-23,650
2018-02-24,650
2018-02-25,650
2018-02-26,650
2018-02-27,650
2018-02-28,650
2018-03-01,650
2018-03-02,650
2018-03-03,638
2018-03-04,638
2018-03-05,638
2018-03-06,638
2018-03-07,638
2018-03-08,638
2018-03-09,638
2018-03-10,638
2018-03-11,638
2018-03-12,638
2018-03-13,638
2018-03-14,608
2018-03-15,608
2018-03-16,608
2018-03-17,608
2018-03-18,608
2018-03-19,608
2018-03-20,608
2018-03-21,608
2018-03-23,608
2018-03-24,608
2018-03-25,578
2018-03-26,578
2018-03-27,578
2018-03-28,578
2018-03-29,578
2018-03-30,578
2018-03-31,578
2018-04-02,578
2018-04-03,578
2018-04-04,578
2018-04-05,578
2018-04-06,550
2018-04-07,550
2018-04-08,550
2018-04-09,550
2018-04-10,550
2018-04-11,550
2018-04-12,550
2018-04-13,550
2018-04-14,550
2018-04-15,550
2018-04-16,550
2018-04-17,550
2018-04-18,550
2018-04-19,522
2018-04-20,522
2018-04-21,522
2018-04-22,522
2018-04-23,522
2018-04-24,522
2018-04-25,522
2018-04-26,522
2018-04-27,522
2018-04-28,522
2018-04-29,522
2018-04-30,522
2018-05-01,495
2018-05-03,495
2018-05-04,495
2018-05-05,495
2018-05-07,495
2018-05-08,495
2018-05-09,495
2018-05-10,495
2018-05-11,495
2018-05-12,495
2018-05-13,495
2018-05-14,470
2018-05-15,470
2018-05-16,470
2018-05-17,470
2018-05-18,470
2018-05-19,470
2018-05-20,470
2018-05-21,470
2018-05-22,470
2018-05-23,470
2018-05-24,470
2018-05-25,447
2018-05-26,447
2018-05-27,447
2018-05-28,447
2018-05-29,447
2018-05-30,447
2018-05-31,447
2018-06-01,447
2018-06-02,447
2018-06-03,447
2018-06-04,447
2018-06-05,425
2018-06-06,425
2018-06-07,425
2018-06-08,425
2018-06-09,425
2018-06-10,425
2018-06-11,425
2018-06-12,425
2018-06-13,425
2018-06-14,405
2018-06-15,405
2018-06-16,405
2018-06-17,405
2018-06-18,405
2018-06-19,405
2018-06-20,405
2018-06-21,405
2018-06-22,405
2018-06-23,405
2018-06-24,405
2018-06-25,385
2018-06-26,385
2018-06-27,385
2018-06-28,385
2018-06-29,385
2018-06-30,385
2018-07-01,385
2018-07-02,385
2018-07-03,385
2018-07-04,385
2018-07-05,385
2018-07-06,385
2018-07-07,369
2018-07-08,369
2018-07-09,369
2018-07-10,369
2018-07-11,369
2018-07-12,369
2018-07-13,369
2018-07-14,369
2018-07-15,369
2018-07-16,369
2018-07-17,369
2018-07-18,369
2018-07-19,369
2018-07-20,369
2018-07-21,369
2018-07-22,352
2018-07-23,352
2018-07-24,352
2018-07-25,352
2018-07-26,352
2018-07-27,352
2018-07-28,352
2018-07-29,335
2018-07-30,335
2018-07-31,335
2018-08-01,335
2018-08-02,335
2018-08-03,335
2018-08-04,335
2018-08-05,335
2018-08-06,335
2018-08-07,332
2018-08-08,332
2018-08-09,332
2018-08-10,332
2018-08-11,332
2018-08-12,332
2018-08-14,316
2018-08-16,316
2018-08-17,316
2018-08-18,316
2018-08-19,316
2018-08-20,316
2018-08-21,316
2018-08-22,316
2018-08-23,316
2018-08-24,304
2018-08-25,304
2018-08-26,304
2018-08-27,304
2018-08-28,304
2018-08-29,304
2018-08-30,304
2018-08-31,304
2018-09-01,294
2018-09-02,294
2018-09-03,294
2018-09-04,294
2018-09-05,294
2018-09-06,294
2018-09-07,294
2018-09-08,288
2018-09-09,288
2018-09-10,288
2018-09-11,288
2018-09-12,288
2018-09-13,288
2018-09-14,288
2018-09-15,288
2018-09-16,288
2018-09-17,288
2018-09-18,277
2018-09-19,277
2018-09-20,277
2018-09-21,277
2018-09-22,277
2018-09-23,277
2018-09-24,277
2018-09-25,277
2018-09-26,277
2018-09-27,277
2018-09-28,267
2018-09-29,267
2018-09-30,267
2018-10-01,267
2018-10-02,267
2018-10-03,267
2018-10-04,267
2018-10-05,267
2018-10-06,267
2018-10-07,274
2018-10-08,274
2018-10-09,274
2018-10-10,274
2018-10-11,274
2018-10-12,274
2018-10-13,274
2018-10-14,274
2018-10-15,274
2018-10-16,260
2018-10-17,260
2018-10-18,260
2018-10-19,260
2018-10-20,260
2018-10-21,260
2018-10-22,260
2018-10-23,260
2018-10-24,260
2018-10-25,260
2018-10-26,253
2018-10-27,253
2018-10-28,253
2018-10-29,253
2018-10-30,253
2018-10-31,253
2018-11-01,253
2018-11-03,253
2018-11-04,250
2018-11-05,250
2018-11-06,250
2018-11-07,250
2018-11-08,250
2018-11-09,250
2018-11-10,250
2018-11-11,243
2018-11-12,243
2018-11-13,243
2018-11-14,243
2018-11-15,243
2018-11-16,243
2018-11-17,240
2018-11-18,240
2018-11-19,240
2018-11-20,240
2018-11-21,240
2018-11-22,234
2018-11-23,234
2018-11-24,234
2018-11-25,234
2018-11-26,234
2018-11-27,234
2018-11-28,231
2018-11-29,231
2018-12-01,231
2018-12-02,221
2018-12-03,221
2018-12-04,221
2018-12-05,221
2018-12-07,221
2018-12-09,218
2018-12-10,218
2018-12-11,218
2018-12-12,218
2018-12-13,218
2018-12-14,222
2018-12-15,222
2018-12-16,222
2018-12-17,222
2018-12-18,222
2018-12-19,222
2018-12-20,213
2018-12-21,213
2018-12-22,213
2018-12-23,213
2018-12-24,213
2018-12-25,213
2018-12-26,205
2018-12-27,205
2018-12-28,205
2018-12-29,205
2018-12-30,205
2018-12-31,195
2019-01-01,195
2019-01-02,195
2019-01-03,195
2019-01-04,195
2019-01-05,189
2019-01-06,189
2019-01-08,189
