date_obj,Diamond%20amulet%20(u) price
2016-02-20,2496
2016-02-21,2496
2016-02-22,2496
2016-02-23,2496
2016-02-24,2496
2016-02-25,2496
2016-02-26,2496
2016-02-27,2496
2016-02-28,2496
2016-02-29,2496
2016-03-01,2496
2016-03-02,2496
2016-03-03,2496
2016-03-04,2496
2016-03-05,2448
2016-03-06,2448
2016-03-07,2448
2016-03-08,2448
2016-03-09,2448
2016-03-10,2448
2016-03-11,2448
2016-03-12,2448
2016-03-13,2448
2016-03-14,2448
2016-03-15,2448
2016-03-16,2448
2016-03-17,2448
2016-03-18,2448
2016-03-19,2448
2016-03-20,2448
2016-03-21,2448
2016-03-22,2448
2016-03-23,2448
2016-03-24,2448
2016-03-25,2448
2016-03-26,2448
2016-03-27,2448
2016-03-28,2448
2016-03-29,2448
2016-03-30,2448
2016-03-31,2448
2016-04-01,2448
2016-04-02,2448
2016-04-03,2448
2016-04-04,2448
2016-04-05,2448
2016-04-06,2448
2016-04-07,2448
2016-04-08,2448
2016-04-09,2448
2016-04-10,2448
2016-04-11,2448
2016-04-12,2448
2016-04-13,2448
2016-04-14,2448
2016-04-15,2448
2016-04-16,2448
2016-04-17,2448
2016-04-18,2448
2016-04-19,2448
2016-04-20,2448
2016-04-21,2448
2016-04-22,2448
2016-04-23,2448
2016-04-24,2448
2016-04-25,2448
2016-04-26,2448
2016-04-27,2375
2016-04-28,2375
2016-04-29,2375
2016-04-30,2375
2016-05-01,2375
2016-05-02,2375
2016-05-03,2375
2016-05-04,2375
2016-05-05,2375
2016-05-06,2375
2016-05-07,2375
2016-05-08,2375
2016-05-09,2375
2016-05-10,2375
2016-05-11,2375
2016-05-12,2375
2016-05-13,2375
2016-05-14,2375
2016-05-15,2375
2016-05-16,2375
2016-05-17,2375
2016-05-18,2375
2016-05-19,2375
2016-05-22,2375
2016-05-23,2375
2016-05-24,2375
2016-05-25,2375
2016-05-26,2375
2016-05-27,2375
2016-05-28,2375
2016-05-29,2375
2016-05-30,2375
2016-05-31,2375
2016-06-01,2375
2016-06-02,2375
2016-06-03,2375
2016-06-04,2375
2016-06-05,2375
2016-06-06,2375
2016-06-07,2375
2016-06-08,2375
2016-06-09,2375
2016-06-10,2375
2016-06-11,2375
2016-06-12,2375
2016-06-13,2311
2016-06-14,2311
2016-06-15,2311
2016-06-16,2311
2016-06-17,2311
2016-06-18,2311
2016-06-19,2311
2016-06-20,2311
2016-06-21,2311
2016-06-22,2311
2016-06-23,2311
2016-06-24,2311
2016-06-25,2311
2016-06-26,2311
2016-06-27,2311
2016-06-28,2311
2016-06-29,2311
2016-06-30,2311
2016-07-01,2311
2016-07-02,2311
2016-07-03,2311
2016-07-04,2311
2016-07-05,2311
2016-07-06,2311
2016-07-07,2311
2016-07-08,2311
2016-07-09,2311
2016-07-10,2311
2016-07-11,2311
2016-07-12,2311
2016-07-13,2311
2016-07-14,2311
2016-07-15,2311
2016-07-16,2311
2016-07-17,2311
2016-07-18,2311
2016-07-23,2311
2016-07-24,2311
2016-07-25,2311
2016-07-26,2311
2016-07-27,2311
2016-07-28,2311
2016-07-29,2311
2016-07-30,2311
2016-07-31,2311
2016-08-01,2311
2016-08-02,2311
2016-08-03,2311
2016-08-04,2316
2016-08-05,2316
2016-08-06,2316
2016-08-07,2316
2016-08-08,2316
2016-08-09,2316
2016-08-10,2316
2016-08-11,2316
2016-08-12,2316
2016-08-13,2316
2016-08-14,2316
2016-08-15,2316
2016-08-16,2316
2016-08-17,2316
2016-08-18,2316
2016-08-19,2316
2016-08-20,2316
2016-08-21,2316
2016-08-22,2316
2016-08-23,2316
2016-08-24,2316
2016-08-25,2316
2016-08-26,2316
2016-08-28,2316
2016-08-31,2316
2016-09-01,2316
2016-09-02,2316
2016-09-03,2316
2016-09-04,2316
2016-09-05,2316
2016-09-06,2316
2016-09-07,2316
2016-09-08,2316
2016-09-09,2316
2016-09-10,2316
2016-09-11,2316
2016-09-12,2316
2016-09-13,2316
2016-09-14,2316
2016-09-15,2316
2016-09-16,2316
2016-09-17,2316
2016-09-18,2316
2016-09-19,2316
2016-09-20,2316
2016-09-21,2316
2016-09-22,2316
2016-09-23,2316
2016-09-24,2316
2016-09-25,2316
2016-09-26,2316
2016-09-27,2316
2016-09-28,2316
2016-09-29,2316
2016-09-30,2316
2016-10-01,2316
2016-10-02,2316
2016-10-03,2316
2016-10-04,2316
2016-10-05,2316
2016-10-06,2249
2016-10-07,2249
2016-10-08,2249
2016-10-09,2249
2016-10-10,2249
2016-10-11,2249
2016-10-12,2249
2016-10-13,2249
2016-10-14,2249
2016-10-15,2249
2016-10-16,2249
2016-10-17,2249
2016-10-18,2249
2016-10-19,2249
2016-10-20,2249
2016-10-21,2249
2016-10-22,2249
2016-10-23,2249
2016-10-24,2249
2016-10-25,2249
2016-10-26,2249
2016-10-27,2249
2016-10-28,2249
2016-10-29,2249
2016-10-30,2249
2016-10-31,2249
2016-11-01,2249
2016-11-02,2249
2016-11-03,2249
2016-11-04,2249
2016-11-05,2249
2016-11-06,2249
2016-11-07,2249
2016-11-08,2249
2016-11-09,2249
2016-11-10,2249
2016-11-11,2249
2016-11-12,2249
2016-11-13,2249
2016-11-14,2249
2016-11-15,2249
2016-12-07,2227
2016-12-08,2227
2016-12-09,2227
2016-12-10,2227
2016-12-11,2227
2016-12-12,2227
2016-12-13,2227
2016-12-14,2227
2016-12-15,2227
2016-12-16,2227
2016-12-17,2227
2016-12-18,2227
2016-12-19,2227
2016-12-20,2227
2016-12-21,2227
2016-12-22,2227
2016-12-23,2227
2016-12-24,2227
2016-12-25,2227
2016-12-26,2227
2016-12-27,2227
2016-12-28,2227
2016-12-29,2227
2016-12-30,2227
2016-12-31,2227
2017-01-01,2227
2017-01-02,2227
2017-01-03,2227
2017-01-04,2227
2017-01-05,2227
2017-01-06,2227
2017-01-07,2227
2017-01-08,2227
2017-01-09,2227
2017-01-10,2227
2017-01-11,2227
2017-01-12,2305
2017-01-13,2305
2017-01-14,2305
2017-01-15,2305
2017-01-16,2305
2017-01-17,2305
2017-01-18,2305
2017-01-19,2305
2017-01-20,2305
2017-01-21,2305
2017-01-22,2305
2017-01-23,2305
2017-01-27,2305
2017-01-28,2305
2017-01-29,2305
2017-01-30,2305
2017-01-31,2305
2017-02-01,2305
2017-02-02,2305
2017-02-03,2305
2017-02-04,2305
2017-02-05,2305
2017-02-06,2305
2017-02-07,2305
2017-02-08,2305
2017-02-09,2305
2017-02-10,2305
2017-02-11,2305
2017-02-12,2305
2017-02-13,2305
2017-02-14,2305
2017-02-15,2305
2017-02-16,2305
2017-02-18,2238
2017-02-19,2238
2017-02-20,2238
2017-02-21,2238
2017-02-22,2238
2017-02-23,2238
2017-02-24,2238
2017-02-25,2238
2017-02-26,2238
2017-02-27,2238
2017-02-28,2238
2017-03-01,2238
2017-03-02,2238
2017-03-03,2238
2017-03-04,2238
2017-03-05,2238
2017-03-06,2238
2017-03-07,2238
2017-03-08,2238
2017-03-09,2238
2017-03-10,2238
2017-03-11,2238
2017-03-12,2238
2017-03-13,2238
2017-03-14,2238
2017-03-15,2238
2017-03-16,2238
2017-03-17,2238
2017-03-18,2238
2017-03-19,2238
2017-03-20,2238
2017-03-21,2238
2017-03-22,2238
2017-03-23,2238
2017-03-24,2238
2017-03-25,2238
2017-03-26,2238
2017-03-27,2238
2017-03-28,2238
2017-03-29,2238
2017-03-30,2238
2017-03-31,2238
2017-04-01,2238
2017-04-02,2238
2017-04-03,2238
2017-04-04,2185
2017-04-12,2185
2017-04-13,2185
2017-04-14,2185
2017-04-15,2185
2017-04-16,2185
2017-04-17,2185
2017-04-18,2185
2017-04-19,2185
2017-04-20,2185
2017-04-21,2185
2017-04-22,2185
2017-04-23,2185
2017-04-24,2185
2017-04-25,2185
2017-04-26,2185
2017-04-27,2185
2017-04-28,2185
2017-04-29,2185
2017-04-30,2185
2017-05-01,2185
2017-05-02,2185
2017-05-03,2185
2017-05-04,2185
2017-05-05,2185
2017-05-06,2185
2017-05-07,2243
2017-05-08,2243
2017-05-09,2243
2017-05-10,2243
2017-05-11,2243
2017-05-12,2243
2017-05-13,2243
2017-05-14,2243
2017-05-15,2243
2017-05-16,2243
2017-05-17,2243
2017-05-18,2243
2017-05-19,2243
2017-05-20,2243
2017-05-21,2243
2017-05-22,2243
2017-05-23,2243
2017-05-24,2243
2017-05-25,2243
2017-05-26,2243
2017-05-27,2243
2017-05-28,2243
2017-05-29,2243
2017-05-30,2243
2017-05-31,2243
2017-06-01,2243
2017-06-02,2243
2017-06-03,2243
2017-06-04,2243
2017-06-05,2243
2017-06-06,2243
2017-06-07,2243
2017-06-08,2243
2017-06-09,2243
2017-06-10,2243
2017-06-11,2243
2017-06-12,2243
2017-06-13,2243
2017-06-14,2269
2017-06-15,2269
2017-06-16,2269
2017-06-17,2269
2017-06-18,2269
2017-06-19,2269
2017-06-20,2269
2017-06-21,2269
2017-06-22,2269
2017-06-23,2269
2017-06-24,2269
2017-06-25,2269
2017-06-26,2269
2017-06-27,2269
2017-06-28,2269
2017-06-29,2269
2017-06-30,2269
2017-07-01,2269
2017-07-02,2269
2017-07-03,2269
2017-07-04,2269
2017-07-05,2269
2017-07-06,2269
2017-07-07,2269
2017-07-08,2269
2017-07-13,2269
2017-07-14,2269
2017-07-15,2269
2017-07-16,2269
2017-07-17,2269
2017-07-18,2269
2017-07-19,2269
2017-07-20,2269
2017-07-21,2269
2017-07-22,2269
2017-07-23,2269
2017-07-24,2269
2017-07-25,2269
2017-07-26,2314
2017-07-27,2314
2017-07-28,2314
2017-07-29,2314
2017-07-30,2314
2017-07-31,2314
2017-08-01,2314
2017-08-02,2314
2017-08-03,2314
2017-08-04,2314
2017-08-05,2314
2017-08-06,2314
2017-08-09,2314
2017-08-10,2314
2017-08-11,2314
2017-08-12,2314
2017-08-13,2314
2017-08-14,2314
2017-08-15,2314
2017-08-16,2314
2017-08-17,2314
2017-08-18,2314
2017-08-19,2314
2017-08-20,2314
2017-08-21,2314
2017-08-22,2314
2017-08-23,2314
2017-08-24,2314
2017-08-25,2314
2017-08-26,2314
2017-08-27,2314
2017-08-28,2314
2017-08-29,2314
2017-08-30,2314
2017-08-31,2314
2017-09-01,2314
2017-09-03,2314
2017-09-04,2314
2017-09-05,2314
2017-09-06,2314
2017-09-07,2314
2017-09-08,2314
2017-09-09,2314
2017-09-10,2314
2017-09-11,2314
2017-09-12,2264
2017-09-13,2264
2017-09-14,2264
2017-09-15,2264
2017-09-16,2264
2017-09-17,2264
2017-09-18,2264
2017-09-19,2264
2017-09-20,2264
2017-09-21,2264
2017-09-22,2264
2017-09-23,2264
2017-09-24,2264
2017-09-25,2264
2017-09-26,2264
2017-09-27,2264
2017-09-28,2264
2017-09-29,2264
2017-09-30,2264
2017-10-01,2264
2017-10-02,2264
