date_obj,Mystic%20robe%20top%20(light) price
2017-03-26,82613
2017-03-27,82348
2017-03-28,82539
2017-03-29,83158
2017-03-30,83348
2017-03-31,83411
2017-04-01,83789
2017-04-02,84402
2017-04-03,83291
2017-04-04,83440
2017-04-12,78427
2017-04-13,79561
2017-04-14,80905
2017-04-15,80312
2017-04-16,81719
2017-04-17,82822
2017-04-18,82888
2017-04-19,81873
2017-04-20,80607
2017-04-21,78609
2017-04-22,76234
2017-04-23,75125
2017-04-24,73810
2017-04-25,74129
2017-04-26,74129
2017-04-27,75891
2017-04-28,79385
2017-04-29,80422
2017-04-30,81879
2017-05-01,80875
2017-05-02,80253
2017-05-03,80977
2017-05-04,81641
2017-05-05,81365
2017-05-06,79444
2017-05-07,79358
2017-05-08,78740
2017-05-09,79749
2017-05-10,79848
2017-05-11,79452
2017-05-12,79690
2017-05-13,79290
2017-05-14,79290
2017-05-15,79465
2017-05-16,80809
2017-05-17,81203
2017-05-18,81476
2017-05-19,81476
2017-05-20,81646
2017-05-21,81646
2017-05-22,81555
2017-05-23,81188
2017-05-24,79391
2017-05-25,75909
2017-05-26,72571
2017-05-27,71858
2017-05-28,71858
2017-05-29,72192
2017-05-30,72640
2017-05-31,71888
2017-06-01,71676
2017-06-02,71769
2017-06-03,71769
2017-06-06,71589
2017-06-07,71378
2017-06-08,71378
2017-06-09,71459
2017-06-10,71284
2017-06-11,71064
2017-06-12,71064
2017-06-13,71430
2017-06-14,71431
2017-06-15,71431
2017-06-16,71515
2017-06-17,71515
2017-06-18,71513
2017-06-19,71513
2017-06-20,71739
2017-06-21,72470
2017-06-22,72470
2017-06-23,72789
2017-06-24,72618
2017-06-25,72559
2017-06-26,71912
2017-06-27,71422
2017-06-28,71422
2017-06-29,71566
2017-06-30,71756
2017-07-01,71756
2017-07-02,72047
2017-07-03,72149
2017-07-04,72538
2017-07-05,72538
2017-07-06,72439
2017-07-07,72439
2017-07-08,71216
2017-07-13,72377
2017-07-14,72043
2017-07-15,72043
2017-07-16,71570
