date_obj,Bob's%20black%20shirt price
2016-11-08,3184
2016-11-09,3343
2016-11-10,3503
2016-11-11,3664
2016-11-12,3845
2016-11-13,3845
2016-11-14,4032
2016-11-15,4032
2016-12-07,8273
2016-12-08,8681
2016-12-09,9112
2016-12-10,9112
2016-12-11,9562
2016-12-12,10028
2016-12-13,10028
2016-12-14,10484
2016-12-15,10484
2016-12-16,11001
2016-12-17,11520
2016-12-18,11520
2016-12-19,12063
2016-12-20,12621
2016-12-21,12621
2016-12-22,13206
2016-12-23,13806
2016-12-24,13806
2016-12-25,14470
2016-12-26,14470
2016-12-27,15146
2016-12-28,15146
2016-12-29,15602
2016-12-30,15602
2016-12-31,15970
2017-01-01,15970
2017-01-02,15830
2017-01-03,15830
2017-01-04,15949
2017-01-05,15949
2017-01-06,16281
2017-01-07,16514
2017-01-08,16514
2017-01-09,16907
2017-01-10,16907
2017-01-11,17386
2017-01-12,18203
2017-01-13,18203
2017-01-14,18859
2017-01-15,19592
2017-01-16,20400
2017-01-17,21241
2017-01-18,22238
2017-01-19,22238
2017-01-20,23031
2017-01-21,23982
2017-01-22,23982
2017-01-23,25145
2017-01-27,28855
2017-01-28,29325
2017-01-29,30666
2017-01-30,30666
2017-01-31,31906
2017-02-01,33417
2017-02-02,34368
2017-02-03,34368
2017-02-04,34606
2017-02-05,35858
2017-02-06,35858
2017-02-07,36849
2017-02-08,38214
2017-02-09,38214
2017-02-10,39418
2017-02-11,41077
2017-02-12,41077
2017-02-13,41828
2017-02-14,43554
2017-02-15,43554
2017-02-16,45217
2017-02-18,46134
2017-02-19,47633
2017-02-20,47633
2017-02-21,48726
2017-02-22,48726
2017-02-23,49802
2017-02-24,49802
2017-02-25,50169
2017-02-26,50169
2017-02-27,50214
2017-02-28,50403
2017-03-01,50403
2017-03-02,51199
2017-03-03,51199
2017-03-04,51153
2017-03-05,51153
2017-03-06,51669
2017-03-07,51669
2017-03-08,52162
2017-03-09,52162
2017-03-10,52306
2017-03-11,52306
2017-03-12,50134
2017-03-13,50134
2017-03-14,48905
2017-03-15,48905
2017-03-16,48905
2017-03-17,48615
2017-03-18,48615
2017-03-19,47718
2017-03-20,47718
2017-03-21,47433
2017-03-22,47433
2017-03-23,47433
2017-03-24,46582
2017-03-25,46582
2017-03-26,46582
2017-03-27,45237
2017-03-28,45237
2017-03-29,43220
2017-03-30,43220
2017-03-31,42187
2017-04-01,42187
2017-04-02,40256
2017-04-03,40256
2017-04-04,38828
2017-04-12,33873
2017-04-13,33873
2017-04-14,32179
2017-04-15,32179
2017-04-16,30570
2017-04-17,30570
2017-04-18,29374
2017-04-19,29374
2017-04-20,28670
2017-04-21,28670
2017-04-22,27306
2017-04-23,27306
2017-04-24,26805
2017-04-25,26116
2017-04-26,26116
2017-04-27,25407
2017-04-28,25407
2017-04-29,24452
2017-04-30,24452
2017-05-01,23864
2017-05-02,23864
2017-05-03,22918
2017-05-04,23074
2017-05-05,23074
2017-05-06,23435
2017-05-07,23435
2017-05-08,23931
2017-05-09,24535
2017-05-10,24535
2017-05-11,24845
2017-05-12,24845
2017-05-13,24939
2017-05-14,24939
2017-05-15,24939
2017-05-16,25336
2017-05-17,25336
2017-05-18,25869
2017-05-19,25869
2017-05-20,26476
2017-05-21,26476
2017-05-22,26476
2017-05-23,27155
2017-05-24,27155
2017-05-25,27943
2017-05-26,27943
2017-05-27,28642
2017-05-28,28642
2017-05-29,29251
2017-05-30,29251
2017-05-31,30051
2017-06-01,30051
2017-06-02,30631
2017-06-03,30631
2017-06-04,30728
2017-06-05,30728
2017-06-06,31099
2017-06-07,31099
2017-06-08,31099
2017-06-09,31244
2017-06-10,31244
2017-06-11,31233
2017-06-12,31233
2017-06-13,31558
2017-06-14,31558
2017-06-15,31558
2017-06-16,31950
2017-06-17,31950
2017-06-18,31865
