date_obj,Pottery%20scarab price
2016-06-06,68
2016-06-07,68
2016-06-08,67
2016-06-09,67
2016-06-10,67
2016-06-11,67
2016-06-12,67
2016-06-13,64
2016-06-14,64
2016-06-15,64
2016-06-16,64
2016-06-17,64
2016-06-18,62
2016-06-19,62
2016-06-20,62
2016-06-21,62
2016-06-22,62
2016-06-23,65
2016-06-24,65
2016-06-25,65
2016-06-26,65
2016-06-27,65
2016-06-28,65
2016-06-29,68
2016-06-30,68
2016-07-01,68
2016-07-02,68
2016-07-03,68
2016-07-04,67
2016-07-05,67
2016-07-06,67
2016-07-07,67
2016-07-08,67
2016-07-09,70
2016-07-10,70
2016-07-11,70
2016-07-12,70
2016-07-13,70
2016-07-14,70
2016-07-15,70
2016-07-16,70
2016-07-17,70
2016-07-18,70
2016-07-23,72
2016-07-24,72
2016-07-25,70
2016-07-26,70
2016-07-27,70
2016-07-28,70
2016-07-29,70
2016-07-30,70
2016-07-31,70
2016-08-01,68
2016-08-02,68
2016-08-03,68
2016-08-04,68
2016-08-05,68
2016-08-06,68
2016-08-07,68
2016-08-08,68
2016-08-09,68
2016-08-10,68
2016-08-11,68
2016-08-12,68
2016-08-13,69
2016-08-14,69
2016-08-15,69
2016-08-16,69
2016-08-17,69
2016-08-18,66
2016-08-19,66
2016-08-20,66
2016-08-21,66
2016-08-22,66
2016-08-23,66
2016-08-24,66
2016-08-25,69
2016-08-26,69
2016-08-28,69
2016-08-31,69
2016-09-01,70
2016-09-02,70
2016-09-03,70
2016-09-04,70
2016-09-05,70
2016-09-06,70
2016-09-07,70
2016-09-08,72
2016-09-09,72
2016-09-10,72
2016-09-11,72
2016-09-12,72
2016-09-13,72
2016-09-14,72
2016-09-15,71
2016-09-16,71
2016-09-17,71
2016-09-18,71
2016-09-19,71
2016-09-20,71
2016-09-21,71
2016-09-22,71
2016-09-23,70
2016-09-24,70
2016-09-25,70
2016-09-26,70
2016-09-27,70
2016-09-28,70
2016-09-29,70
2016-09-30,70
2016-10-01,69
2016-10-02,69
2016-10-03,69
2016-10-04,69
2016-10-05,69
2016-10-06,69
2016-10-07,69
2016-10-08,69
2016-10-09,68
2016-10-10,68
2016-10-11,68
2016-10-12,68
2016-10-13,68
2016-10-14,68
2016-10-15,68
2016-10-16,71
2016-10-17,71
2016-10-18,71
2016-10-19,71
2016-10-20,71
2016-10-21,71
2016-10-22,71
2016-10-23,68
2016-10-24,68
2016-10-25,68
2016-10-26,68
2016-10-27,68
2016-10-28,68
2016-10-29,65
2016-10-30,65
2016-10-31,65
2016-11-01,65
2016-11-02,65
2016-11-03,65
2016-11-04,65
2016-11-05,66
2016-11-06,66
2016-11-07,66
2016-11-08,66
2016-11-09,66
2016-11-10,66
2016-11-11,66
2016-11-12,63
2016-11-13,63
2016-11-14,63
2016-12-07,63
2016-12-08,63
2016-12-09,63
2016-12-10,63
2016-12-11,63
2016-12-12,63
2016-12-13,63
2016-12-14,63
2016-12-15,63
2016-12-16,63
2016-12-17,63
2016-12-18,63
2016-12-19,59
2016-12-20,59
2016-12-21,59
2016-12-22,59
2016-12-23,59
2016-12-24,59
2016-12-25,59
2016-12-26,59
2016-12-27,59
2016-12-28,59
2016-12-29,59
2016-12-30,59
2016-12-31,62
2017-01-01,62
2017-01-02,62
2017-01-03,62
2017-01-04,62
2017-01-05,65
2017-01-06,65
2017-01-07,65
2017-01-08,65
2017-01-09,66
2017-01-10,66
2017-01-11,66
2017-01-12,66
2017-01-13,66
2017-01-14,62
2017-01-15,62
2017-01-16,62
2017-01-17,62
2017-01-18,60
2017-01-19,60
2017-01-20,60
2017-01-21,60
2017-01-22,60
2017-01-27,57
2017-01-28,58
2017-01-29,58
2017-01-30,58
2017-01-31,58
2017-02-01,58
2017-02-02,56
2017-02-03,56
2017-02-04,56
2017-02-05,56
2017-02-06,56
2017-02-07,56
2017-02-08,57
2017-02-09,57
2017-02-10,57
2017-02-11,57
2017-02-12,57
2017-02-13,58
2017-02-14,58
2017-02-15,58
2017-02-16,58
2017-02-18,61
2017-02-19,61
2017-02-20,61
2017-02-21,61
2017-02-22,61
2017-02-23,61
2017-02-24,64
2017-02-25,64
2017-02-26,64
2017-02-27,64
2017-02-28,64
2017-03-01,64
2017-03-02,63
2017-03-03,63
2017-03-04,63
2017-03-05,63
2017-03-06,63
2017-03-07,63
2017-03-08,61
2017-03-09,61
2017-03-10,61
2017-03-11,61
2017-03-12,61
2017-03-13,59
2017-03-14,59
2017-03-15,59
2017-03-16,59
2017-03-17,59
2017-03-18,62
2017-03-19,62
2017-03-20,62
2017-03-21,62
2017-03-22,62
2017-03-23,61
2017-03-24,61
2017-03-25,61
2017-03-26,61
2017-03-27,61
2017-03-28,61
2017-03-29,59
2017-03-30,59
2017-03-31,59
2017-04-01,59
2017-04-02,59
2017-04-03,59
2017-04-04,57
2017-04-12,57
2017-04-13,57
2017-04-14,57
2017-04-15,57
2017-04-16,59
2017-04-17,59
2017-04-18,59
2017-04-19,59
2017-04-20,59
2017-04-21,59
2017-04-22,61
2017-04-23,61
2017-04-24,61
2017-04-25,61
2017-04-26,61
2017-04-27,61
2017-04-28,64
2017-04-29,64
2017-04-30,64
2017-05-01,64
2017-05-02,64
2017-05-03,64
2017-05-04,65
2017-05-05,65
2017-05-06,65
2017-05-07,65
2017-05-08,65
2017-05-09,65
2017-05-10,67
2017-05-11,67
2017-05-12,67
2017-05-13,67
2017-05-14,67
2017-05-15,67
2017-05-16,68
2017-05-17,68
2017-05-18,68
2017-05-19,68
2017-05-20,68
2017-05-21,68
2017-05-22,68
2017-05-23,71
2017-05-24,71
2017-05-25,71
2017-05-26,71
2017-05-27,71
2017-05-28,71
2017-05-29,71
2017-05-30,71
2017-05-31,71
2017-06-01,71
2017-06-02,71
2017-06-03,71
2017-06-06,71
2017-06-07,71
2017-06-08,72
2017-06-09,72
2017-06-10,72
2017-06-11,72
2017-06-12,72
2017-06-13,72
2017-06-14,72
2017-06-15,72
2017-06-16,72
2017-06-17,72
2017-06-18,72
2017-06-19,72
2017-06-20,72
2017-06-21,72
2017-06-22,72
2017-06-23,72
2017-06-24,72
2017-06-25,72
2017-06-26,72
2017-06-27,72
2017-06-28,72
2017-06-29,72
2017-06-30,72
2017-07-01,72
2017-07-02,72
2017-07-03,72
2017-07-04,72
2017-07-05,72
2017-07-06,73
2017-07-07,73
2017-07-08,73
2017-07-13,73
2017-07-14,73
2017-07-15,73
2017-07-16,73
2017-07-17,73
2017-07-18,73
2017-07-19,73
