date_obj,Bowl%20of%20hot%20water price
2016-09-23,379
2016-09-24,378
2016-09-25,378
2016-09-26,378
2016-09-27,395
2016-09-28,395
2016-09-29,395
2016-09-30,409
2016-10-01,409
2016-10-02,409
2016-10-03,415
2016-10-04,415
2016-10-05,422
2016-10-06,422
2016-10-07,422
2016-10-08,419
2016-10-09,419
2016-10-10,419
2016-10-11,399
2016-10-12,399
2016-10-13,399
2016-10-14,395
2016-10-15,395
2016-10-16,395
2016-10-17,375
2016-10-18,375
2016-10-19,375
2016-10-20,358
2016-10-21,358
2016-10-22,358
2016-10-23,340
2016-10-24,340
2016-10-25,340
2016-10-26,334
2016-10-27,334
2016-10-28,334
2016-10-29,351
2016-10-30,351
2016-10-31,351
2016-11-01,364
2016-11-02,364
2016-11-03,364
2016-11-04,383
2016-11-05,383
2016-11-06,383
2016-11-07,384
2016-11-08,384
2016-11-09,375
2016-11-10,375
2016-11-11,375
2016-11-12,374
2016-11-13,374
2016-11-14,374
2016-11-15,361
2016-12-07,305
2016-12-08,294
2016-12-09,294
2016-12-10,294
2016-12-11,292
2016-12-12,292
2016-12-13,292
2016-12-14,284
2016-12-15,284
2016-12-16,284
2016-12-17,273
2016-12-18,273
2016-12-19,273
2016-12-20,266
2016-12-21,266
2016-12-22,266
2016-12-23,262
2016-12-24,264
2016-12-25,255
2016-12-26,246
2016-12-27,234
2016-12-28,239
2016-12-29,233
2016-12-30,221
2016-12-31,216
2017-01-01,227
2017-01-02,239
2017-01-03,241
2017-01-04,244
2017-01-05,257
2017-01-06,270
2017-01-07,284
2017-01-08,279
2017-01-09,281
2017-01-10,296
2017-01-11,308
2017-01-12,324
2017-01-13,324
2017-01-14,326
2017-01-15,309
2017-01-16,297
2017-01-17,298
2017-01-18,308
2017-01-19,308
2017-01-20,298
2017-01-21,296
2017-01-22,296
2017-01-23,290
2017-01-27,306
2017-01-28,320
2017-01-29,328
2017-01-30,328
2017-01-31,334
2017-02-01,348
2017-02-02,348
2017-02-03,358
2017-02-04,358
2017-02-05,358
2017-02-06,365
2017-02-07,365
2017-02-08,368
2017-02-09,368
2017-02-10,369
2017-02-11,369
2017-02-12,358
2017-02-13,358
2017-02-14,345
2017-02-15,345
2017-02-16,344
2017-02-18,334
2017-02-19,333
2017-02-20,333
2017-02-21,335
2017-02-22,335
2017-02-23,335
2017-02-24,335
2017-02-25,337
2017-02-26,337
2017-02-27,342
2017-02-28,345
2017-03-01,345
2017-03-02,336
2017-03-03,336
2017-03-04,319
2017-03-05,319
2017-03-06,303
2017-03-07,303
2017-03-08,303
2017-03-09,294
2017-03-10,294
2017-03-11,279
2017-03-12,279
2017-03-13,265
2017-03-14,265
2017-03-15,251
2017-03-16,251
2017-03-17,238
2017-03-18,238
2017-03-19,232
2017-03-20,232
2017-03-21,229
2017-03-22,229
2017-03-23,219
2017-03-24,219
2017-03-25,208
2017-03-26,208
2017-03-27,214
2017-03-28,214
2017-03-29,220
2017-03-30,220
2017-03-31,230
2017-04-01,230
2017-04-02,239
2017-04-03,239
2017-04-04,248
2017-04-12,262
2017-04-13,275
2017-04-14,275
2017-04-15,288
2017-04-16,288
2017-04-17,296
2017-04-18,296
2017-04-19,297
2017-04-20,297
2017-04-21,297
2017-04-22,297
2017-04-23,294
2017-04-24,294
2017-04-25,290
2017-04-26,290
2017-04-27,290
2017-04-28,276
2017-04-29,276
2017-04-30,263
2017-05-01,263
2017-05-02,249
2017-05-03,249
2017-05-04,237
2017-05-05,237
2017-05-06,240
2017-05-07,240
2017-05-08,240
2017-05-09,240
2017-05-10,240
2017-05-11,240
2017-05-12,238
2017-05-13,238
2017-05-14,236
2017-05-15,236
2017-05-16,229
2017-05-17,229
2017-05-18,217
2017-05-19,217
2017-05-20,211
2017-05-21,211
2017-05-22,216
2017-05-23,216
2017-05-24,219
2017-05-25,219
2017-05-26,228
2017-05-27,228
2017-05-28,239
2017-05-29,239
2017-05-30,242
2017-05-31,242
2017-06-01,247
2017-06-02,247
2017-06-03,249
2017-06-04,249
2017-06-05,256
2017-06-06,269
2017-06-07,269
2017-06-08,270
2017-06-09,270
2017-06-10,259
2017-06-11,259
2017-06-12,246
2017-06-13,246
2017-06-14,237
2017-06-15,237
2017-06-16,236
2017-06-17,236
2017-06-18,242
2017-06-19,242
2017-06-20,247
2017-06-21,247
2017-06-22,243
2017-06-23,243
2017-06-24,235
2017-06-25,235
2017-06-26,233
2017-06-27,233
2017-06-28,231
2017-06-29,231
2017-06-30,219
2017-07-01,219
2017-07-02,219
2017-07-03,215
2017-07-04,215
2017-07-05,223
2017-07-06,223
2017-07-07,231
2017-07-08,231
2017-07-13,241
2017-07-14,237
2017-07-15,237
2017-07-16,237
2017-07-17,225
2017-07-18,225
2017-07-19,218
2017-07-20,218
2017-07-21,208
2017-07-22,208
2017-07-23,200
2017-07-24,200
2017-07-25,200
2017-07-26,200
2017-07-27,200
2017-07-28,200
2017-07-29,200
2017-07-30,207
2017-07-31,207
2017-08-01,207
2017-08-02,218
2017-08-03,218
2017-08-04,218
2017-08-05,222
2017-08-06,222
2017-08-09,229
2017-08-10,229
2017-08-11,232
2017-08-12,232
2017-08-13,235
2017-08-14,235
2017-08-15,237
2017-08-16,237
2017-08-17,234
2017-08-18,234
2017-08-19,234
2017-08-20,239
2017-08-21,239
2017-08-22,250
2017-08-23,250
2017-08-24,263
2017-08-25,263
2017-08-26,276
2017-08-27,276
2017-08-28,288
2017-08-29,288
2017-08-30,303
2017-08-31,303
2017-09-01,303
2017-09-02,308
2017-09-03,308
2017-09-04,308
2017-09-05,292
2017-09-06,292
2017-09-07,288
2017-09-08,288
2017-09-09,284
2017-09-10,284
2017-09-11,278
2017-09-12,278
2017-09-13,268
2017-09-14,268
2017-09-15,257
2017-09-16,257
2017-09-17,244
2017-09-18,244
2017-09-19,244
2017-09-20,239
2017-09-21,239
2017-09-22,242
2017-09-23,242
2017-09-24,244
2017-09-25,244
2017-09-26,244
2017-09-27,244
2017-09-28,236
2017-09-29,236
2017-09-30,238
2017-10-01,238
2017-10-02,245
2017-10-03,245
2017-10-04,245
2017-10-05,244
2017-10-06,244
2017-10-07,246
2017-10-08,246
2017-10-09,248
2017-10-10,248
2017-10-11,248
2017-10-12,244
2017-10-13,244
2017-10-14,231
2017-10-15,231
2017-10-16,225
2017-10-17,225
2017-10-18,216
2017-10-19,216
2017-10-20,216
2017-10-21,212
2017-10-22,212
2017-10-23,206
2017-10-24,206
2017-10-25,214
2017-10-26,214
2017-10-27,214
2017-10-28,214
2017-10-29,216
2017-10-30,216
2017-10-31,219
2017-11-01,219
2017-11-02,219
2017-11-03,228
2017-11-04,228
2017-11-05,237
2017-11-06,237
2017-11-07,237
2017-11-08,247
2017-11-09,247
2017-11-10,255
2017-11-11,255
2017-11-12,265
2017-11-13,265
2017-11-14,275
2017-11-15,275
2017-11-16,275
2017-11-17,275
2017-11-18,287
2017-11-19,287
2017-11-20,278
2017-11-21,278
2017-11-22,282
2017-11-23,282
2017-11-24,277
2017-11-25,277
2017-11-26,269
2017-11-27,269
2017-11-28,269
2017-11-29,255
2017-11-30,255
2017-12-01,242
2017-12-02,242
2017-12-03,229
2017-12-04,229
2017-12-05,223
2017-12-06,223
2017-12-07,222
2017-12-08,222
2017-12-09,222
2017-12-10,210
2017-12-11,210
2017-12-12,211
2017-12-13,211
2017-12-14,211
2017-12-15,215
2017-12-16,215
2017-12-17,222
2017-12-18,222
2017-12-19,230
2017-12-20,230
2017-12-21,233
2017-12-22,233
2017-12-23,243
2017-12-24,243
2017-12-25,243
2017-12-26,245
2017-12-27,245
2017-12-28,243
2017-12-29,243
2017-12-30,235
2017-12-31,235
2018-01-01,246
2018-01-02,246
2018-01-03,255
2018-01-04,255
2018-01-05,268
2018-01-06,268
2018-01-07,278
2018-01-08,278
2018-01-09,277
2018-01-10,277
2018-01-11,266
2018-01-12,266
2018-01-13,261
2018-01-14,261
2018-01-15,255
2018-01-16,255
2018-01-17,249
2018-01-18,249
2018-01-19,249
2018-01-20,239
2018-01-21,239
2018-01-22,241
2018-01-23,241
2018-01-24,243
2018-01-25,252
2018-01-26,255
2018-01-27,266
2018-01-28,274
2018-01-29,276
2018-01-30,270
2018-01-31,284
2018-02-01,287
