date_obj,Treasonous%20ring price
2015-09-16,2019131
2015-09-17,1920862
2015-09-18,1920862
2015-09-19,1920862
2015-09-20,1920862
2015-09-21,1824850
2015-09-22,1824850
2015-09-23,1824850
2015-09-24,1824850
2015-09-25,1733607
2015-09-27,1733607
2015-09-28,1660686
2015-09-29,1660686
2015-09-30,1660686
2015-10-05,1609052
2015-10-06,1609052
2015-10-07,1609052
2015-10-08,1609052
2015-10-09,1621387
2015-10-10,1621387
2015-10-11,1621387
2015-10-12,1621387
2015-10-13,1595375
2015-10-14,1595375
2015-10-15,1595375
2015-10-16,1595375
2015-10-17,1648285
2015-10-18,1648285
2015-10-19,1648285
2015-10-20,1649055
2015-10-22,1649055
2015-10-23,1635023
2015-10-24,1635023
2015-10-25,1635023
2015-10-26,1715422
2015-10-27,1715422
2015-10-29,1715422
2015-10-30,1795248
2015-10-31,1795248
2015-11-01,1795248
2015-11-02,1795248
2015-11-03,1795248
2015-11-04,1868670
2015-11-05,1868670
2015-11-06,1868670
2015-11-07,1868670
2015-11-08,1868670
2015-11-09,1858629
2015-11-10,1858629
2015-11-11,1858629
2015-11-12,1858629
2015-11-13,1858629
2015-11-14,1766386
2015-11-15,1766386
2015-11-16,1766386
2015-11-17,1766386
2015-11-18,1766386
2015-11-19,1680968
2015-11-20,1680968
2015-11-21,1680968
2015-11-22,1680968
2015-11-23,1680968
2015-11-24,1659793
2015-11-25,1659793
2015-11-26,1659793
2015-11-27,1659793
2015-11-28,1733044
2015-11-29,1733044
2015-11-30,1733044
2015-12-01,1733044
2015-12-02,1787506
2015-12-03,1787506
2015-12-04,1787506
2015-12-05,1787506
2015-12-06,1851075
2015-12-07,1851075
2015-12-08,1851075
2015-12-09,1851075
2015-12-10,1932714
2015-12-11,1932714
2015-12-13,1932714
2015-12-14,1932714
2015-12-15,1967623
2015-12-16,1967623
2015-12-17,1967623
2015-12-18,1967623
2015-12-19,2056770
2015-12-20,2056770
2015-12-21,2056770
2015-12-22,2056770
2015-12-23,2141425
2015-12-24,2141425
2015-12-25,2141425
2015-12-26,2141425
2015-12-27,2140737
2015-12-28,2140737
2015-12-29,2140737
2015-12-30,2229778
2015-12-31,2229778
2016-01-01,2229778
2016-01-02,2229778
2016-01-03,2316489
2016-01-04,2316489
2016-01-05,2316489
2016-01-07,2419057
2016-01-08,2419057
2016-01-09,2419057
2016-01-10,2419057
2016-01-11,2487761
2016-01-12,2487761
2016-01-13,2487761
