date_obj,Raw%20dark%20crab price
2015-11-01,1351
2015-11-02,1351
2015-11-03,1405
2015-11-04,1405
2015-11-05,1405
2015-11-06,1405
2015-11-07,1405
2015-11-08,1405
2015-11-09,1405
2015-11-10,1405
2015-11-11,1405
2015-11-12,1405
2015-11-13,1405
2015-11-14,1405
2015-11-15,1405
2015-11-16,1405
2015-11-17,1348
2015-11-18,1348
2015-11-19,1348
2015-11-20,1348
2015-11-21,1348
2015-11-22,1348
2015-11-23,1348
2015-11-24,1348
2015-11-25,1348
2015-11-26,1348
2015-11-27,1348
2015-11-28,1400
2015-11-29,1400
2015-11-30,1400
2015-12-01,1400
2015-12-02,1400
2015-12-03,1469
2015-12-04,1469
2015-12-05,1469
2015-12-06,1469
2015-12-07,1469
2015-12-08,1496
2015-12-09,1496
2015-12-10,1496
2015-12-11,1496
2015-12-12,1496
2015-12-13,1496
2015-12-14,1496
2015-12-15,1548
2015-12-16,1548
2015-12-17,1548
2015-12-18,1548
2015-12-19,1548
2015-12-20,1548
2015-12-21,1548
2015-12-22,1548
2015-12-23,1487
2015-12-24,1487
2015-12-25,1487
2015-12-26,1487
2015-12-27,1487
2015-12-28,1487
2015-12-29,1487
2015-12-30,1487
2015-12-31,1427
2016-01-01,1427
2016-01-02,1427
2016-01-03,1427
2016-01-04,1427
2016-01-05,1427
2016-01-06,1427
2016-01-07,1427
2016-01-08,1392
2016-01-09,1392
2016-01-10,1392
2016-01-11,1392
2016-01-12,1392
2016-01-13,1392
2016-01-14,1392
2016-01-15,1392
2016-01-16,1355
2016-01-17,1355
2016-01-18,1355
2016-01-19,1355
2016-01-20,1355
2016-01-21,1355
2016-01-22,1355
2016-01-23,1355
2016-01-24,1355
2016-01-25,1374
2016-01-26,1374
2016-01-27,1374
2016-01-28,1374
2016-01-29,1374
2016-01-30,1374
2016-01-31,1374
2016-02-01,1374
2016-02-02,1395
2016-02-03,1395
2016-02-04,1395
2016-02-05,1395
2016-02-06,1395
2016-02-07,1395
2016-02-08,1395
2016-02-09,1395
2016-02-10,1431
2016-02-11,1431
2016-02-12,1431
2016-02-13,1431
2016-02-14,1431
2016-02-15,1431
2016-02-16,1431
2016-02-17,1431
2016-02-18,1484
2016-02-19,1484
2016-02-20,1484
2016-02-21,1484
2016-02-22,1484
2016-02-23,1484
2016-02-24,1484
2016-02-25,1513
2016-02-26,1513
2016-02-27,1513
2016-02-28,1513
2016-02-29,1513
2016-03-01,1513
2016-03-02,1513
2016-03-03,1513
2016-03-04,1542
2016-03-05,1542
2016-03-06,1542
2016-03-07,1542
2016-03-08,1542
2016-03-09,1542
2016-03-10,1542
2016-03-11,1542
2016-03-12,1593
2016-03-13,1593
2016-03-14,1593
2016-03-15,1593
2016-03-16,1593
2016-03-17,1593
2016-03-18,1593
2016-03-19,1593
2016-03-20,1583
2016-03-21,1583
2016-03-22,1583
2016-03-23,1583
2016-03-24,1583
2016-03-25,1583
2016-03-26,1583
2016-03-27,1583
2016-03-28,1581
2016-03-29,1581
2016-03-30,1581
2016-03-31,1581
2016-04-01,1581
