date_obj,Mystic%20gloves%20(dark) price
2016-08-14,6107
2016-08-15,6077
2016-08-16,6077
2016-08-17,6095
2016-08-18,6095
2016-08-19,6102
2016-08-20,6102
2016-08-21,6258
2016-08-22,6258
2016-08-23,6399
2016-08-24,6399
2016-08-25,6367
2016-08-26,6367
2016-08-28,6369
2016-08-31,6483
2016-09-01,6483
2016-09-02,6439
2016-09-03,6439
2016-09-04,6479
2016-09-05,6479
2016-09-06,6505
2016-09-07,6505
2016-09-08,6237
2016-09-09,6237
2016-09-10,6248
2016-09-11,6248
2016-09-12,6105
2016-09-13,6105
2016-09-14,6101
2016-09-15,6101
2016-09-16,5988
2016-09-17,5988
2016-09-18,5931
2016-09-19,5931
2016-09-20,5891
2016-09-21,5891
2016-09-22,5894
2016-09-23,5894
2016-09-24,5894
2016-09-25,6178
2016-09-26,6178
2016-09-27,6241
2016-09-28,6241
2016-09-29,6058
2016-09-30,6058
2016-10-01,6037
2016-10-02,6037
2016-10-03,6037
2016-10-04,6048
2016-10-05,6048
2016-10-06,6252
2016-10-07,6252
2016-10-08,6426
2016-10-09,6426
2016-10-10,6412
2016-10-11,6412
2016-10-12,6448
2016-10-13,6448
2016-10-14,6428
2016-10-15,6428
2016-10-16,6493
2016-10-17,6493
2016-10-18,6415
2016-10-19,6415
2016-10-20,6398
2016-10-21,6398
2016-10-22,6597
2016-10-23,6597
2016-10-24,6896
2016-10-25,6896
2016-10-26,6992
2016-10-27,6992
2016-10-28,6992
2016-10-29,6878
2016-10-30,6878
2016-10-31,6720
2016-11-01,6720
2016-11-02,6655
2016-11-03,6655
2016-11-04,6747
2016-11-05,6747
2016-11-06,7012
2016-11-07,7012
2016-11-08,6843
2016-11-09,6843
2016-11-10,6794
2016-11-11,6794
2016-11-12,6801
2016-11-13,6801
2016-11-14,6775
2016-12-07,6316
2016-12-08,6553
2016-12-09,6553
2016-12-10,6679
2016-12-11,6896
2016-12-12,6896
2016-12-13,6932
2016-12-14,6846
2016-12-15,6846
2016-12-16,6705
2016-12-17,6578
2016-12-18,6578
2016-12-19,6752
2016-12-20,6752
2016-12-21,6976
2016-12-22,6976
2016-12-23,7258
2016-12-24,7258
2016-12-25,7269
2016-12-26,7269
2016-12-27,7609
2016-12-28,7609
2016-12-29,7878
2016-12-30,7878
2016-12-31,7773
2017-01-01,7773
2017-01-02,7599
2017-01-03,7599
2017-01-04,7325
2017-01-05,7325
2017-01-06,7230
2017-01-07,7101
2017-01-08,6953
2017-01-09,6713
2017-01-10,6664
2017-01-11,6626
2017-01-12,6511
2017-01-13,6511
2017-01-14,6496
2017-01-15,6273
2017-01-16,6175
2017-01-17,6133
2017-01-18,6057
2017-01-19,6057
2017-01-20,6227
2017-01-21,6405
2017-01-22,6405
2017-01-27,7563
2017-01-28,7261
2017-01-29,6910
2017-01-30,6910
2017-01-31,6745
2017-02-01,6496
2017-02-02,6496
2017-02-03,6308
2017-02-04,6231
2017-02-05,6231
2017-02-06,6409
2017-02-07,6409
2017-02-08,6509
2017-02-09,6509
2017-02-10,6299
2017-02-11,6153
2017-02-12,6153
2017-02-13,5990
2017-02-14,5984
2017-02-15,5984
2017-02-16,6091
2017-02-18,6105
2017-02-19,6144
2017-02-20,6144
2017-02-21,6075
2017-02-22,6075
2017-02-23,6141
2017-02-24,6141
2017-02-25,6132
2017-02-26,6132
2017-02-27,6178
2017-02-28,6183
2017-03-01,6183
2017-03-02,6379
2017-03-03,6379
2017-03-04,6684
2017-03-05,6684
2017-03-06,6777
2017-03-07,6777
2017-03-08,6799
2017-03-09,6799
2017-03-10,6595
2017-03-11,6462
2017-03-12,6462
2017-03-13,6271
2017-03-14,6193
2017-03-15,6126
2017-03-16,6126
2017-03-17,6062
2017-03-18,6062
2017-03-19,6104
2017-03-20,6404
2017-03-21,6358
2017-03-22,6358
2017-03-23,6263
2017-03-24,6297
2017-03-25,6297
2017-03-26,6531
2017-03-27,6723
2017-03-28,6723
2017-03-29,6757
2017-03-30,6757
2017-03-31,6674
2017-04-01,6674
2017-04-02,6798
2017-04-03,6744
2017-04-04,6744
2017-04-12,6424
2017-04-13,6314
2017-04-14,6314
2017-04-15,6247
2017-04-16,6482
2017-04-17,6713
2017-04-18,6713
2017-04-19,6500
2017-04-20,6500
2017-04-21,6564
2017-04-22,6564
2017-04-23,6587
2017-04-24,6587
2017-04-25,6517
2017-04-26,6517
2017-04-27,6700
2017-04-28,6872
2017-04-29,6898
2017-04-30,6898
2017-05-01,7107
2017-05-02,7188
2017-05-03,7188
2017-05-04,6995
2017-05-05,6746
2017-05-06,6746
2017-05-07,6619
2017-05-08,6619
2017-05-09,6671
2017-05-10,6671
2017-05-11,6520
2017-05-12,6401
2017-05-13,6522
2017-05-14,6522
2017-05-15,6712
2017-05-16,6784
2017-05-17,6784
2017-05-18,6510
2017-05-19,6510
2017-05-20,6535
2017-05-21,6535
2017-05-22,6820
2017-05-23,6820
2017-05-24,7096
2017-05-25,7096
2017-05-26,7033
2017-05-27,6777
2017-05-28,6777
2017-05-29,6643
2017-05-30,6643
2017-05-31,6554
2017-06-01,6415
2017-06-02,6463
2017-06-03,6463
2017-06-06,6575
2017-06-07,6488
2017-06-08,6488
2017-06-09,6436
2017-06-10,6316
2017-06-11,6329
2017-06-12,6329
2017-06-13,6245
2017-06-14,6245
2017-06-15,6182
2017-06-16,6238
2017-06-17,6238
2017-06-18,6371
2017-06-19,6371
2017-06-20,6322
2017-06-21,6322
2017-06-22,6495
2017-06-23,6495
2017-06-24,6492
2017-06-25,6492
2017-06-26,6437
2017-06-27,6359
2017-06-28,6359
2017-06-29,6302
2017-06-30,6302
2017-07-01,6224
2017-07-02,6224
2017-07-03,6175
2017-07-04,6102
2017-07-05,6102
2017-07-06,6082
2017-07-07,6082
2017-07-08,6106
2017-07-13,6180
2017-07-14,6136
2017-07-15,6136
2017-07-16,6148
2017-07-17,6061
2017-07-18,6061
2017-07-19,6011
2017-07-20,6135
2017-07-21,6147
2017-07-22,6142
2017-07-23,6239
2017-07-24,6239
2017-07-25,6363
2017-07-26,6363
2017-07-27,6579
2017-07-28,6579
2017-07-29,6621
2017-07-30,6576
2017-07-31,6576
2017-08-01,6569
2017-08-02,6567
2017-08-03,6567
2017-08-04,6508
2017-08-05,6506
2017-08-06,6506
2017-08-09,6605
2017-08-10,6753
2017-08-11,6753
2017-08-12,6814
2017-08-13,6814
2017-08-14,7001
2017-08-15,6840
2017-08-16,6840
2017-08-17,6597
2017-08-18,6597
2017-08-19,6426
2017-08-20,6373
2017-08-22,6361
2017-08-23,6361
2017-08-24,6334
2017-08-25,6334
2017-08-26,6295
2017-08-27,6283
2017-08-28,6283
2017-08-29,6179
2017-08-30,6198
2017-08-31,6198
2017-09-01,6340
2017-09-02,6557
2017-09-03,6557
2017-09-04,6679
2017-09-05,6765
2017-09-06,6765
2017-09-07,6659
2017-09-08,6659
2017-09-09,6501
2017-09-10,6497
2017-09-11,6497
2017-09-12,6419
2017-09-13,6329
2017-09-14,6236
2017-09-15,6236
2017-09-16,6169
2017-09-17,6151
2017-09-19,6233
2017-09-20,6091
2017-09-21,6091
