date_obj,Dragonstone%20boots price
2020-04-18,528692
2020-04-19,528692
2020-04-20,527329
2020-04-21,527329
2020-04-22,527329
2020-04-23,527329
2020-04-24,527329
2020-04-25,527329
2020-04-26,551083
2020-04-27,551083
2020-04-28,551083
2020-04-29,551083
2020-04-30,551083
2020-05-01,551083
2020-05-02,577226
2020-05-03,577226
2020-05-04,577226
2020-05-05,577226
2020-05-06,577226
2020-05-07,577226
2020-05-08,585689
2020-05-09,585689
2020-05-10,585689
2020-05-11,585689
2020-05-12,585689
2020-05-13,569070
