date_obj,Black%20scimitar price
2016-09-16,2365
2016-09-17,2450
2016-09-18,2542
2016-09-19,2661
2016-09-20,2661
2016-09-21,2760
2016-09-22,2853
2016-09-23,2840
2016-09-24,2840
2016-09-25,2724
2016-09-26,2724
2016-09-27,2640
2016-09-28,2547
2016-09-29,2458
2016-09-30,2354
2016-10-01,2236
2016-10-02,2139
2016-10-03,2032
2016-10-04,1971
2016-10-05,2060
2016-10-06,2144
2016-10-07,2230
2016-10-08,2281
2016-10-09,2371
2016-10-10,2386
2016-10-11,2331
2016-10-12,2225
2016-10-13,2144
2016-10-14,2052
2016-10-15,1952
2016-10-16,1886
2016-10-17,1889
2016-10-18,1915
2016-10-19,1869
2016-10-20,1830
2016-10-21,1816
2016-10-22,1816
2016-10-23,1801
2016-10-24,1806
2016-10-25,1806
2016-10-26,1828
2016-10-27,1875
2016-10-28,1875
2016-10-29,1897
2016-10-30,1865
2016-10-31,1825
2016-11-01,1825
2016-11-02,1805
2016-11-03,1803
2016-11-04,1889
2016-11-05,1889
2016-11-06,1900
2016-11-07,1805
2016-11-08,1768
2016-11-09,1756
2016-11-10,1721
2016-11-11,1718
2016-11-12,1700
2016-11-13,1669
2016-11-14,1683
2016-11-15,1746
2016-12-07,2114
2016-12-08,2093
2016-12-09,2107
2016-12-10,2109
2016-12-11,2117
2016-12-12,2093
2016-12-13,2130
2016-12-14,2191
2016-12-15,2286
2016-12-16,2326
2016-12-17,2379
2016-12-18,2475
2016-12-19,2531
2016-12-20,2557
2016-12-21,2608
2016-12-22,2633
2016-12-23,2681
2016-12-24,2748
2016-12-25,2805
2016-12-26,2789
2016-12-27,2848
2016-12-28,2884
2016-12-29,2940
2016-12-30,2859
2016-12-31,2897
2017-01-01,2884
2017-01-02,2939
2017-01-03,2971
2017-01-04,3013
2017-01-05,3036
2017-01-06,3004
2017-01-07,3017
2017-01-08,3071
2017-01-09,2969
2017-01-10,2963
2017-01-11,2992
2017-01-12,2933
2017-01-13,2924
2017-01-14,2892
2017-01-15,2895
2017-01-16,2815
2017-01-17,2746
2017-01-18,2751
2017-01-19,2747
2017-01-20,2724
2017-01-21,2707
2017-01-22,2730
2017-01-23,2708
2017-01-27,2631
2017-01-28,2565
2017-01-29,2492
2017-01-30,2440
2017-01-31,2318
2017-02-01,2306
2017-02-02,2308
2017-02-03,2343
2017-02-04,2343
