date_obj,Gilded%20coif price
2020-03-27,1011855
2020-03-28,1011855
2020-03-29,999547
2020-03-30,999547
2020-03-31,999547
2020-04-01,976866
2020-04-02,976866
2020-04-03,976866
2020-04-04,987498
2020-04-05,987498
2020-04-06,987498
2020-04-07,987498
2020-04-08,965235
2020-04-09,965235
2020-04-10,965235
2020-04-11,927227
2020-04-12,927227
2020-04-13,927227
2020-04-14,893647
2020-04-15,893647
2020-04-16,891787
2020-04-17,891787
2020-04-18,922404
2020-04-19,922404
2020-04-20,952370
2020-04-21,952370
2020-04-22,952370
2020-04-23,973050
2020-04-24,973050
2020-04-25,973050
2020-04-26,998560
2020-04-27,998560
2020-04-28,998560
2020-04-29,1034611
2020-04-30,1034611
2020-05-01,1034611
2020-05-02,1063669
2020-05-03,1063669
2020-05-04,1063669
2020-05-05,1063669
2020-05-06,1045540
2020-05-07,1045540
2020-05-08,1045540
2020-05-09,997996
2020-05-10,997996
2020-05-11,997996
2020-05-12,951185
2020-05-13,951185
