date_obj,Staff%20of%20bob%20the%20cat price
2020-04-19,86267
2020-04-20,89529
2020-04-21,89529
2020-04-22,92273
2020-04-23,92273
2020-04-24,92273
2020-04-25,96348
2020-04-26,96348
2020-04-27,99215
2020-04-28,99215
2020-04-29,99215
2020-04-30,100795
2020-05-01,100795
2020-05-02,100795
2020-05-03,99186
2020-05-04,99186
2020-05-05,99186
2020-05-06,97918
2020-05-07,97918
2020-05-08,97918
2020-05-09,98369
2020-05-10,98369
2020-05-11,98369
2020-05-12,98168
2020-05-13,98168
