date_obj,Pot%20of%20flour price
2015-08-02,60
2015-08-03,57
2015-08-04,54
2015-08-05,52
2015-08-06,49
2015-08-07,46
2015-08-08,43
2015-08-09,43
2015-08-10,41
2015-08-11,39
2015-08-12,39
2015-08-13,38
2015-08-14,39
2015-08-15,38
2015-08-16,39
2015-08-17,39
2015-08-18,41
2015-08-19,44
2015-08-20,47
2015-08-21,50
2015-08-22,53
2015-08-23,56
2015-08-24,59
2015-08-25,59
2015-08-26,61
2015-08-27,65
2015-08-28,69
2015-08-29,72
2015-08-30,70
2015-08-31,74
2015-09-01,78
2015-09-02,78
2015-09-03,76
2015-09-04,72
2015-09-05,68
2015-09-06,64
2015-09-07,62
2015-09-08,59
2015-09-09,56
2015-09-10,59
2015-09-11,62
2015-09-12,66
2015-09-13,70
2015-09-14,70
2015-09-15,69
2015-09-16,69
2015-09-17,67
2015-09-18,69
2015-09-19,72
2015-09-20,73
2015-09-21,76
2015-09-22,78
2015-09-23,74
2015-09-24,70
2015-09-25,72
2015-09-27,65
2015-09-28,61
2015-09-29,58
2015-09-30,57
2015-10-05,61
2015-10-06,62
2015-10-07,61
2015-10-08,61
2015-10-09,64
2015-10-10,64
2015-10-11,66
2015-10-12,67
2015-10-13,71
2015-10-14,75
2015-10-15,76
2015-10-16,80
2015-10-17,80
2015-10-18,79
2015-10-19,79
2015-10-20,81
2015-10-22,82
2015-10-23,80
2015-10-24,81
2015-10-25,85
2015-10-26,90
2015-10-27,91
2015-10-29,93
2015-10-30,98
2015-10-31,99
2015-11-01,101
2015-11-02,105
2015-11-03,104
2015-11-04,110
2015-11-05,112
2015-11-06,118
2015-11-07,116
2015-11-08,110
2015-11-09,108
2015-11-10,108
2015-11-11,108
2015-11-12,107
2015-11-13,108
2015-11-14,106
2015-11-15,106
2015-11-16,110
2015-11-17,110
2015-11-18,111
2015-11-19,117
2015-11-20,117
2015-11-21,117
2015-11-22,121
2015-11-23,121
2015-11-24,127
2015-11-25,132
2015-11-26,137
2015-11-27,131
2015-11-28,131
2015-11-29,133
2015-11-30,132
2015-12-01,133
2015-12-02,128
2015-12-03,122
2015-12-04,121
2015-12-05,114
2015-12-06,108
2015-12-07,104
2015-12-08,101
2015-12-09,101
2015-12-10,99
2015-12-11,99
2015-12-12,94
2015-12-13,89
2015-12-14,89
2015-12-15,88
2015-12-16,85
2015-12-17,86
2015-12-18,82
2015-12-19,78
2015-12-20,77
2015-12-21,74
2015-12-22,72
2015-12-23,71
2015-12-24,71
2015-12-25,71
2015-12-26,69
2015-12-27,69
2015-12-28,68
2015-12-29,67
2015-12-30,67
2015-12-31,66
2016-01-01,63
2016-01-02,64
2016-01-03,67
2016-01-04,70
2016-01-05,73
2016-01-06,77
2016-01-07,80
2016-01-08,82
2016-01-09,79
2016-01-10,80
2016-01-11,79
2016-01-12,81
2016-01-13,80
2016-01-14,82
2016-01-15,87
2016-01-16,92
2016-01-17,95
2016-01-18,98
2016-01-19,101
2016-01-20,99
2016-01-21,103
2016-01-22,105
2016-01-23,105
2016-01-24,103
2016-01-25,107
2016-01-26,113
2016-01-27,119
2016-01-28,119
2016-01-29,122
2016-01-30,119
2016-01-31,114
2016-02-01,108
2016-02-02,106
2016-02-03,106
2016-02-04,110
2016-02-05,114
2016-02-06,116
2016-02-07,122
2016-02-08,119
2016-02-09,118
2016-02-10,113
2016-02-11,107
2016-02-12,101
2016-02-13,96
2016-02-14,91
2016-02-15,92
2016-02-16,91
2016-02-17,93
2016-02-18,98
2016-02-19,100
2016-02-20,101
2016-02-21,104
2016-02-22,109
2016-02-23,110
2016-02-24,115
2016-02-25,119
2016-02-26,122
2016-02-27,121
2016-02-28,117
2016-02-29,111
2016-03-01,105
2016-03-02,99
2016-03-03,96
2016-03-04,95
2016-03-05,93
2016-03-06,95
2016-03-07,98
2016-03-08,102
2016-03-09,106
2016-03-10,105
2016-03-11,111
2016-03-12,116
2016-03-13,121
2016-03-14,127
2016-03-15,127
2016-03-16,125
2016-03-17,124
2016-03-18,125
2016-03-19,126
2016-03-20,131
2016-03-21,136
2016-03-22,133
2016-03-23,130
2016-03-24,126
2016-03-25,124
2016-03-26,121
2016-03-27,124
2016-03-28,125
2016-03-29,121
2016-03-30,118
2016-03-31,112
2016-04-01,106
2016-04-02,105
2016-04-03,106
2016-04-04,108
2016-04-05,114
2016-04-06,118
2016-04-07,118
2016-04-08,123
2016-04-09,126
2016-04-10,124
2016-04-11,124
2016-04-12,129
2016-04-14,125
2016-04-15,124
2016-04-16,121
2016-04-17,118
2016-04-18,117
2016-04-19,113
2016-04-20,112
2016-04-21,115
2016-04-22,114
2016-04-23,120
2016-04-24,118
2016-04-25,124
2016-04-26,131
2016-04-27,137
2016-04-28,144
2016-04-29,152
2016-04-30,160
2016-05-01,164
2016-05-02,166
2016-05-03,175
2016-05-04,184
2016-05-05,194
2016-05-06,203
2016-05-07,214
2016-05-08,222
2016-05-09,229
2016-05-10,241
2016-05-11,254
2016-05-12,257
2016-05-13,270
2016-05-14,284
2016-05-15,289
2016-05-16,287
2016-05-17,283
2016-05-18,270
2016-05-19,266
2016-05-22,241
2016-05-23,235
2016-05-24,223
2016-05-25,219
2016-05-26,208
2016-05-27,201
2016-05-28,202
2016-05-29,197
2016-05-30,187
2016-05-31,177
2016-06-01,176
2016-06-02,178
2016-06-03,184
2016-06-04,187
2016-06-05,185
2016-06-06,189
2016-06-07,194
2016-06-08,192
2016-06-09,196
2016-06-10,195
2016-06-11,185
2016-06-12,175
2016-06-13,166
2016-06-14,166
2016-06-15,162
2016-06-16,166
2016-06-17,160
2016-06-18,157
2016-06-19,162
2016-06-20,170
2016-06-21,171
2016-06-22,162
2016-06-23,157
2016-06-24,156
2016-06-25,154
2016-06-26,154
2016-06-27,151
2016-06-28,145
2016-06-29,151
2016-06-30,155
2016-07-01,162
2016-07-02,167
2016-07-03,160
2016-07-04,155
2016-07-05,163
2016-07-06,160
2016-07-07,156
2016-07-08,154
2016-07-09,155
2016-07-10,156
2016-07-11,160
2016-07-12,161
2016-07-13,168
2016-07-14,172
2016-07-15,168
2016-07-16,162
2016-07-17,161
2016-07-18,168
2016-07-23,186
2016-07-24,176
2016-07-25,175
2016-07-26,175
2016-07-27,172
2016-07-28,164
2016-07-29,159
2016-07-30,161
2016-07-31,153
2016-08-01,151
2016-08-02,143
2016-08-03,136
2016-08-04,130
2016-08-05,125
2016-08-06,120
2016-08-07,122
2016-08-08,128
2016-08-09,127
2016-08-10,128
2016-08-11,135
2016-08-12,141
2016-08-13,148
2016-08-14,154
2016-08-15,151
2016-08-16,154
2016-08-17,159
2016-08-18,157
2016-08-19,149
2016-08-20,141
2016-08-21,133
2016-08-22,126
2016-08-23,119
2016-08-24,113
2016-08-25,111
2016-08-26,111
2016-08-28,118
2016-08-31,121
2016-09-01,118
2016-09-02,118
2016-09-03,112
2016-09-04,109
2016-09-05,110
2016-09-06,115
2016-09-07,121
2016-09-08,122
2016-09-09,129
2016-09-10,130
2016-09-11,125
2016-09-12,118
2016-09-13,112
2016-09-14,114
2016-09-15,113
2016-09-16,108
2016-09-17,109
2016-09-18,110
2016-09-19,114
2016-09-20,119
2016-09-21,125
2016-09-22,130
2016-09-23,125
2016-09-24,125
2016-09-25,118
2016-09-26,115
2016-09-27,111
2016-09-28,114
2016-09-29,120
2016-09-30,114
2016-10-01,108
2016-10-02,102
2016-10-03,96
2016-10-04,98
2016-10-05,102
2016-10-06,107
2016-10-07,112
2016-10-08,117
2016-10-09,123
2016-10-10,130
2016-10-11,137
2016-10-12,144
2016-10-13,149
2016-10-14,142
2016-10-15,139
2016-10-16,138
2016-10-17,138
2016-10-18,138
2016-10-19,144
2016-10-20,142
2016-10-21,144
2016-10-22,149
2016-10-23,144
2016-10-24,139
2016-10-25,135
2016-10-26,138
2016-10-27,140
2016-10-28,147
2016-10-29,154
2016-10-30,155
2016-10-31,152
2016-11-01,146
2016-11-02,145
2016-11-03,148
2016-11-04,142
2016-11-05,140
2016-11-06,137
2016-11-07,138
2016-11-08,136
2016-11-09,135
2016-11-10,130
2016-11-11,131
2016-11-12,134
2016-11-13,137
2016-11-14,142
2016-12-07,130
2016-12-08,130
2016-12-09,136
2016-12-10,138
2016-12-11,131
2016-12-12,130
2016-12-13,131
2016-12-14,124
2016-12-15,123
2016-12-16,117
2016-12-17,111
2016-12-18,108
2016-12-19,105
2016-12-20,105
2016-12-21,105
2016-12-22,106
2016-12-23,107
2016-12-24,112
2016-12-25,107
2016-12-26,101
2016-12-27,105
2016-12-28,110
2016-12-29,108
2016-12-30,109
2016-12-31,111
2017-01-01,113
2017-01-02,112
2017-01-03,111
2017-01-04,108
2017-01-05,102
2017-01-06,97
2017-01-07,95
2017-01-08,94
2017-01-09,96
2017-01-10,101
2017-01-11,103
2017-01-12,107
2017-01-13,112
2017-01-14,117
2017-01-15,121
2017-01-16,119
2017-01-17,124
2017-01-18,131
2017-01-19,138
2017-01-20,145
2017-01-21,152
2017-01-22,160
2017-01-27,148
2017-01-28,149
2017-01-29,157
2017-01-30,165
2017-01-31,171
2017-02-01,172
2017-02-02,168
2017-02-03,167
2017-02-04,158
2017-02-05,150
2017-02-06,142
2017-02-07,134
2017-02-08,130
2017-02-09,133
2017-02-10,137
2017-02-11,135
2017-02-12,136
2017-02-13,134
2017-02-14,130
2017-02-15,133
2017-02-16,134
2017-02-18,137
2017-02-19,139
2017-02-20,143
2017-02-21,145
2017-02-22,151
2017-02-23,153
2017-02-24,152
2017-02-25,148
2017-02-26,151
2017-02-27,149
2017-02-28,149
2017-03-01,148
2017-03-02,147
2017-03-03,143
2017-03-04,137
2017-03-05,130
2017-03-06,125
2017-03-07,128
2017-03-08,134
2017-03-09,141
2017-03-10,135
2017-03-11,140
2017-03-12,145
2017-03-13,151
2017-03-14,150
2017-03-15,150
2017-03-16,150
2017-03-17,150
2017-03-18,150
2017-03-19,151
2017-03-20,145
2017-03-21,146
2017-03-22,138
2017-03-23,135
2017-03-24,140
2017-03-25,147
2017-03-26,141
2017-03-27,135
2017-03-28,138
2017-03-29,143
2017-03-30,141
2017-03-31,140
2017-04-01,140
2017-04-02,138
2017-04-03,136
2017-04-04,135
2017-04-12,139
2017-04-13,135
2017-04-14,132
2017-04-15,130
2017-04-16,123
2017-04-17,118
2017-04-18,119
2017-04-19,116
2017-04-20,119
2017-04-21,122
2017-04-22,124
2017-04-23,122
2017-04-24,120
2017-04-25,122
2017-04-26,126
2017-04-27,126
2017-04-28,120
2017-04-29,118
2017-04-30,115
2017-05-01,116
2017-05-02,115
2017-05-03,118
2017-05-04,123
2017-05-05,122
2017-05-06,125
2017-05-07,122
2017-05-08,125
2017-05-09,125
2017-05-10,123
2017-05-11,118
2017-05-12,113
2017-05-13,107
2017-05-14,101
2017-05-15,97
2017-05-16,94
2017-05-17,92
2017-05-18,93
2017-05-19,92
2017-05-20,95
2017-05-21,94
2017-05-22,97
2017-05-23,99
2017-05-24,102
2017-05-25,108
2017-05-26,109
2017-05-27,105
2017-05-28,106
2017-05-29,108
2017-05-30,109
2017-05-31,109
2017-06-01,112
2017-06-02,114
2017-06-03,120
2017-06-06,108
2017-06-07,107
2017-06-08,106
2017-06-09,104
2017-06-10,98
2017-06-11,99
2017-06-12,102
2017-06-13,108
2017-06-14,113
2017-06-15,118
2017-06-16,120
2017-06-17,117
2017-06-18,113
2017-06-19,116
2017-06-20,115
2017-06-21,114
2017-06-22,108
2017-06-23,105
2017-06-24,108
2017-06-25,111
2017-06-26,114
2017-06-27,119
2017-06-28,120
2017-06-29,121
2017-06-30,119
2017-07-01,122
2017-07-02,120
2017-07-03,121
2017-07-04,122
2017-07-05,123
2017-07-06,124
2017-07-07,125
2017-07-08,125
2017-07-13,119
2017-07-14,119
2017-07-15,115
2017-07-16,115
2017-07-17,111
2017-07-18,112
2017-07-19,111
2017-07-20,115
2017-07-21,112
2017-07-22,112
2017-07-23,109
2017-07-24,111
2017-07-25,116
2017-07-26,117
2017-07-27,116
2017-07-28,115
2017-07-29,112
2017-07-30,111
2017-07-31,113
2017-08-01,118
2017-08-02,118
2017-08-03,120
2017-08-04,120
2017-08-05,118
2017-08-06,115
2017-08-09,122
2017-08-10,122
2017-08-11,121
2017-08-12,122
2017-08-13,121
2017-08-14,122
2017-08-15,123
2017-08-17,129
2017-08-18,127
2017-08-19,129
2017-08-20,128
2017-08-22,126
2017-08-23,126
2017-08-24,126
2017-08-25,126
2017-08-26,127
2017-08-27,124
2017-08-28,125
2017-08-29,123
2017-08-30,122
2017-08-31,121
2017-09-01,122
2017-09-02,117
2017-09-03,116
2017-09-04,112
2017-09-05,111
2017-09-06,114
2017-09-07,115
2017-09-08,119
2017-09-09,120
2017-09-10,122
2017-09-11,128
2017-09-12,125
2017-09-13,123
2017-09-14,119
2017-09-15,116
2017-09-16,121
2017-09-17,123
2017-09-19,130
2017-09-20,132
2017-09-21,128
2017-09-22,127
2017-09-23,128
2017-09-24,128
2017-09-25,130
2017-09-26,133
2017-09-27,130
2017-09-28,128
2017-09-29,126
2017-09-30,126
2017-10-01,121
2017-10-02,117
2017-10-03,118
2017-10-04,116
2017-10-05,115
2017-10-06,116
2017-10-07,118
2017-10-08,117
2017-10-09,116
2017-10-10,116
2017-10-11,115
2017-10-12,113
2017-10-13,111
2017-10-14,113
2017-10-15,112
2017-10-16,115
2017-10-17,120
2017-10-18,122
2017-10-19,119
2017-10-20,114
2017-10-21,113
2017-10-22,111
2017-10-23,114
2017-10-24,112
2017-10-25,111
2017-10-26,110
2017-10-27,105
2017-10-28,102
2017-10-29,97
2017-10-30,94
2017-10-31,93
2017-11-01,98
2017-11-02,101
2017-11-03,105
2017-11-04,109
2017-11-05,109
2017-11-06,111
2017-11-07,116
2017-11-08,116
2017-11-09,115
2017-11-10,114
2017-11-11,113
2017-11-12,112
2017-11-13,117
2017-11-14,122
2017-11-15,122
2017-11-16,122
2017-11-17,118
2017-11-18,117
2017-11-19,112
2017-11-20,114
2017-11-21,117
2017-11-22,120
2017-11-23,122
2017-11-24,126
2017-11-25,129
2017-11-26,129
2017-11-27,134
2017-11-28,131
2017-11-29,131
2017-11-30,129
2017-12-01,130
2017-12-02,132
2017-12-03,129
2017-12-04,128
2017-12-05,132
2017-12-06,135
2017-12-07,134
2017-12-08,137
2017-12-09,136
2017-12-10,135
2017-12-11,131
2017-12-12,129
2017-12-14,127
2017-12-15,128
2017-12-16,132
2017-12-17,134
2017-12-18,133
2017-12-19,133
2017-12-20,133
2017-12-21,134
2017-12-22,128
2017-12-23,128
2017-12-24,127
2017-12-25,120
2017-12-26,115
2017-12-27,116
2017-12-28,114
2017-12-29,114
2017-12-30,111
2017-12-31,108
2018-01-01,107
2018-01-02,103
2018-01-03,101
2018-01-04,100
2018-01-05,97
2018-01-06,96
2018-01-07,93
2018-01-08,94
2018-01-09,92
2018-01-10,89
2018-01-11,88
2018-01-12,88
2018-01-13,87
2018-01-14,85
2018-01-15,84
2018-01-16,84
2018-01-17,87
2018-01-18,90
2018-01-19,86
2018-01-20,87
2018-01-21,88
2018-01-22,91
2018-01-23,95
2018-01-24,100
2018-01-25,105
2018-01-26,103
2018-01-27,107
2018-01-28,106
2018-01-29,110
2018-01-31,117
2018-02-01,122
2018-02-02,128
2018-02-03,126
2018-02-04,123
2018-02-05,121
2018-02-06,120
2018-02-07,122
2018-02-08,119
2018-02-09,118
2018-02-10,116
2018-02-11,111
2018-02-12,112
2018-02-13,112
2018-02-14,114
2018-02-15,114
2018-02-16,112
2018-02-17,113
2018-02-18,109
2018-02-19,107
2018-02-20,104
2018-02-21,104
2018-02-22,105
2018-02-23,101
2018-02-24,97
2018-02-25,96
2018-02-26,100
2018-02-27,102
2018-02-28,107
2018-03-01,109
2018-03-02,108
2018-03-03,107
2018-03-05,111
2018-03-06,111
2018-03-07,115
2018-03-08,119
2018-03-09,124
2018-03-10,127
2018-03-11,131
2018-03-12,133
2018-03-13,138
2018-03-14,135
2018-03-15,133
2018-03-16,139
2018-03-17,135
2018-03-18,129
2018-03-19,129
2018-03-20,134
2018-03-21,138
2018-03-23,135
2018-03-24,133
2018-03-26,130
2018-03-27,134
2018-03-28,140
2018-03-29,143
2018-03-30,144
2018-03-31,144
2018-04-01,138
2018-04-02,133
2018-04-03,135
2018-04-04,142
2018-04-05,149
2018-04-06,153
2018-04-08,163
2018-04-09,164
2018-04-10,170
2018-04-11,177
2018-04-12,179
2018-04-13,175
2018-04-14,168
2018-04-15,165
2018-04-16,168
2018-04-17,169
2018-04-18,173
2018-04-19,168
2018-04-20,161
2018-04-21,152
2018-04-22,144
2018-04-23,138
2018-04-24,137
2018-04-25,138
2018-04-26,134
2018-04-27,133
2018-04-28,132
2018-04-29,135
2018-04-30,137
2018-05-01,138
2018-05-02,140
2018-05-03,141
2018-05-04,135
2018-05-05,133
2018-05-06,130
2018-05-07,131
2018-05-08,134
2018-05-09,138
2018-05-10,140
2018-05-11,146
2018-05-12,143
2018-05-13,140
2018-05-14,143
2018-05-15,149
2018-05-16,153
2018-05-17,161
2018-05-18,161
2018-05-19,154
2018-05-20,146
2018-05-21,139
2018-05-22,134
2018-05-23,134
2018-05-24,135
2018-05-25,135
2018-05-26,133
2018-05-27,129
2018-05-28,124
2018-05-29,118
2018-05-30,119
2018-05-31,120
2018-06-01,120
2018-06-02,121
2018-06-03,120
2018-06-04,121
2018-06-05,124
2018-06-06,127
2018-06-07,130
2018-06-08,131
2018-06-09,135
2018-06-10,137
2018-06-11,139
2018-06-12,138
2018-06-13,137
2018-06-14,138
2018-06-15,140
2018-06-16,140
2018-06-17,137
2018-06-18,132
2018-06-19,126
2018-06-20,122
2018-06-21,119
2018-06-22,119
2018-06-23,123
2018-06-24,117
2018-06-25,119
2018-06-26,120
2018-06-27,123
2018-06-28,121
2018-06-29,117
2018-06-30,114
2018-07-01,115
2018-07-02,115
2018-07-03,115
2018-07-04,112
2018-07-05,107
2018-07-06,104
2018-07-07,98
2018-07-08,95
2018-07-09,96
2018-07-10,98
2018-07-11,100
2018-07-12,99
2018-07-13,97
2018-07-14,94
2018-07-15,95
2018-07-16,92
2018-07-17,89
2018-07-18,90
2018-07-19,95
2018-07-20,95
2018-07-21,92
2018-07-22,93
2018-07-23,93
2018-07-24,92
2018-07-25,94
2018-07-26,93
2018-07-27,97
2018-07-28,100
2018-07-29,104
2018-07-30,105
2018-07-31,107
2018-08-01,111
2018-08-02,111
2018-08-03,115
2018-08-04,116
2018-08-05,115
2018-08-06,115
2018-08-07,117
2018-08-08,118
2018-08-09,115
2018-08-10,112
2018-08-11,107
2018-08-12,102
2018-08-14,102
2018-08-16,103
2018-08-17,102
2018-08-18,100
2018-08-19,97
2018-08-20,98
2018-08-21,101
2018-08-22,98
2018-08-23,103
2018-08-24,104
2018-08-25,104
2018-08-26,99
2018-08-27,99
2018-08-28,100
2018-08-29,101
2018-08-30,101
2018-08-31,100
2018-09-01,100
2018-09-02,101
2018-09-03,102
2018-09-04,101
2018-09-05,106
2018-09-06,106
2018-09-07,106
2018-09-08,105
2018-09-09,106
2018-09-10,105
2018-09-11,110
2018-09-12,111
2018-09-13,110
2018-09-14,111
2018-09-15,113
2018-09-16,113
2018-09-17,113
2018-09-18,115
2018-09-19,119
2018-09-20,121
2018-09-21,123
2018-09-22,121
2018-09-23,119
2018-09-24,115
2018-09-25,116
2018-09-26,115
2018-09-27,115
2018-09-28,113
2018-09-29,109
2018-09-30,108
2018-10-02,105
2018-10-03,104
2018-10-04,106
2018-10-05,110
2018-10-06,108
2018-10-07,109
2018-10-08,111
2018-10-09,112
2018-10-10,112
2018-10-11,113
2018-10-12,111
2018-10-13,112
2018-10-14,112
2018-10-15,112
2018-10-16,113
2018-10-17,111
2018-10-18,112
2018-10-19,115
2018-10-20,121
2018-10-21,128
2018-10-22,133
2018-10-23,140
2018-10-24,141
2018-10-25,139
2018-10-26,136
2018-10-27,135
2018-10-28,134
2018-10-29,137
2018-10-30,136
2018-10-31,134
2018-11-01,140
2018-11-03,150
2018-11-04,149
2018-11-05,151
2018-11-06,151
2018-11-07,154
2018-11-08,157
2018-11-09,164
2018-11-10,165
2018-11-11,173
2018-11-12,174
2018-11-13,177
2018-11-15,187
2018-11-16,187
2018-11-17,186
2018-11-18,192
2018-11-19,189
2018-11-20,188
2018-11-21,193
2018-11-22,193
2018-11-23,190
2018-11-24,183
2018-11-25,181
2018-11-26,183
2018-11-27,179
2018-11-28,176
2018-11-29,173
2018-12-01,162
2018-12-02,160
2018-12-03,164
2018-12-04,158
2018-12-05,154
2018-12-07,151
2018-12-09,138
2018-12-10,132
2018-12-11,126
2018-12-12,123
2018-12-13,119
2018-12-14,115
2018-12-15,114
2018-12-16,112
2018-12-17,110
2018-12-18,111
2018-12-19,109
2018-12-20,108
2018-12-21,106
2018-12-22,101
2018-12-23,99
2018-12-24,98
2018-12-25,98
2018-12-26,100
2018-12-27,98
2018-12-28,98
2018-12-29,94
2018-12-30,89
2018-12-31,85
2019-01-01,84
2019-01-02,82
2019-01-03,84
2019-01-04,88
2019-01-05,89
2019-01-06,91
2019-01-08,93
2019-01-10,94
2019-01-11,90
2019-01-12,87
2019-01-13,88
2019-01-14,86
2019-01-15,82
2019-01-16,84
2019-01-17,85
2019-01-18,86
2019-01-19,86
2019-01-20,87
2019-01-21,83
2019-01-22,82
2019-01-23,82
2019-01-24,85
2019-01-25,86
2019-01-26,83
2019-01-27,83
2019-01-28,83
2019-01-29,84
2019-01-30,85
2019-01-31,88
2019-02-01,90
2019-02-02,89
2019-02-03,87
2019-02-04,87
2019-02-05,86
2019-02-06,90
2019-02-07,89
2019-02-08,86
2019-02-09,86
2019-02-10,85
2019-02-11,83
2019-02-12,86
2019-02-13,87
2019-02-14,88
2019-02-15,87
2019-02-16,87
2019-02-17,87
2019-02-18,86
2019-02-19,86
2019-02-20,87
2019-02-21,86
2019-02-22,88
2019-02-23,87
2019-02-24,86
2019-02-25,83
2019-02-26,81
2019-02-27,79
2019-02-28,76
2019-03-01,72
2019-03-02,69
2019-03-03,65
2019-03-04,64
2019-03-05,65
2019-03-06,68
2019-03-07,69
2019-03-08,70
2019-03-09,69
2019-03-10,67
2019-03-11,65
2019-03-12,65
2019-03-13,64
2019-03-14,64
2019-03-15,63
2019-03-16,65
2019-03-17,67
2019-03-18,70
2019-03-19,70
2019-03-20,68
2019-03-21,69
2019-03-22,70
2019-03-23,70
2019-03-24,70
2019-03-25,70
2019-03-26,71
2019-03-27,75
2019-03-28,75
2019-03-29,76
2019-03-30,78
2019-03-31,78
2019-04-01,77
2019-04-02,77
2019-04-03,73
2019-04-04,73
2019-04-05,73
2019-04-06,75
2019-04-07,76
2019-04-08,78
2019-04-09,82
2019-04-10,87
2019-04-11,86
2019-04-12,85
2019-04-13,81
2019-04-14,80
2019-04-15,79
2019-04-16,78
2019-04-17,77
2019-04-18,77
2019-04-19,76
2019-04-20,80
2019-04-21,83
2019-04-22,84
2019-04-23,85
2019-04-24,87
2019-04-25,87
2019-04-26,88
2019-04-27,86
2019-04-28,85
2019-04-29,87
2019-04-30,88
2019-05-01,88
2019-05-02,92
2019-05-03,90
2019-05-04,91
2019-05-05,91
2019-05-06,88
2019-05-07,90
2019-05-08,91
2019-05-09,94
2019-05-10,95
2019-05-11,95
2019-05-12,94
2019-05-13,97
2019-05-14,98
2019-05-15,100
2019-05-16,103
2019-05-17,108
2019-05-18,106
2019-05-19,105
2019-05-20,104
2019-05-21,107
2019-05-22,106
2019-05-23,105
2019-05-24,108
2019-05-25,105
2019-05-26,100
2019-05-27,96
2019-05-28,93
2019-05-29,93
2019-05-30,94
2019-05-31,95
2019-06-01,99
2019-06-02,98
2019-06-03,98
2019-06-04,97
2019-06-05,96
2019-06-06,96
2019-06-07,94
2019-06-08,92
2019-06-09,92
2019-06-10,95
2019-06-11,92
2019-06-12,93
2019-06-13,93
2019-06-14,91
2019-06-15,93
2019-06-16,91
2019-06-17,89
2019-06-18,89
2019-06-19,87
2019-06-20,85
2019-06-21,87
2019-06-22,86
2019-06-23,84
2019-06-24,86
2019-06-25,89
2019-06-26,91
2019-06-27,93
2019-06-28,96
2019-06-29,99
2019-06-30,99
2019-07-01,99
2019-07-02,101
2019-07-03,104
2019-07-04,107
2019-07-05,106
2019-07-06,107
2019-07-07,106
2019-07-08,107
2019-07-09,105
2019-07-10,106
2019-07-11,109
2019-07-12,106
2019-07-13,108
2019-07-14,107
2019-07-15,109
2019-07-16,110
2019-07-17,114
2019-07-18,119
2019-07-19,119
2019-07-20,114
2019-07-21,113
2019-07-22,115
2019-07-23,117
2019-07-24,117
2019-07-25,120
2019-07-26,116
2019-07-27,117
2019-07-28,117
2019-07-29,114
2019-07-30,115
2019-07-31,118
2019-08-01,121
2019-08-02,119
2019-08-03,118
2019-08-04,118
2019-08-05,118
2019-08-06,116
2019-08-07,115
2019-08-08,117
2019-08-09,120
2019-08-10,118
2019-08-11,122
2019-08-12,119
2019-08-13,115
2019-08-14,113
2019-08-15,114
2019-08-16,115
2019-08-17,120
2019-08-18,119
2019-08-19,120
2019-08-20,121
2019-08-21,125
2019-08-22,125
2019-08-23,124
2019-08-24,128
2019-08-24,128
2019-08-25,132
2019-08-25,132
2019-08-26,129
2019-08-26,129
2019-08-27,129
2019-08-27,129
2019-08-28,129
2019-08-29,128
2019-08-30,130
2019-08-31,134
2019-09-01,133
2019-09-02,131
2019-09-03,133
2019-09-04,136
2019-09-05,141
