date_obj,Unfired%20plant%20pot price
2016-02-14,762
2016-02-15,762
2016-02-16,762
2016-02-17,762
2016-02-18,762
2016-02-19,762
2016-02-20,762
2016-02-21,724
2016-02-22,724
2016-02-23,724
2016-02-24,724
2016-02-25,724
2016-02-26,724
2016-02-27,724
2016-02-28,724
2016-02-29,724
2016-03-01,724
2016-03-02,724
2016-03-03,724
2016-03-04,724
2016-03-05,724
2016-03-06,724
2016-03-07,724
2016-03-08,724
2016-03-09,724
2016-03-10,724
2016-03-11,724
2016-03-12,724
2016-03-13,724
2016-03-14,724
2016-03-15,724
2016-03-16,724
2016-03-17,724
2016-03-18,724
2016-03-19,724
2016-03-20,724
2016-03-21,724
2016-03-22,724
2016-03-23,724
2016-03-24,724
2016-03-25,724
2016-03-26,724
2016-03-27,724
2016-03-28,724
2016-03-29,724
2016-03-30,724
2016-03-31,724
2016-04-01,724
2016-04-02,724
2016-04-03,724
2016-04-04,724
2016-04-05,724
2016-04-06,724
2016-04-07,724
2016-04-08,724
2016-04-09,724
2016-04-10,724
2016-04-11,724
2016-04-12,724
2016-04-13,724
2016-04-14,724
2016-04-15,724
2016-04-16,724
2016-04-17,724
2016-04-18,724
2016-04-19,724
2016-04-20,724
2016-04-21,724
2016-04-22,724
2016-04-23,724
2016-04-24,724
2016-04-25,724
2016-04-26,724
2016-04-27,724
2016-04-28,724
2016-04-29,724
2016-04-30,724
2016-05-01,724
2016-05-02,724
2016-05-03,724
2016-05-04,724
2016-05-05,724
2016-05-06,724
2016-05-07,724
2016-05-08,724
2016-05-09,724
2016-05-10,724
2016-05-11,724
2016-05-12,724
2016-05-13,724
2016-05-14,724
2016-05-15,724
2016-05-16,724
2016-05-17,724
2016-05-18,724
2016-05-19,724
2016-05-22,724
2016-05-23,724
2016-05-24,724
2016-05-25,724
2016-05-26,724
2016-05-27,724
2016-05-28,724
2016-05-29,724
2016-05-30,724
2016-05-31,724
2016-06-01,724
2016-06-02,724
2016-06-03,724
2016-06-04,724
2016-06-05,724
2016-06-06,724
2016-06-07,724
2016-06-08,724
2016-06-09,724
2016-06-10,724
2016-06-11,724
2016-06-12,703
2016-06-13,703
2016-06-14,703
2016-06-15,703
2016-06-16,703
2016-06-17,703
2016-06-18,703
2016-06-19,703
2016-06-20,703
2016-06-21,703
2016-06-22,703
2016-06-23,703
2016-06-24,703
2016-06-25,703
2016-06-26,703
2016-06-27,703
2016-06-28,703
2016-06-29,703
2016-06-30,703
2016-07-01,703
2016-07-02,703
2016-07-03,703
2016-07-04,703
2016-07-05,703
2016-07-06,703
2016-07-07,703
