date_obj,Holy%20sandals price
2016-09-07,610771
2016-09-08,613681
2016-09-09,612638
2016-09-10,589100
2016-09-11,574956
2016-09-12,565836
2016-09-13,589928
2016-09-14,603982
2016-09-15,594344
2016-09-16,594501
2016-09-17,581987
2016-09-18,595193
2016-09-19,597172
2016-09-20,599863
2016-09-21,607625
2016-09-22,616278
2016-09-23,602049
2016-09-24,607323
2016-09-25,593527
2016-09-26,618807
2016-09-27,636067
2016-09-28,629782
2016-09-29,635243
2016-09-30,659275
2016-10-01,681719
2016-10-02,661791
2016-10-03,655312
2016-10-04,644931
2016-10-05,622947
2016-10-06,624336
2016-10-07,628173
2016-10-08,643427
2016-10-09,643181
2016-10-10,650264
2016-10-11,654517
2016-10-12,657930
2016-10-13,674715
2016-10-14,702589
2016-10-15,733348
2016-10-16,752073
2016-10-17,785127
2016-10-18,819551
2016-10-19,852595
2016-10-20,895225
2016-10-21,937264
2016-10-22,949355
2016-10-23,962333
2016-10-24,940965
2016-10-25,912341
2016-10-26,890016
2016-10-27,860263
2016-10-28,828577
2016-10-29,792468
2016-10-30,753527
2016-10-31,724806
2016-11-01,704943
2016-11-02,683044
2016-11-03,673947
2016-11-04,678068
2016-11-05,679034
2016-11-06,703714
2016-11-07,699468
2016-11-08,685843
2016-11-09,688571
2016-11-10,692983
2016-11-11,709244
2016-11-12,722235
2016-11-13,715325
2016-11-14,725484
2016-11-15,730256
2016-12-07,772705
2016-12-08,767273
2016-12-09,735429
2016-12-10,707381
2016-12-11,678980
2016-12-12,669185
2016-12-13,662009
2016-12-14,664018
2016-12-15,678443
2016-12-16,704293
2016-12-17,729397
2016-12-18,752035
2016-12-19,770045
2016-12-20,775289
2016-12-21,769036
2016-12-22,759881
2016-12-23,744691
2016-12-24,728280
2016-12-25,734559
2016-12-26,732292
2016-12-27,741916
2016-12-28,747291
2016-12-29,777441
2016-12-30,788618
2016-12-31,790375
2017-01-01,769392
2017-01-02,765914
2017-01-03,759418
2017-01-04,758066
2017-01-05,728828
2017-01-06,698575
2017-01-07,676477
2017-01-08,661151
2017-01-09,649446
2017-01-10,630023
2017-01-11,626231
2017-01-12,621208
2017-01-13,630368
2017-01-14,629884
2017-01-15,643765
2017-01-16,659439
2017-01-17,667561
2017-01-18,682451
2017-01-19,684046
2017-01-20,686786
2017-01-21,665457
2017-01-22,644104
2017-01-23,635240
2017-01-27,654364
2017-01-28,660276
2017-01-29,657418
2017-01-30,661256
2017-01-31,666511
2017-02-01,680547
2017-02-02,669394
2017-02-03,662075
2017-02-04,646632
2017-02-05,635922
2017-02-06,623087
2017-02-07,617738
2017-02-08,611850
2017-02-09,609667
2017-02-10,598568
2017-02-11,584489
2017-02-12,577090
2017-02-13,592345
2017-02-14,605480
2017-02-15,615299
2017-02-16,620749
2017-02-18,614787
2017-02-19,593402
2017-02-20,581220
2017-02-21,567433
2017-02-22,548364
2017-02-23,541061
2017-02-24,540602
2017-02-25,539452
2017-02-26,545774
2017-02-27,553143
2017-02-28,565373
2017-03-01,577226
2017-03-02,589225
2017-03-03,597706
2017-03-04,616774
2017-03-05,627641
2017-03-06,638096
2017-03-07,655064
2017-03-08,657069
2017-03-09,666518
2017-03-10,662265
2017-03-11,646850
2017-03-12,632940
2017-03-13,632083
2017-03-14,626490
2017-03-15,613058
2017-03-16,595523
2017-03-17,591570
2017-03-18,609078
2017-03-19,605199
2017-03-20,625360
2017-03-21,634470
2017-03-22,620202
2017-03-23,607260
