date_obj,Ruby price
2017-06-06,1100
2017-06-07,1078
2017-06-08,1078
2017-06-09,1098
2017-06-10,1104
2017-06-11,1084
2017-06-12,1062
2017-06-13,1033
2017-06-14,1057
2017-06-15,1084
2017-06-16,1083
2017-06-17,1085
2017-06-18,1093
2017-06-19,1093
2017-06-20,1126
2017-06-21,1124
2017-06-22,1132
2017-06-23,1124
2017-06-24,1119
2017-06-25,1108
2017-06-26,1129
2017-06-27,1151
2017-06-28,1156
2017-06-29,1158
2017-06-30,1181
2017-07-01,1181
2017-07-02,1162
2017-07-03,1179
2017-07-04,1175
2017-07-05,1175
2017-07-06,1175
2017-07-07,1175
2017-07-08,1135
2017-07-13,1135
2017-07-14,1127
2017-07-15,1127
2017-07-16,1111
2017-07-17,1103
2017-07-18,1110
2017-07-19,1129
2017-07-20,1143
2017-07-21,1158
2017-07-22,1133
2017-07-23,1111
2017-07-24,1115
2017-07-25,1142
2017-07-26,1141
2017-07-27,1134
2017-07-28,1147
2017-07-29,1127
2017-07-30,1099
2017-07-31,1099
2017-08-01,1091
2017-08-02,1105
2017-08-03,1091
2017-08-04,1099
2017-08-05,1088
2017-08-06,1101
2017-08-09,1114
2017-08-10,1144
2017-08-11,1148
2017-08-12,1126
2017-08-13,1110
2017-08-14,1113
2017-08-15,1129
2017-08-17,1114
2017-08-18,1114
2017-08-19,1118
2017-08-20,1130
2017-08-21,1132
2017-08-22,1113
2017-08-23,1094
2017-08-24,1077
2017-08-25,1068
2017-08-26,1063
2017-08-27,1074
2017-08-28,1090
2017-08-29,1092
2017-08-30,1101
2017-08-31,1115
2017-09-01,1126
2017-09-02,1127
2017-09-03,1127
2017-09-04,1138
2017-09-05,1145
2017-09-06,1153
2017-09-07,1192
2017-09-08,1192
2017-09-09,1167
2017-09-10,1151
2017-09-11,1142
2017-09-12,1130
2017-09-13,1128
2017-09-14,1121
2017-09-15,1121
2017-09-16,1107
2017-09-17,1107
2017-09-19,1089
2017-09-20,1106
2017-09-21,1098
2017-09-22,1097
2017-09-23,1097
2017-09-24,1082
2017-09-25,1073
2017-09-26,1061
2017-09-27,1058
2017-09-28,1061
2017-09-29,1065
2017-09-30,1075
2017-10-01,1073
2017-10-02,1077
2017-10-03,1087
2017-10-04,1087
2017-10-05,1090
2017-10-06,1080
2017-10-07,1077
2017-10-08,1065
2017-10-09,1067
2017-10-10,1063
2017-10-11,1063
2017-10-12,1045
2017-10-13,1035
2017-10-14,1052
2017-10-15,1052
2017-10-16,1043
2017-10-17,1043
2017-10-18,1032
2017-10-19,1021
2017-10-20,1030
2017-10-21,1034
2017-10-22,1039
2017-10-23,1049
2017-10-24,1068
2017-10-25,1083
2017-10-26,1084
2017-10-27,1080
2017-10-28,1080
2017-10-29,1068
2017-10-30,1047
2017-10-31,1042
2017-11-01,1042
2017-11-02,1054
2017-11-03,1047
2017-11-04,1054
2017-11-05,1069
2017-11-06,1055
2017-11-07,1051
2017-11-08,1045
2017-11-09,1066
2017-11-10,1070
2017-11-11,1056
2017-11-12,1059
2017-11-13,1055
2017-11-14,1064
2017-11-15,1061
2017-11-16,1069
2017-11-17,1058
2017-11-18,1056
2017-11-19,1059
2017-11-20,1056
2017-11-21,1050
2017-11-22,1048
2017-11-23,1053
2017-11-24,1058
2017-11-25,1056
2017-11-26,1060
2017-11-27,1060
2017-11-28,1067
2017-11-29,1061
2017-11-30,1073
2017-12-01,1070
2017-12-02,1061
2017-12-03,1042
2017-12-04,1038
2017-12-05,1036
2017-12-06,1036
2017-12-07,1043
2017-12-08,1043
2017-12-09,1038
2017-12-10,1031
2017-12-11,1029
2017-12-12,1024
2017-12-14,1015
2017-12-15,1012
2017-12-16,1011
2017-12-17,1016
2017-12-18,1019
2017-12-19,1018
2017-12-20,1019
2017-12-21,1028
2017-12-22,1042
2017-12-23,1043
2017-12-24,1027
2017-12-25,1024
2017-12-26,1015
2017-12-27,1028
2017-12-28,1028
2017-12-29,1045
2017-12-30,1056
2017-12-31,1064
2018-01-01,1088
2018-01-02,1088
2018-01-03,1052
2018-01-04,1045
2018-01-05,1028
2018-01-06,1034
2018-01-07,1037
2018-01-08,1047
2018-01-09,1066
2018-01-10,1066
2018-01-11,1067
2018-01-12,1069
2018-01-13,1057
2018-01-14,1044
2018-01-15,1044
2018-01-16,1037
2018-01-17,1046
2018-01-18,1068
2018-01-19,1068
2018-01-20,1054
2018-01-21,1041
2018-01-22,1052
2018-01-23,1055
2018-01-24,1079
2018-01-25,1078
2018-01-26,1069
2018-01-27,1061
2018-01-28,1075
2018-01-29,1083
2018-01-31,1086
2018-02-01,1075
2018-02-02,1068
2018-02-03,1080
2018-02-04,1065
2018-02-05,1064
2018-02-06,1065
2018-02-07,1068
2018-02-08,1067
2018-02-09,1069
2018-02-10,1085
2018-02-11,1076
2018-02-12,1053
2018-02-13,1046
2018-02-14,1051
2018-02-15,1040
2018-02-16,1037
2018-02-17,1036
2018-02-18,1037
2018-02-19,1050
2018-02-20,1054
2018-02-21,1052
2018-02-22,1062
2018-02-23,1042
2018-02-24,1044
2018-02-25,1054
2018-02-26,1053
2018-02-27,1067
2018-02-28,1056
2018-03-01,1058
2018-03-02,1038
2018-03-03,1036
2018-03-04,1036
2018-03-05,1045
2018-03-06,1067
2018-03-07,1064
2018-03-08,1086
2018-03-09,1097
2018-03-10,1102
2018-03-11,1111
2018-03-12,1123
2018-03-13,1088
2018-03-14,1082
2018-03-15,1086
2018-03-16,1084
2018-03-17,1075
2018-03-18,1075
2018-03-19,1069
2018-03-20,1069
2018-03-21,1085
2018-03-23,1083
2018-03-24,1075
2018-03-26,1039
2018-03-27,1029
2018-03-29,1036
2018-03-30,1036
2018-03-31,1031
2018-04-01,1034
2018-04-02,1034
2018-04-03,1034
2018-04-04,1033
2018-04-05,1033
2018-04-06,1033
2018-04-08,1031
2018-04-09,1033
2018-04-10,1033
2018-04-11,1034
2018-04-12,1038
2018-04-13,1038
2018-04-14,1035
2018-04-15,1033
2018-04-16,1032
2018-04-17,1034
2018-04-18,1037
2018-04-19,1030
2018-04-20,1017
2018-04-21,1024
2018-04-22,1023
2018-04-23,1019
2018-04-24,1006
2018-04-25,993
2018-04-26,976
2018-04-27,982
2018-04-28,980
2018-04-29,983
2018-04-30,1000
2018-05-01,1015
2018-05-02,1027
2018-05-03,1031
2018-05-04,1024
2018-05-05,1043
2018-05-06,1043
2018-05-07,1040
2018-05-08,1063
2018-05-09,1055
2018-05-10,1025
2018-05-11,1014
2018-05-12,1005
2018-05-13,1014
2018-05-14,1012
2018-05-15,1021
2018-05-16,1035
2018-05-17,1028
2018-05-18,1031
2018-05-19,1036
2018-05-20,1031
2018-05-21,1043
2018-05-22,1038
