date_obj,Verac's%20flail price
2016-07-10,213742
2016-07-11,203054
2016-07-12,192901
2016-07-13,183255
2016-07-14,174092
2016-07-15,166533
2016-07-16,163714
2016-07-17,165462
2016-07-18,169912
2016-07-24,200427
2016-07-25,191562
2016-07-26,191562
2016-07-27,187943
2016-07-28,189240
2016-07-29,187304
2016-07-30,186248
2016-07-31,186248
2016-08-01,187296
2016-08-02,189520
2016-08-03,186382
2016-08-04,185611
2016-08-05,186439
2016-08-06,185099
2016-08-07,185948
2016-08-08,185948
2016-08-09,183873
2016-08-10,180010
2016-08-11,176199
2016-08-12,172490
2016-08-13,168882
2016-08-14,164995
2016-08-15,162376
2016-08-16,166743
2016-08-17,168244
2016-08-18,162004
2016-08-19,158489
2016-08-20,160410
2016-08-21,164250
2016-08-22,168141
2016-08-23,170731
2016-08-24,172006
2016-08-25,172909
2016-08-26,172909
2016-08-28,176831
2016-08-31,180105
2016-09-01,176656
2016-09-02,176656
2016-09-03,182319
2016-09-04,184204
2016-09-05,183686
2016-09-06,186012
2016-09-07,184380
2016-09-08,184380
2016-09-09,179572
2016-09-10,178770
2016-09-11,178770
2016-09-12,175948
2016-09-13,167638
2016-09-14,167638
2016-09-15,159283
2016-09-16,159283
2016-09-17,156982
2016-09-18,163333
2016-09-19,169021
2016-09-20,169021
2016-09-21,172624
2016-09-22,169711
2016-09-23,171863
2016-09-24,171863
2016-09-25,171519
2016-09-26,171519
2016-09-27,170709
2016-09-28,166937
2016-09-29,166937
2016-09-30,168170
2016-10-01,171638
2016-10-02,171638
2016-10-03,177182
2016-10-04,177889
2016-10-05,179364
2016-10-06,185174
2016-10-07,183383
2016-10-08,178913
2016-10-09,173156
2016-10-10,168480
2016-10-11,165047
2016-10-12,165880
2016-10-13,167460
2016-10-14,166329
2016-10-15,170665
2016-10-16,178034
2016-10-17,173340
2016-10-18,168565
2016-10-19,163011
2016-10-20,164376
2016-10-21,167675
2016-10-22,167675
2016-10-23,175445
2016-10-24,178291
2016-10-25,178291
2016-10-26,175091
2016-10-27,171337
2016-10-28,171337
2016-10-29,174310
2016-10-30,179595
2016-10-31,183702
2016-11-01,183702
2016-11-02,180250
2016-11-03,180250
2016-11-04,175979
2016-11-05,175979
2016-11-06,178173
2016-11-07,174145
2016-11-08,172262
2016-11-09,173569
2016-11-10,174687
2016-11-11,174687
2016-11-12,174501
2016-11-13,174501
2016-11-14,175996
2016-12-08,174463
2016-12-09,174054
2016-12-10,177584
2016-12-11,179797
2016-12-12,179880
2016-12-13,175274
2016-12-14,172119
2016-12-15,172119
2016-12-16,174323
2016-12-17,181745
2016-12-18,186316
2016-12-19,185074
2016-12-20,182323
2016-12-21,184271
2016-12-22,188076
2016-12-23,190157
2016-12-24,191061
2016-12-25,183666
2016-12-26,183969
2016-12-27,186711
2016-12-28,188130
2016-12-29,189371
2016-12-30,183925
2016-12-31,181375
2017-01-01,184042
2017-01-02,187941
2017-01-03,187914
2017-01-04,184289
2017-01-05,175074
2017-01-06,166404
2017-01-07,173346
2017-01-08,180898
2017-01-09,186712
2017-01-10,182330
2017-01-11,177853
2017-01-12,176930
2017-01-13,175788
2017-01-14,172528
2017-01-15,175179
2017-01-16,174655
2017-01-17,168701
2017-01-18,161911
2017-01-19,161744
2017-01-20,165031
2017-01-21,168524
2017-01-22,176112
2017-01-27,165332
2017-01-28,171676
2017-01-29,180022
2017-01-30,178296
2017-01-31,174242
2017-02-01,170800
2017-02-02,166589
2017-02-03,163990
2017-02-04,164693
2017-02-05,164514
2017-02-06,162537
2017-02-07,158472
2017-02-08,154318
2017-02-09,154318
2017-02-10,158004
2017-02-11,162193
2017-02-12,161052
2017-02-13,163689
2017-02-14,162144
2017-02-15,166385
2017-02-16,167448
2017-02-18,173865
2017-02-19,182491
2017-02-20,187209
2017-02-21,192432
2017-02-22,187625
2017-02-23,181412
2017-02-24,174183
2017-02-25,178175
2017-02-26,182592
2017-02-27,175097
2017-02-28,171619
2017-03-01,169344
2017-03-02,174468
2017-03-03,178983
2017-03-04,185364
2017-03-05,187618
2017-03-06,189523
2017-03-07,188813
2017-03-08,188182
2017-03-09,187575
2017-03-10,189778
2017-03-11,194578
2017-03-12,199703
2017-03-13,197427
2017-03-14,188454
2017-03-15,189508
2017-03-16,188601
2017-03-17,189927
2017-03-18,188803
2017-03-19,192512
2017-03-20,185585
2017-03-21,177788
2017-03-22,175963
2017-03-23,174476
2017-03-24,180526
2017-03-25,180526
2017-03-26,186190
2017-03-27,182125
2017-03-28,181663
2017-03-29,188249
2017-03-30,192849
2017-03-31,187737
2017-04-01,182551
2017-04-02,180901
2017-04-03,175324
2017-04-04,174559
2017-04-12,154471
2017-04-13,156189
2017-04-14,163260
2017-04-15,166983
2017-04-16,166256
2017-04-17,164972
2017-04-18,160849
2017-04-19,165857
2017-04-20,163476
2017-04-21,163366
2017-04-22,169089
2017-04-23,170364
2017-04-24,173782
2017-04-25,166653
2017-04-26,166653
2017-04-27,160937
2017-04-28,161936
2017-04-29,168849
2017-04-30,167886
2017-05-01,170901
2017-05-02,167503
2017-05-03,162257
2017-05-04,166248
2017-05-05,165077
2017-05-06,164742
2017-05-07,164019
2017-05-08,171242
2017-05-09,164650
2017-05-10,165394
2017-05-11,167465
2017-05-12,168519
2017-05-13,165708
2017-05-14,168480
2017-05-15,166549
2017-05-16,162884
2017-05-17,167867
2017-05-18,164571
2017-05-19,159971
2017-05-20,162893
2017-05-21,162893
2017-05-22,163776
2017-05-23,167710
2017-05-24,164866
2017-05-25,161588
2017-05-26,162422
2017-05-27,165212
2017-05-28,167694
2017-05-29,165348
2017-05-30,162507
2017-05-31,160261
2017-06-01,161776
2017-06-02,162863
2017-06-03,164189
2017-06-06,158554
2017-06-07,156964
2017-06-08,156964
2017-06-09,157634
2017-06-10,157181
2017-06-11,157580
2017-06-12,155107
2017-06-13,155818
2017-06-14,158236
2017-06-15,157662
2017-06-16,161158
2017-06-17,163639
2017-06-18,169174
2017-06-19,169174
2017-06-20,161334
2017-06-21,160614
2017-06-22,162019
2017-06-23,162255
2017-06-24,165673
2017-06-25,169081
2017-06-26,161014
2017-06-27,158693
2017-06-28,153908
2017-06-29,152376
2017-06-30,154310
2017-07-01,154310
2017-07-02,156603
2017-07-03,159910
2017-07-04,158247
2017-07-05,163787
2017-07-06,160868
2017-07-07,161730
2017-07-08,161024
2017-07-13,156746
2017-07-14,159472
2017-07-15,159798
2017-07-16,161433
2017-07-17,160154
2017-07-18,156209
2017-07-19,153768
2017-07-20,156258
2017-07-21,158650
2017-07-22,159339
2017-07-23,159539
2017-07-24,155367
2017-07-25,155858
2017-07-26,158181
2017-07-27,158420
2017-07-28,158699
2017-07-29,159499
2017-07-30,159027
2017-07-31,159027
2017-08-01,156178
2017-08-02,156336
2017-08-03,157901
2017-08-04,158046
2017-08-05,158916
2017-08-06,158581
2017-08-09,160224
2017-08-10,158750
2017-08-11,156730
2017-08-12,158659
2017-08-13,163817
2017-08-14,162123
2017-08-15,162298
2017-08-16,168452
2017-08-17,169687
2017-08-18,169687
2017-08-19,166044
2017-08-20,163258
2017-08-21,159874
2017-08-22,159240
2017-08-23,160576
2017-08-24,156011
2017-08-25,157223
2017-08-26,157993
2017-08-27,160852
2017-08-28,161371
2017-08-29,159607
2017-08-30,163132
2017-08-31,158928
2017-09-01,156117
2017-09-02,159921
2017-09-03,163589
2017-09-04,162959
2017-09-05,160115
2017-09-06,159889
2017-09-07,157588
2017-09-08,156568
2017-09-09,159123
2017-09-10,156720
2017-09-11,155310
2017-09-12,152777
2017-09-13,151161
2017-09-14,154428
2017-09-15,154428
2017-09-16,156226
2017-09-17,157173
2017-09-18,153081
2017-09-19,155054
2017-09-20,153839
2017-09-21,152585
2017-09-22,154362
2017-09-23,160019
2017-09-24,158319
2017-09-25,154373
2017-09-26,152434
2017-09-27,153060
2017-09-28,152702
2017-09-29,157814
2017-09-30,156318
2017-10-01,155041
2017-10-02,154237
2017-10-03,150807
2017-10-04,151740
2017-10-05,154304
2017-10-06,159576
2017-10-07,156602
2017-10-08,155605
2017-10-09,153276
2017-10-10,151564
2017-10-11,151564
2017-10-12,151565
2017-10-13,155080
2017-10-14,155013
2017-10-15,159264
2017-10-16,156247
2017-10-17,156247
2017-10-18,156115
2017-10-19,152025
2017-10-20,151610
2017-10-21,153544
2017-10-22,154481
2017-10-23,155621
2017-10-24,155165
2017-10-25,154577
2017-10-26,152959
2017-10-27,150495
2017-10-28,150495
2017-10-29,151876
2017-10-30,152773
2017-10-31,152350
2017-11-01,152350
2017-11-02,153577
2017-11-03,154219
2017-11-04,155949
2017-11-05,151989
2017-11-06,151267
2017-11-07,150277
2017-11-08,150622
2017-11-09,150498
2017-11-10,151953
2017-11-11,153499
2017-11-12,154974
2017-11-13,152538
2017-11-14,149333
2017-11-15,147879
2017-11-16,149630
2017-11-17,152505
2017-11-18,150870
2017-11-19,152577
2017-11-20,152304
2017-11-21,150152
2017-11-22,148579
2017-11-23,147108
2017-11-24,146065
2017-11-25,139898
2017-11-26,138514
2017-11-27,138514
2017-11-28,138303
2017-11-29,142346
2017-11-30,143240
2017-12-01,143285
2017-12-02,145779
2017-12-03,147302
2017-12-04,151733
2017-12-05,152616
2017-12-06,149736
2017-12-07,148349
2017-12-08,148349
2017-12-09,147662
2017-12-10,149611
2017-12-11,151360
2017-12-12,151190
2017-12-13,151093
2017-12-14,148553
2017-12-15,149549
2017-12-16,151100
2017-12-17,153606
2017-12-18,154082
2017-12-19,151602
2017-12-20,150501
2017-12-21,150559
2017-12-22,153892
2017-12-23,154407
2017-12-24,151157
2017-12-25,157517
2017-12-26,160993
2017-12-27,153464
2017-12-28,151540
2017-12-29,152865
2017-12-30,156719
2017-12-31,153731
2018-01-01,153091
2018-01-02,158098
2018-01-03,154109
2018-01-04,152093
2018-01-05,152321
2018-01-06,154594
2018-01-07,154646
2018-01-08,151196
2018-01-09,153631
2018-01-10,156663
2018-01-11,156638
2018-01-12,153167
2018-01-13,149935
2018-01-14,152425
2018-01-15,152607
2018-01-16,155828
2018-01-17,154282
2018-01-18,148998
2018-01-19,148998
2018-01-20,149023
2018-01-21,154676
2018-01-22,154833
2018-01-23,152855
2018-01-24,152037
2018-01-25,153154
2018-01-26,153560
2018-01-27,153132
2018-01-28,155585
2018-01-29,154086
2018-01-30,153947
2018-02-01,159249
2018-02-02,161318
2018-02-03,160418
2018-02-04,165769
2018-02-05,161063
2018-02-06,157418
2018-02-07,156790
2018-02-08,154112
