date_obj,Elven%20skirt%20(yellow) price
2019-12-17,6302
2019-12-18,6302
2019-12-19,6198
2019-12-20,6198
2019-12-21,6198
2019-12-22,6198
2019-12-23,6198
2019-12-24,6198
2019-12-25,6198
2019-12-26,6198
2019-12-27,6105
2019-12-28,6105
2019-12-29,6105
2019-12-30,6105
2019-12-31,6105
2020-01-01,6105
2020-01-02,6105
2020-01-03,6105
2020-01-04,6105
2020-01-05,6105
2020-01-06,6105
2020-01-07,6184
2020-01-08,6184
2020-01-09,6184
2020-01-10,6184
2020-01-11,6184
2020-01-12,6184
2020-01-13,6184
2020-01-14,6184
2020-01-15,6184
2020-01-16,6150
2020-01-17,6150
2020-01-18,6150
2020-01-19,6150
2020-01-20,6150
2020-01-21,6150
2020-01-22,6150
2020-01-23,6150
2020-01-24,6150
2020-01-25,6164
2020-01-26,6164
2020-01-27,6164
2020-01-28,6164
2020-01-29,6164
2020-01-30,6164
2020-01-31,6164
2020-02-01,6164
2020-02-02,6164
2020-02-03,6164
2020-02-04,6186
2020-02-05,6186
2020-02-06,6186
2020-02-07,6186
2020-02-08,6186
2020-02-09,6186
2020-02-10,6186
2020-02-11,6186
2020-02-12,6186
2020-02-13,6245
2020-02-14,6245
2020-02-15,6245
2020-02-16,6245
2020-02-17,6245
2020-02-18,6245
2020-02-19,6245
2020-02-20,6245
2020-02-21,6245
2020-02-22,6106
2020-02-23,6106
2020-02-24,6106
2020-02-25,6106
2020-02-26,6106
2020-02-27,6106
2020-02-28,6106
2020-02-29,6106
2020-03-01,6170
2020-03-02,6170
2020-03-03,6170
2020-03-04,6170
2020-03-05,6170
2020-03-06,6170
2020-03-07,6170
2020-03-08,6170
2020-03-09,6170
2020-03-10,6170
2020-03-11,6191
2020-03-12,6191
2020-03-13,6191
2020-03-14,6191
2020-03-15,6191
2020-03-16,6191
2020-03-17,6191
2020-03-18,6191
2020-03-19,6191
2020-03-20,6175
2020-03-21,6175
2020-03-22,6175
2020-03-23,6175
2020-03-24,6175
2020-03-25,6175
2020-03-26,6175
2020-03-27,6136
2020-03-28,6136
2020-03-29,6136
2020-03-30,6136
2020-03-31,6136
2020-04-01,6136
2020-04-02,6136
2020-04-03,6136
2020-04-04,6226
2020-04-05,6226
2020-04-06,6226
2020-04-07,6226
2020-04-08,6226
2020-04-09,6226
2020-04-10,6226
2020-04-11,6286
2020-04-12,6286
2020-04-13,6286
2020-04-14,6286
2020-04-15,6286
2020-04-16,6286
2020-04-17,6286
2020-04-18,6286
2020-04-19,6126
2020-04-20,6126
2020-04-21,6126
2020-04-22,6126
2020-04-23,6126
2020-04-24,6126
2020-04-25,6126
2020-04-26,6126
2020-04-27,5901
2020-04-28,5901
2020-04-29,5901
2020-04-30,5901
2020-05-01,5901
2020-05-02,5901
2020-05-03,5901
2020-05-04,5901
2020-05-05,5901
2020-05-06,5892
2020-05-07,5892
2020-05-08,5892
2020-05-09,5892
2020-05-10,5892
2020-05-11,5892
2020-05-12,5892
2020-05-13,5892
