date_obj,Light%20trousers price
2016-10-22,2065037
2016-10-23,2065037
2016-10-24,2065037
2016-10-25,2065037
2016-10-26,2065037
2016-10-27,2065037
2016-10-28,2065037
2016-10-29,2065037
2016-10-30,2065037
2016-10-31,2065037
2016-11-01,2065037
2016-11-02,2065037
2016-11-03,2065037
2016-11-04,2065037
2016-11-05,2065037
2016-11-06,2065037
2016-11-07,2065037
2016-11-08,2065037
2016-11-09,2065037
2016-11-10,2065037
2016-11-11,2065037
2016-11-12,2065037
2016-11-13,2065037
2016-11-14,2065037
2016-12-07,1962184
2016-12-08,1962184
2016-12-09,1962184
2016-12-10,1962184
2016-12-11,1962184
2016-12-12,1962184
2016-12-13,1962184
2016-12-14,1962184
2016-12-15,1962184
2016-12-16,1962184
2016-12-17,1962184
2016-12-18,1962184
2016-12-19,1962184
2016-12-20,1962184
2016-12-21,1962184
2016-12-22,1962184
2016-12-23,1962184
2016-12-24,1962184
2016-12-25,1962184
2016-12-26,1962184
2016-12-27,1962184
2016-12-28,1962184
2016-12-29,1962184
2016-12-30,1962184
2016-12-31,1962184
2017-01-01,1962184
2017-01-02,1962184
2017-01-03,1962184
2017-01-04,1962184
2017-01-05,1962184
2017-01-06,1962184
2017-01-07,1962184
2017-01-08,1962184
2017-01-09,1962184
2017-01-10,1962184
2017-01-11,1962184
2017-01-12,1962184
2017-01-13,1962184
2017-01-14,1962184
2017-01-15,1962184
2017-01-16,1962184
2017-01-17,1962184
2017-01-18,1962184
2017-01-19,1962184
2017-01-20,1962184
2017-01-21,1962184
2017-01-22,1962184
2017-01-27,1962184
2017-01-28,1962184
2017-01-29,1962184
2017-01-30,1962184
2017-01-31,1962184
2017-02-01,1962184
2017-02-02,1962184
2017-02-03,1962184
2017-02-04,1962184
2017-02-05,1962184
2017-02-06,1962184
2017-02-07,1962184
2017-02-08,1962184
2017-02-09,1897252
2017-02-10,1897252
2017-02-11,1897252
2017-02-12,1897252
2017-02-13,1897252
2017-02-14,1897252
2017-02-15,1897252
2017-02-16,1897252
2017-02-18,1897252
2017-02-19,1897252
2017-02-20,1897252
2017-02-21,1897252
2017-02-22,1897252
2017-02-23,1897252
2017-02-24,1897252
2017-02-25,1897252
2017-02-26,1897252
2017-02-27,1897252
2017-02-28,1897252
2017-03-01,1897252
2017-03-02,1897252
2017-03-03,1897252
2017-03-04,1897252
2017-03-05,1897252
2017-03-06,1897252
2017-03-07,1897252
2017-03-08,1897252
2017-03-09,1897252
2017-03-10,1897252
2017-03-11,1897252
2017-03-12,1897252
2017-03-13,1897252
2017-03-14,1897252
2017-03-15,1897252
2017-03-16,1897252
2017-03-17,1897252
