date_obj,Maple%20blackjack(d) price
2016-02-15,1113
2016-02-16,1113
2016-02-17,1113
2016-02-18,1113
2016-02-19,1113
2016-02-20,1113
2016-02-21,1113
2016-02-22,1113
2016-02-23,1113
2016-02-24,1113
2016-02-25,1113
2016-02-26,1113
2016-02-27,1113
2016-02-28,1113
2016-02-29,1113
2016-03-01,1113
2016-03-02,1113
2016-03-03,1155
2016-03-04,1155
2016-03-05,1155
2016-03-06,1155
2016-03-07,1155
2016-03-08,1155
2016-03-09,1155
2016-03-10,1155
2016-03-11,1155
2016-03-12,1155
2016-03-13,1155
2016-03-14,1155
2016-03-15,1155
2016-03-16,1155
2016-03-17,1155
2016-03-18,1155
2016-03-19,1155
2016-03-20,1155
2016-03-21,1211
2016-03-22,1211
2016-03-23,1211
2016-03-24,1211
2016-03-25,1211
2016-03-26,1211
2016-03-27,1211
2016-03-28,1211
2016-03-29,1211
2016-03-30,1211
2016-03-31,1211
2016-04-01,1211
2016-04-02,1211
2016-04-03,1211
2016-04-04,1211
2016-04-05,1211
2016-04-06,1211
2016-04-07,1271
2016-04-08,1271
2016-04-09,1271
2016-04-10,1271
2016-04-11,1271
2016-04-12,1271
2016-04-13,1271
2016-04-14,1271
2016-04-15,1271
2016-04-16,1271
2016-04-17,1271
2016-04-18,1271
2016-04-19,1271
2016-04-20,1271
2016-04-21,1271
2016-04-22,1271
2016-04-23,1245
2016-04-24,1245
2016-04-25,1245
2016-04-26,1245
2016-04-27,1245
2016-04-28,1245
2016-04-29,1245
2016-04-30,1245
2016-05-01,1245
2016-05-02,1245
2016-05-03,1245
2016-05-04,1245
2016-05-05,1245
2016-05-06,1245
2016-05-07,1185
2016-05-08,1185
2016-05-09,1185
2016-05-10,1185
2016-05-11,1185
2016-05-12,1185
2016-05-13,1185
2016-05-14,1185
2016-05-15,1185
2016-05-16,1185
2016-05-17,1185
2016-05-18,1185
2016-05-19,1185
2016-05-22,1185
2016-05-23,1136
2016-05-24,1136
2016-05-25,1136
2016-05-26,1136
2016-05-27,1136
2016-05-28,1136
2016-05-29,1136
2016-05-30,1136
2016-05-31,1136
2016-06-01,1136
2016-06-02,1136
2016-06-03,1136
2016-06-04,1136
2016-06-05,1136
2016-06-06,1136
2016-06-07,1136
2016-06-08,1080
2016-06-09,1080
2016-06-10,1080
2016-06-11,1080
2016-06-12,1080
2016-06-13,1080
2016-06-14,1080
2016-06-15,1080
2016-06-16,1080
2016-06-17,1080
2016-06-18,1080
2016-06-19,1080
2016-06-20,1027
2016-06-21,1027
2016-06-22,1027
2016-06-23,1027
2016-06-24,1027
2016-06-25,1027
2016-06-26,1027
2016-06-27,1027
2016-06-28,1027
2016-06-29,1027
2016-06-30,1027
2016-07-01,1027
2016-07-02,1027
2016-07-03,994
2016-07-04,994
2016-07-05,994
2016-07-06,994
2016-07-07,994
2016-07-08,994
2016-07-09,994
2016-07-10,994
2016-07-11,994
2016-07-12,994
2016-07-13,994
2016-07-14,994
2016-07-15,994
2016-07-16,981
2016-07-17,981
2016-07-18,981
2016-07-23,981
2016-07-24,981
2016-07-25,981
2016-07-26,981
2016-07-27,981
2016-07-28,981
2016-07-29,981
2016-07-30,981
2016-07-31,981
2016-08-01,981
2016-08-02,991
2016-08-03,991
2016-08-04,991
2016-08-05,991
2016-08-06,991
2016-08-07,991
2016-08-08,991
2016-08-09,991
2016-08-10,991
2016-08-11,991
2016-08-12,991
2016-08-13,991
2016-08-14,991
2016-08-15,991
2016-08-16,991
2016-08-17,991
2016-08-18,991
2016-08-19,991
2016-08-20,1020
2016-08-21,1020
2016-08-22,1020
2016-08-23,1020
2016-08-24,1020
2016-08-25,1020
2016-08-26,1020
2016-08-28,1020
2016-08-31,1020
2016-09-01,1020
2016-09-02,1020
2016-09-03,1020
2016-09-04,1020
2016-09-05,1020
2016-09-06,1020
2016-09-07,1020
2016-09-08,1062
2016-09-09,1062
2016-09-10,1062
2016-09-11,1062
2016-09-12,1062
2016-09-13,1062
2016-09-14,1062
2016-09-15,1062
2016-09-16,1062
2016-09-17,1062
2016-09-18,1062
2016-09-19,1062
2016-09-20,1062
2016-09-21,1062
2016-09-22,1062
2016-09-23,1062
2016-09-24,1062
2016-09-25,1062
2016-09-26,1062
2016-09-27,1062
2016-09-28,1062
2016-09-29,1097
2016-09-30,1097
2016-10-01,1097
2016-10-02,1097
2016-10-03,1097
2016-10-04,1097
2016-10-05,1097
2016-10-06,1097
2016-10-07,1097
2016-10-08,1097
2016-10-09,1097
2016-10-10,1097
2016-10-11,1097
2016-10-12,1097
2016-10-13,1097
2016-10-14,1097
2016-10-15,1097
2016-10-16,1097
2016-10-17,1097
2016-10-18,1097
2016-10-19,1097
2016-10-20,1128
2016-10-21,1128
2016-10-22,1128
2016-10-23,1128
2016-10-24,1128
2016-10-25,1128
2016-10-26,1128
2016-10-27,1128
2016-10-28,1128
2016-10-29,1128
2016-10-30,1128
2016-10-31,1128
2016-11-01,1128
2016-11-02,1128
2016-11-03,1128
2016-11-04,1128
2016-11-05,1128
2016-11-06,1128
2016-11-07,1128
2016-11-08,1163
2016-11-09,1163
2016-11-10,1163
2016-11-11,1163
2016-11-12,1163
2016-11-13,1163
2016-11-14,1163
2016-12-07,1244
2016-12-08,1244
2016-12-09,1244
2016-12-10,1244
2016-12-11,1244
2016-12-12,1244
2016-12-13,1244
2016-12-14,1244
2016-12-15,1244
2016-12-16,1244
2016-12-17,1244
2016-12-18,1244
2016-12-19,1244
2016-12-20,1244
2016-12-21,1244
2016-12-22,1303
2016-12-23,1303
2016-12-24,1303
2016-12-25,1303
2016-12-26,1303
2016-12-27,1303
2016-12-28,1303
2016-12-29,1303
2016-12-30,1303
2016-12-31,1303
2017-01-01,1303
2017-01-02,1303
2017-01-03,1303
2017-01-04,1303
2017-01-05,1303
2017-01-06,1358
2017-01-07,1358
2017-01-08,1358
2017-01-09,1358
2017-01-10,1358
2017-01-11,1358
2017-01-12,1358
2017-01-13,1358
2017-01-14,1358
2017-01-15,1358
2017-01-16,1358
2017-01-17,1358
2017-01-18,1391
2017-01-19,1391
2017-01-20,1391
2017-01-21,1391
2017-01-22,1391
2017-01-27,1391
2017-01-28,1391
2017-01-29,1391
2017-01-30,1391
2017-01-31,1391
2017-02-01,1413
2017-02-02,1413
2017-02-03,1413
2017-02-04,1413
2017-02-05,1413
2017-02-06,1413
2017-02-07,1413
2017-02-08,1413
2017-02-09,1413
2017-02-10,1413
2017-02-11,1413
2017-02-12,1413
2017-02-13,1413
2017-02-14,1413
2017-02-15,1469
2017-02-16,1469
2017-02-18,1469
2017-02-19,1469
2017-02-20,1469
2017-02-21,1469
2017-02-22,1469
2017-02-23,1469
2017-02-24,1469
2017-02-25,1469
2017-02-26,1469
2017-02-27,1469
2017-02-28,1469
2017-03-01,1469
2017-03-02,1469
2017-03-03,1469
2017-03-04,1469
2017-03-05,1542
2017-03-06,1542
2017-03-07,1542
2017-03-08,1542
2017-03-09,1542
2017-03-10,1542
2017-03-11,1542
2017-03-12,1542
2017-03-13,1542
2017-03-14,1542
2017-03-15,1542
2017-03-16,1542
2017-03-17,1542
2017-03-18,1594
2017-03-19,1594
2017-03-20,1594
2017-03-21,1594
2017-03-22,1594
2017-03-23,1594
2017-03-24,1594
2017-03-25,1594
2017-03-26,1594
2017-03-27,1594
2017-03-28,1594
2017-03-29,1594
2017-03-30,1610
2017-03-31,1610
2017-04-01,1610
2017-04-02,1610
2017-04-03,1610
2017-04-04,1610
2017-04-12,1610
2017-04-13,1641
2017-04-14,1641
2017-04-15,1641
2017-04-16,1641
