date_obj,Giant%20boot price
2020-02-21,84627
2020-02-22,80651
2020-02-23,80651
2020-02-24,76618
2020-02-25,76618
2020-02-26,72787
2020-02-27,72787
2020-02-28,69147
2020-02-29,69147
2020-03-01,65689
2020-03-02,65689
2020-03-03,62817
2020-03-04,62817
2020-03-05,62525
2020-03-06,62525
2020-03-07,61741
2020-03-08,61741
2020-03-09,63035
2020-03-10,65836
2020-03-11,65836
2020-03-12,69128
2020-03-13,69128
2020-03-14,72585
2020-03-15,72585
2020-03-16,76215
2020-03-17,76215
2020-03-18,78781
2020-03-19,78781
2020-03-20,81385
2020-03-21,81385
2020-03-22,80972
2020-03-23,80972
2020-03-24,80476
2020-03-25,80476
2020-03-26,80082
2020-03-27,80082
2020-03-28,82157
2020-03-29,81367
2020-03-30,84630
2020-03-31,84630
2020-04-01,85285
2020-04-02,85285
2020-04-03,83531
2020-04-04,82606
2020-04-05,82606
2020-04-06,78928
2020-04-07,76448
2020-04-08,75113
2020-04-09,75113
2020-04-10,73884
2020-04-11,72525
2020-04-12,71648
2020-04-13,71648
2020-04-14,71156
2020-04-15,69444
2020-04-16,69444
2020-04-17,72383
2020-04-18,75825
2020-04-19,79138
2020-04-20,79138
2020-04-21,82898
2020-04-22,86251
2020-04-23,86251
2020-04-24,90185
2020-04-25,93319
2020-04-26,95158
2020-04-27,98004
2020-04-28,99592
2020-04-29,99592
2020-04-30,100262
2020-05-01,100262
2020-05-02,98067
2020-05-03,97595
2020-05-04,97595
2020-05-05,101535
2020-05-06,103396
2020-05-07,103396
2020-05-08,106179
2020-05-09,108371
2020-05-10,108371
2020-05-11,106770
2020-05-12,106770
2020-05-13,103061
