date_obj,Tribal%20top%20(blue) price
2016-04-28,9325
2016-04-29,9325
2016-04-30,9325
2016-05-01,9325
2016-05-02,9325
2016-05-03,9325
2016-05-04,9325
2016-05-05,9325
2016-05-06,9325
2016-05-07,9229
2016-05-08,9229
2016-05-09,9229
2016-05-10,9229
2016-05-11,9229
2016-05-12,9229
2016-05-13,9229
2016-05-14,9229
2016-05-15,9229
2016-05-16,9229
2016-05-17,9229
2016-05-18,9229
2016-05-19,9229
2016-05-20,9108
2016-05-21,9108
2016-05-22,9108
2016-05-23,9108
2016-05-24,9108
2016-05-25,9108
2016-05-26,9108
2016-05-27,9108
2016-05-28,9108
2016-05-29,8757
2016-05-30,8757
2016-05-31,8757
2016-06-01,8757
2016-06-02,8757
2016-06-03,8757
2016-06-04,8757
2016-06-05,8757
2016-06-06,8757
2016-06-07,8757
2016-06-08,8757
2016-06-09,8802
2016-06-10,8802
2016-06-11,8802
2016-06-12,8802
2016-06-13,8802
2016-06-14,8802
2016-06-15,8802
2016-06-16,8802
2016-06-17,8802
2016-06-18,8802
2016-06-19,8489
2016-06-20,8489
2016-06-21,8489
2016-06-22,8489
2016-06-23,8489
2016-06-24,8489
2016-06-25,8489
2016-06-26,8489
2016-06-27,8489
2016-06-28,8489
2016-06-29,8067
2016-06-30,8067
2016-07-01,8067
2016-07-02,8067
2016-07-03,8067
2016-07-04,8067
2016-07-05,8067
2016-07-06,8067
2016-07-07,8067
2016-07-08,7733
2016-07-09,7733
2016-07-10,7733
2016-07-11,7733
2016-07-13,7733
2016-07-14,7733
2016-07-15,7733
2016-07-16,7733
2016-07-17,7733
2016-07-18,7733
2016-07-19,7733
2016-07-20,7836
2016-07-21,7836
2016-07-22,7836
2016-07-23,7836
2016-07-24,7836
2016-07-25,7836
2016-07-26,7836
2016-07-27,7836
2016-07-28,7836
2016-07-29,7836
2016-07-30,7836
2016-07-31,7836
2016-08-01,7836
2016-08-02,7847
2016-08-03,7847
2016-08-04,7847
2016-08-05,7847
2016-08-06,7847
2016-08-07,7847
2016-08-08,7847
2016-08-09,7847
2016-08-10,7847
2016-08-11,7847
2016-08-12,7847
2016-08-13,7775
2016-08-14,7775
2016-08-15,7775
2016-08-16,7775
2016-08-17,7775
2016-08-18,7775
2016-08-19,7775
2016-08-20,7775
2016-08-21,7775
2016-08-22,7775
2016-08-23,7775
2016-08-24,7775
2016-08-25,7881
2016-08-26,7881
2016-08-27,7881
2016-08-28,7881
2016-08-29,7881
2016-08-30,7881
2016-08-31,7881
2016-09-01,7881
2016-09-02,7881
2016-09-03,7881
2016-09-04,7881
2016-09-05,7881
2016-09-06,7881
2016-09-07,7881
2016-09-08,7881
2016-09-09,7881
2016-09-10,7917
2016-09-11,7917
2016-09-12,7917
2016-09-13,7917
2016-09-14,7917
2016-09-15,7917
2016-09-16,7917
2016-09-17,7917
2016-09-18,7917
2016-09-19,7917
2016-09-20,7917
2016-09-21,7917
2016-09-22,7917
2016-09-23,7992
2016-09-24,7992
2016-09-25,7992
2016-09-26,7992
2016-09-27,7992
2016-09-28,7992
2016-09-29,7992
2016-09-30,7992
2016-10-01,7992
2016-10-02,7992
2016-10-03,7992
2016-10-04,7992
2016-10-05,7992
2016-10-06,7992
2016-10-07,7992
2016-10-08,8040
2016-10-09,8040
2016-10-10,8040
2016-10-11,8040
2016-10-12,8040
2016-10-13,8040
2016-10-14,8040
2016-10-15,8040
2016-10-16,8040
2016-10-17,8040
2016-10-18,8040
2016-10-19,8040
2016-10-20,8040
2016-10-21,8040
2016-10-22,8040
2016-10-23,8040
2016-10-24,7975
2016-10-25,7975
2016-10-26,7975
2016-10-27,7975
2016-10-28,7975
2016-10-29,7975
2016-10-30,7975
2016-10-31,7975
2016-11-01,7975
2016-11-02,7975
2016-11-03,7975
2016-11-04,7975
2016-11-05,7975
2016-11-06,7929
2016-11-07,7929
2016-11-08,7929
2016-11-09,7929
2016-11-10,7929
2016-11-11,7929
2016-11-12,7929
2016-11-13,7929
2016-11-14,7929
2016-11-15,7929
2016-11-16,7929
2016-11-17,7929
2016-11-18,7929
2016-11-19,7929
2016-11-20,7996
2016-11-21,7996
2016-11-22,7996
2016-11-23,7996
2016-11-24,7996
2016-11-25,7996
2016-11-26,7996
2016-11-27,7996
2016-11-28,7996
2016-11-29,7996
2016-11-30,7996
2016-12-01,7792
2016-12-02,7792
2016-12-03,7792
2016-12-04,7792
2016-12-05,7792
2016-12-06,7792
2016-12-07,7792
2016-12-08,7792
2016-12-09,7792
2016-12-10,7792
2016-12-11,7792
2016-12-12,7792
2016-12-13,7792
2016-12-14,7859
2016-12-15,7859
2016-12-16,7859
2016-12-17,7859
2016-12-18,7859
2016-12-19,7859
2016-12-20,7859
2016-12-21,7859
2016-12-22,7859
2016-12-23,7859
2016-12-24,7859
2016-12-25,7859
2016-12-26,7859
2016-12-27,7859
2016-12-28,7859
2016-12-29,7816
2016-12-30,7816
2016-12-31,7816
2017-01-01,7816
2017-01-02,7816
2017-01-03,7816
2017-01-04,7816
2017-01-05,7816
2017-01-06,7816
2017-01-07,7816
2017-01-08,7816
2017-01-09,7816
2017-01-10,7816
2017-01-11,7862
2017-01-12,7862
2017-01-13,7862
2017-01-14,7862
2017-01-15,7862
2017-01-16,7862
2017-01-17,7862
2017-01-18,7862
2017-01-19,7862
2017-01-20,7862
2017-01-21,7862
2017-01-22,7862
2017-01-23,8024
2017-01-24,8024
2017-01-25,8024
2017-01-26,8024
2017-01-27,8024
2017-01-28,8024
2017-01-29,8024
2017-01-30,8024
2017-01-31,8024
2017-02-01,8024
2017-02-02,8237
2017-02-03,8237
2017-02-04,8237
2017-02-05,8237
2017-02-06,8237
2017-02-07,8237
2017-02-08,8237
2017-02-09,8237
2017-02-10,8237
2017-02-11,8237
2017-02-12,8237
2017-02-13,8237
2017-02-14,7960
2017-02-15,7960
2017-02-16,7960
2017-02-17,7960
2017-02-18,7960
2017-02-19,7960
2017-02-20,7960
2017-02-21,7960
2017-02-22,7960
2017-02-23,7960
2017-02-24,7960
2017-02-25,7960
2017-02-26,7960
2017-02-27,7960
2017-02-28,7868
2017-03-01,7868
2017-03-02,7868
2017-03-03,7868
2017-03-04,7868
2017-03-05,7868
2017-03-06,7868
2017-03-07,7868
2017-03-08,7868
2017-03-09,7868
2017-03-10,7612
2017-03-11,7612
2017-03-12,7612
2017-03-13,7612
2017-03-14,7612
2017-03-15,7612
2017-03-16,7612
2017-03-17,7612
2017-03-18,7347
2017-03-19,7347
2017-03-20,7347
2017-03-21,7347
2017-03-22,7347
2017-03-23,7347
2017-03-24,7347
2017-03-25,7347
2017-03-26,7347
2017-03-27,7347
2017-03-28,7266
2017-03-29,7266
2017-03-30,7266
2017-03-31,7266
2017-04-01,7266
2017-04-02,7266
2017-04-03,7266
2017-04-04,7266
2017-04-05,7266
2017-04-06,7266
2017-04-07,7266
2017-04-08,7197
2017-04-09,7197
2017-04-10,7197
2017-04-11,7197
2017-04-12,7197
2017-04-13,7197
2017-04-14,7197
2017-04-15,7197
2017-04-16,7197
2017-04-17,7197
2017-04-18,7207
2017-04-19,7207
2017-04-20,7207
2017-04-21,7207
2017-04-22,7207
2017-04-23,7207
2017-04-24,7207
2017-04-25,7207
2017-04-26,7207
2017-04-27,6919
2017-04-28,6919
2017-04-29,6919
2017-04-30,6919
2017-05-01,6919
2017-05-02,6919
2017-05-03,6919
2017-05-04,6919
2017-05-05,6677
2017-05-06,6677
2017-05-07,6677
2017-05-08,6677
2017-05-09,6677
2017-05-10,6677
2017-05-11,6677
2017-05-12,6677
2017-05-13,6677
2017-05-14,6677
2017-05-15,6677
2017-05-16,6508
2017-05-17,6508
2017-05-18,6508
2017-05-19,6508
2017-05-20,6508
2017-05-21,6508
2017-05-22,6508
2017-05-23,6508
2017-05-24,6508
2017-05-25,6508
2017-05-26,6508
2017-05-27,6508
2017-05-28,6378
2017-05-29,6378
2017-05-30,6378
