date_obj,Battlefront%20teleport%20(tablet) price
2019-08-24,1949
2019-08-25,1949
2019-08-25,1949
2019-08-26,1891
2019-08-27,1891
2019-08-27,1891
2019-08-28,1891
2019-08-29,1796
2019-08-30,1796
2019-08-31,1796
2019-09-01,1743
2019-09-02,1743
2019-09-03,1743
2019-09-04,1731
2019-09-05,1731
2019-09-06,1731
2019-09-07,1775
2019-09-08,1775
2019-09-09,1775
2019-09-10,1832
2019-09-11,1832
2019-09-12,1832
2019-09-13,1832
2019-09-14,1869
2019-09-15,1869
2019-09-16,1869
2019-09-17,1901
2019-09-18,1901
2019-09-19,1901
2019-09-20,1901
2019-09-21,1893
2019-09-22,1893
2019-09-23,1893
2019-09-24,1893
2019-09-25,1857
2019-09-26,1857
2019-09-27,1857
2019-09-28,1886
2019-09-29,1886
2019-09-30,1886
2019-10-01,1841
2019-10-02,1841
2019-10-03,1841
2019-10-04,1841
2019-10-05,1772
2019-10-06,1772
2019-10-07,1772
2019-10-08,1803
2019-10-09,1803
2019-10-10,1803
2019-10-11,1803
2019-10-12,1892
2019-10-13,1892
2019-10-14,1892
2019-10-15,1913
2019-10-16,1913
2019-10-17,1913
2019-10-18,1949
2019-10-19,1949
2019-10-20,1949
2019-10-21,1913
2019-10-22,1913
2019-10-23,1913
2019-10-24,1913
2019-10-25,1893
2019-10-26,1893
2019-10-27,1893
2019-10-28,1940
2019-10-29,1940
2019-10-30,1940
2019-10-31,1940
2019-11-01,2014
2019-11-02,2014
2019-11-03,2014
2019-11-04,2093
2019-11-05,2093
2019-11-06,2093
2019-11-07,2093
2019-11-08,2156
2019-11-09,2156
2019-11-10,2156
2019-11-11,2132
2019-11-12,2132
2019-11-13,2132
2019-11-14,2132
2019-11-15,2064
2019-11-16,2064
2019-11-17,2064
2019-11-18,2134
2019-11-19,2134
2019-11-20,2134
2019-11-21,2134
2019-11-22,2235
2019-11-23,2235
2019-11-24,2235
2019-11-25,2317
2019-11-26,2317
2019-11-27,2317
2019-11-28,2411
2019-11-29,2411
2019-11-30,2411
2019-12-01,2384
2019-12-02,2384
2019-12-03,2384
2019-12-04,2352
2019-12-05,2352
2019-12-06,2352
2019-12-07,2329
2019-12-08,2329
2019-12-09,2329
2019-12-10,2258
2019-12-11,2258
2019-12-12,2258
2019-12-13,2202
2019-12-14,2202
2019-12-15,2202
2019-12-16,2146
2019-12-17,2146
2019-12-18,2146
2019-12-19,2175
2019-12-20,2175
2019-12-21,2175
2019-12-22,2145
2019-12-23,2145
2019-12-24,2145
2019-12-25,2119
2019-12-26,2119
2019-12-27,2119
2019-12-28,2197
2019-12-29,2197
2019-12-30,2197
2019-12-31,2203
2020-01-01,2203
2020-01-02,2258
2020-01-03,2258
2020-01-04,2258
2020-01-05,2350
2020-01-06,2350
2020-01-07,2443
2020-01-08,2443
2020-01-09,2443
2020-01-10,2475
2020-01-11,2475
2020-01-12,2449
2020-01-13,2449
2020-01-14,2449
2020-01-15,2326
2020-01-16,2326
2020-01-17,2258
2020-01-18,2258
2020-01-19,2243
2020-01-20,2243
2020-01-21,2243
2020-01-22,2231
2020-01-23,2231
2020-01-24,2231
2020-01-25,2127
2020-01-26,2127
2020-01-27,2076
2020-01-28,2076
2020-01-29,2076
2020-01-30,2123
2020-01-31,2123
2020-02-01,2123
2020-02-02,2128
2020-02-03,2128
2020-02-04,2128
2020-02-05,2059
2020-02-06,2059
2020-02-07,2059
2020-02-08,2016
2020-02-09,2016
2020-02-10,2009
2020-02-11,2009
2020-02-12,2009
2020-02-13,1966
2020-02-14,1966
2020-02-15,1879
2020-02-16,1879
2020-02-17,1835
2020-02-18,1835
2020-02-19,1835
2020-02-20,1908
2020-02-21,1908
2020-02-22,1908
2020-02-23,1872
2020-02-24,1872
2020-02-25,1880
2020-02-26,1880
2020-02-27,1880
2020-02-28,1968
2020-02-29,1968
2020-03-01,1968
2020-03-02,2062
2020-03-03,2062
2020-03-04,2062
2020-03-05,2108
2020-03-06,2108
2020-03-07,2203
2020-03-08,2203
2020-03-09,2210
2020-03-10,2210
2020-03-11,2112
2020-03-12,2112
2020-03-13,2124
2020-03-14,2124
2020-03-15,2210
2020-03-16,2210
2020-03-17,2292
2020-03-18,2292
2020-03-19,2378
2020-03-20,2378
2020-03-21,2453
2020-03-22,2453
2020-03-23,2506
2020-03-24,2506
2020-03-25,2441
2020-03-26,2397
2020-03-27,2397
2020-03-28,2350
2020-03-29,2435
2020-03-30,2533
2020-03-31,2533
2020-04-01,2617
2020-04-02,2722
2020-04-03,2722
2020-04-04,2763
2020-04-05,2763
2020-04-06,2743
2020-04-07,2743
2020-04-08,2701
2020-04-09,2701
2020-04-10,2635
2020-04-11,2509
2020-04-12,2509
2020-04-13,2395
2020-04-14,2275
2020-04-15,2195
2020-04-16,2195
2020-04-17,2085
2020-04-18,2013
2020-04-19,2017
2020-04-20,2017
2020-04-21,1984
2020-04-22,1973
2020-04-23,1973
2020-04-24,2049
2020-04-25,2049
2020-04-26,2123
2020-04-27,2082
2020-04-28,1977
2020-04-29,1977
2020-04-30,1890
2020-05-01,1890
2020-05-02,1872
2020-05-03,1824
2020-05-04,1824
2020-05-05,1857
2020-05-06,1940
2020-05-07,1940
2020-05-08,1981
2020-05-09,1948
2020-05-10,2019
2020-05-11,2019
2020-05-12,2000
2020-05-13,1938
