date_obj,Gloves%20of%20silence price
2016-02-23,2602
2016-02-24,2602
2016-02-25,2610
2016-02-26,2610
2016-02-27,2610
2016-02-28,2709
2016-02-29,2709
2016-03-01,2709
2016-03-02,2779
2016-03-03,2779
2016-03-04,2779
2016-03-05,2829
2016-03-06,2829
2016-03-07,2829
2016-03-08,2863
2016-03-09,2863
2016-03-10,2863
2016-03-11,2825
2016-03-12,2825
2016-03-13,2825
2016-03-14,2754
2016-03-15,2754
2016-03-16,2754
2016-03-17,2748
2016-03-18,2748
2016-03-19,2748
2016-03-20,2844
2016-03-21,2844
2016-03-22,2844
2016-03-23,2844
2016-03-24,2935
2016-03-25,2935
2016-03-26,2935
2016-03-27,3040
2016-03-28,3040
2016-03-29,3155
2016-03-30,3155
2016-03-31,3155
2016-04-01,3155
2016-04-02,3174
2016-04-03,3174
2016-04-04,3174
2016-04-05,3302
2016-04-06,3302
2016-04-07,3302
2016-04-08,3389
2016-04-09,3389
2016-04-10,3453
2016-04-11,3453
2016-04-12,3453
2016-04-13,3453
2016-04-14,3535
2016-04-15,3535
2016-04-16,3535
2016-04-17,3578
2016-04-18,3578
2016-04-19,3578
2016-04-20,3530
2016-04-21,3530
2016-04-22,3530
2016-04-23,3384
2016-04-24,3384
2016-04-25,3235
2016-04-26,3235
2016-04-27,3235
2016-04-28,3120
2016-04-29,3120
2016-04-30,3120
2016-05-01,2999
2016-05-02,2999
2016-05-03,3031
2016-05-04,3031
2016-05-05,3114
2016-05-06,3114
2016-05-07,3114
2016-05-08,3061
2016-05-09,3061
2016-05-10,3147
2016-05-11,3147
2016-05-12,3147
2016-05-13,3256
2016-05-14,3256
2016-05-15,3256
2016-05-16,3281
2016-05-17,3281
2016-05-18,3328
2016-05-19,3328
2016-05-22,3328
2016-05-23,3349
2016-05-24,3349
2016-05-25,3349
2016-05-26,3233
2016-05-27,3233
2016-05-28,3233
2016-05-29,3180
2016-05-30,3180
2016-05-31,3180
2016-06-01,3077
2016-06-02,3077
2016-06-03,3077
2016-06-04,2979
2016-06-05,2979
2016-06-06,2979
2016-06-07,2899
2016-06-08,2899
2016-06-09,2899
2016-06-10,2994
2016-06-11,2994
2016-06-12,2994
2016-06-13,3021
2016-06-14,3021
2016-06-15,3021
2016-06-16,2900
2016-06-17,2900
2016-06-18,2810
2016-06-19,2810
2016-06-20,2758
2016-06-21,2758
2016-06-22,2800
2016-06-23,2800
2016-06-24,2800
2016-06-25,2822
2016-06-26,2822
2016-06-27,2822
2016-06-28,2803
2016-06-29,2803
2016-06-30,2803
2016-07-01,2790
2016-07-02,2790
2016-07-03,2790
2016-07-04,2772
2016-07-05,2772
2016-07-06,2772
2016-07-07,2887
2016-07-08,2887
2016-07-09,2962
2016-07-10,2962
2016-07-11,3045
2016-07-12,3045
2016-07-13,3045
2016-07-14,3103
2016-07-15,3103
2016-07-16,3102
2016-07-17,3102
2016-07-18,3220
2016-07-23,3369
2016-07-24,3414
2016-07-25,3414
2016-07-26,3414
2016-07-27,3539
2016-07-28,3539
2016-07-29,3539
2016-07-30,3620
2016-07-31,3620
2016-08-01,3620
2016-08-02,3670
2016-08-03,3670
2016-08-04,3670
2016-08-05,3670
2016-08-06,3667
2016-08-07,3667
2016-08-08,3667
2016-08-09,3832
2016-08-10,3832
2016-08-11,3832
2016-08-12,3832
2016-08-13,3899
2016-08-14,3899
2016-08-15,3899
2016-08-16,3904
2016-08-17,3904
2016-08-18,3904
2016-08-19,3904
2016-08-20,3943
2016-08-21,3943
2016-08-22,3943
2016-08-23,4041
2016-08-24,4041
2016-08-25,4041
2016-08-26,4041
2016-08-28,4004
2016-08-31,3991
2016-09-01,3991
2016-09-02,3991
2016-09-03,4054
2016-09-04,4054
2016-09-05,4054
2016-09-06,3873
2016-09-07,3873
2016-09-08,3873
2016-09-09,3873
2016-09-10,3769
2016-09-11,3769
2016-09-12,3769
2016-09-13,3636
2016-09-14,3636
2016-09-15,3636
2016-09-16,3636
2016-09-17,3616
2016-09-18,3616
2016-09-19,3616
2016-09-20,3616
2016-09-21,3491
2016-09-22,3491
2016-09-23,3491
2016-09-24,3491
2016-09-25,3414
2016-09-26,3414
2016-09-27,3414
2016-09-28,3414
2016-09-29,3393
2016-09-30,3393
2016-10-01,3393
2016-10-02,3396
2016-10-03,3396
2016-10-04,3396
2016-10-05,3396
2016-10-06,3413
2016-10-07,3413
2016-10-08,3413
2016-10-09,3413
2016-10-10,3413
2016-10-11,3413
2016-10-12,3413
2016-10-13,3413
2016-10-14,3417
2016-10-15,3417
2016-10-16,3417
2016-10-17,3456
2016-10-18,3456
2016-10-19,3456
2016-10-20,3456
2016-10-21,3502
2016-10-22,3502
2016-10-23,3502
2016-10-24,3665
2016-10-25,3665
2016-10-26,3665
2016-10-27,3665
2016-10-28,3796
2016-10-29,3796
2016-10-30,3796
2016-10-31,3896
2016-11-01,3896
2016-11-02,3896
2016-11-03,3896
2016-11-04,4003
2016-11-05,4003
2016-11-06,4003
2016-11-07,4003
2016-11-08,3987
2016-11-09,3987
2016-11-10,3987
2016-11-11,3987
2016-11-12,3965
2016-11-13,3965
2016-11-14,3965
2016-11-15,3965
2016-12-07,2936
2016-12-08,2840
2016-12-09,2840
2016-12-10,2840
2016-12-11,2698
2016-12-12,2698
2016-12-13,2698
2016-12-14,2563
2016-12-15,2563
2016-12-16,2563
2016-12-17,2434
2016-12-18,2434
2016-12-19,2434
2016-12-20,2312
2016-12-21,2312
2016-12-22,2312
2016-12-23,2205
2016-12-24,2205
2016-12-25,2205
2016-12-26,2176
2016-12-27,2176
2016-12-28,2222
2016-12-29,2222
2016-12-30,2222
2016-12-31,2305
2017-01-01,2305
2017-01-02,2389
2017-01-03,2389
2017-01-04,2367
2017-01-05,2367
2017-01-06,2367
2017-01-07,2301
2017-01-08,2301
2017-01-09,2333
2017-01-10,2333
2017-01-11,2333
2017-01-12,2376
2017-01-13,2376
2017-01-14,2376
2017-01-15,2391
2017-01-16,2391
2017-01-17,2397
2017-01-18,2397
2017-01-19,2397
2017-01-20,2360
2017-01-21,2360
2017-01-22,2388
2017-01-23,2388
2017-01-27,2569
2017-01-28,2634
2017-01-29,2634
2017-01-30,2634
2017-01-31,2609
2017-02-01,2609
2017-02-02,2669
2017-02-03,2669
2017-02-04,2741
2017-02-05,2741
2017-02-06,2741
2017-02-07,2760
2017-02-08,2760
2017-02-09,2797
2017-02-10,2797
2017-02-11,2777
2017-02-12,2777
2017-02-13,2777
2017-02-14,2654
2017-02-15,2654
2017-02-16,2561
2017-02-18,2561
2017-02-19,2490
2017-02-20,2490
2017-02-21,2491
2017-02-22,2491
2017-02-23,2491
2017-02-24,2460
2017-02-25,2460
2017-02-26,2445
2017-02-27,2445
2017-02-28,2545
2017-03-01,2545
2017-03-02,2666
2017-03-03,2666
2017-03-04,2760
2017-03-05,2760
2017-03-06,2716
2017-03-07,2716
2017-03-08,2716
2017-03-09,2706
2017-03-10,2706
2017-03-11,2760
2017-03-12,2760
2017-03-13,2771
2017-03-14,2771
2017-03-15,2770
2017-03-16,2770
2017-03-17,2791
2017-03-18,2791
2017-03-19,2730
2017-03-20,2730
2017-03-21,2616
2017-03-22,2616
2017-03-23,2573
2017-03-24,2573
2017-03-25,2573
2017-03-26,2484
2017-03-27,2484
2017-03-28,2427
2017-03-29,2427
2017-03-30,2438
2017-03-31,2438
2017-04-01,2458
2017-04-02,2458
2017-04-03,2418
2017-04-04,2418
2017-04-12,2238
2017-04-13,2129
2017-04-14,2129
2017-04-15,2129
2017-04-16,2045
2017-04-17,2045
2017-04-18,2060
2017-04-19,2060
2017-04-20,2119
2017-04-21,2119
2017-04-22,2217
2017-04-23,2217
2017-04-24,2312
2017-04-25,2312
2017-04-26,2393
2017-04-27,2393
2017-04-28,2384
2017-04-29,2384
2017-04-30,2316
2017-05-01,2316
2017-05-02,2235
2017-05-03,2235
2017-05-04,2176
2017-05-05,2176
2017-05-06,2176
2017-05-07,2237
2017-05-08,2237
2017-05-09,2322
2017-05-10,2322
2017-05-11,2322
2017-05-12,2310
2017-05-13,2310
2017-05-14,2365
2017-05-15,2365
2017-05-16,2374
2017-05-17,2374
2017-05-18,2374
2017-05-19,2424
2017-05-20,2424
2017-05-21,2515
2017-05-22,2515
2017-05-23,2515
2017-05-24,2573
2017-05-25,2573
2017-05-26,2573
2017-05-27,2526
2017-05-28,2526
2017-05-29,2526
2017-05-30,2500
2017-05-31,2500
2017-06-01,2387
2017-06-02,2387
2017-06-03,2335
2017-06-04,2335
2017-06-05,2271
2017-06-06,2271
2017-06-07,2260
2017-06-08,2260
2017-06-09,2260
2017-06-10,2287
2017-06-11,2287
2017-06-12,2312
2017-06-13,2312
2017-06-14,2295
2017-06-15,2295
2017-06-16,2325
2017-06-17,2325
2017-06-18,2399
2017-06-19,2399
2017-06-20,2443
2017-06-21,2443
2017-06-22,2443
2017-06-23,2460
2017-06-24,2460
2017-06-25,2517
2017-06-26,2517
2017-06-27,2579
2017-06-28,2579
2017-06-29,2643
2017-06-30,2643
2017-07-01,2643
2017-07-02,2700
2017-07-03,2700
2017-07-04,2782
2017-07-05,2782
2017-07-06,2782
2017-07-07,2828
2017-07-08,2828
2017-07-13,2743
2017-07-14,2754
2017-07-15,2754
2017-07-16,2754
2017-07-17,2769
2017-07-18,2769
2017-07-19,2856
2017-07-20,2856
2017-07-21,2888
2017-07-22,2888
2017-07-23,2926
2017-07-24,2926
2017-07-25,2926
2017-07-26,3020
2017-07-27,3020
2017-07-28,3154
2017-07-29,3154
2017-07-30,3282
2017-07-31,3282
2017-08-01,3282
2017-08-02,3445
2017-08-03,3445
2017-08-04,3445
2017-08-05,3549
2017-08-06,3549
2017-08-09,3704
2017-08-10,3666
2017-08-11,3666
2017-08-12,3666
2017-08-13,3544
2017-08-14,3544
2017-08-15,3438
2017-08-16,3438
2017-08-17,3401
2017-08-18,3401
2017-08-19,3401
2017-08-20,3309
2017-08-21,3309
2017-08-22,3335
2017-08-23,3335
2017-08-24,3335
2017-08-25,3402
2017-08-26,3402
2017-08-27,3478
2017-08-28,3478
2017-08-29,3478
2017-08-30,3580
2017-08-31,3580
2017-09-01,3580
2017-09-02,3680
2017-09-03,3680
2017-09-04,3680
2017-09-05,3531
2017-09-06,3531
2017-09-07,3378
2017-09-08,3378
2017-09-09,3223
2017-09-10,3223
2017-09-11,3061
2017-09-12,3061
2017-09-13,3061
2017-09-14,2907
2017-09-15,2907
2017-09-16,2907
2017-09-17,2792
2017-09-18,2792
2017-09-19,2792
2017-09-20,2721
2017-09-21,2721
2017-09-22,2657
2017-09-23,2657
2017-09-24,2657
2017-09-25,2680
2017-09-26,2680
2017-09-27,2680
2017-09-28,2798
2017-09-29,2798
2017-09-30,2906
2017-10-01,2906
2017-10-02,2968
2017-10-03,2968
2017-10-04,2968
2017-10-05,2992
2017-10-06,2992
2017-10-07,3079
2017-10-08,3079
2017-10-09,3079
2017-10-10,3214
2017-10-11,3214
2017-10-12,3214
2017-10-13,3354
2017-10-14,3354
2017-10-15,3354
2017-10-16,3250
2017-10-17,3250
2017-10-18,3250
2017-10-19,3252
2017-10-20,3252
2017-10-21,3252
2017-10-22,3176
2017-10-23,3176
2017-10-24,3176
2017-10-25,3090
2017-10-26,3090
2017-10-27,3090
2017-10-28,2935
2017-10-29,2935
2017-10-30,2845
2017-10-31,2845
2017-11-01,2845
2017-11-02,2866
2017-11-03,2866
2017-11-04,2991
2017-11-05,2991
2017-11-06,2991
2017-11-07,3099
2017-11-08,3099
2017-11-09,3204
2017-11-10,3204
2017-11-11,3204
2017-11-12,3234
2017-11-13,3234
2017-11-14,3234
2017-11-15,3192
2017-11-16,3192
2017-11-17,3092
2017-11-18,3092
2017-11-19,3092
2017-11-20,2995
2017-11-21,2995
2017-11-22,3007
2017-11-23,3007
2017-11-24,3007
2017-11-25,2995
2017-11-26,2995
2017-11-27,2995
2017-11-28,3029
2017-11-29,3029
2017-11-30,3029
2017-12-01,2989
2017-12-02,2989
2017-12-03,2989
2017-12-04,2962
2017-12-05,2962
2017-12-06,2991
2017-12-07,2991
2017-12-08,2991
2017-12-09,3001
2017-12-10,3001
2017-12-11,3017
2017-12-12,3017
2017-12-13,3017
2017-12-14,3019
2017-12-15,3019
2017-12-16,3009
2017-12-17,3009
2017-12-18,3018
2017-12-19,3018
2017-12-20,3018
2017-12-21,3023
2017-12-22,3023
2017-12-23,3023
2017-12-24,3063
2017-12-25,3063
2017-12-26,3063
2017-12-27,3079
2017-12-28,3079
2017-12-29,3079
2017-12-30,3087
2017-12-31,3087
2018-01-01,3098
2018-01-02,3098
2018-01-03,3196
2018-01-04,3196
2018-01-05,3264
2018-01-06,3264
2018-01-07,3399
2018-01-08,3399
2018-01-09,3432
2018-01-10,3432
2018-01-11,3517
2018-01-12,3517
2018-01-13,3568
2018-01-14,3568
2018-01-15,3607
2018-01-16,3607
2018-01-17,3629
2018-01-18,3629
2018-01-19,3629
2018-01-20,3739
2018-01-21,3739
2018-01-22,3785
2018-01-23,3785
2018-01-24,3800
2018-01-25,3800
2018-01-26,3768
2018-01-27,3720
2018-01-28,3845
2018-01-29,3748
2018-01-30,3669
2018-01-31,3669
2018-02-01,3684
2018-02-02,3684
2018-02-03,3869
2018-02-04,4063
2018-02-05,4063
2018-02-06,4105
2018-02-07,4089
2018-02-08,4089
2018-02-09,4060
2018-02-10,4060
2018-02-11,4052
2018-02-12,3942
2018-02-13,3942
2018-02-14,3785
2018-02-15,3785
2018-02-16,3805
2018-02-17,3916
2018-02-18,3907
2018-02-19,3826
2018-02-20,3826
2018-02-21,3784
2018-02-22,3784
2018-02-23,3679
2018-02-24,3679
2018-02-25,3552
2018-02-26,3439
2018-02-27,3441
2018-02-28,3441
2018-03-01,3452
2018-03-02,3417
2018-03-03,3423
2018-03-04,3423
2018-03-05,3439
2018-03-06,3359
2018-03-07,3460
2018-03-08,3460
2018-03-09,3469
2018-03-10,3469
2018-03-11,3463
2018-03-12,3521
2018-03-13,3698
2018-03-14,3883
2018-03-15,3883
2018-03-16,4002
2018-03-17,4139
2018-03-18,4127
2018-03-20,4242
2018-03-21,4428
2018-03-23,4590
2018-03-24,4783
2018-03-25,4913
2018-03-26,4841
2018-03-27,4638
2018-03-28,4480
2018-03-29,4556
2018-03-30,4464
2018-03-31,4317
2018-04-01,4317
2018-04-02,4282
2018-04-03,4339
2018-04-04,4213
2018-04-05,4213
2018-04-06,4098
2018-04-07,4098
2018-04-08,4151
2018-04-09,4164
2018-04-10,4164
2018-04-11,4246
2018-04-12,4299
2018-04-13,4299
2018-04-14,4479
2018-04-15,4402
2018-04-16,4402
2018-04-17,4392
2018-04-18,4392
2018-04-19,4473
2018-04-20,4663
2018-04-21,4712
2018-04-22,4712
2018-04-23,4860
2018-04-24,4860
2018-04-25,4914
2018-04-26,4914
2018-04-27,5144
2018-04-28,5350
2018-04-29,5492
2018-04-30,5719
2018-05-01,5787
2018-05-02,5787
2018-05-03,5730
2018-05-04,5730
2018-05-05,5449
2018-05-06,5449
2018-05-07,5176
2018-05-08,5176
2018-05-09,4917
2018-05-10,4671
2018-05-11,4671
2018-05-12,4437
2018-05-13,4437
2018-05-14,4215
2018-05-15,4215
2018-05-16,4004
2018-05-17,4004
2018-05-18,3803
2018-05-19,3625
2018-05-20,3625
2018-05-21,3444
2018-05-22,3444
2018-05-23,3339
2018-05-24,3339
2018-05-25,3282
2018-05-26,3304
2018-05-27,3304
2018-05-28,3317
2018-05-29,3163
2018-05-30,3163
2018-05-31,3109
2018-06-01,3064
2018-06-02,3005
2018-06-03,3005
2018-06-04,3059
2018-06-05,3098
2018-06-06,3139
2018-06-07,3139
2018-06-08,3121
2018-06-09,3121
2018-06-10,3108
2018-06-11,3002
2018-06-12,2998
2018-06-13,2968
2018-06-14,2935
2018-06-15,2935
2018-06-16,2849
2018-06-17,2823
2018-06-18,2737
2018-06-19,2702
2018-06-20,2702
2018-06-21,2651
2018-06-22,2581
2018-06-23,2581
2018-06-24,2615
2018-06-25,2696
2018-06-26,2696
2018-06-27,2764
2018-06-28,2846
2018-06-29,2873
2018-06-30,2873
2018-07-01,2870
2018-07-02,2870
2018-07-03,2920
2018-07-04,2920
2018-07-05,2990
2018-07-06,3064
2018-07-07,3064
2018-07-08,3152
2018-07-09,3234
2018-07-10,3276
2018-07-11,3297
2018-07-12,3297
2018-07-13,3213
2018-07-14,3078
2018-07-15,3078
2018-07-16,2984
2018-07-17,2936
2018-07-18,2936
2018-07-19,2871
2018-07-20,2871
2018-07-21,2801
2018-07-22,2776
2018-07-23,2788
2018-07-24,2788
2018-07-25,2758
2018-07-26,2765
2018-07-27,2842
2018-07-28,2842
2018-07-29,2835
2018-07-30,2773
2018-07-31,2735
2018-08-01,2735
2018-08-02,2730
2018-08-03,2730
2018-08-04,2720
2018-08-05,2724
2018-08-06,2746
2018-08-07,2796
2018-08-08,2850
2018-08-09,2850
2018-08-10,2873
2018-08-11,2836
2018-08-12,2860
2018-08-14,2849
2018-08-16,2862
2018-08-17,2894
2018-08-18,2894
2018-08-19,2986
2018-08-20,3116
2018-08-21,3116
2018-08-22,3194
2018-08-23,3327
2018-08-24,3418
2018-08-25,3475
2018-08-26,3475
2018-08-27,3406
2018-08-28,3308
2018-08-29,3229
2018-08-30,3246
2018-08-31,3273
2018-09-01,3417
2018-09-02,3417
2018-09-03,3583
2018-09-04,3574
2018-09-05,3718
2018-09-06,3718
2018-09-07,3797
2018-09-08,3655
2018-09-09,3655
2018-09-10,3534
2018-09-11,3534
2018-09-12,3470
2018-09-13,3535
2018-09-14,3567
2018-09-15,3677
2018-09-16,3677
2018-09-17,3767
2018-09-18,3834
2018-09-19,3834
2018-09-20,3872
2018-09-21,3872
2018-09-22,3881
2018-09-23,3868
2018-09-24,3926
2018-09-25,3926
2018-09-26,3840
2018-09-27,3840
2018-09-28,3648
2018-09-29,3648
2018-09-30,3465
2018-10-01,3297
2018-10-02,3150
2018-10-03,3200
2018-10-04,3200
2018-10-05,3049
2018-10-06,2922
2018-10-07,2922
2018-10-08,2877
2018-10-09,2886
2018-10-10,2967
2018-10-11,3034
2018-10-12,3034
2018-10-13,3011
2018-10-14,3018
2018-10-15,2931
2018-10-16,3000
2018-10-17,3004
2018-10-18,3062
2018-10-19,3136
2018-10-20,3136
2018-10-21,3197
2018-10-22,3121
2018-10-23,3121
2018-10-24,3044
2018-10-25,3104
2018-10-26,3104
2018-10-27,3136
2018-10-28,3075
2018-10-29,3075
2018-10-30,3202
2018-10-31,3352
2018-11-01,3503
2018-11-03,3765
2018-11-04,3801
2018-11-05,3813
2018-11-06,3835
2018-11-07,3660
2018-11-08,3690
2018-11-09,3674
2018-11-10,3700
2018-11-11,3752
2018-11-12,3895
2018-11-13,4023
2018-11-14,4094
2018-11-15,4186
2018-11-16,4052
2018-11-17,3908
2018-11-18,3962
2018-11-19,3931
2018-11-20,4036
2018-11-21,4088
2018-11-22,4128
2018-11-23,3984
2018-11-24,3819
2018-11-25,3694
2018-11-26,3548
2018-11-27,3454
2018-11-28,3373
2018-11-29,3340
2018-12-01,3420
2018-12-02,3405
2018-12-03,3405
2018-12-04,3370
2018-12-05,3369
2018-12-07,3682
2018-12-09,3728
2018-12-10,3843
2018-12-11,3919
2018-12-12,3993
2018-12-13,3955
2018-12-14,3876
2018-12-15,3933
2018-12-16,3903
2018-12-17,3792
2018-12-18,3702
2018-12-19,3586
2018-12-20,3492
2018-12-21,3440
2018-12-22,3351
2018-12-23,3363
2018-12-24,3461
2018-12-25,3536
2018-12-26,3485
2018-12-27,3421
2018-12-28,3332
2018-12-29,3224
2018-12-30,3089
2018-12-31,3059
2019-01-01,3003
2019-01-02,2942
2019-01-03,2933
2019-01-04,2903
2019-01-05,2896
2019-01-06,2910
2019-01-08,2939
2019-01-10,3185
2019-01-11,3192
2019-01-12,3238
2019-01-13,3141
2019-01-14,3111
2019-01-15,3027
2019-01-16,3006
2019-01-17,2882
2019-01-18,2848
2019-01-19,2951
2019-01-20,3064
2019-01-21,3156
2019-01-22,3283
2019-01-23,3291
2019-01-24,3388
2019-01-25,3522
2019-01-26,3662
2019-01-27,3734
2019-01-28,3879
2019-01-29,3985
2019-01-30,3918
2019-01-31,3757
2019-02-01,3577
2019-02-02,3398
2019-02-03,3231
2019-02-04,3131
2019-02-05,3023
2019-02-06,3031
2019-02-07,2950
2019-02-08,3042
2019-02-09,2954
2019-02-10,3008
2019-02-11,2912
2019-02-12,2855
2019-02-13,2833
2019-02-14,2833
2019-02-15,2869
2019-02-16,2834
2019-02-17,2778
2019-02-18,2840
2019-02-19,2930
2019-02-20,3007
2019-02-21,3050
2019-02-22,3016
2019-02-23,2976
2019-02-24,2877
2019-02-25,2852
2019-02-26,2879
2019-02-27,2923
2019-02-28,3010
2019-03-01,3011
2019-03-02,3021
2019-03-03,3105
2019-03-04,3152
2019-03-05,3265
2019-03-06,3381
2019-03-07,3499
2019-03-08,3499
2019-03-09,3543
2019-03-10,3513
2019-03-11,3392
2019-03-12,3234
2019-03-13,3234
2019-03-14,3212
2019-03-15,3175
2019-03-16,3109
2019-03-17,3040
2019-03-18,3040
2019-03-19,2969
2019-03-20,2917
2019-03-21,2901
2019-03-22,2901
2019-03-23,2820
2019-03-24,2722
