date_obj,Earth%20talisman price
2017-04-24,201
2017-04-25,197
2017-04-26,197
2017-04-27,195
2017-04-28,191
2017-04-29,190
2017-04-30,194
2017-05-01,193
2017-05-02,189
2017-05-03,195
2017-05-04,203
2017-05-05,204
2017-05-06,211
2017-05-07,215
2017-05-08,212
2017-05-09,215
2017-05-10,217
2017-05-11,211
2017-05-12,209
2017-05-13,205
2017-05-14,202
2017-05-15,198
2017-05-16,200
2017-05-17,198
2017-05-18,201
2017-05-19,204
2017-05-20,207
2017-05-21,207
2017-05-22,206
2017-05-23,204
2017-05-24,199
2017-05-25,194
2017-05-26,190
2017-05-27,191
2017-05-28,191
2017-05-29,191
2017-05-30,191
2017-05-31,181
2017-06-01,183
2017-06-02,184
2017-06-03,184
2017-06-04,182
2017-06-05,185
2017-06-06,182
2017-06-07,177
2017-06-08,177
2017-06-09,176
2017-06-10,171
2017-06-11,166
2017-06-12,168
2017-06-13,168
2017-06-14,173
2017-06-15,176
2017-06-16,176
2017-06-17,176
2017-06-18,174
2017-06-19,174
2017-06-20,167
2017-06-21,167
2017-06-22,164
2017-06-23,170
2017-06-24,175
2017-06-25,173
2017-06-26,178
2017-06-27,180
2017-06-28,176
2017-06-29,171
2017-06-30,165
2017-07-01,165
2017-07-02,163
2017-07-03,156
2017-07-04,155
2017-07-05,155
2017-07-06,156
2017-07-07,156
2017-07-08,154
2017-07-13,153
2017-07-14,156
2017-07-15,156
2017-07-16,154
2017-07-17,159
2017-07-18,162
2017-07-19,163
2017-07-20,158
2017-07-21,157
2017-07-22,155
2017-07-23,156
2017-07-24,163
2017-07-25,166
2017-07-26,173
2017-07-27,174
2017-07-28,176
2017-07-29,177
2017-07-30,182
2017-07-31,188
2017-08-01,196
2017-08-02,204
2017-08-03,213
2017-08-04,223
2017-08-05,222
2017-08-06,234
2017-08-09,262
2017-08-10,265
2017-08-11,252
2017-08-12,239
2017-08-13,228
2017-08-14,217
2017-08-15,207
2017-08-16,196
2017-08-17,188
2017-08-18,188
2017-08-19,186
2017-08-20,179
2017-08-21,172
