date_obj,Dragon%20bolts price
2020-01-26,1278
2020-01-27,1275
2020-01-28,1279
2020-01-29,1272
2020-01-30,1261
2020-01-31,1258
2020-02-01,1244
2020-02-02,1234
2020-02-03,1264
2020-02-04,1280
2020-02-05,1290
2020-02-06,1254
2020-02-07,1192
2020-02-08,1132
2020-02-09,1083
2020-02-10,1030
2020-02-11,1031
2020-02-12,1035
2020-02-13,1036
2020-02-14,1031
2020-02-15,1021
2020-02-16,1017
2020-02-17,1020
2020-02-18,1016
2020-02-19,1032
2020-02-20,1029
2020-02-21,1029
2020-02-22,1025
2020-02-23,1030
2020-02-24,1037
2020-02-25,1019
2020-02-26,1032
2020-02-27,1040
2020-02-28,1048
2020-02-29,1048
2020-03-01,1051
2020-03-02,1057
2020-03-03,1058
2020-03-04,1022
2020-03-05,1031
2020-03-06,1044
2020-03-07,1035
2020-03-08,1037
2020-03-09,1056
2020-03-10,1065
2020-03-11,1059
2020-03-12,1062
2020-03-13,1067
2020-03-14,1063
2020-03-15,1040
2020-03-16,1027
2020-03-17,1035
2020-03-18,1038
2020-03-19,1046
2020-03-20,1045
2020-03-21,1047
2020-03-22,1049
2020-03-23,1059
2020-03-24,1065
2020-03-25,1064
2020-03-26,1066
2020-03-27,1057
2020-03-28,1056
2020-03-29,1043
2020-03-30,1046
2020-03-31,1054
2020-04-01,1050
2020-04-02,1043
2020-04-03,1043
2020-04-04,1047
2020-04-05,1056
2020-04-06,1066
2020-04-07,1073
2020-04-08,1068
2020-04-09,1061
2020-04-10,1054
2020-04-11,1059
2020-04-12,1069
2020-04-13,1083
2020-04-14,1088
2020-04-15,1097
2020-04-16,1087
2020-04-17,1086
2020-04-18,1092
2020-04-19,1104
2020-04-20,1095
2020-04-21,1091
2020-04-22,1089
2020-04-23,1093
2020-04-24,1094
2020-04-25,1093
2020-04-26,1098
2020-04-27,1099
2020-04-28,1103
2020-04-29,1106
2020-04-30,1113
2020-05-01,1112
2020-05-02,1100
2020-05-03,1075
2020-05-04,1070
2020-05-05,1068
2020-05-06,1077
2020-05-07,1076
2020-05-08,1078
2020-05-09,1073
2020-05-10,1068
2020-05-11,1077
2020-05-12,1081
2020-05-13,1087
