date_obj,Ancient%20kiteshield price
2017-04-17,36600
2017-04-18,36809
2017-04-19,37514
2017-04-20,37956
2017-04-21,37738
2017-04-22,36724
2017-04-23,37044
2017-04-24,37552
2017-04-25,38231
2017-04-26,38947
2017-04-27,39243
2017-04-28,39573
2017-04-29,39467
2017-04-30,39534
2017-05-01,38449
2017-05-02,39059
2017-05-03,38633
2017-05-04,38690
2017-05-05,38664
2017-05-06,38983
2017-05-07,38646
2017-05-08,37959
2017-05-09,38122
2017-05-10,37370
2017-05-11,36649
2017-05-12,36911
2017-05-13,36689
2017-05-14,36837
2017-05-15,37404
2017-05-16,37825
2017-05-17,38612
2017-05-18,38963
2017-05-19,39098
2017-05-20,38976
2017-05-21,38791
2017-05-22,38614
2017-05-23,38585
2017-05-24,38009
2017-05-25,36648
2017-05-26,36158
2017-05-27,36861
2017-05-28,35965
2017-05-29,35528
2017-05-30,34963
2017-05-31,35885
2017-06-01,35410
2017-06-02,36259
2017-06-03,35649
2017-06-04,35732
2017-06-05,36286
2017-06-06,36163
2017-06-07,36205
2017-06-08,36101
2017-06-09,36105
2017-06-10,36045
2017-06-11,36387
2017-06-12,36514
2017-06-13,36807
2017-06-14,36907
2017-06-15,37189
2017-06-16,37267
2017-06-17,37364
2017-06-18,37361
2017-06-19,37361
2017-06-20,37353
2017-06-21,36136
2017-06-22,34868
2017-06-23,33261
2017-06-24,32658
2017-06-25,31618
2017-06-26,31852
2017-06-27,32041
2017-06-28,32255
2017-06-29,32273
2017-06-30,33258
2017-07-01,33258
2017-07-02,34300
2017-07-03,35100
2017-07-04,35672
2017-07-05,35672
2017-07-06,36394
2017-07-07,36394
2017-07-08,36400
2017-07-09,36525
2017-07-13,37545
2017-07-14,37233
2017-07-15,37146
2017-07-16,36606
2017-07-17,37060
2017-07-18,37789
2017-07-19,37279
2017-07-20,38196
2017-07-21,38775
2017-07-22,39321
2017-07-23,39339
2017-07-24,39683
2017-07-25,40175
2017-07-26,39604
2017-07-27,39180
2017-07-28,38916
2017-07-29,39136
2017-07-30,38713
2017-07-31,37765
2017-08-01,36207
2017-08-02,35662
2017-08-03,36318
2017-08-04,36683
2017-08-05,36079
2017-08-06,36680
2017-08-07,37410
2017-08-08,37014
2017-08-09,36944
2017-08-10,37981
2017-08-11,37715
2017-08-12,37579
2017-08-13,37056
2017-08-14,37352
2017-08-15,37544
2017-08-16,37073
2017-08-17,36663
2017-08-18,35703
2017-08-19,36305
2017-08-20,35834
2017-08-21,35849
2017-08-22,36293
2017-08-23,36257
2017-08-24,35641
2017-08-25,36031
2017-08-26,36095
2017-08-27,35194
2017-08-28,35831
2017-08-29,34607
2017-08-30,34651
2017-08-31,34579
2017-09-01,34687
2017-09-02,33415
2017-09-03,33150
2017-09-04,32863
2017-09-05,32497
2017-09-06,32230
2017-09-07,32984
2017-09-08,33933
2017-09-09,34299
2017-09-10,34471
2017-09-11,34611
2017-09-12,33994
2017-09-13,34588
2017-09-14,34878
2017-09-15,34878
2017-09-16,34894
2017-09-17,35501
2017-09-18,35802
2017-09-19,35309
2017-09-20,35705
2017-09-22,35968
2017-09-23,36221
2017-09-24,36065
2017-09-25,35396
2017-09-26,35777
2017-09-27,35896
2017-09-28,36765
2017-09-29,36357
2017-09-30,36295
2017-10-01,35204
2017-10-02,35421
2017-10-03,36063
2017-10-04,36219
2017-10-05,36187
2017-10-06,35582
2017-10-07,34196
2017-10-08,33314
2017-10-09,33887
2017-10-10,33680
2017-10-11,34037
2017-10-12,34301
2017-10-13,34634
2017-10-14,34978
2017-10-15,34951
2017-10-16,35194
2017-10-17,35194
2017-10-18,35212
2017-10-19,35372
2017-10-20,34835
2017-10-21,34645
2017-10-22,34403
2017-10-23,34858
2017-10-24,34253
2017-10-25,34965
2017-10-26,35099
2017-10-27,35131
2017-10-28,35131
2017-10-29,34073
2017-10-30,33397
2017-10-31,32981
2017-11-01,33366
2017-11-02,33179
2017-11-03,32640
2017-11-04,32109
2017-11-05,32318
2017-11-06,32072
2017-11-07,32120
2017-11-08,32248
2017-11-09,32583
2017-11-10,32703
2017-11-11,33088
2017-11-12,32335
2017-11-13,31942
2017-11-14,32206
2017-11-15,32281
2017-11-16,32185
2017-11-17,32763
2017-11-18,33042
2017-11-19,32814
2017-11-20,32834
2017-11-21,32730
2017-11-22,32901
2017-11-23,33440
2017-11-24,33889
2017-11-25,33734
2017-11-26,34037
2017-11-27,34037
2017-11-28,34503
2017-11-29,35648
2017-11-30,36313
2017-12-01,36773
2017-12-02,36757
2017-12-03,36889
2017-12-04,36576
2017-12-05,37651
2017-12-06,37223
2017-12-07,36143
2017-12-08,36428
2017-12-09,37361
2017-12-10,38344
2017-12-11,38484
2017-12-12,38658
2017-12-13,39154
2017-12-14,39947
2017-12-15,40145
2017-12-16,40448
2017-12-17,40071
2017-12-18,39042
2017-12-19,38524
2017-12-20,39354
2017-12-21,39018
2017-12-22,39618
2017-12-23,38983
2017-12-24,39513
2017-12-25,38896
2017-12-26,40026
2017-12-27,40131
2017-12-28,41815
2017-12-29,41941
2017-12-30,42206
2017-12-31,41526
2018-01-01,41969
2018-01-02,41875
2018-01-03,42400
2018-01-04,41870
2018-01-05,40677
2018-01-06,39280
2018-01-07,38415
2018-01-08,38016
2018-01-09,37099
2018-01-10,36255
2018-01-11,35241
2018-01-12,34914
2018-01-13,35403
2018-01-14,35446
2018-01-15,35311
2018-01-16,34805
2018-01-17,33887
2018-01-18,34521
2018-01-19,34521
2018-01-20,34869
2018-01-21,35604
2018-01-22,36064
2018-01-23,35376
2018-01-24,35414
2018-01-25,35310
2018-01-26,35781
2018-01-27,35536
2018-01-28,34980
2018-01-29,35346
2018-01-30,35951
2018-01-31,36475
2018-02-01,36967
2018-02-02,37419
2018-02-03,37725
2018-02-04,37396
2018-02-05,38077
2018-02-06,38147
2018-02-07,38929
2018-02-08,38929
2018-02-09,38478
2018-02-10,38234
2018-02-11,38423
2018-02-12,38073
2018-02-13,37407
2018-02-14,38065
2018-02-15,38160
2018-02-16,38247
2018-02-17,37742
2018-02-18,38021
2018-02-19,38248
2018-02-20,38613
2018-02-21,38515
2018-02-22,38984
2018-02-23,38312
2018-02-24,38312
2018-02-25,38546
2018-02-26,38255
2018-02-27,37628
2018-02-28,37452
2018-03-01,37065
2018-03-02,36031
2018-03-03,34892
2018-03-04,34283
2018-03-05,34572
2018-03-06,34976
2018-03-07,36096
2018-03-08,36035
2018-03-09,35558
2018-03-10,36688
2018-03-11,36070
2018-03-12,36001
2018-03-13,36918
2018-03-14,36911
2018-03-15,36654
2018-03-16,36766
2018-03-17,36654
2018-03-18,36502
2018-03-19,35387
2018-03-20,35645
2018-03-21,35540
2018-03-22,35563
2018-03-23,36340
2018-03-24,35716
2018-03-25,34462
2018-03-26,33578
2018-03-27,33000
2018-03-28,32856
2018-03-29,33565
2018-03-30,34539
2018-03-31,35103
2018-04-01,35639
2018-04-02,35661
2018-04-03,36100
2018-04-04,36768
2018-04-05,36819
2018-04-06,37309
2018-04-07,37351
2018-04-08,37381
2018-04-09,36847
2018-04-10,35464
2018-04-11,34831
2018-04-12,35102
2018-04-13,35754
2018-04-14,36288
2018-04-15,36728
2018-04-16,36851
2018-04-17,36563
2018-04-18,35965
2018-04-19,37007
2018-04-20,37276
2018-04-21,38010
2018-04-22,38506
2018-04-23,38936
2018-04-24,39300
2018-04-25,39907
2018-04-26,39907
2018-04-27,40146
2018-04-28,40762
2018-04-29,40262
2018-04-30,39856
2018-05-01,40196
2018-05-02,40026
2018-05-03,40031
2018-05-04,39841
2018-05-05,40108
2018-05-06,40108
2018-05-07,40483
2018-05-08,40681
2018-05-09,41260
2018-05-10,42626
2018-05-11,43200
2018-05-12,43263
2018-05-13,43263
2018-05-14,43934
2018-05-15,45062
2018-05-16,45219
2018-05-17,46296
2018-05-18,47106
2018-05-19,47620
2018-05-20,47212
2018-05-21,46381
2018-05-22,47680
2018-05-23,48357
2018-05-24,48720
2018-05-25,49450
2018-05-26,50166
2018-05-27,50470
2018-05-28,50715
2018-05-29,51258
2018-05-30,51167
2018-05-31,51658
2018-06-01,51240
2018-06-02,50100
2018-06-03,49987
2018-06-04,49488
2018-06-05,49604
2018-06-06,49188
2018-06-07,48362
2018-06-08,48296
2018-06-09,46856
2018-06-10,46454
2018-06-11,45796
2018-06-12,45638
2018-06-13,46236
2018-06-14,46451
2018-06-15,45288
2018-06-16,44217
2018-06-17,42288
2018-06-18,43237
2018-06-19,43305
2018-06-20,43305
2018-06-21,42575
2018-06-22,41750
2018-06-23,40921
2018-06-24,41103
2018-06-25,40830
2018-06-26,40264
2018-06-27,40662
2018-06-28,41535
2018-06-29,40997
2018-06-30,40916
2018-07-01,40406
2018-07-02,40456
2018-07-03,40993
2018-07-04,41004
2018-07-05,41250
2018-07-06,41360
2018-07-07,40610
2018-07-08,41352
2018-07-09,41109
2018-07-10,40607
2018-07-11,41189
2018-07-12,39587
2018-07-13,38477
2018-07-14,38624
2018-07-15,38490
2018-07-16,37825
2018-07-17,36977
2018-07-18,35828
2018-07-19,35646
2018-07-20,35426
2018-07-21,35574
2018-07-22,36163
2018-07-23,36104
2018-07-24,36215
2018-07-25,36476
2018-07-26,36667
2018-07-27,36750
2018-07-28,36310
2018-07-29,36502
2018-07-30,36303
2018-07-31,36587
2018-08-01,37928
2018-08-02,38696
2018-08-03,39410
2018-08-04,38870
2018-08-05,38099
2018-08-06,38250
2018-08-07,38104
2018-08-08,39118
2018-08-09,39272
2018-08-10,39807
2018-08-11,40604
2018-08-12,40465
2018-08-14,39584
2018-08-16,39061
2018-08-17,39222
2018-08-18,39822
2018-08-19,39850
2018-08-20,39770
2018-08-21,39971
2018-08-22,40951
2018-08-23,42448
2018-08-24,43554
2018-08-25,42825
2018-08-26,41682
2018-08-27,42850
2018-08-28,44136
2018-08-29,44628
2018-08-30,45826
2018-08-31,47257
2018-09-01,47732
2018-09-02,47473
2018-09-03,46970
2018-09-04,46941
2018-09-05,47204
2018-09-06,47204
2018-09-07,49202
2018-09-08,50678
2018-09-09,52387
2018-09-10,53556
2018-09-11,53010
2018-09-12,54343
2018-09-13,56104
2018-09-14,56016
2018-09-15,55520
2018-09-16,55616
2018-09-17,54088
2018-09-18,54806
2018-09-19,55024
2018-09-20,55788
2018-09-21,56543
2018-09-22,57732
2018-09-23,58432
2018-09-24,58598
2018-09-25,58598
2018-09-26,59319
2018-09-27,59367
2018-09-28,60285
2018-09-29,62658
2018-09-30,63937
2018-10-01,65422
2018-10-02,65816
2018-10-03,66124
2018-10-04,64216
2018-10-05,65652
2018-10-06,65250
2018-10-07,64851
2018-10-08,64856
2018-10-09,65320
2018-10-10,65502
2018-10-11,64573
2018-10-12,62202
2018-10-13,63496
2018-10-14,63719
2018-10-15,64337
2018-10-16,64776
2018-10-17,65052
2018-10-18,65399
2018-10-19,64509
2018-10-20,64509
2018-10-21,62362
2018-10-22,60897
2018-10-23,57889
2018-10-24,55820
2018-10-25,56609
2018-10-26,56525
2018-10-27,55664
2018-10-28,54044
2018-10-29,51812
2018-10-30,50348
2018-10-31,49420
2018-11-01,49016
