date_obj,Death%20rune price
2017-09-09,262
2017-09-10,268
2017-09-11,268
2017-09-12,268
2017-09-13,268
2017-09-14,265
2017-09-15,262
2017-09-16,259
2017-09-17,252
2017-09-18,247
2017-09-19,244
2017-09-20,240
2017-09-21,233
2017-09-22,232
2017-09-23,235
2017-09-24,239
2017-09-25,240
2017-09-26,239
2017-09-27,238
2017-09-28,237
2017-09-29,239
2017-09-30,239
2017-10-01,239
2017-10-02,242
2017-10-03,243
2017-10-04,245
2017-10-05,245
2017-10-06,243
2017-10-07,242
2017-10-08,243
2017-10-09,245
2017-10-10,249
2017-10-11,250
2017-10-12,248
2017-10-13,247
2017-10-14,246
2017-10-15,246
2017-10-16,247
2017-10-17,247
2017-10-18,244
2017-10-19,242
2017-10-20,240
2017-10-21,239
2017-10-22,239
2017-10-23,240
2017-10-24,243
2017-10-25,244
2017-10-26,249
2017-10-27,250
2017-10-28,250
2017-10-29,249
2017-10-30,248
2017-10-31,249
2017-11-01,248
2017-11-02,247
2017-11-03,247
2017-11-04,247
2017-11-05,247
2017-11-06,246
2017-11-07,245
2017-11-08,244
2017-11-09,244
2017-11-10,244
2017-11-11,244
2017-11-12,244
2017-11-13,243
2017-11-14,243
2017-11-15,243
2017-11-16,242
2017-11-17,242
2017-11-18,241
2017-11-19,240
2017-11-20,240
2017-11-21,239
2017-11-22,237
2017-11-23,234
2017-11-24,229
2017-11-25,225
2017-11-26,223
2017-11-27,222
2017-11-28,224
2017-11-29,225
2017-11-30,225
2017-12-01,224
2017-12-02,225
2017-12-03,225
2017-12-04,226
2017-12-05,228
2017-12-06,230
2017-12-07,229
2017-12-08,228
2017-12-09,229
2017-12-10,230
2017-12-11,229
2017-12-12,230
2017-12-13,230
2017-12-14,228
2017-12-15,227
2017-12-16,225
2017-12-17,224
2017-12-18,225
2017-12-19,226
2017-12-20,226
2017-12-21,226
2017-12-22,226
2017-12-23,227
2017-12-24,227
2017-12-25,227
2017-12-26,227
2017-12-27,227
2017-12-28,227
2017-12-29,225
2017-12-30,225
2017-12-31,226
2018-01-01,229
2018-01-02,234
2018-01-03,233
2018-01-04,228
2018-01-05,224
2018-01-06,222
2018-01-07,221
2018-01-08,217
2018-01-09,213
2018-01-10,209
2018-01-11,206
2018-01-12,207
2018-01-13,213
2018-01-14,212
2018-01-15,213
2018-01-16,216
2018-01-17,220
2018-01-18,220
2018-01-19,221
2018-01-20,221
2018-01-21,222
2018-01-22,224
2018-01-23,227
2018-01-25,226
2018-01-26,223
2018-01-27,216
2018-01-28,216
2018-01-29,216
2018-01-30,217
2018-01-31,219
2018-02-01,221
2018-02-02,221
2018-02-03,221
2018-02-04,221
2018-02-05,222
2018-02-06,224
2018-02-07,225
2018-02-08,235
2018-02-09,235
2018-02-10,232
2018-02-11,230
2018-02-12,229
2018-02-13,228
2018-02-14,226
2018-02-15,223
2018-02-16,222
2018-02-17,220
2018-02-18,219
2018-02-19,219
2018-02-20,218
2018-02-21,218
2018-02-22,220
2018-02-23,227
2018-02-24,233
2018-02-25,237
2018-02-26,240
2018-02-27,239
2018-02-28,238
2018-03-01,237
2018-03-02,237
2018-03-03,237
2018-03-04,237
2018-03-05,237
2018-03-06,236
2018-03-07,235
2018-03-08,235
2018-03-09,235
2018-03-10,234
2018-03-11,234
2018-03-12,233
2018-03-13,232
2018-03-14,232
2018-03-15,231
2018-03-16,231
2018-03-17,230
2018-03-18,229
2018-03-19,228
2018-03-20,228
2018-03-21,227
2018-03-23,226
2018-03-24,229
2018-03-25,231
2018-03-26,232
2018-03-27,235
2018-03-28,239
2018-03-29,240
2018-03-30,243
2018-03-31,243
2018-04-01,243
2018-04-02,244
2018-04-03,247
2018-04-04,249
2018-04-05,248
2018-04-06,248
2018-04-07,248
2018-04-08,248
2018-04-09,248
2018-04-10,248
2018-04-11,248
2018-04-12,250
2018-04-13,255
2018-04-14,258
2018-04-15,257
2018-04-16,257
2018-04-17,257
2018-04-18,257
2018-04-19,256
2018-04-20,254
2018-04-21,251
2018-04-22,249
2018-04-23,246
2018-04-24,245
2018-04-25,243
2018-04-26,239
2018-04-27,236
2018-04-28,235
2018-04-29,235
2018-04-30,235
2018-05-01,235
2018-05-03,234
2018-05-04,234
2018-05-05,235
2018-05-07,235
2018-05-08,235
2018-05-09,236
2018-05-10,237
2018-05-11,238
2018-05-12,239
2018-05-13,241
2018-05-14,242
2018-05-15,242
2018-05-16,242
2018-05-17,243
2018-05-18,243
2018-05-19,244
2018-05-20,244
2018-05-21,244
2018-05-22,245
2018-05-23,245
2018-05-24,245
2018-05-25,244
2018-05-26,242
2018-05-27,242
2018-05-28,242
2018-05-29,243
2018-05-30,243
2018-05-31,243
2018-06-01,242
2018-06-02,240
2018-06-03,239
2018-06-04,238
2018-06-05,237
2018-06-06,234
2018-06-07,230
2018-06-08,222
2018-06-09,219
2018-06-10,221
2018-06-11,223
2018-06-12,223
2018-06-13,222
2018-06-14,219
2018-06-15,217
2018-06-16,216
2018-06-17,219
2018-06-18,222
2018-06-19,223
2018-06-20,222
2018-06-21,222
2018-06-22,220
2018-06-23,218
2018-06-24,217
2018-06-25,216
2018-06-26,216
2018-06-27,215
2018-06-28,214
2018-06-29,213
2018-06-30,212
2018-07-01,211
2018-07-02,211
2018-07-03,211
2018-07-04,212
2018-07-05,213
2018-07-06,213
2018-07-07,214
2018-07-08,214
2018-07-09,216
2018-07-10,222
2018-07-11,224
2018-07-12,227
2018-07-13,230
2018-07-14,231
2018-07-15,232
2018-07-16,235
2018-07-17,236
2018-07-18,235
2018-07-19,236
2018-07-20,236
2018-07-21,236
2018-07-22,236
2018-07-23,237
2018-07-24,237
2018-07-25,238
2018-07-26,238
2018-07-27,237
2018-07-28,235
2018-07-29,235
2018-07-30,235
2018-07-31,234
2018-08-01,234
2018-08-02,234
2018-08-03,235
2018-08-04,236
2018-08-05,238
2018-08-06,241
2018-08-07,245
2018-08-08,250
2018-08-09,249
2018-08-10,250
2018-08-11,254
2018-08-12,259
2018-08-14,259
2018-08-16,255
2018-08-17,253
2018-08-18,253
2018-08-19,257
2018-08-20,263
2018-08-21,265
2018-08-22,263
2018-08-23,263
2018-08-24,264
2018-08-25,270
2018-08-26,270
2018-08-27,272
2018-08-28,273
2018-08-29,273
2018-08-30,273
2018-08-31,275
2018-09-01,281
2018-09-02,282
2018-09-03,283
2018-09-04,282
2018-09-05,277
2018-09-06,271
2018-09-07,260
2018-09-08,252
2018-09-09,246
2018-09-10,243
2018-09-11,244
2018-09-12,243
2018-09-13,242
2018-09-14,244
2018-09-15,250
2018-09-16,259
2018-09-17,260
2018-09-18,264
2018-09-19,262
2018-09-20,260
2018-09-21,259
2018-09-22,262
2018-09-23,268
2018-09-24,276
2018-09-25,277
2018-09-26,281
2018-09-27,281
2018-09-28,278
2018-09-29,277
2018-09-30,280
2018-10-01,285
2018-10-02,284
2018-10-03,284
2018-10-04,283
2018-10-05,282
2018-10-06,278
2018-10-07,275
