date_obj,Jar%20of%20swamp price
2016-07-23,92785
2016-07-24,92785
2016-07-25,97207
2016-07-26,97207
2016-07-27,97207
2016-07-28,97207
2016-07-29,101989
2016-07-30,101989
2016-07-31,101989
2016-08-01,101989
2016-08-02,106985
2016-08-03,106985
2016-08-04,112335
2016-08-05,112335
2016-08-06,112335
2016-08-07,117952
2016-08-08,117952
2016-08-09,123779
2016-08-10,123779
2016-08-11,123779
2016-08-12,129862
2016-08-13,129862
2016-08-14,129862
2016-08-15,135387
2016-08-16,135387
2016-08-17,135387
2016-08-18,135387
2016-08-19,141917
2016-08-20,141917
2016-08-21,141917
2016-08-22,148615
2016-08-23,151427
2016-08-24,150928
2016-08-25,143381
2016-08-26,136762
2016-08-28,123515
2016-08-31,107089
2016-09-01,102107
2016-09-02,102107
2016-09-03,97001
2016-09-04,92319
2016-09-05,92319
2016-09-06,87703
2016-09-07,87703
2016-09-08,83437
2016-09-09,83437
2016-09-10,79412
2016-09-11,79412
2016-09-12,75563
2016-09-13,72087
2016-09-14,72087
2016-09-15,68572
2016-09-16,68572
2016-09-17,65276
2016-09-18,65276
2016-09-19,62257
2016-09-20,62257
2016-09-21,59423
2016-09-22,59423
2016-09-23,56725
2016-09-24,56725
2016-09-25,54031
2016-09-26,54031
2016-09-27,51656
2016-09-28,51656
2016-09-29,49423
2016-09-30,47198
2016-10-01,47198
2016-10-02,47198
2016-10-03,44838
2016-10-04,44838
2016-10-05,42736
2016-10-06,42736
2016-10-07,42736
2016-10-08,40599
2016-10-09,40599
2016-10-10,40599
2016-10-11,38569
2016-10-12,38569
2016-10-13,36755
2016-10-14,36755
2016-10-15,35089
2016-10-16,35089
2016-10-17,33427
2016-10-18,33427
2016-10-19,33427
2016-10-20,31937
2016-10-21,31937
2016-10-22,30515
2016-10-23,30515
2016-10-24,28989
2016-10-25,28989
2016-10-26,27888
2016-10-27,27888
2016-10-28,27888
2016-10-29,27000
2016-10-30,27000
2016-10-31,25693
2016-11-01,25693
2016-11-02,24491
2016-11-03,24491
2016-11-04,23298
2016-11-05,23298
2016-11-06,22260
2016-11-07,22260
2016-11-08,21902
2016-11-09,21902
2016-11-10,21902
2016-11-11,21451
2016-11-12,21451
2016-11-13,21451
2016-11-14,20688
2016-12-07,17170
2016-12-08,17170
2016-12-09,16727
2016-12-10,16727
2016-12-11,16727
2016-12-12,16727
2016-12-13,16633
2016-12-14,16633
2016-12-15,16633
2016-12-16,16633
2016-12-17,16303
2016-12-18,16303
2016-12-19,16303
2016-12-20,15882
2016-12-21,15882
2016-12-22,15882
2016-12-23,15906
2016-12-24,15906
2016-12-25,15906
2016-12-26,15761
2016-12-27,15761
2016-12-28,15637
2016-12-29,15637
2016-12-30,15637
2016-12-31,15476
2017-01-01,15476
2017-01-02,15723
2017-01-03,15723
2017-01-04,15723
2017-01-05,16138
2017-01-06,16138
2017-01-07,15555
2017-01-08,15555
2017-01-09,14906
2017-01-10,14906
2017-01-11,14906
2017-01-12,14668
2017-01-13,14668
2017-01-14,14014
2017-01-15,14014
2017-01-16,14090
2017-01-17,14090
2017-01-18,14727
2017-01-19,14727
2017-01-20,14727
2017-01-21,14917
2017-01-22,14917
2017-01-27,14268
2017-01-28,13900
2017-01-29,13900
2017-01-30,14016
2017-01-31,14016
2017-02-01,14058
2017-02-02,14058
2017-02-03,14058
2017-02-04,13882
2017-02-05,13882
2017-02-06,13882
2017-02-07,13664
2017-02-08,13664
2017-02-09,13664
2017-02-10,13294
2017-02-11,13294
2017-02-12,12889
2017-02-13,12889
2017-02-14,12288
2017-02-15,12288
2017-02-16,11680
2017-02-18,11118
2017-02-19,10791
2017-02-20,10791
2017-02-21,10791
2017-02-22,10791
2017-02-23,10791
2017-02-24,10791
2017-02-25,10698
2017-02-26,10698
2017-02-27,10698
2017-02-28,10273
2017-03-01,10273
2017-03-02,10036
2017-03-03,10036
2017-03-04,9913
2017-03-05,9913
2017-03-06,9819
2017-03-07,9819
2017-03-08,9784
2017-03-09,9784
2017-03-10,9914
2017-03-11,9914
2017-03-12,10229
2017-03-13,10229
2017-03-14,10522
2017-03-15,10522
2017-03-16,10214
2017-03-17,10214
2017-03-18,10214
2017-03-19,10308
2017-03-20,10308
2017-03-21,10131
2017-03-22,10131
2017-03-23,9990
2017-03-24,9990
2017-03-25,9990
2017-03-26,10016
2017-03-27,10016
2017-03-28,10016
2017-03-29,10181
2017-03-30,10181
2017-03-31,10535
2017-04-01,10535
2017-04-02,10535
2017-04-03,10825
2017-04-04,10825
2017-04-12,11199
2017-04-13,11419
2017-04-14,11419
2017-04-15,11956
2017-04-16,11956
2017-04-17,11909
2017-04-18,11909
2017-04-19,12329
2017-04-20,12329
2017-04-21,12786
2017-04-22,12786
2017-04-23,13278
2017-04-24,13278
2017-04-25,13930
2017-04-26,13930
2017-04-27,13930
2017-04-28,14566
2017-04-29,14566
2017-04-30,15276
2017-05-01,15276
2017-05-02,16013
2017-05-03,16013
2017-05-04,16761
2017-05-05,16761
2017-05-06,17291
2017-05-07,17291
2017-05-08,17993
2017-05-09,17993
2017-05-10,18594
2017-05-11,18594
2017-05-12,18637
2017-05-13,18637
2017-05-14,18219
2017-05-15,18219
2017-05-16,17764
2017-05-17,17764
2017-05-18,17235
2017-05-19,17235
2017-05-20,16989
2017-05-21,16989
2017-05-22,17163
2017-05-23,17163
2017-05-24,17002
2017-05-25,17002
2017-05-26,17089
2017-05-27,17089
2017-05-28,17697
2017-05-29,17697
2017-05-30,17228
2017-05-31,17228
2017-06-01,16664
2017-06-02,16664
2017-06-03,16664
2017-06-04,16074
2017-06-06,15623
2017-06-07,15623
2017-06-08,15623
2017-06-09,15251
2017-06-10,15251
2017-06-11,14783
2017-06-12,14783
2017-06-13,14783
2017-06-14,14302
2017-06-15,14302
2017-06-16,14302
2017-06-17,14298
2017-06-18,14298
2017-06-19,14298
2017-06-20,13759
2017-06-21,13759
2017-06-22,13759
2017-06-23,13178
2017-06-24,13178
2017-06-25,13178
2017-06-26,12952
2017-06-27,12952
2017-06-28,12952
2017-06-29,12338
2017-06-30,12338
2017-07-01,12338
2017-07-02,12013
2017-07-03,12013
2017-07-04,11518
2017-07-05,11518
2017-07-06,11518
2017-07-07,11302
2017-07-08,11302
2017-07-13,10454
2017-07-14,9965
2017-07-15,9965
2017-07-16,9965
2017-07-17,9552
2017-07-18,9552
2017-07-19,9552
2017-07-20,9482
2017-07-21,9482
2017-07-22,9482
2017-07-23,9262
2017-07-24,9262
2017-07-25,9262
2017-07-26,9232
2017-07-27,9232
2017-07-28,9369
2017-07-29,9369
2017-07-30,9369
2017-07-31,9487
2017-08-01,9487
2017-08-02,9452
2017-08-03,9452
2017-08-04,9452
2017-08-05,9317
2017-08-06,9317
2017-08-09,8851
2017-08-10,8504
2017-08-11,8504
2017-08-12,8638
2017-08-13,8638
2017-08-14,8638
2017-08-15,8902
2017-08-16,8902
2017-08-17,9083
2017-08-18,9083
2017-08-19,9083
2017-08-20,9087
2017-08-21,9087
2017-08-22,9517
2017-08-23,9517
2017-08-24,9517
2017-08-25,9872
2017-08-26,9872
2017-08-27,10219
2017-08-28,10219
2017-08-29,10219
2017-08-30,10538
2017-08-31,10538
2017-09-01,10538
2017-09-02,10883
2017-09-03,10883
2017-09-04,10883
2017-09-05,11260
2017-09-06,11260
2017-09-07,11823
2017-09-08,11823
2017-09-09,12282
2017-09-10,12282
2017-09-11,12282
2017-09-12,12352
2017-09-13,12352
2017-09-14,11980
2017-09-15,11980
2017-09-16,11980
2017-09-17,11568
2017-09-19,11568
2017-09-20,11529
2017-09-21,11529
2017-09-22,11529
2017-09-23,11593
2017-09-24,11593
2017-09-25,11593
2017-09-26,11612
2017-09-27,11612
2017-09-28,11612
2017-09-29,11630
2017-09-30,11630
2017-10-01,11345
2017-10-02,11345
2017-10-03,11345
2017-10-04,11231
2017-10-05,11231
2017-10-06,11217
2017-10-07,11217
2017-10-08,11718
2017-10-09,11718
2017-10-10,11718
2017-10-11,11915
2017-10-12,11915
2017-10-13,12163
2017-10-14,12163
2017-10-15,12163
2017-10-16,12178
2017-10-17,12178
2017-10-18,12178
2017-10-19,12190
2017-10-20,12190
2017-10-21,12193
2017-10-22,12193
2017-10-23,12143
2017-10-24,12143
2017-10-25,12070
2017-10-26,12070
2017-10-27,12133
2017-10-28,12133
2017-10-29,12133
2017-10-30,12616
2017-10-31,12616
2017-11-01,12616
2017-11-02,13247
2017-11-03,13247
2017-11-04,13642
2017-11-05,13642
2017-11-06,13642
2017-11-07,13524
2017-11-08,13524
2017-11-09,13792
2017-11-10,13792
2017-11-11,13792
2017-11-12,13878
2017-11-13,13878
2017-11-14,13878
2017-11-15,14540
2017-11-16,14540
2017-11-17,14897
2017-11-18,14897
2017-11-19,15198
2017-11-20,15198
2017-11-21,15505
2017-11-22,15505
2017-11-23,15406
2017-11-24,15406
2017-11-25,15764
2017-11-26,15764
2017-11-27,15764
2017-11-28,16368
2017-11-29,16368
2017-11-30,16368
2017-12-01,16285
2017-12-02,16285
2017-12-03,16169
2017-12-04,16169
2017-12-05,15982
2017-12-06,15982
2017-12-07,16051
2017-12-08,16051
2017-12-09,16051
2017-12-10,15665
2017-12-11,15665
2017-12-12,15665
2017-12-14,15502
2017-12-15,14729
2017-12-16,14729
2017-12-17,14729
2017-12-18,14239
2017-12-19,14239
2017-12-20,13722
2017-12-21,13722
2017-12-22,13497
2017-12-23,13497
2017-12-24,13047
2017-12-25,13047
2017-12-26,13047
2017-12-27,12555
2017-12-28,12555
2017-12-29,12555
2017-12-30,12382
2017-12-31,12382
2018-01-01,12445
2018-01-02,12445
2018-01-03,12789
2018-01-04,12789
2018-01-05,12960
2018-01-06,12960
2018-01-07,13001
2018-01-08,13001
2018-01-09,13093
2018-01-10,13093
2018-01-11,12929
2018-01-12,12929
2018-01-13,12437
2018-01-14,12437
2018-01-15,11828
2018-01-16,11828
2018-01-17,11287
2018-01-18,11287
2018-01-19,11287
2018-01-20,10985
2018-01-21,10985
2018-01-22,10762
2018-01-23,10762
2018-01-25,10889
2018-01-26,10889
2018-01-27,11130
2018-01-28,11130
2018-01-29,11118
2018-01-30,11118
2018-01-31,11186
2018-02-01,11186
2018-02-02,11186
2018-02-03,10991
2018-02-04,10991
2018-02-05,11094
2018-02-06,11094
2018-02-07,11011
2018-02-08,11011
2018-02-09,11011
2018-02-10,10911
2018-02-11,10911
2018-02-12,11263
2018-02-13,11263
2018-02-14,11480
2018-02-15,11480
2018-02-16,11480
2018-02-17,11803
2018-02-18,11803
2018-02-19,12370
2018-02-20,12370
2018-02-21,12189
2018-02-22,12189
2018-02-23,11682
2018-02-24,11682
2018-02-25,11121
2018-02-26,11121
2018-02-27,10750
2018-02-28,10750
2018-03-01,10750
2018-03-02,10426
2018-03-03,10426
2018-03-04,10056
2018-03-05,10056
2018-03-06,9789
2018-03-07,9789
2018-03-08,9861
2018-03-09,9861
2018-03-10,9482
2018-03-11,9482
2018-03-12,9442
2018-03-13,9442
2018-03-14,9442
2018-03-15,9906
2018-03-16,9906
2018-03-17,10308
2018-03-18,10308
2018-03-19,10308
2018-03-20,10653
2018-03-21,10653
2018-03-23,11128
2018-03-24,11128
2018-03-25,11489
2018-03-26,11489
2018-03-27,11958
2018-03-28,11958
2018-03-29,12506
2018-03-30,12506
2018-03-31,12944
2018-04-01,12944
2018-04-02,13262
2018-04-03,13262
2018-04-04,13699
2018-04-05,13699
2018-04-06,14236
2018-04-07,14236
2018-04-08,14236
2018-04-09,14794
2018-04-10,14794
2018-04-11,15219
2018-04-12,15219
2018-04-13,15125
2018-04-14,15125
2018-04-15,15284
2018-04-16,15284
2018-04-17,15284
2018-04-18,15404
2018-04-19,15404
2018-04-20,15258
2018-04-21,15258
2018-04-22,15661
2018-04-23,15661
2018-04-24,15772
2018-04-25,15772
2018-04-26,15772
2018-04-27,15012
2018-04-28,15012
2018-04-29,14592
2018-04-30,14592
2018-05-01,14647
2018-05-04,14650
2018-05-05,14576
2018-05-06,14576
2018-05-07,14576
2018-05-08,14625
2018-05-09,14625
2018-05-10,14613
2018-05-11,14613
2018-05-12,14341
2018-05-13,14341
2018-05-14,14341
2018-05-15,14236
2018-05-16,14236
2018-05-17,14236
2018-05-18,14309
2018-05-19,14309
2018-05-20,14309
2018-05-21,14414
2018-05-22,14414
2018-05-23,14724
2018-05-24,14724
2018-05-25,14724
2018-05-26,15089
2018-05-27,15089
2018-05-28,15188
2018-05-29,15188
2018-05-30,14896
2018-05-31,14896
2018-06-01,14423
2018-06-02,14423
2018-06-03,14174
2018-06-04,14174
2018-06-05,13580
2018-06-06,13580
2018-06-07,13061
2018-06-08,13061
2018-06-09,12455
2018-06-10,12455
2018-06-11,12112
2018-06-12,12112
2018-06-13,11506
2018-06-14,11506
2018-06-15,10988
2018-06-16,10988
2018-06-17,11229
2018-06-18,11229
2018-06-19,11535
2018-06-20,11535
2018-06-21,11535
2018-06-22,11705
2018-06-23,11705
2018-06-24,11705
2018-06-25,11903
2018-06-26,11903
2018-06-27,11903
2018-06-28,11895
2018-06-29,11895
2018-06-30,11668
2018-07-01,11668
2018-07-02,11668
2018-07-03,11174
2018-07-04,11174
2018-07-05,11174
2018-07-06,10842
2018-07-07,10842
2018-07-08,10842
2018-07-09,10846
2018-07-10,10846
2018-07-11,11093
2018-07-12,11093
2018-07-13,11362
2018-07-14,11362
2018-07-15,11151
2018-07-16,11151
2018-07-17,11181
2018-07-18,11181
2018-07-19,11181
2018-07-20,11352
2018-07-21,11352
2018-07-22,11366
2018-07-23,11366
2018-07-24,11499
2018-07-25,11499
2018-07-26,11585
2018-07-27,11585
2018-07-28,11748
2018-07-29,11748
2018-07-30,11748
2018-07-31,11829
2018-08-01,11829
2018-08-02,11450
2018-08-03,11450
2018-08-04,10885
2018-08-05,10885
2018-08-06,10362
2018-08-07,10362
2018-08-08,10006
2018-08-09,10006
2018-08-10,10006
2018-08-11,10323
2018-08-12,10323
2018-08-14,10583
2018-08-16,10700
2018-08-17,10700
2018-08-18,10932
2018-08-19,10932
2018-08-20,11217
2018-08-21,11217
2018-08-22,11217
2018-08-23,11518
2018-08-24,11518
2018-08-25,11512
2018-08-26,11512
2018-08-27,11512
2018-08-28,11479
2018-08-29,11479
2018-08-30,11479
2018-08-31,11696
2018-09-01,11696
2018-09-02,12115
2018-09-03,12115
2018-09-04,12606
2018-09-05,12606
2018-09-06,12606
2018-09-07,12682
2018-09-08,12682
2018-09-09,12682
2018-09-10,13091
2018-09-11,13091
2018-09-12,13091
2018-09-13,13644
2018-09-14,13644
2018-09-15,14087
2018-09-16,14087
2018-09-17,14087
2018-09-18,14526
2018-09-19,14526
2018-09-20,14526
2018-09-21,15170
2018-09-22,15170
2018-09-23,15859
2018-09-24,15859
2018-09-25,15859
2018-09-26,16572
2018-09-27,16572
2018-09-28,16572
2018-09-29,17170
2018-09-30,17170
2018-10-02,18013
2018-10-03,18320
2018-10-04,18320
2018-10-05,18320
2018-10-06,18282
2018-10-07,18282
2018-10-08,18282
2018-10-09,18414
2018-10-10,18414
2018-10-11,18901
2018-10-12,18901
2018-10-13,19716
2018-10-14,19716
2018-10-15,19716
2018-10-16,20640
2018-10-17,20640
2018-10-18,21645
2018-10-19,21645
2018-10-20,22687
2018-10-21,22687
2018-10-22,23551
2018-10-23,23551
2018-10-24,23551
2018-10-25,24056
2018-10-26,24056
2018-10-27,24983
2018-10-28,24983
2018-10-29,24983
2018-10-30,25789
2018-10-31,25789
2018-11-01,25162
2018-11-03,24649
2018-11-04,24649
2018-11-05,24491
2018-11-06,24491
2018-11-07,23692
2018-11-08,23692
2018-11-09,23936
2018-11-10,23936
2018-11-11,22739
2018-11-12,21633
2018-11-13,21633
2018-11-14,20632
2018-11-15,19778
2018-11-16,19778
2018-11-17,18829
2018-11-18,18829
2018-11-19,17989
2018-11-20,17480
2018-11-21,17480
2018-11-22,17164
2018-11-23,17164
2018-11-24,17737
2018-11-25,17737
2018-11-26,18115
2018-11-27,18115
2018-11-28,18564
2018-11-29,18564
2018-12-01,19212
2018-12-02,19744
2018-12-03,19744
2018-12-04,19652
2018-12-05,19652
2018-12-07,20013
2018-12-09,19992
2018-12-10,20037
2018-12-11,20037
2018-12-12,20037
2018-12-13,19169
2018-12-14,19169
2018-12-15,18417
2018-12-16,18417
2018-12-17,17883
2018-12-18,17185
2018-12-19,17185
2018-12-20,16356
2018-12-21,16356
2018-12-22,15796
2018-12-23,15796
2018-12-24,15487
2018-12-25,15487
2018-12-26,15487
2018-12-27,15701
2018-12-28,15701
2018-12-29,15988
2018-12-30,15988
2018-12-31,15981
2019-01-01,15981
2019-01-02,15524
2019-01-03,15524
2019-01-04,15164
2019-01-05,15164
2019-01-06,15137
2019-01-08,15016
2019-01-10,15113
2019-01-11,15113
2019-01-12,15141
2019-01-13,15141
2019-01-14,15007
2019-01-15,15007
2019-01-16,15263
2019-01-17,15263
2019-01-18,15763
2019-01-19,15763
2019-01-20,16394
2019-01-21,16394
2019-01-22,17024
2019-01-23,17024
2019-01-24,17302
2019-01-25,16583
2019-01-26,16583
2019-01-27,16819
2019-01-28,16819
2019-01-29,16847
2019-01-30,16847
2019-01-31,17009
2019-02-01,16828
2019-02-02,16828
2019-02-03,17466
2019-02-04,17466
2019-02-05,17986
2019-02-06,17986
2019-02-07,18188
2019-02-08,18188
2019-02-09,18469
2019-02-10,18469
2019-02-11,18731
2019-02-12,18731
2019-02-13,19092
2019-02-14,19092
2019-02-15,19521
2019-02-16,19521
2019-02-17,19214
2019-02-18,19214
2019-02-19,19587
2019-02-20,19587
2019-02-21,20280
2019-02-22,20280
2019-02-23,20859
2019-02-24,21083
2019-02-25,21519
2019-02-26,21519
2019-02-27,21733
2019-02-28,21733
2019-03-01,21091
2019-03-02,21091
2019-03-03,21431
2019-03-04,21431
2019-03-05,21704
2019-03-06,21704
2019-03-07,22261
2019-03-08,22261
2019-03-09,22039
2019-03-10,22039
2019-03-11,22189
2019-03-12,22300
2019-03-13,22300
2019-03-14,22716
2019-03-15,22716
2019-03-16,23489
2019-03-17,23269
2019-03-18,23269
2019-03-19,23269
2019-03-20,22779
2019-03-21,22779
2019-03-22,22107
2019-03-23,22096
2019-03-24,22096
2019-03-25,22069
2019-03-26,22069
2019-03-27,21554
2019-03-28,21554
2019-03-29,21623
2019-03-30,21623
2019-03-31,21623
2019-04-01,21706
