date_obj,Ham%20joint price
2019-10-13,2702528
2019-10-14,2702528
2019-10-15,2702528
2019-10-16,2573501
2019-10-17,2573501
2019-10-18,2573501
2019-10-19,2573501
2019-10-20,2573501
2019-10-21,2460278
2019-10-22,2460278
2019-10-23,2460278
2019-10-24,2460278
2019-10-25,2460278
2019-10-26,2342568
2019-10-27,2342568
2019-10-28,2342568
2019-10-29,2342568
2019-10-30,2231298
2019-10-31,2231298
2019-11-01,2231298
2019-11-02,2231298
2019-11-03,2125110
2019-11-04,2125110
2019-11-05,2125110
2019-11-06,2125110
2019-11-07,2125110
2019-11-08,2125110
2019-11-09,2022241
2019-11-10,2022241
2019-11-11,2022241
2019-11-12,1933795
2019-11-13,1933795
2019-11-14,1933795
2019-11-15,1933795
2019-11-16,1840531
2019-11-17,1840531
2019-11-18,1840531
2019-11-19,1840531
2019-11-20,1840531
2019-11-21,1840531
2019-11-22,1752586
2019-11-23,1752586
2019-11-24,1752586
2019-11-25,1752586
2019-11-26,1752586
2019-11-27,1668974
2019-11-28,1668974
2019-11-29,1668974
2019-11-30,1668974
2019-12-01,1588557
2019-12-02,1588557
2019-12-03,1588557
2019-12-04,1512587
2019-12-05,1512587
2019-12-06,1512587
2019-12-07,1512587
2019-12-08,1512587
2019-12-09,1440635
2019-12-10,1440635
2019-12-11,1440635
2019-12-12,1440635
2019-12-13,1372165
2019-12-14,1372165
2019-12-15,1372165
2019-12-16,1372165
2019-12-17,1305688
2019-12-18,1305688
2019-12-19,1305688
2019-12-20,1305688
2019-12-21,1243338
2019-12-22,1243338
2019-12-23,1243338
2019-12-24,1184348
2019-12-25,1184348
2019-12-26,1184348
2019-12-27,1127433
2019-12-28,1127433
2019-12-29,1127433
2019-12-30,1127433
2019-12-31,1073765
2020-01-01,1073765
2020-01-02,1073765
2020-01-03,1073765
2020-01-04,1073765
2020-01-05,1022284
2020-01-06,1022284
2020-01-07,1022284
2020-01-08,1022284
2020-01-09,974306
2020-01-10,974306
2020-01-11,974306
2020-01-12,974306
2020-01-13,928539
2020-01-14,928539
2020-01-15,928539
2020-01-16,928539
2020-01-17,884329
2020-01-18,884329
2020-01-19,884329
2020-01-20,884329
2020-01-21,884329
2020-01-22,843097
2020-01-23,843097
2020-01-24,843097
2020-01-25,843097
2020-01-26,843097
2020-01-27,802708
2020-01-28,802708
2020-01-29,802708
2020-01-30,802708
2020-01-31,836649
2020-02-01,836649
2020-02-02,836649
2020-02-03,872337
2020-02-04,872337
2020-02-05,872337
2020-02-06,872337
2020-02-07,911815
2020-02-08,911815
2020-02-09,911815
2020-02-10,911815
2020-02-11,947718
2020-02-12,947718
2020-02-13,947718
2020-02-14,947718
2020-02-15,947718
2020-02-16,935053
2020-02-17,935053
2020-02-18,935053
2020-02-19,935053
2020-02-20,899604
2020-02-21,899604
2020-02-22,899604
2020-02-23,899604
2020-02-24,873166
2020-02-25,873166
2020-02-26,873166
2020-02-27,873166
2020-02-28,895820
2020-02-29,895820
2020-03-01,895820
2020-03-02,895820
2020-03-03,895820
2020-03-04,924906
2020-03-05,924906
2020-03-06,924906
2020-03-07,924906
2020-03-08,924906
2020-03-09,968301
2020-03-10,968301
2020-03-11,968301
2020-03-12,968301
2020-03-13,995400
2020-03-14,995400
2020-03-15,995400
2020-03-16,995400
2020-03-17,1032668
2020-03-18,1032668
2020-03-19,1032668
2020-03-20,1032668
2020-03-21,1032668
2020-03-22,1054909
2020-03-23,1054909
2020-03-24,1054909
2020-03-25,1054909
2020-03-26,1030661
2020-03-27,1030661
2020-03-28,1030661
2020-03-29,979127
2020-03-30,979127
2020-03-31,979127
2020-04-01,932430
2020-04-02,932430
2020-04-03,932430
2020-04-04,892405
2020-04-05,892405
2020-04-06,892405
2020-04-07,892405
2020-04-08,866945
2020-04-09,866945
2020-04-10,866945
2020-04-11,866945
2020-04-12,867336
2020-04-13,867336
2020-04-14,867336
2020-04-15,867336
2020-04-16,840565
2020-04-17,840565
2020-04-18,840565
2020-04-19,850252
2020-04-20,850252
2020-04-21,850252
2020-04-22,850252
2020-04-23,851012
2020-04-24,851012
2020-04-25,851012
2020-04-26,863976
2020-04-27,863976
2020-04-28,863976
2020-04-29,905760
2020-04-30,905760
2020-05-01,905760
2020-05-02,905760
2020-05-03,915649
2020-05-04,915649
2020-05-05,915649
2020-05-06,915649
2020-05-07,889808
2020-05-08,889808
2020-05-09,889808
2020-05-10,889808
2020-05-11,867530
2020-05-12,867530
2020-05-13,867530
