date_obj,Amulet%20of%20strength price
2015-09-21,1243
2015-09-22,1246
2015-09-23,1253
2015-09-24,1225
2015-09-25,1232
2015-09-27,1230
2015-09-28,1244
2015-09-29,1262
2015-09-30,1263
2015-10-05,1361
2015-10-06,1309
2015-10-07,1266
2015-10-08,1268
2015-10-09,1297
2015-10-10,1302
2015-10-11,1277
2015-10-12,1272
2015-10-13,1264
2015-10-14,1264
2015-10-15,1295
2015-10-16,1327
2015-10-17,1330
2015-10-18,1314
2015-10-19,1273
2015-10-20,1235
2015-10-22,1266
2015-10-23,1301
2015-10-24,1347
2015-10-25,1339
2015-10-26,1289
2015-10-27,1273
2015-10-28,1278
2015-10-29,1252
2015-10-30,1275
2015-10-31,1288
2015-11-01,1291
2015-11-02,1329
2015-11-03,1331
2015-11-04,1331
2015-11-05,1333
2015-11-06,1352
2015-11-07,1376
2015-11-08,1378
2015-11-09,1341
2015-11-10,1345
2015-11-11,1338
2015-11-12,1339
2015-11-13,1325
2015-11-14,1290
2015-11-15,1258
2015-11-16,1253
2015-11-17,1299
2015-11-18,1343
2015-11-19,1354
2015-11-20,1348
2015-11-21,1307
2015-11-22,1270
2015-11-23,1242
2015-11-24,1244
2015-11-25,1242
2015-11-26,1253
2015-11-27,1268
2015-11-28,1257
2015-11-29,1279
2015-11-30,1272
2015-12-01,1267
2015-12-02,1288
2015-12-03,1264
2015-12-04,1252
2015-12-05,1233
2015-12-06,1235
2015-12-07,1230
2015-12-08,1255
2015-12-09,1259
2015-12-10,1282
2015-12-11,1252
2015-12-12,1260
2015-12-13,1283
2015-12-14,1325
2015-12-15,1313
2015-12-16,1340
2015-12-17,1337
2015-12-18,1305
2015-12-19,1304
2015-12-20,1302
2015-12-21,1283
2015-12-22,1275
2015-12-23,1242
2015-12-24,1257
2015-12-25,1242
2015-12-26,1234
2015-12-27,1236
2015-12-28,1206
2015-12-29,1204
2015-12-30,1182
2015-12-31,1185
2016-01-01,1210
2016-01-02,1218
2016-01-04,1270
2016-01-05,1282
2016-01-06,1285
2016-01-07,1271
2016-01-08,1282
2016-01-09,1255
2016-01-10,1224
2016-01-11,1262
2016-01-12,1294
2016-01-13,1295
2016-01-14,1321
2016-01-15,1328
2016-01-16,1317
2016-01-17,1291
2016-01-18,1268
2016-01-19,1227
2016-01-20,1219
2016-01-21,1215
2016-01-22,1223
2016-01-23,1175
2016-01-24,1136
2016-01-25,1140
2016-01-26,1170
2016-01-27,1185
2016-01-28,1174
2016-01-29,1216
2016-01-30,1227
2016-01-31,1234
2016-02-01,1236
2016-02-02,1245
2016-02-03,1268
2016-02-04,1283
2016-02-05,1263
2016-02-06,1264
2016-02-07,1241
2016-02-08,1222
2016-02-09,1211
2016-02-10,1203
2016-02-11,1219
2016-02-12,1220
2016-02-13,1233
2016-02-14,1239
2016-02-15,1219
2016-02-16,1204
2016-02-17,1219
2016-02-18,1231
2016-02-19,1231
2016-02-20,1236
2016-02-21,1195
2016-02-22,1182
2016-02-23,1194
2016-02-24,1199
2016-02-25,1224
2016-02-26,1228
2016-02-27,1231
2016-02-28,1201
2016-02-29,1206
2016-03-01,1230
2016-03-02,1267
2016-03-03,1302
2016-03-04,1318
2016-03-05,1329
2016-03-06,1311
2016-03-07,1250
2016-03-08,1226
2016-03-09,1188
2016-03-10,1179
2016-03-11,1208
2016-03-12,1220
2016-03-13,1210
2016-03-14,1233
2016-03-15,1262
2016-03-16,1239
2016-03-17,1247
2016-03-18,1285
2016-03-19,1309
2016-03-20,1275
2016-03-21,1226
2016-03-22,1219
2016-03-23,1228
2016-03-24,1240
2016-03-25,1245
2016-03-26,1222
2016-03-27,1195
2016-03-28,1207
2016-03-29,1230
2016-03-30,1248
2016-03-31,1265
2016-04-01,1252
2016-04-02,1264
2016-04-03,1260
2016-04-04,1283
2016-04-05,1280
2016-04-06,1311
2016-04-07,1303
2016-04-08,1292
2016-04-09,1286
2016-04-10,1267
2016-04-11,1293
2016-04-12,1310
2016-04-13,1314
2016-04-14,1295
2016-04-15,1330
2016-04-16,1322
2016-04-17,1290
2016-04-18,1280
2016-04-19,1310
2016-04-20,1334
2016-04-21,1323
2016-04-22,1323
2016-04-23,1335
2016-04-24,1331
2016-04-25,1339
2016-04-26,1318
2016-04-27,1278
2016-04-28,1298
2016-04-29,1245
2016-04-30,1242
2016-05-01,1213
2016-05-02,1183
2016-05-03,1189
2016-05-04,1218
2016-05-05,1238
2016-05-06,1259
2016-05-07,1275
2016-05-08,1264
2016-05-09,1302
2016-05-10,1337
2016-05-11,1367
2016-05-12,1392
2016-05-13,1416
2016-05-14,1414
2016-05-15,1389
2016-05-16,1376
2016-05-17,1385
2016-05-18,1364
2016-05-19,1332
2016-05-22,1402
2016-05-23,1387
2016-05-24,1410
2016-05-25,1407
2016-05-26,1394
2016-05-27,1429
2016-05-28,1371
2016-05-29,1374
2016-05-30,1372
2016-05-31,1382
2016-06-01,1364
2016-06-02,1349
2016-06-03,1343
2016-06-04,1343
2016-06-05,1298
2016-06-06,1281
2016-06-07,1239
2016-06-08,1264
2016-06-09,1285
2016-06-10,1307
2016-06-11,1335
2016-06-12,1360
2016-06-13,1391
2016-06-14,1382
2016-06-15,1389
2016-06-16,1360
2016-06-17,1332
2016-06-18,1351
2016-06-19,1377
2016-06-20,1348
2016-06-21,1359
2016-06-22,1387
2016-06-23,1454
2016-06-24,1522
2016-06-25,1519
2016-06-26,1507
2016-06-27,1468
2016-06-28,1450
2016-06-29,1436
2016-06-30,1455
2016-07-01,1460
2016-07-02,1495
2016-07-03,1482
2016-07-04,1440
2016-07-05,1441
2016-07-06,1441
2016-07-07,1424
2016-07-08,1458
2016-07-09,1475
2016-07-10,1500
2016-07-11,1506
2016-07-12,1498
2016-07-13,1461
2016-07-14,1441
2016-07-15,1440
2016-07-16,1436
2016-07-17,1441
2016-07-18,1443
2016-07-23,1396
2016-07-24,1435
2016-07-25,1442
2016-07-26,1424
2016-07-27,1412
2016-07-28,1432
2016-07-29,1406
2016-07-30,1381
2016-07-31,1380
2016-08-01,1366
2016-08-02,1396
2016-08-03,1426
2016-08-04,1447
2016-08-05,1461
2016-08-06,1474
2016-08-07,1440
2016-08-08,1443
2016-08-09,1459
2016-08-10,1478
2016-08-11,1488
2016-08-12,1496
2016-08-13,1464
2016-08-14,1422
2016-08-15,1413
2016-08-16,1384
2016-08-17,1399
2016-08-18,1406
2016-08-19,1389
2016-08-20,1370
2016-08-21,1386
2016-08-22,1410
2016-08-23,1432
2016-08-24,1423
2016-08-25,1421
2016-08-26,1430
2016-08-28,1382
2016-08-31,1429
2016-09-01,1420
2016-09-02,1384
2016-09-03,1411
2016-09-04,1410
2016-09-05,1439
2016-09-06,1478
2016-09-07,1495
2016-09-08,1469
2016-09-09,1438
2016-09-10,1443
2016-09-11,1428
2016-09-12,1437
2016-09-13,1464
2016-09-14,1513
2016-09-15,1518
2016-09-16,1459
2016-09-17,1443
2016-09-18,1447
2016-09-19,1486
2016-09-20,1443
2016-09-21,1460
2016-09-22,1495
2016-09-23,1476
2016-09-24,1437
2016-09-25,1424
2016-09-26,1416
2016-09-27,1411
2016-09-28,1426
2016-09-29,1442
2016-09-30,1428
2016-10-01,1416
2016-10-02,1412
2016-10-03,1402
2016-10-04,1379
2016-10-05,1349
2016-10-06,1371
2016-10-07,1401
2016-10-08,1416
2016-10-09,1440
2016-10-10,1467
2016-10-11,1502
2016-10-12,1550
2016-10-13,1605
2016-10-14,1635
2016-10-15,1633
2016-10-16,1587
2016-10-17,1592
2016-10-18,1610
2016-10-19,1549
2016-10-20,1508
2016-10-21,1494
2016-10-22,1504
2016-10-23,1495
2016-10-24,1484
2016-10-25,1490
2016-10-26,1472
2016-10-27,1447
2016-10-28,1432
2016-10-29,1444
2016-10-30,1464
2016-10-31,1485
2016-11-01,1477
2016-11-02,1518
2016-11-03,1544
2016-11-04,1545
2016-11-05,1541
2016-11-06,1538
2016-11-07,1522
2016-11-08,1498
2016-11-09,1478
2016-11-10,1477
2016-11-11,1447
2016-11-12,1399
2016-11-13,1374
2016-11-14,1339
2016-11-15,1345
2016-12-07,1281
2016-12-08,1279
2016-12-09,1259
2016-12-10,1254
2016-12-11,1278
2016-12-12,1284
2016-12-13,1302
2016-12-14,1264
2016-12-15,1247
2016-12-16,1244
2016-12-17,1238
2016-12-18,1211
2016-12-19,1223
2016-12-20,1242
2016-12-21,1267
2016-12-22,1245
2016-12-23,1280
2016-12-24,1285
2016-12-25,1304
2016-12-26,1289
2016-12-27,1273
2016-12-28,1279
2016-12-29,1269
2016-12-30,1308
2016-12-31,1346
2017-01-01,1378
2017-01-02,1399
2017-01-03,1375
2017-01-04,1347
2017-01-05,1324
2017-01-06,1312
2017-01-07,1301
2017-01-08,1317
2017-01-09,1323
2017-01-10,1316
2017-01-11,1337
2017-01-12,1337
2017-01-13,1307
2017-01-14,1317
2017-01-15,1323
2017-01-16,1319
2017-01-17,1337
2017-01-18,1378
2017-01-19,1407
2017-01-20,1463
2017-01-21,1517
2017-01-22,1478
2017-01-23,1439
2017-01-27,1462
2017-01-28,1469
2017-01-29,1419
2017-01-30,1361
2017-01-31,1327
2017-02-01,1293
2017-02-02,1249
2017-02-03,1263
2017-02-04,1266
2017-02-05,1284
2017-02-06,1297
2017-02-07,1304
2017-02-08,1321
2017-02-09,1270
2017-02-10,1253
2017-02-11,1274
2017-02-12,1259
2017-02-13,1285
2017-02-14,1297
2017-02-15,1339
2017-02-16,1396
2017-02-17,1410
2017-02-18,1426
2017-02-19,1439
2017-02-20,1405
2017-02-21,1464
2017-02-22,1482
2017-02-23,1466
2017-02-24,1399
2017-02-25,1356
2017-02-26,1295
2017-02-27,1298
2017-02-28,1300
2017-03-01,1297
2017-03-02,1318
2017-03-03,1305
2017-03-04,1310
2017-03-05,1317
2017-03-06,1351
2017-03-07,1387
2017-03-08,1410
2017-03-09,1436
2017-03-10,1438
2017-03-11,1474
2017-03-12,1487
2017-03-13,1498
2017-03-14,1504
2017-03-15,1473
2017-03-16,1468
2017-03-17,1462
2017-03-18,1460
2017-03-19,1433
2017-03-20,1392
2017-03-21,1368
2017-03-22,1348
2017-03-23,1337
2017-03-24,1351
2017-03-25,1368
2017-03-26,1392
2017-03-27,1409
2017-03-28,1397
2017-03-29,1412
2017-03-30,1406
2017-03-31,1401
2017-04-01,1403
2017-04-02,1394
2017-04-03,1401
2017-04-04,1413
2017-04-05,1428
2017-04-12,1246
2017-04-13,1248
2017-04-14,1252
2017-04-15,1267
2017-04-16,1295
2017-04-17,1326
2017-04-18,1337
2017-04-19,1351
2017-04-20,1360
2017-04-21,1382
2017-04-22,1400
2017-04-23,1439
2017-04-24,1473
2017-04-25,1491
2017-04-26,1494
2017-04-27,1549
2017-04-28,1590
2017-04-29,1573
2017-04-30,1548
2017-05-01,1531
2017-05-02,1506
2017-05-03,1529
2017-05-04,1501
2017-05-05,1479
2017-05-06,1450
2017-05-07,1432
2017-05-08,1400
2017-05-09,1419
2017-05-10,1429
2017-05-11,1425
2017-05-12,1476
2017-05-13,1490
2017-05-14,1503
2017-05-15,1517
2017-05-16,1502
2017-05-17,1517
2017-05-18,1505
2017-05-19,1450
2017-05-20,1382
2017-05-21,1339
2017-05-22,1318
2017-05-23,1313
2017-05-24,1333
2017-05-25,1338
2017-05-26,1323
2017-05-27,1323
2017-05-28,1344
2017-05-29,1338
2017-05-30,1341
2017-05-31,1354
2017-06-01,1344
2017-06-02,1345
2017-06-03,1301
2017-06-04,1307
2017-06-05,1338
2017-06-06,1350
2017-06-07,1317
2017-06-08,1290
2017-06-09,1278
2017-06-10,1268
2017-06-11,1252
2017-06-12,1259
2017-06-13,1292
2017-06-14,1328
2017-06-15,1360
2017-06-16,1367
2017-06-17,1367
2017-06-18,1338
2017-06-19,1367
2017-06-20,1402
2017-06-21,1425
2017-06-22,1460
2017-06-23,1477
2017-06-24,1452
2017-06-25,1388
2017-06-26,1389
2017-06-27,1389
2017-06-28,1391
2017-06-29,1399
2017-06-30,1432
2017-07-01,1426
2017-07-02,1421
2017-07-03,1419
2017-07-04,1415
2017-07-05,1397
2017-07-06,1441
2017-07-07,1457
2017-07-08,1489
2017-07-09,1523
2017-07-13,1504
2017-07-14,1482
2017-07-15,1478
2017-07-16,1499
2017-07-17,1478
2017-07-18,1477
2017-07-19,1490
2017-07-20,1477
2017-07-21,1440
2017-07-22,1458
2017-07-23,1408
2017-07-24,1369
2017-07-25,1384
2017-07-26,1360
2017-07-27,1342
2017-07-28,1367
2017-07-29,1342
2017-07-30,1310
2017-07-31,1285
2017-08-01,1266
2017-08-02,1298
2017-08-03,1322
2017-08-04,1318
2017-08-05,1307
2017-08-06,1294
2017-08-07,1263
2017-08-08,1258
2017-08-09,1240
2017-08-10,1276
2017-08-11,1276
2017-08-12,1304
2017-08-13,1325
2017-08-14,1299
2017-08-15,1323
2017-08-16,1320
2017-08-17,1307
2017-08-18,1305
2017-08-19,1312
2017-08-20,1325
2017-08-21,1345
2017-08-22,1352
2017-08-23,1380
2017-08-24,1392
2017-08-25,1412
2017-08-26,1373
2017-08-27,1317
2017-08-28,1281
2017-08-29,1280
2017-08-30,1310
2017-08-31,1335
2017-09-01,1372
2017-09-02,1357
2017-09-03,1312
2017-09-04,1321
2017-09-05,1337
2017-09-06,1326
2017-09-07,1340
2017-09-08,1358
2017-09-09,1405
2017-09-10,1419
2017-09-11,1415
2017-09-12,1468
2017-09-13,1486
2017-09-14,1497
2017-09-15,1540
2017-09-16,1569
2017-09-17,1589
2017-09-18,1582
2017-09-19,1545
2017-09-20,1517
2017-09-21,1447
2017-09-22,1412
2017-09-23,1410
2017-09-24,1397
2017-09-25,1391
2017-09-26,1418
2017-09-27,1389
2017-09-28,1396
2017-09-29,1408
2017-09-30,1378
2017-10-01,1333
2017-10-02,1303
2017-10-03,1294
2017-10-04,1267
2017-10-05,1297
2017-10-06,1309
2017-10-07,1316
2017-10-08,1312
2017-10-09,1269
2017-10-10,1260
2017-10-11,1292
2017-10-12,1319
2017-10-13,1324
2017-10-14,1321
2017-10-15,1292
2017-10-16,1292
2017-10-17,1285
2017-10-18,1315
2017-10-19,1368
2017-10-20,1377
2017-10-21,1383
2017-10-22,1367
2017-10-23,1359
2017-10-24,1355
2017-10-25,1381
2017-10-26,1408
2017-10-27,1424
2017-10-28,1409
2017-10-29,1398
2017-10-30,1420
2017-10-31,1365
2017-11-01,1340
2017-11-02,1349
2017-11-03,1389
2017-11-04,1411
2017-11-05,1427
2017-11-06,1460
2017-11-07,1479
2017-11-08,1436
2017-11-09,1431
2017-11-10,1432
2017-11-11,1423
2017-11-12,1413
2017-11-13,1382
2017-11-14,1405
2017-11-15,1427
2017-11-16,1419
2017-11-17,1423
2017-11-18,1429
2017-11-19,1433
2017-11-20,1429
2017-11-21,1414
2017-11-22,1403
2017-11-23,1385
2017-11-24,1400
2017-11-25,1369
2017-11-26,1365
2017-11-27,1361
2017-11-28,1395
2017-11-29,1418
2017-11-30,1422
2017-12-01,1446
2017-12-02,1409
2017-12-03,1411
2017-12-04,1450
2017-12-05,1477
2017-12-06,1513
2017-12-07,1512
2017-12-08,1503
2017-12-09,1487
2017-12-10,1443
2017-12-11,1402
2017-12-12,1432
2017-12-13,1420
2017-12-14,1392
2017-12-15,1386
2017-12-16,1373
2017-12-17,1357
2017-12-18,1343
2017-12-19,1346
2017-12-20,1346
2017-12-21,1365
2017-12-22,1372
2017-12-23,1358
2017-12-24,1380
2017-12-25,1406
2017-12-26,1422
2017-12-27,1423
2017-12-28,1412
2017-12-29,1425
2017-12-30,1432
2017-12-31,1402
2018-01-01,1411
2018-01-02,1430
2018-01-03,1395
2018-01-04,1351
2018-01-05,1355
2018-01-06,1307
2018-01-07,1290
2018-01-08,1248
2018-01-09,1218
2018-01-10,1231
2018-01-11,1264
2018-01-12,1277
2018-01-13,1273
2018-01-14,1268
2018-01-15,1290
2018-01-16,1305
2018-01-17,1321
2018-01-18,1356
2018-01-19,1345
2018-01-20,1351
2018-01-21,1344
2018-01-22,1365
2018-01-23,1381
2018-01-24,1415
2018-01-25,1404
2018-01-26,1412
2018-01-27,1428
2018-01-28,1433
2018-01-29,1435
2018-01-30,1455
2018-01-31,1485
2018-02-01,1524
2018-02-02,1511
2018-02-03,1475
2018-02-04,1423
2018-02-05,1376
2018-02-06,1337
2018-02-07,1323
2018-02-08,1355
2018-02-09,1358
2018-02-10,1310
2018-02-11,1344
2018-02-12,1339
2018-02-13,1314
2018-02-14,1365
2018-02-15,1316
2018-02-16,1319
2018-02-17,1318
2018-02-18,1302
2018-02-19,1329
2018-02-20,1376
2018-02-21,1397
2018-02-22,1382
2018-02-23,1404
2018-02-24,1378
2018-02-25,1370
2018-02-26,1357
2018-02-27,1367
2018-02-28,1369
2018-03-01,1377
2018-03-02,1399
2018-03-03,1344
2018-03-04,1301
2018-03-05,1317
2018-03-06,1311
2018-03-07,1326
2018-03-08,1350
2018-03-09,1346
2018-03-10,1334
2018-03-11,1351
2018-03-12,1376
2018-03-13,1341
2018-03-14,1359
2018-03-15,1389
2018-03-16,1372
2018-03-17,1392
2018-03-18,1370
2018-03-19,1357
2018-03-20,1388
2018-03-21,1390
2018-03-22,1406
2018-03-23,1388
2018-03-24,1414
2018-03-25,1392
2018-03-26,1368
2018-03-27,1353
2018-03-28,1331
2018-03-29,1370
2018-03-30,1375
2018-03-31,1400
2018-04-01,1411
2018-04-02,1390
2018-04-03,1368
2018-04-04,1336
2018-04-05,1337
2018-04-06,1342
2018-04-07,1336
2018-04-08,1387
2018-04-09,1403
2018-04-10,1381
2018-04-11,1366
2018-04-12,1366
2018-04-13,1398
2018-04-14,1401
2018-04-15,1360
2018-04-16,1387
2018-04-17,1358
2018-04-18,1300
2018-04-19,1293
2018-04-20,1323
2018-04-21,1311
2018-04-22,1286
2018-04-23,1276
2018-04-24,1287
2018-04-25,1259
2018-04-26,1251
2018-04-27,1256
2018-04-28,1262
2018-04-29,1251
2018-04-30,1234
2018-05-01,1258
2018-05-02,1289
2018-05-03,1302
2018-05-04,1275
2018-05-05,1253
2018-05-06,1262
2018-05-07,1282
2018-05-08,1308
2018-05-09,1299
2018-05-10,1308
2018-05-11,1323
2018-05-12,1309
2018-05-13,1281
2018-05-14,1319
2018-05-15,1321
2018-05-16,1314
2018-05-17,1327
2018-05-18,1316
2018-05-19,1301
2018-05-20,1326
2018-05-21,1329
2018-05-22,1375
2018-05-23,1359
2018-05-24,1358
2018-05-25,1355
2018-05-26,1322
2018-05-27,1322
2018-05-28,1298
2018-05-29,1264
2018-05-30,1260
2018-05-31,1282
2018-06-01,1250
2018-06-02,1274
2018-06-03,1274
2018-06-04,1302
2018-06-05,1350
2018-06-06,1321
2018-06-07,1341
2018-06-08,1358
2018-06-09,1347
2018-06-10,1317
2018-06-11,1307
2018-06-12,1296
2018-06-13,1289
2018-06-14,1265
2018-06-15,1271
2018-06-16,1302
2018-06-17,1263
2018-06-18,1246
2018-06-19,1225
2018-06-20,1251
2018-06-21,1260
2018-06-22,1273
2018-06-23,1285
2018-06-24,1299
2018-06-25,1282
2018-06-26,1246
2018-06-27,1205
2018-06-28,1178
2018-06-29,1194
2018-06-30,1179
2018-07-01,1151
2018-07-02,1175
2018-07-03,1170
2018-07-04,1118
2018-07-05,1108
2018-07-06,1127
2018-07-07,1122
2018-07-08,1115
2018-07-09,1128
2018-07-10,1148
2018-07-11,1159
2018-07-12,1182
2018-07-13,1192
2018-07-14,1188
2018-07-15,1229
2018-07-16,1229
2018-07-17,1237
2018-07-18,1247
2018-07-19,1272
2018-07-20,1297
2018-07-21,1311
2018-07-22,1297
2018-07-23,1318
2018-07-24,1329
2018-07-25,1339
2018-07-26,1352
2018-07-27,1367
2018-07-28,1382
2018-07-29,1385
2018-07-30,1391
2018-07-31,1387
2018-08-01,1340
2018-08-02,1356
2018-08-03,1374
2018-08-04,1366
2018-08-05,1382
2018-08-06,1403
2018-08-07,1411
2018-08-08,1446
2018-08-09,1484
2018-08-10,1476
2018-08-11,1441
2018-08-12,1387
2018-08-14,1371
2018-08-16,1373
2018-08-17,1411
2018-08-18,1451
2018-08-19,1431
2018-08-20,1408
2018-08-21,1381
2018-08-22,1401
2018-08-23,1433
2018-08-24,1417
2018-08-25,1399
2018-08-26,1357
2018-08-27,1322
2018-08-28,1317
2018-08-29,1303
2018-08-30,1275
2018-08-31,1256
2018-09-01,1219
2018-09-02,1207
2018-09-03,1219
2018-09-04,1253
2018-09-05,1271
2018-09-06,1275
2018-09-07,1281
2018-09-08,1270
2018-09-09,1250
2018-09-10,1253
2018-09-11,1231
2018-09-12,1242
2018-09-13,1254
2018-09-14,1261
2018-09-15,1271
2018-09-16,1297
2018-09-17,1337
2018-09-18,1346
2018-09-19,1337
2018-09-20,1332
2018-09-21,1299
2018-09-22,1311
2018-09-23,1321
2018-09-24,1342
2018-09-25,1389
2018-09-26,1430
2018-09-27,1478
2018-09-28,1507
2018-09-29,1494
2018-09-30,1496
2018-10-01,1470
2018-10-02,1461
2018-10-03,1451
2018-10-04,1442
2018-10-05,1443
2018-10-06,1401
2018-10-07,1403
2018-10-08,1360
2018-10-09,1310
2018-10-10,1298
2018-10-11,1292
2018-10-12,1282
2018-10-13,1265
2018-10-14,1300
2018-10-15,1317
2018-10-16,1321
2018-10-17,1325
2018-10-18,1318
2018-10-19,1356
2018-10-20,1346
2018-10-21,1368
2018-10-22,1359
2018-10-23,1379
2018-10-24,1360
2018-10-25,1344
2018-10-26,1335
2018-10-27,1332
2018-10-28,1330
2018-10-29,1352
2018-10-30,1360
2018-10-31,1355
2018-11-01,1330
2018-11-03,1285
2018-11-04,1297
2018-11-05,1308
2018-11-06,1313
2018-11-07,1319
2018-11-08,1328
2018-11-09,1335
2018-11-10,1359
2018-11-11,1348
2018-11-12,1356
2018-11-13,1349
2018-11-14,1331
2018-11-15,1337
2018-11-16,1348
2018-11-17,1366
2018-11-18,1348
2018-11-19,1357
2018-11-20,1343
2018-11-21,1307
2018-11-22,1278
2018-11-23,1229
2018-11-24,1205
2018-11-25,1188
2018-11-26,1193
2018-11-27,1191
2018-11-28,1177
2018-11-29,1181
2018-12-01,1171
2018-12-02,1161
2018-12-03,1187
2018-12-04,1215
2018-12-05,1246
2018-12-07,1290
2018-12-09,1279
2018-12-10,1288
2018-12-11,1286
2018-12-12,1277
2018-12-13,1297
2018-12-14,1301
2018-12-15,1274
2018-12-16,1238
2018-12-17,1244
2018-12-18,1266
2018-12-19,1289
2018-12-20,1315
2018-12-21,1326
2018-12-22,1332
2018-12-23,1351
2018-12-24,1346
2018-12-25,1323
2018-12-26,1306
2018-12-27,1295
2018-12-28,1269
2018-12-29,1292
2018-12-30,1257
2018-12-31,1240
2019-01-01,1261
2019-01-02,1270
2019-01-03,1315
2019-01-04,1313
2019-01-05,1350
2019-01-06,1336
2019-01-08,1310
2019-01-10,1274
2019-01-11,1258
2019-01-12,1246
2019-01-13,1255
2019-01-14,1243
2019-01-15,1287
2019-01-16,1271
2019-01-17,1301
2019-01-18,1272
2019-01-19,1250
2019-01-20,1283
2019-01-21,1240
2019-01-22,1226
2019-01-23,1249
2019-01-24,1265
2019-01-25,1264
2019-01-26,1270
2019-01-27,1254
2019-01-28,1248
2019-01-29,1259
2019-01-30,1255
2019-01-31,1253
2019-02-01,1262
2019-02-02,1229
2019-02-03,1213
2019-02-04,1199
2019-02-05,1244
2019-02-06,1240
2019-02-07,1252
2019-02-08,1254
2019-02-09,1232
2019-02-10,1242
2019-02-11,1252
2019-02-12,1269
2019-02-13,1277
2019-02-14,1257
2019-02-15,1272
2019-02-16,1251
2019-02-17,1222
2019-02-18,1248
2019-02-19,1239
2019-02-20,1224
2019-02-21,1200
2019-02-22,1231
2019-02-23,1220
2019-02-24,1203
2019-02-25,1185
2019-02-26,1162
2019-02-27,1159
2019-02-28,1130
2019-03-01,1110
2019-03-02,1143
2019-03-03,1120
2019-03-04,1124
2019-03-05,1159
2019-03-06,1187
2019-03-07,1192
2019-03-08,1235
2019-03-09,1213
2019-03-10,1210
2019-03-11,1209
2019-03-12,1182
2019-03-13,1175
2019-03-14,1182
2019-03-15,1164
2019-03-16,1159
2019-03-17,1146
