date_obj,Blue%20dragonhide price
2015-10-29,1897
2015-10-30,1900
2015-10-31,1893
2015-11-01,1862
2015-11-02,1877
2015-11-03,1921
2015-11-04,1912
2015-11-05,1928
2015-11-06,1932
2015-11-07,1937
2015-11-08,1966
2015-11-09,1988
2015-11-10,2017
2015-11-11,2061
2015-11-12,2082
2015-11-13,2113
2015-11-14,2140
2015-11-15,2137
2015-11-16,2103
2015-11-17,2026
2015-11-18,1953
2015-11-19,2004
2015-11-20,1990
2015-11-21,1982
2015-11-22,1966
2015-11-23,1985
2015-11-24,2022
2015-11-25,2029
2015-11-26,2026
2015-11-27,1993
2015-11-28,1949
2015-11-29,1966
2015-11-30,1986
2015-12-01,2034
2015-12-02,2047
2015-12-03,2089
2015-12-04,2081
2015-12-05,2095
2015-12-06,2086
2015-12-07,2089
2015-12-08,2130
2015-12-09,2120
2015-12-10,2117
2015-12-11,2145
2015-12-12,2140
2015-12-13,2111
2015-12-14,2090
2015-12-15,2092
2015-12-16,2094
2015-12-17,2093
2015-12-18,2056
2015-12-19,2020
2015-12-20,1989
2015-12-21,2044
2015-12-22,2056
2015-12-23,2057
2015-12-24,2056
2015-12-25,2046
2015-12-26,1986
2015-12-27,1941
2015-12-28,1966
2015-12-29,1938
2015-12-30,1960
2015-12-31,2013
2016-01-01,2002
2016-01-02,1989
2016-01-03,1987
2016-01-04,2011
2016-01-05,2068
2016-01-06,2059
2016-01-07,2037
2016-01-08,2043
2016-01-09,2065
2016-01-10,2046
2016-01-11,2005
2016-01-12,2044
2016-01-13,2069
2016-01-14,2043
2016-01-15,2004
2016-01-16,2015
2016-01-17,2031
2016-01-18,2025
2016-01-19,2039
2016-01-20,1991
2016-01-21,1974
2016-01-22,1919
2016-01-23,1870
2016-01-24,1880
2016-01-25,1917
2016-01-26,1926
2016-01-27,1967
2016-01-28,1974
2016-01-29,1976
2016-01-30,1994
2016-01-31,1959
2016-02-01,1978
2016-02-02,1999
2016-02-03,2011
2016-02-04,2027
2016-02-05,2024
2016-02-06,2032
2016-02-07,2076
2016-02-08,2074
2016-02-09,2062
2016-02-10,2075
2016-02-11,2079
2016-02-12,2077
2016-02-13,2013
2016-02-14,2024
2016-02-15,2005
2016-02-16,2007
2016-02-17,2031
2016-02-18,2057
2016-02-19,2027
2016-02-20,2039
2016-02-21,2029
2016-02-22,2063
2016-02-23,2029
2016-02-24,2045
2016-02-25,2048
2016-02-26,2111
2016-02-27,2090
2016-02-28,2060
2016-02-29,2033
2016-03-01,2039
2016-03-02,2087
2016-03-03,2086
2016-03-04,2103
2016-03-05,2116
2016-03-06,2095
2016-03-07,2094
2016-03-08,2085
2016-03-09,2088
2016-03-10,2069
2016-03-11,2086
2016-03-12,2078
2016-03-13,2045
2016-03-14,2029
2016-03-15,2058
2016-03-16,2066
2016-03-17,2067
2016-03-18,2048
2016-03-19,2019
2016-03-20,2042
2016-03-21,2068
2016-03-22,2077
2016-03-23,2063
2016-03-24,2072
2016-03-25,2072
2016-03-26,2076
2016-03-27,2076
2016-03-28,2078
2016-03-29,2079
2016-03-30,2097
2016-03-31,2124
2016-04-01,2111
2016-04-02,2126
2016-04-03,2128
2016-04-04,2121
2016-04-05,2140
2016-04-06,2144
2016-04-07,2150
2016-04-08,2152
2016-04-09,2151
2016-04-10,2130
2016-04-11,2117
2016-04-12,2078
2016-04-13,2070
2016-04-14,2081
2016-04-15,2100
2016-04-16,2103
2016-04-17,2077
2016-04-18,2071
2016-04-19,2088
2016-04-20,2087
2016-04-21,2090
2016-04-22,2106
2016-04-23,2093
2016-04-24,2103
2016-04-25,2118
2016-04-26,2136
2016-04-27,2115
2016-04-28,2146
2016-04-29,2157
2016-04-30,2166
2016-05-01,2157
2016-05-02,2152
2016-05-03,2161
2016-05-04,2197
2016-05-05,2181
2016-05-06,2178
2016-05-07,2136
2016-05-08,2108
2016-05-09,2091
2016-05-10,2097
2016-05-11,2090
2016-05-12,2099
2016-05-13,2129
2016-05-14,2139
2016-05-15,2116
2016-05-16,2119
2016-05-17,2122
2016-05-18,2141
2016-05-19,2206
2016-05-22,2288
2016-05-23,2227
2016-05-24,2234
2016-05-25,2247
2016-05-26,2270
2016-05-27,2266
2016-05-28,2266
2016-05-29,2250
2016-05-30,2259
2016-05-31,2273
2016-06-01,2262
2016-06-02,2235
2016-06-03,2228
2016-06-04,2231
2016-06-05,2236
2016-06-06,2212
2016-06-07,2217
2016-06-08,2216
2016-06-09,2258
2016-06-10,2326
2016-06-11,2292
2016-06-12,2254
2016-06-13,2251
2016-06-14,2264
2016-06-15,2282
2016-06-16,2283
2016-06-17,2265
2016-06-18,2234
2016-06-19,2250
2016-06-20,2264
2016-06-21,2302
2016-06-22,2356
2016-06-23,2322
2016-06-24,2279
2016-06-25,2244
2016-06-26,2213
2016-06-27,2220
2016-06-28,2248
2016-06-29,2254
2016-06-30,2265
2016-07-01,2231
2016-07-02,2224
2016-07-03,2256
2016-07-04,2250
2016-07-05,2279
2016-07-06,2301
2016-07-07,2359
2016-07-08,2341
2016-07-09,2338
2016-07-10,2352
2016-07-11,2346
2016-07-12,2360
2016-07-13,2378
2016-07-14,2403
2016-07-15,2381
2016-07-16,2366
2016-07-17,2334
2016-07-18,2358
2016-07-23,2306
2016-07-24,2274
2016-07-25,2251
2016-07-26,2254
2016-07-27,2205
2016-07-28,2219
2016-07-29,2246
2016-07-30,2267
2016-07-31,2247
2016-08-01,2260
2016-08-02,2248
2016-08-03,2253
2016-08-04,2268
2016-08-05,2296
2016-08-06,2267
2016-08-07,2185
2016-08-08,2174
2016-08-09,2129
2016-08-10,2164
2016-08-11,2128
2016-08-12,2154
2016-08-13,2179
2016-08-14,2159
2016-08-15,2131
2016-08-16,2223
2016-08-17,2271
2016-08-18,2239
2016-08-19,2254
2016-08-20,2201
2016-08-21,2177
2016-08-22,2166
2016-08-23,2230
2016-08-24,2257
2016-08-25,2281
2016-08-26,2288
2016-08-28,2240
2016-08-31,2243
2016-09-01,2197
2016-09-02,2196
2016-09-03,2116
2016-09-04,2092
2016-09-05,2153
2016-09-06,2188
2016-09-07,2202
2016-09-08,2177
2016-09-09,2156
2016-09-10,2104
2016-09-11,2096
2016-09-12,2121
2016-09-13,2142
2016-09-14,2164
2016-09-15,2167
2016-09-16,2136
2016-09-17,2152
2016-09-18,2155
2016-09-19,2177
2016-09-20,2194
2016-09-21,2209
2016-09-22,2194
2016-09-23,2209
2016-09-24,2220
2016-09-25,2221
2016-09-26,2217
2016-09-27,2205
2016-09-28,2202
2016-09-29,2164
2016-09-30,2164
2016-10-01,2154
2016-10-02,2151
2016-10-03,2165
2016-10-04,2201
2016-10-05,2202
2016-10-06,2196
2016-10-07,2158
2016-10-08,2158
2016-10-09,2166
2016-10-10,2171
2016-10-11,2184
2016-10-12,2177
2016-10-13,2206
2016-10-14,2193
2016-10-15,2187
2016-10-16,2220
2016-10-17,2201
2016-10-18,2209
2016-10-19,2216
2016-10-20,2220
2016-10-21,2206
2016-10-22,2228
2016-10-23,2194
2016-10-24,2215
2016-10-25,2254
2016-10-26,2221
2016-10-27,2200
2016-10-28,2223
2016-10-29,2208
2016-10-30,2235
2016-10-31,2254
2016-11-01,2259
2016-11-02,2235
2016-11-03,2246
2016-11-04,2241
2016-11-05,2254
2016-11-06,2255
2016-11-07,2244
2016-11-08,2229
2016-11-09,2222
2016-11-10,2237
2016-11-11,2216
2016-11-12,2206
2016-11-13,2224
2016-11-14,2235
2016-11-15,2242
2016-12-07,2218
2016-12-08,2216
2016-12-09,2203
2016-12-10,2196
2016-12-11,2240
2016-12-12,2248
2016-12-13,2258
2016-12-14,2275
2016-12-15,2271
2016-12-16,2312
2016-12-17,2293
2016-12-18,2279
2016-12-19,2265
2016-12-20,2251
2016-12-21,2270
2016-12-22,2267
2016-12-23,2238
2016-12-24,2221
2016-12-25,2227
2016-12-26,2255
2016-12-27,2237
2016-12-28,2212
2016-12-29,2192
2016-12-30,2167
2016-12-31,2148
2017-01-01,2109
2017-01-02,2065
2017-01-03,2129
2017-01-04,2148
2017-01-05,2098
2017-01-06,2098
2017-01-07,2137
2017-01-08,2117
2017-01-09,2120
2017-01-10,2173
2017-01-11,2249
2017-01-12,2241
2017-01-13,2219
2017-01-14,2210
2017-01-15,2289
2017-01-16,2286
2017-01-17,2281
2017-01-18,2288
2017-01-19,2316
2017-01-20,2322
2017-01-21,2325
2017-01-22,2387
2017-01-23,2374
2017-01-27,2285
2017-01-28,2260
2017-01-29,2239
2017-01-30,2220
2017-01-31,2206
2017-02-01,2252
2017-02-02,2273
2017-02-03,2259
2017-02-04,2221
2017-02-05,2226
2017-02-06,2208
2017-02-07,2219
2017-02-08,2243
2017-02-09,2295
2017-02-10,2325
2017-02-11,2251
2017-02-12,2268
2017-02-13,2245
2017-02-14,2235
2017-02-15,2207
2017-02-16,2215
2017-02-18,2222
2017-02-19,2202
2017-02-20,2200
2017-02-21,2192
2017-02-22,2191
2017-02-23,2215
2017-02-24,2196
2017-02-25,2227
2017-02-26,2260
2017-02-27,2253
2017-02-28,2240
2017-03-01,2242
2017-03-02,2274
2017-03-03,2284
2017-03-04,2284
2017-03-05,2234
2017-03-06,2233
2017-03-07,2234
2017-03-08,2236
2017-03-09,2231
2017-03-10,2225
2017-03-11,2215
2017-03-12,2222
2017-03-13,2217
2017-03-14,2200
2017-03-15,2201
2017-03-16,2206
2017-03-17,2213
2017-03-18,2228
2017-03-19,2223
2017-03-20,2166
2017-03-21,2152
2017-03-22,2148
2017-03-23,2115
2017-03-24,2116
2017-03-25,2107
2017-03-26,2086
2017-03-27,2117
2017-03-28,2134
2017-03-29,2130
2017-03-30,2144
2017-03-31,2153
2017-04-01,2140
2017-04-02,2131
2017-04-03,2105
2017-04-04,2099
2017-04-12,2156
2017-04-13,2139
2017-04-14,2132
2017-04-15,2110
2017-04-16,2129
2017-04-17,2118
2017-04-18,2104
2017-04-19,2098
2017-04-20,2086
2017-04-21,2079
2017-04-22,2060
2017-04-23,2053
2017-04-24,2011
2017-04-25,2039
2017-04-26,2096
2017-04-27,2114
2017-04-28,2122
2017-04-29,2139
2017-04-30,2130
2017-05-01,2155
2017-05-02,2175
2017-05-03,2181
2017-05-04,2162
2017-05-05,2167
2017-05-06,2174
2017-05-07,2160
2017-05-08,2151
2017-05-09,2138
2017-05-10,2137
2017-05-11,2145
2017-05-12,2179
2017-05-13,2201
2017-05-14,2201
2017-05-15,2195
2017-05-16,2178
2017-05-17,2145
2017-05-18,2118
2017-05-19,2113
2017-05-20,2147
2017-05-21,2212
2017-05-22,2245
2017-05-23,2300
2017-05-24,2295
2017-05-25,2251
2017-05-26,2217
2017-05-27,2168
2017-05-28,2163
2017-05-29,2139
2017-05-30,2130
2017-05-31,2165
2017-06-01,2154
2017-06-02,2114
2017-06-03,2132
2017-06-04,2141
2017-06-05,2140
2017-06-06,2152
2017-06-07,2138
2017-06-08,2120
2017-06-09,2125
2017-06-10,2132
2017-06-11,2132
2017-06-12,2125
2017-06-13,2091
2017-06-14,2098
2017-06-15,2102
2017-06-16,2071
2017-06-17,2066
2017-06-18,2079
2017-06-19,2105
2017-06-20,2052
2017-06-21,2030
2017-06-22,2021
2017-06-23,1976
2017-06-24,2006
2017-06-25,2020
2017-06-26,2039
2017-06-27,2068
2017-06-28,2095
2017-06-29,2097
2017-06-30,2077
2017-07-01,2086
2017-07-02,2074
2017-07-03,2054
2017-07-04,2045
2017-07-05,2046
2017-07-06,2037
2017-07-07,2043
2017-07-08,2033
2017-07-13,2019
2017-07-14,2023
2017-07-15,2045
2017-07-16,2032
2017-07-17,2038
2017-07-18,2039
2017-07-19,2056
2017-07-20,2073
2017-07-21,2068
2017-07-22,2069
2017-07-23,2059
2017-07-24,2030
2017-07-25,2027
2017-07-26,2036
2017-07-27,2047
2017-07-28,2070
2017-07-29,2078
2017-07-30,2096
2017-07-31,2096
2017-08-01,2095
2017-08-02,2085
2017-08-03,2075
2017-08-04,2074
2017-08-05,2081
2017-08-06,2071
2017-08-09,2052
2017-08-10,2055
2017-08-11,2069
2017-08-12,2070
2017-08-13,2050
2017-08-14,2041
2017-08-15,2031
2017-08-16,2042
2017-08-17,2040
2017-08-18,2028
2017-08-19,2020
2017-08-20,2013
2017-08-21,1996
2017-08-22,1997
2017-08-23,2024
2017-08-24,2024
2017-08-25,2024
2017-08-26,2027
2017-08-27,2016
2017-08-28,1983
2017-08-29,1989
2017-08-30,1978
2017-08-31,1988
2017-09-01,1950
2017-09-02,1923
2017-09-03,1920
2017-09-04,1920
2017-09-05,1931
2017-09-06,1958
2017-09-07,1969
2017-09-08,1964
2017-09-09,1969
2017-09-10,1955
2017-09-11,1955
2017-09-12,1939
2017-09-13,1949
2017-09-14,1966
2017-09-15,1956
2017-09-16,1983
2017-09-17,1979
2017-09-18,1980
2017-09-19,1970
2017-09-20,1973
2017-09-22,2029
2017-09-23,2040
2017-09-24,2046
2017-09-25,2003
2017-09-26,1982
2017-09-27,1971
2017-09-28,1982
2017-09-29,1988
2017-09-30,1988
2017-10-01,2010
2017-10-02,1985
2017-10-03,1951
2017-10-04,1949
2017-10-05,1947
2017-10-06,1935
2017-10-07,1950
2017-10-08,1960
2017-10-09,1963
2017-10-10,1966
2017-10-11,1957
2017-10-12,1950
2017-10-13,1942
2017-10-14,1935
2017-10-15,1934
2017-10-16,1940
2017-10-17,1952
2017-10-18,1956
2017-10-19,1954
2017-10-20,1939
2017-10-21,1930
2017-10-22,1956
2017-10-23,1952
2017-10-24,1967
2017-10-25,1975
2017-10-26,1959
2017-10-27,1944
2017-10-28,1951
2017-10-29,1952
2017-10-30,1960
2017-10-31,1959
2017-11-01,1978
2017-11-02,2017
2017-11-03,2055
2017-11-04,2040
2017-11-05,2027
2017-11-06,2023
2017-11-07,2014
2017-11-08,2008
2017-11-09,2020
2017-11-10,2021
2017-11-11,2024
2017-11-12,2027
2017-11-13,2025
2017-11-14,2024
2017-11-15,2017
2017-11-16,2014
2017-11-17,2023
2017-11-18,2008
2017-11-19,2001
2017-11-20,1992
2017-11-21,1989
2017-11-22,1997
2017-11-23,1984
2017-11-24,1974
2017-11-25,1966
2017-11-26,1974
2017-11-27,1955
2017-11-28,1940
2017-11-29,1934
2017-11-30,1928
2017-12-01,1922
2017-12-02,1929
2017-12-03,1942
2017-12-04,1981
2017-12-05,1988
2017-12-06,1985
2017-12-07,1980
2017-12-08,1976
2017-12-09,1977
2017-12-10,1985
2017-12-11,1989
2017-12-12,1998
2017-12-13,1985
2017-12-14,1979
2017-12-15,1962
2017-12-16,1948
2017-12-17,1940
2017-12-18,1936
2017-12-19,1930
2017-12-20,1938
2017-12-21,1937
2017-12-22,1908
2017-12-23,1920
2017-12-24,1929
2017-12-25,1924
2017-12-26,1950
2017-12-27,1959
2017-12-28,1987
2017-12-29,1968
2017-12-30,1928
2017-12-31,1937
2018-01-01,1958
2018-01-02,1977
2018-01-03,1970
2018-01-04,1964
2018-01-05,1923
2018-01-06,1908
2018-01-07,1946
2018-01-08,1865
2018-01-09,1801
2018-01-10,1818
2018-01-11,1842
2018-01-12,1846
2018-01-13,1816
2018-01-14,1807
2018-01-15,1801
2018-01-16,1824
2018-01-17,1818
2018-01-18,1843
2018-01-19,1871
2018-01-20,1902
2018-01-21,1942
2018-01-22,1922
2018-01-23,1898
2018-01-24,1932
2018-01-25,1933
2018-01-26,1949
2018-01-27,1923
2018-01-28,1913
2018-01-29,1920
2018-01-30,1925
2018-01-31,1913
2018-02-01,1923
2018-02-02,1924
2018-02-03,1932
2018-02-04,1933
2018-02-05,1949
2018-02-06,1960
2018-02-07,1948
2018-02-08,1924
2018-02-09,1878
2018-02-10,1835
2018-02-11,1807
2018-02-12,1850
2018-02-13,1843
2018-02-14,1839
2018-02-15,1816
2018-02-16,1833
2018-02-17,1861
2018-02-18,1861
2018-02-19,1895
2018-02-20,1887
2018-02-21,1894
2018-02-22,1900
2018-02-23,1921
2018-02-24,1926
2018-02-25,1912
2018-02-26,1905
2018-02-27,1882
2018-02-28,1872
2018-03-01,1866
2018-03-02,1858
2018-03-03,1856
2018-03-04,1846
2018-03-05,1834
2018-03-06,1856
2018-03-07,1870
2018-03-08,1848
2018-03-09,1818
2018-03-10,1844
2018-03-11,1872
2018-03-12,1885
2018-03-13,1892
2018-03-14,1885
2018-03-15,1878
2018-03-16,1884
2018-03-17,1881
2018-03-18,1877
2018-03-20,1871
2018-03-21,1880
2018-03-22,1901
2018-03-23,1887
2018-03-24,1878
2018-03-25,1870
2018-03-26,1871
2018-03-27,1870
2018-03-28,1857
2018-03-29,1861
2018-03-30,1875
2018-03-31,1872
2018-04-01,1869
2018-04-02,1871
2018-04-03,1889
2018-04-04,1895
2018-04-05,1890
2018-04-06,1873
2018-04-07,1871
2018-04-08,1836
2018-04-09,1813
2018-04-10,1834
2018-04-11,1837
2018-04-12,1865
2018-04-13,1872
2018-04-14,1872
2018-04-15,1869
2018-04-16,1839
2018-04-17,1868
2018-04-18,1880
2018-04-19,1881
2018-04-20,1881
2018-04-21,1885
2018-04-22,1900
2018-04-23,1897
2018-04-24,1873
2018-04-25,1878
2018-04-26,1887
2018-04-27,1905
2018-04-28,1922
2018-04-29,1896
2018-04-30,1880
2018-05-01,1885
2018-05-02,1901
2018-05-03,1889
2018-05-04,1878
2018-05-05,1890
2018-05-06,1891
2018-05-07,1907
2018-05-08,1907
2018-05-09,1922
2018-05-10,1922
2018-05-11,1937
2018-05-12,1936
2018-05-13,1909
2018-05-14,1918
2018-05-15,1941
2018-05-16,1923
2018-05-17,1923
2018-05-18,1935
2018-05-19,1920
2018-05-20,1893
2018-05-21,1904
2018-05-22,1914
2018-05-23,1934
2018-05-24,1963
2018-05-25,1971
2018-05-26,1962
2018-05-27,1967
2018-05-28,1983
2018-05-29,1988
2018-05-30,1986
2018-05-31,1985
2018-06-01,2012
2018-06-02,2024
2018-06-03,2004
2018-06-04,1988
2018-06-05,1930
2018-06-06,1856
2018-06-07,1775
2018-06-08,1748
2018-06-09,1703
2018-06-10,1732
2018-06-11,1741
2018-06-12,1765
2018-06-13,1761
2018-06-14,1779
2018-06-15,1810
2018-06-16,1846
2018-06-17,1842
2018-06-18,1835
2018-06-19,1839
2018-06-20,1828
2018-06-21,1813
2018-06-22,1796
2018-06-23,1793
2018-06-24,1794
2018-06-25,1808
2018-06-26,1839
2018-06-27,1865
2018-06-28,1842
2018-06-29,1845
2018-06-30,1844
2018-07-01,1854
2018-07-02,1854
2018-07-03,1861
2018-07-04,1860
2018-07-05,1883
2018-07-06,1859
2018-07-07,1849
2018-07-08,1857
2018-07-09,1874
2018-07-10,1902
2018-07-11,1932
2018-07-12,1954
2018-07-13,1898
2018-07-14,1847
2018-07-15,1866
2018-07-16,1879
2018-07-17,1900
2018-07-18,1916
2018-07-19,1937
2018-07-20,1928
2018-07-21,1897
2018-07-22,1895
2018-07-23,1909
2018-07-24,1906
2018-07-25,1920
2018-07-26,1901
2018-07-27,1898
2018-07-28,1887
2018-07-29,1855
2018-07-30,1841
2018-07-31,1860
2018-08-01,1903
2018-08-02,1904
2018-08-03,1921
2018-08-04,1904
2018-08-05,1895
2018-08-06,1940
2018-08-07,1950
2018-08-08,1970
2018-08-09,1977
2018-08-10,1984
2018-08-11,2025
2018-08-12,1985
2018-08-14,1993
2018-08-16,1980
2018-08-17,1898
2018-08-18,1825
2018-08-19,1832
2018-08-20,1888
2018-08-21,1909
2018-08-22,1895
2018-08-23,1876
2018-08-24,1901
2018-08-25,1921
2018-08-26,1918
2018-08-27,1911
2018-08-28,1902
2018-08-29,1904
2018-08-30,1895
2018-08-31,1882
2018-09-01,1909
2018-09-02,1905
2018-09-03,1913
2018-09-04,1939
2018-09-05,1982
2018-09-06,1972
2018-09-07,1968
2018-09-08,1954
2018-09-09,1939
2018-09-10,1938
2018-09-11,1945
2018-09-12,1927
2018-09-13,1912
2018-09-14,1907
2018-09-15,1895
2018-09-16,1879
2018-09-17,1886
2018-09-18,1903
2018-09-19,1911
2018-09-20,1919
2018-09-21,1919
2018-09-22,1926
2018-09-23,1919
2018-09-24,1911
2018-09-25,1902
2018-09-26,1903
2018-09-27,1897
2018-09-28,1901
2018-09-29,1911
2018-09-30,1897
2018-10-01,1901
2018-10-02,1926
2018-10-03,1947
2018-10-04,1939
2018-10-05,1949
2018-10-06,1951
2018-10-07,1936
2018-10-08,1939
2018-10-09,1942
2018-10-10,1937
2018-10-11,1931
2018-10-12,1925
2018-10-13,1928
2018-10-14,1932
2018-10-15,1943
2018-10-16,1937
2018-10-17,1922
2018-10-18,1893
2018-10-19,1880
2018-10-20,1895
2018-10-21,1893
2018-10-22,1894
2018-10-23,1897
2018-10-24,1904
2018-10-25,1903
2018-10-26,1909
2018-10-27,1904
2018-10-28,1889
2018-10-29,1885
2018-10-30,1883
2018-10-31,1901
2018-11-01,1906
2018-11-03,1923
2018-11-04,1910
2018-11-05,1913
2018-11-06,1920
2018-11-07,1929
2018-11-08,1912
2018-11-09,1900
2018-11-10,1896
2018-11-11,1897
2018-11-12,1898
2018-11-13,1895
2018-11-15,1879
2018-11-16,1881
2018-11-17,1892
2018-11-18,1902
2018-11-19,1898
2018-11-20,1896
2018-11-21,1897
2018-11-22,1891
2018-11-23,1862
2018-11-24,1847
2018-11-25,1853
2018-11-26,1868
2018-11-27,1888
2018-11-28,1896
2018-11-29,1890
2018-12-01,1883
2018-12-02,1893
2018-12-03,1908
2018-12-04,1906
2018-12-05,1902
2018-12-07,1867
2018-12-09,1879
2018-12-10,1886
2018-12-11,1884
2018-12-12,1886
2018-12-13,1885
2018-12-14,1889
2018-12-15,1894
2018-12-16,1877
2018-12-17,1861
2018-12-18,1852
2018-12-19,1827
2018-12-20,1834
2018-12-21,1839
2018-12-22,1843
2018-12-23,1847
2018-12-24,1824
2018-12-25,1812
2018-12-26,1830
2018-12-27,1851
2018-12-28,1865
2018-12-29,1871
2018-12-30,1871
2018-12-31,1882
2019-01-01,1878
2019-01-02,1895
2019-01-03,1924
2019-01-04,1934
2019-01-05,1916
2019-01-06,1904
2019-01-08,1894
2019-01-10,1817
2019-01-11,1809
2019-01-12,1841
2019-01-13,1857
2019-01-14,1891
2019-01-15,1944
2019-01-16,1986
2019-01-17,1956
2019-01-18,1917
2019-01-19,1886
2019-01-20,1864
2019-01-21,1859
2019-01-22,1880
2019-01-23,1910
2019-01-24,1953
2019-01-25,1961
2019-01-26,1960
2019-01-27,1941
2019-01-28,1935
2019-01-29,1967
2019-01-30,2000
2019-01-31,1999
2019-02-01,1971
2019-02-02,1944
2019-02-03,1954
2019-02-04,1987
2019-02-05,2020
2019-02-06,2053
2019-02-07,2006
2019-02-08,1963
2019-02-09,1929
2019-02-10,1926
2019-02-11,1916
2019-02-12,1937
2019-02-13,1951
2019-02-14,1958
2019-02-15,1944
2019-02-16,1912
2019-02-17,1918
2019-02-18,1919
2019-02-19,1922
2019-02-20,1916
2019-02-21,1924
2019-02-22,1951
2019-02-23,1949
2019-02-24,1971
2019-02-25,1943
2019-02-26,1932
2019-02-27,1923
2019-02-28,1935
2019-03-01,1951
2019-03-02,1953
2019-03-03,1952
2019-03-04,1956
2019-03-05,1945
2019-03-06,1963
2019-03-07,1944
2019-03-08,1965
2019-03-09,1971
2019-03-10,2025
2019-03-11,1998
2019-03-12,1986
2019-03-13,1965
2019-03-14,1936
2019-03-15,1918
2019-03-16,1902
2019-03-17,1899
2019-03-18,1916
2019-03-19,1935
2019-03-20,1919
2019-03-21,1904
2019-03-22,1884
2019-03-23,1882
2019-03-24,1906
2019-03-25,1939
