date_obj,Green%20boater price
2017-01-27,3093
2017-01-28,3093
2017-01-29,3069
2017-01-30,3069
2017-01-31,3069
2017-02-01,3069
2017-02-02,3069
2017-02-03,3069
2017-02-04,3046
2017-02-05,3046
2017-02-06,3046
2017-02-07,3046
2017-02-08,3046
2017-02-09,3046
2017-02-10,3090
2017-02-11,3090
2017-02-12,3090
2017-02-13,3090
2017-02-14,3090
2017-02-15,3050
2017-02-16,3050
2017-02-18,3050
2017-02-19,3050
2017-02-20,2964
2017-02-21,2964
2017-02-22,2964
2017-02-23,2964
2017-02-24,2964
2017-02-25,2964
2017-02-26,2882
2017-02-27,2882
2017-02-28,2882
2017-03-01,2882
2017-03-02,2882
2017-03-03,2759
2017-03-04,2759
2017-03-05,2759
2017-03-06,2759
2017-03-07,2759
2017-03-08,2708
2017-03-09,2708
2017-03-10,2708
2017-03-11,2708
2017-03-12,2708
2017-03-13,2757
2017-03-14,2757
2017-03-15,2757
2017-03-16,2757
2017-03-17,2753
2017-03-18,2753
2017-03-19,2753
2017-03-20,2753
2017-03-21,2715
2017-03-22,2715
2017-03-23,2715
2017-03-24,2715
2017-03-25,2715
2017-03-26,2715
2017-03-27,2643
2017-03-28,2643
2017-03-29,2643
2017-03-30,2643
2017-03-31,2620
2017-04-01,2620
2017-04-02,2620
2017-04-03,2620
2017-04-04,2620
2017-04-12,2504
2017-04-13,2504
2017-04-14,2504
2017-04-15,2540
2017-04-16,2540
2017-04-17,2540
2017-04-18,2540
2017-04-19,2484
2017-04-20,2484
2017-04-21,2484
2017-04-22,2484
2017-04-23,2484
2017-04-24,2406
2017-04-25,2406
2017-04-26,2406
2017-04-27,2406
2017-04-28,2406
2017-04-29,2399
2017-04-30,2399
2017-05-01,2399
2017-05-02,2399
2017-05-03,2399
2017-05-04,2359
2017-05-05,2359
2017-05-06,2359
2017-05-07,2359
2017-05-08,2359
2017-05-09,2388
2017-05-10,2388
2017-05-11,2388
2017-05-12,2388
2017-05-13,2388
2017-05-14,2364
2017-05-15,2364
2017-05-16,2364
2017-05-17,2364
2017-05-18,2364
2017-05-19,2364
2017-05-20,2337
2017-05-21,2337
2017-05-22,2337
2017-05-23,2337
2017-05-24,2337
2017-05-25,2337
2017-05-26,2358
2017-05-27,2358
2017-05-28,2358
2017-05-29,2358
2017-05-30,2358
2017-05-31,2358
2017-06-01,2382
2017-06-02,2382
2017-06-03,2382
2017-06-04,2382
2017-06-05,2382
2017-06-06,2365
2017-06-07,2365
2017-06-08,2365
2017-06-09,2365
2017-06-10,2362
2017-06-11,2362
2017-06-12,2362
2017-06-13,2362
2017-06-14,2362
2017-06-15,2331
2017-06-16,2331
2017-06-17,2331
2017-06-18,2331
2017-06-19,2331
2017-06-20,2314
2017-06-21,2314
2017-06-22,2314
2017-06-23,2314
2017-06-24,2314
2017-06-25,2314
2017-06-26,2227
2017-06-27,2227
2017-06-28,2227
2017-06-29,2227
2017-06-30,2227
2017-07-01,2227
2017-07-02,2168
2017-07-03,2168
2017-07-04,2168
2017-07-05,2168
2017-07-06,2168
2017-07-07,2168
2017-07-08,2168
2017-07-13,2083
2017-07-14,2083
2017-07-15,2083
2017-07-16,1978
2017-07-17,1978
2017-07-18,1978
2017-07-19,1978
2017-07-20,1978
2017-07-21,1910
2017-07-22,1910
2017-07-23,1910
2017-07-24,1910
2017-07-25,1910
2017-07-26,1910
2017-07-27,1905
2017-07-28,1905
2017-07-29,1905
2017-07-30,1905
2017-07-31,1905
2017-08-01,1905
2017-08-02,1858
2017-08-03,1858
2017-08-04,1858
2017-08-05,1858
2017-08-06,1858
2017-08-09,1813
2017-08-10,1813
2017-08-11,1813
2017-08-12,1813
2017-08-13,1813
2017-08-14,1823
2017-08-15,1823
2017-08-16,1823
2017-08-17,1823
2017-08-18,1823
2017-08-19,1823
2017-08-20,1834
2017-08-21,1834
2017-08-22,1834
2017-08-23,1834
2017-08-24,1834
2017-08-25,1834
2017-08-26,1855
2017-08-27,1855
2017-08-28,1855
2017-08-29,1855
2017-08-30,1855
2017-08-31,1865
2017-09-01,1865
2017-09-02,1865
2017-09-03,1865
2017-09-04,1865
2017-09-05,1926
2017-09-06,1926
2017-09-07,1926
2017-09-08,1926
2017-09-09,1961
2017-09-10,1961
2017-09-11,1961
2017-09-12,1961
2017-09-13,1961
2017-09-14,1946
2017-09-15,1946
2017-09-16,1946
2017-09-17,1946
2017-09-18,1946
2017-09-19,1946
2017-09-20,1920
2017-09-21,1920
2017-09-22,1920
2017-09-23,1920
2017-09-24,1920
2017-09-25,1920
2017-09-26,1996
2017-09-27,1996
2017-09-28,1996
2017-09-29,1996
2017-09-30,1996
2017-10-01,1996
2017-10-02,2065
2017-10-03,2065
2017-10-04,2065
2017-10-05,2065
2017-10-06,2065
2017-10-07,2065
2017-10-08,2065
2017-10-09,2036
2017-10-10,2036
2017-10-11,2036
2017-10-12,2036
2017-10-13,2036
2017-10-14,2036
2017-10-15,2036
2017-10-16,2040
2017-10-17,2040
2017-10-18,2040
2017-10-19,2040
2017-10-20,2040
2017-10-21,2040
2017-10-22,2040
2017-10-23,2096
2017-10-24,2096
2017-10-25,2096
2017-10-26,2096
2017-10-27,2096
2017-10-28,2096
2017-10-29,2074
2017-10-30,2074
2017-10-31,2074
2017-11-01,2074
2017-11-02,2074
2017-11-03,2074
2017-11-04,2034
2017-11-05,2034
2017-11-06,2034
2017-11-07,2034
2017-11-08,2034
2017-11-09,2034
2017-11-10,2034
2017-11-11,2007
2017-11-12,2007
2017-11-13,2007
2017-11-14,2007
2017-11-15,2007
2017-11-16,2007
2017-11-17,1986
2017-11-18,1986
2017-11-19,1986
2017-11-20,1986
2017-11-21,1986
2017-11-22,1986
2017-11-23,1912
2017-11-24,1912
2017-11-25,1912
2017-11-26,1912
2017-11-27,1912
2017-11-28,1912
2017-11-29,1835
2017-11-30,1835
2017-12-01,1835
2017-12-02,1835
2017-12-03,1835
2017-12-04,1835
2017-12-05,1758
2017-12-06,1758
2017-12-07,1758
2017-12-08,1758
2017-12-09,1758
2017-12-10,1678
2017-12-11,1678
2017-12-12,1678
2017-12-13,1678
2017-12-14,1678
2017-12-15,1678
2017-12-16,1678
2017-12-17,1650
2017-12-18,1650
2017-12-19,1650
2017-12-20,1650
2017-12-21,1650
2017-12-22,1621
2017-12-23,1621
2017-12-24,1621
2017-12-25,1621
2017-12-26,1621
2017-12-27,1621
2017-12-28,1570
2017-12-29,1570
2017-12-30,1570
2017-12-31,1570
2018-01-01,1570
2018-01-02,1520
2018-01-03,1520
2018-01-04,1520
2018-01-05,1520
2018-01-06,1456
2018-01-07,1456
2018-01-08,1456
2018-01-09,1456
2018-01-10,1456
2018-01-11,1431
2018-01-12,1431
2018-01-13,1431
2018-01-14,1431
2018-01-15,1431
2018-01-16,1393
2018-01-17,1393
2018-01-18,1393
2018-01-19,1393
2018-01-20,1358
2018-01-21,1358
2018-01-22,1358
2018-01-23,1358
