date_obj,Rune%20dagger price
2016-06-07,4601
2016-06-08,4614
2016-06-09,4612
2016-06-10,4580
2016-06-11,4602
2016-06-12,4610
2016-06-13,4627
2016-06-14,4631
2016-06-15,4609
2016-06-16,4612
2016-06-17,4613
2016-06-18,4604
2016-06-19,4593
2016-06-20,4600
2016-06-21,4617
2016-06-22,4631
2016-06-23,4630
2016-06-24,4608
2016-06-25,4594
2016-06-26,4606
2016-06-27,4618
2016-06-28,4626
2016-06-29,4634
2016-06-30,4630
2016-07-01,4646
2016-07-02,4625
2016-07-03,4648
2016-07-04,4638
2016-07-05,4633
2016-07-06,4629
2016-07-07,4629
2016-07-08,4626
2016-07-09,4612
2016-07-10,4620
2016-07-11,4602
2016-07-12,4611
2016-07-13,4612
2016-07-14,4617
2016-07-15,4617
2016-07-16,4613
2016-07-17,4622
2016-07-18,4635
2016-07-23,4617
2016-07-24,4601
2016-07-25,4608
2016-07-26,4621
2016-07-27,4633
2016-07-28,4624
2016-07-29,4612
2016-07-30,4610
2016-07-31,4546
2016-08-01,4591
2016-08-02,4614
2016-08-03,4632
2016-08-04,4618
2016-08-05,4632
2016-08-06,4587
2016-08-07,4627
2016-08-08,4636
2016-08-09,4639
2016-08-10,4626
2016-08-11,4615
2016-08-12,4623
2016-08-13,4612
2016-08-14,4553
2016-08-15,4613
2016-08-16,4619
2016-08-17,4617
2016-08-18,4619
2016-08-19,4612
2016-08-20,4578
2016-08-21,4597
2016-08-22,4606
2016-08-23,4629
2016-08-24,4624
2016-08-25,4636
2016-08-26,4649
2016-08-28,4591
2016-08-31,4618
2016-09-01,4611
2016-09-02,4616
2016-09-03,4604
2016-09-04,4616
2016-09-05,4617
2016-09-06,4629
2016-09-07,4636
2016-09-08,4650
2016-09-09,4617
2016-09-10,4639
2016-09-11,4635
2016-09-12,4643
2016-09-13,4661
2016-09-14,4672
2016-09-15,4663
2016-09-16,4658
2016-09-17,4638
2016-09-18,4609
2016-09-19,4617
2016-09-20,4595
2016-09-21,4620
2016-09-22,4593
2016-09-23,4597
2016-09-24,4592
2016-09-25,4593
2016-09-26,4587
2016-09-27,4583
2016-09-28,4603
2016-09-29,4600
2016-09-30,4594
2016-10-01,4564
2016-10-02,4586
2016-10-03,4596
2016-10-04,4603
2016-10-05,4612
2016-10-06,4606
2016-10-07,4622
2016-10-08,4615
2016-10-09,4603
2016-10-10,4584
2016-10-11,4619
2016-10-12,4614
2016-10-13,4606
2016-10-14,4615
2016-10-15,4614
2016-10-16,4621
2016-10-17,4607
2016-10-18,4626
2016-10-19,4627
2016-10-20,4605
2016-10-21,4617
2016-10-22,4643
2016-10-23,4640
2016-10-24,4617
2016-10-25,4621
2016-10-26,4632
2016-10-27,4608
2016-10-28,4629
2016-10-29,4633
2016-10-30,4618
2016-10-31,4600
2016-11-01,4610
2016-11-02,4608
2016-11-03,4609
2016-11-04,4618
2016-11-05,4604
2016-11-06,4622
2016-11-07,4609
2016-11-08,4622
2016-11-09,4628
2016-11-10,4632
2016-11-11,4616
2016-11-12,4625
2016-11-13,4606
2016-11-14,4616
2016-12-08,4624
2016-12-09,4623
2016-12-10,4617
2016-12-11,4603
2016-12-12,4603
2016-12-13,4601
2016-12-14,4620
2016-12-15,4626
2016-12-16,4650
2016-12-17,4650
2016-12-18,4638
2016-12-19,4621
2016-12-20,4613
2016-12-21,4608
2016-12-22,4607
2016-12-23,4609
2016-12-24,4620
2016-12-25,4601
2016-12-26,4616
2016-12-27,4615
2016-12-28,4602
2016-12-29,4604
2016-12-30,4596
2016-12-31,4599
2017-01-01,4599
2017-01-02,4592
2017-01-03,4607
2017-01-04,4605
2017-01-05,4596
2017-01-06,4595
2017-01-07,4598
2017-01-08,4600
2017-01-09,4611
2017-01-10,4602
2017-01-11,4620
2017-01-12,4618
2017-01-13,4628
2017-01-14,4611
2017-01-15,4618
2017-01-16,4632
2017-01-17,4630
2017-01-18,4621
2017-01-19,4613
2017-01-20,4619
2017-01-21,4618
2017-01-22,4612
2017-01-27,4615
2017-01-28,4567
2017-01-29,4593
2017-01-30,4605
2017-01-31,4610
2017-02-01,4615
2017-02-02,4613
2017-02-03,4611
2017-02-04,4604
2017-02-05,4606
2017-02-06,4618
2017-02-07,4606
2017-02-08,4593
2017-02-09,4598
2017-02-10,4611
2017-02-11,4601
2017-02-12,4573
2017-02-13,4599
2017-02-14,4599
2017-02-15,4600
2017-02-16,4596
2017-02-18,4580
2017-02-19,4578
2017-02-20,4577
2017-02-21,4590
2017-02-22,4594
2017-02-23,4590
2017-02-24,4592
2017-02-25,4582
2017-02-26,4580
2017-02-27,4593
2017-02-28,4601
2017-03-01,4608
2017-03-02,4607
2017-03-03,4609
2017-03-04,4599
2017-03-05,4595
2017-03-06,4603
2017-03-07,4602
2017-03-08,4597
2017-03-09,4601
2017-03-10,4596
2017-03-11,4590
2017-03-12,4598
2017-03-13,4606
2017-03-14,4605
2017-03-15,4605
2017-03-16,4614
2017-03-17,4615
2017-03-18,4599
2017-03-19,4595
2017-03-20,4600
2017-03-21,4598
2017-03-22,4606
2017-03-23,4612
2017-03-24,4607
2017-03-25,4602
2017-03-26,4606
2017-03-27,4608
2017-03-28,4604
2017-03-29,4596
2017-03-30,4622
2017-03-31,4616
2017-04-01,4611
2017-04-02,4609
2017-04-03,4618
2017-04-04,4624
2017-04-12,4623
2017-04-13,4634
2017-04-14,4629
2017-04-15,4638
2017-04-16,4624
2017-04-17,4617
2017-04-18,4614
2017-04-19,4607
2017-04-20,4592
2017-04-21,4587
2017-04-22,4572
2017-04-23,4580
2017-04-24,4583
2017-04-25,4592
2017-04-26,4594
2017-04-27,4593
2017-04-28,4598
2017-04-29,4596
2017-04-30,4597
2017-05-01,4598
2017-05-02,4599
2017-05-03,4606
2017-05-04,4580
2017-05-05,4589
2017-05-06,4588
2017-05-07,4589
2017-05-08,4593
2017-05-09,4606
2017-05-10,4598
2017-05-11,4592
2017-05-12,4563
2017-05-13,4587
2017-05-14,4588
2017-05-15,4592
2017-05-16,4586
2017-05-17,4595
2017-05-18,4588
2017-05-19,4585
2017-05-20,4594
2017-05-21,4604
2017-05-22,4600
2017-05-23,4607
2017-05-24,4603
2017-05-25,4577
2017-05-26,4584
2017-05-27,4582
2017-05-28,4524
2017-05-29,4539
2017-05-30,4572
2017-05-31,4593
2017-06-01,4590
2017-06-02,4590
2017-06-03,4593
2017-06-06,4601
2017-06-07,4593
2017-06-08,4560
2017-06-09,4547
2017-06-10,4570
2017-06-11,4574
2017-06-12,4589
2017-06-13,4594
2017-06-14,4569
2017-06-15,4587
2017-06-16,4594
2017-06-17,4605
2017-06-18,4589
2017-06-19,4584
2017-06-20,4590
2017-06-21,4600
2017-06-22,4574
2017-06-23,4585
2017-06-24,4582
2017-06-25,4532
2017-06-26,4559
2017-06-27,4578
2017-06-28,4596
2017-06-29,4592
2017-06-30,4586
2017-07-01,4595
2017-07-02,4598
2017-07-03,4587
2017-07-04,4580
2017-07-05,4581
2017-07-06,4566
2017-07-07,4593
2017-07-08,4586
2017-07-13,4595
2017-07-14,4581
2017-07-15,4593
2017-07-16,4596
2017-07-17,4595
2017-07-18,4582
2017-07-19,4595
2017-07-20,4600
2017-07-21,4597
2017-07-22,4594
2017-07-23,4599
2017-07-24,4602
2017-07-25,4594
2017-07-26,4597
2017-07-27,4525
2017-07-28,4579
2017-07-29,4592
2017-07-30,4594
2017-07-31,4605
2017-08-01,4607
2017-08-02,4600
2017-08-03,4595
2017-08-04,4584
2017-08-05,4576
2017-08-06,4588
2017-08-09,4597
