date_obj,Devout%20boots price
2019-05-28,818561
2019-05-29,826801
2019-05-30,821952
2019-05-31,818678
2019-06-01,815810
2019-06-02,808689
2019-06-03,793885
2019-06-04,782319
2019-06-05,779948
2019-06-06,767358
2019-06-07,789323
2019-06-08,789192
2019-06-09,807068
2019-06-10,807068
2019-06-11,810749
2019-06-12,800301
2019-06-13,799482
2019-06-14,784894
2019-06-15,779647
2019-06-16,773281
2019-06-17,773103
2019-06-18,782350
2019-06-19,790336
2019-06-20,801497
2019-06-21,803587
2019-06-22,801342
2019-06-23,783527
2019-06-24,766618
2019-06-25,740233
2019-06-26,729571
2019-06-27,739258
2019-06-28,742449
2019-06-29,729372
2019-06-30,740754
2019-07-01,735861
2019-07-02,747428
2019-07-03,753058
2019-07-04,741977
2019-07-05,743284
2019-07-06,751961
2019-07-07,772699
2019-07-08,764525
2019-07-09,757780
2019-07-10,767311
2019-07-11,775700
2019-07-12,776417
2019-07-13,768868
2019-07-14,782388
2019-07-15,810454
2019-07-16,800825
2019-07-17,829509
2019-07-18,855955
2019-07-19,872463
2019-07-20,906469
2019-07-21,931861
2019-07-22,886970
2019-07-23,883807
2019-07-24,880943
2019-07-25,865666
2019-07-26,836723
2019-07-27,814424
2019-07-28,813027
2019-07-29,790974
2019-07-30,779013
2019-07-31,792636
2019-08-01,808524
2019-08-02,797273
2019-08-03,806314
2019-08-04,811771
2019-08-05,814725
2019-08-06,818229
2019-08-07,824270
2019-08-08,808133
2019-08-09,799446
2019-08-10,792385
2019-08-11,788982
2019-08-12,817596
2019-08-13,806105
2019-08-14,810136
2019-08-15,830565
2019-08-16,827164
2019-08-17,827164
2019-08-18,817516
2019-08-19,795032
2019-08-20,782898
2019-08-21,780140
2019-08-22,774584
2019-08-23,770124
2019-08-24,793780
2019-08-24,793780
2019-08-25,798499
2019-08-25,798499
2019-08-26,786563
2019-08-27,783876
2019-08-27,783876
2019-08-28,776502
2019-08-29,810063
2019-08-30,804891
2019-08-31,789331
2019-09-01,813718
2019-09-02,837756
2019-09-03,842168
2019-09-04,864968
2019-09-05,870255
2019-09-06,866574
2019-09-07,870158
2019-09-08,877645
2019-09-09,864821
2019-09-10,882466
2019-09-11,920093
2019-09-12,914821
2019-09-13,925507
2019-09-14,927939
2019-09-15,909104
2019-09-16,895215
2019-09-17,871804
2019-09-18,854582
2019-09-19,829636
2019-09-20,824606
2019-09-21,813220
2019-09-22,807433
2019-09-23,793865
2019-09-24,786079
2019-09-25,793438
2019-09-26,789012
2019-09-27,793784
2019-09-28,792366
2019-09-29,791595
2019-09-30,798558
2019-10-01,801800
2019-10-02,792886
2019-10-03,804155
2019-10-04,807656
2019-10-05,815877
2019-10-06,808631
2019-10-07,784975
2019-10-08,787040
2019-10-09,799686
2019-10-10,802825
2019-10-11,791122
2019-10-12,782019
2019-10-13,787884
2019-10-14,787332
2019-10-15,803661
2019-10-16,788477
2019-10-17,782247
2019-10-18,776433
2019-10-19,770702
2019-10-20,766248
2019-10-21,771511
2019-10-22,771910
2019-10-23,799365
2019-10-24,797677
2019-10-25,805331
2019-10-26,808926
2019-10-27,831007
2019-10-28,835137
2019-10-29,844504
2019-10-30,844456
2019-10-31,830908
2019-11-01,823792
2019-11-02,816174
2019-11-03,799919
2019-11-04,792101
2019-11-05,782006
2019-11-06,783970
2019-11-07,796629
2019-11-08,813056
2019-11-09,811918
2019-11-10,804659
2019-11-11,800510
2019-11-12,793842
2019-11-13,787516
2019-11-14,790105
2019-11-15,783735
2019-11-16,774716
2019-11-17,774716
2019-11-18,778618
2019-11-19,779632
2019-11-20,770639
2019-11-21,764424
2019-11-22,768453
2019-11-23,765297
2019-11-24,791464
2019-11-25,809351
2019-11-26,829074
2019-11-27,844609
2019-11-28,871323
2019-11-29,899491
2019-11-30,885899
2019-12-01,894216
2019-12-02,905690
2019-12-03,911354
2019-12-04,910553
2019-12-05,891382
2019-12-06,889884
2019-12-07,890591
2019-12-08,935118
2019-12-09,981874
2019-12-10,978515
2019-12-11,954321
2019-12-12,965506
2019-12-13,974820
2019-12-14,988381
2019-12-15,976890
2019-12-16,970352
2019-12-17,958948
2019-12-18,960462
2019-12-19,950693
2019-12-20,928322
2019-12-21,909317
2019-12-22,911405
2019-12-23,907708
2019-12-24,887760
2019-12-25,922197
2019-12-26,938776
2019-12-27,977762
2019-12-28,975816
2019-12-29,982790
2019-12-30,1007869
2019-12-31,1014055
2020-01-01,1026384
2020-01-02,1009603
2020-01-03,1004416
2020-01-04,991287
2020-01-05,976547
2020-01-06,981641
2020-01-07,1008892
2020-01-08,1023837
2020-01-09,1047021
2020-01-10,1088235
2020-01-11,1101146
2020-01-12,1118161
2020-01-13,1094164
2020-01-14,1072930
2020-01-15,1059054
2020-01-16,1037061
2020-01-17,1035803
2020-01-18,1055100
2020-01-19,1039469
2020-01-20,1071123
2020-01-21,1095307
2020-01-22,1073613
2020-01-23,1088008
2020-01-24,1085034
2020-01-25,1089423
2020-01-26,1077382
2020-01-27,1064853
2020-01-28,1056195
2020-01-29,1037328
2020-01-30,1068007
2020-01-31,1046124
2020-02-01,1044262
2020-02-02,1031253
2020-02-03,1015765
2020-02-04,999348
2020-02-05,1000850
2020-02-06,962249
2020-02-07,925627
2020-02-08,880634
2020-02-09,872552
2020-02-10,868358
2020-02-11,904332
2020-02-12,933592
2020-02-13,931347
2020-02-14,928458
2020-02-15,915772
2020-02-16,919468
2020-02-17,913442
2020-02-18,916966
2020-02-19,935558
2020-02-20,961550
2020-02-21,947027
2020-02-22,968512
2020-02-23,979795
2020-02-24,964821
2020-02-25,959904
2020-02-26,981092
2020-02-27,996397
2020-02-28,1036296
2020-02-29,1032368
2020-03-01,1019269
2020-03-02,1029778
2020-03-03,1015315
2020-03-04,1013087
2020-03-05,1024966
2020-03-06,1006034
2020-03-07,1019995
2020-03-08,1030380
2020-03-09,1024577
2020-03-10,1025000
2020-03-11,1014571
2020-03-12,1026266
2020-03-13,1035661
2020-03-14,1026059
2020-03-15,1011837
2020-03-16,1018137
2020-03-17,1069016
2020-03-18,1068917
2020-03-19,1074763
2020-03-20,1074892
2020-03-21,1062205
2020-03-22,1047287
2020-03-23,1035022
2020-03-24,1059595
2020-03-25,1098598
2020-03-26,1133325
2020-03-27,1130508
2020-03-28,1134221
2020-03-29,1106620
2020-03-30,1111117
2020-03-31,1122368
2020-04-01,1121610
2020-04-02,1124676
2020-04-03,1087722
2020-04-04,1055030
2020-04-05,1044441
2020-04-06,1076785
2020-04-07,1108718
2020-04-08,1078161
2020-04-09,1069985
2020-04-10,1077166
2020-04-11,1086250
2020-04-12,1105326
2020-04-13,1123433
2020-04-14,1087112
2020-04-15,1075835
2020-04-16,1071567
2020-04-17,1066172
2020-04-18,1072652
2020-04-19,1101295
2020-04-20,1094075
2020-04-21,1131777
2020-04-22,1113684
2020-04-23,1110539
2020-04-24,1159205
2020-04-25,1147037
2020-04-26,1131761
2020-04-27,1135393
2020-04-28,1189136
2020-04-29,1196445
2020-04-30,1245250
2020-05-01,1277930
2020-05-02,1261660
2020-05-03,1216930
2020-05-04,1230106
2020-05-05,1240648
2020-05-06,1273634
2020-05-07,1271664
2020-05-08,1270381
2020-05-09,1309342
2020-05-10,1303597
2020-05-11,1301469
2020-05-12,1299524
2020-05-13,1318175
