date_obj,Diamond%20ring price
2015-10-09,1955
2015-10-10,1955
2015-10-11,1955
2015-10-12,2040
2015-10-13,2040
2015-10-14,2040
2015-10-15,2004
2015-10-16,2004
2015-10-17,2004
2015-10-18,1983
2015-10-19,1983
2015-10-20,1994
2015-10-22,1994
2015-10-23,1978
2015-10-24,1978
2015-10-25,1956
2015-10-26,1956
2015-10-27,1956
2015-10-29,1950
2015-10-30,1950
2015-10-31,1916
2015-11-01,1916
2015-11-02,1916
2015-11-03,1965
2015-11-04,1965
2015-11-05,1965
2015-11-06,1994
2015-11-07,1994
2015-11-08,1999
2015-11-09,1999
2015-11-10,1999
2015-11-11,1978
2015-11-12,1978
2015-11-13,1978
2015-11-14,1946
2015-11-15,1946
2015-11-16,1946
2015-11-17,1979
2015-11-18,1979
2015-11-19,1979
2015-11-20,1990
2015-11-21,1990
2015-11-22,2038
2015-11-23,2038
2015-11-24,2038
2015-11-25,1993
2015-11-26,1993
2015-11-27,1993
2015-11-28,1982
2015-11-29,1982
2015-11-30,1934
2015-12-01,1934
2015-12-02,1934
2015-12-03,1962
2015-12-04,1962
2015-12-05,1962
2015-12-06,2001
2015-12-07,2001
2015-12-08,2001
2015-12-09,2043
2015-12-10,2043
2015-12-11,2043
2015-12-12,2048
2015-12-13,2048
2015-12-14,2048
2015-12-15,2023
2015-12-16,2023
2015-12-17,2023
2015-12-18,2011
2015-12-19,2011
2015-12-20,1976
2015-12-21,1976
2015-12-22,1994
2015-12-23,1994
2015-12-24,2011
2015-12-25,2011
2015-12-26,2011
2015-12-27,2050
2015-12-28,2050
2015-12-29,2085
2015-12-30,2085
2015-12-31,2121
2016-01-01,2121
2016-01-02,2121
2016-01-03,2134
2016-01-04,2134
2016-01-05,2144
2016-01-06,2144
2016-01-07,2100
2016-01-08,2100
2016-01-09,2046
2016-01-10,2046
2016-01-11,2097
2016-01-12,2097
2016-01-13,2136
2016-01-14,2136
2016-01-15,2140
2016-01-16,2140
2016-01-17,2206
2016-01-18,2206
2016-01-19,2187
2016-01-20,2187
2016-01-21,2152
2016-01-22,2152
2016-01-23,2108
2016-01-24,2108
2016-01-25,2029
2016-01-26,2029
2016-01-27,2040
2016-01-28,2040
2016-01-29,2045
2016-01-30,2045
2016-01-31,2020
2016-02-01,2020
2016-02-02,2000
2016-02-03,2000
2016-02-04,2038
2016-02-05,2038
2016-02-06,2057
2016-02-07,2057
2016-02-08,2114
2016-02-09,2114
2016-02-10,2035
2016-02-11,2035
2016-02-12,2035
2016-02-13,2020
2016-02-14,2020
2016-02-15,1994
2016-02-16,1994
2016-02-17,1978
2016-02-18,1978
2016-02-19,2020
2016-02-20,2020
2016-02-21,2021
2016-02-22,2021
2016-02-23,2007
2016-02-24,2007
2016-02-25,2005
2016-02-26,2005
2016-02-27,1942
2016-02-28,1942
2016-02-29,1927
2016-03-01,1927
2016-03-02,1943
2016-03-03,1943
2016-03-04,1966
2016-03-05,1966
2016-03-06,1979
2016-03-07,1979
2016-03-08,1979
2016-03-09,1991
2016-03-10,1991
2016-03-11,2005
2016-03-12,2005
2016-03-13,2017
2016-03-14,2017
2016-03-15,1953
2016-03-16,1953
2016-03-17,2011
2016-03-18,2011
2016-03-19,2022
2016-03-20,2022
2016-03-21,1980
2016-03-22,1980
2016-03-23,1971
2016-03-24,1971
2016-03-25,1957
2016-03-26,1957
2016-03-27,1940
2016-03-28,1950
2016-03-29,1950
2016-03-30,1971
2016-03-31,1971
2016-04-01,1954
2016-04-02,1954
2016-04-03,1963
2016-04-04,1963
2016-04-05,1982
2016-04-06,1982
2016-04-07,1966
2016-04-08,1966
2016-04-09,1971
2016-04-10,1971
2016-04-11,2000
2016-04-12,2000
2016-04-13,1995
2016-04-14,1995
2016-04-15,2007
2016-04-16,2007
2016-04-17,2034
2016-04-18,2034
2016-04-19,2053
2016-04-20,2053
2016-04-21,1978
2016-04-22,1978
2016-04-23,1977
2016-04-24,1977
2016-04-25,2026
2016-04-26,2026
2016-04-27,2037
2016-04-28,2037
2016-04-29,2015
2016-04-30,2015
2016-05-01,1991
2016-05-02,1991
2016-05-03,1971
2016-05-04,1971
2016-05-05,1960
2016-05-06,1960
2016-05-07,1948
2016-05-08,1948
2016-05-09,1966
2016-05-10,1966
2016-05-11,1988
2016-05-12,1988
2016-05-13,1988
2016-05-14,1988
2016-05-15,2000
2016-05-16,2000
2016-05-17,1988
2016-05-18,1988
2016-05-19,1977
2016-05-22,1927
2016-05-23,1961
2016-05-24,1961
2016-05-25,1954
2016-05-26,1954
2016-05-27,1959
2016-05-28,1959
2016-05-29,1938
2016-05-30,1938
2016-05-31,1946
2016-06-01,1946
2016-06-02,1970
2016-06-03,1970
2016-06-04,1976
2016-06-05,1976
2016-06-06,1985
2016-06-07,1985
2016-06-08,1990
2016-06-09,1990
2016-06-10,1993
2016-06-11,1993
2016-06-12,1975
2016-06-13,1975
2016-06-14,1944
2016-06-15,1944
2016-06-16,1985
2016-06-17,1988
2016-06-18,1988
2016-06-19,2044
2016-06-20,2044
2016-06-21,2056
2016-06-22,2056
2016-06-23,2027
2016-06-24,2027
2016-06-25,1961
2016-06-26,1961
2016-06-27,1980
2016-06-28,1980
2016-06-29,2006
2016-06-30,2006
2016-07-01,2045
2016-07-02,2045
2016-07-03,2042
2016-07-04,2019
2016-07-05,2019
2016-07-06,2066
2016-07-07,2066
2016-07-08,2000
2016-07-09,2000
2016-07-10,1989
2016-07-11,1989
2016-07-12,1995
2016-07-13,1995
2016-07-14,1992
2016-07-15,1992
2016-07-16,1950
2016-07-17,1950
2016-07-18,1978
2016-07-23,1987
2016-07-24,1987
2016-07-25,1995
2016-07-26,1995
2016-07-27,1976
2016-07-28,1976
2016-07-29,1957
2016-07-30,1957
2016-07-31,1957
2016-08-01,2004
2016-08-02,2004
2016-08-03,2018
2016-08-04,2018
2016-08-05,2018
2016-08-06,2047
2016-08-07,2047
2016-08-08,2013
2016-08-09,2013
2016-08-10,1955
2016-08-11,1955
2016-08-12,1955
2016-08-13,1995
2016-08-14,1995
2016-08-15,2001
2016-08-16,2001
2016-08-17,2001
2016-08-18,1959
2016-08-19,1959
2016-08-20,2015
2016-08-21,2015
2016-08-22,2011
2016-08-23,2011
2016-08-24,1992
2016-08-25,1992
2016-08-26,1992
2016-08-28,1955
2016-08-31,1951
2016-09-01,1999
2016-09-02,1999
2016-09-03,1999
2016-09-04,2005
2016-09-05,2005
2016-09-06,2014
2016-09-07,2014
2016-09-08,2014
2016-09-09,1979
2016-09-10,1979
2016-09-11,1979
2016-09-12,1933
2016-09-13,1933
2016-09-14,1933
2016-09-15,1923
2016-09-16,1923
2016-09-17,1923
2016-09-18,1900
2016-09-19,1900
2016-09-20,1900
2016-09-21,1949
2016-09-22,1949
2016-09-23,1949
2016-09-24,1949
2016-09-25,1949
2016-09-26,1908
2016-09-27,1908
2016-09-28,1908
2016-09-29,1928
2016-09-30,1928
2016-10-01,1930
2016-10-02,1930
2016-10-03,1930
2016-10-04,1897
2016-10-05,1897
2016-10-06,1897
2016-10-07,1894
2016-10-08,1894
2016-10-09,1928
2016-10-10,1928
2016-10-11,1928
2016-10-12,1931
2016-10-13,1931
2016-10-14,1973
2016-10-15,1973
2016-10-16,1973
2016-10-17,1971
2016-10-18,1971
2016-10-19,1971
2016-10-20,2024
2016-10-21,2024
2016-10-22,2024
2016-10-23,1998
2016-10-24,1998
2016-10-25,1998
2016-10-26,1995
2016-10-27,1995
2016-10-28,1995
2016-10-29,1954
2016-10-30,1954
2016-10-31,1947
2016-11-01,1947
2016-11-02,1947
2016-11-03,1969
2016-11-04,1969
2016-11-05,2014
2016-11-06,2014
2016-11-07,2099
2016-11-08,2099
2016-11-09,2192
2016-11-10,2192
2016-11-11,2192
2016-11-12,2137
2016-11-13,2137
2016-11-14,2137
2016-11-15,2109
2016-12-07,2075
2016-12-08,2041
2016-12-09,2041
2016-12-10,2041
2016-12-11,2012
2016-12-12,2012
2016-12-13,1999
2016-12-14,1999
2016-12-15,2040
2016-12-16,2040
2016-12-17,2008
2016-12-18,2008
2016-12-19,2008
2016-12-20,2008
2016-12-21,2008
2016-12-22,2049
2016-12-23,2049
2016-12-24,2136
2016-12-25,2136
2016-12-26,2101
2016-12-27,2101
2016-12-28,2096
2016-12-29,2096
2016-12-30,2032
2016-12-31,2032
2017-01-01,2065
2017-01-02,2065
2017-01-03,2006
2017-01-04,2006
2017-01-05,1946
2017-01-06,1946
2017-01-07,2016
2017-01-08,2016
2017-01-09,2003
2017-01-10,2003
2017-01-11,2028
2017-01-12,2028
2017-01-13,2033
2017-01-14,2033
2017-01-15,1996
2017-01-16,1996
2017-01-17,1995
2017-01-18,1995
2017-01-19,1975
2017-01-20,1975
2017-01-21,1938
2017-01-22,1938
2017-01-23,1961
2017-01-27,1959
2017-01-28,1959
2017-01-29,1954
2017-01-30,1954
2017-01-31,1961
2017-02-01,1941
2017-02-02,1941
2017-02-03,1926
2017-02-04,1926
2017-02-05,1948
2017-02-06,1948
2017-02-07,1937
2017-02-08,1937
2017-02-09,1957
2017-02-10,1925
2017-02-11,1925
2017-02-12,1957
2017-02-13,1957
2017-02-14,1954
2017-02-15,1954
2017-02-16,1943
2017-02-18,1943
2017-02-19,1953
2017-02-20,1953
2017-02-21,2033
2017-02-22,2033
2017-02-23,1981
2017-02-24,1981
2017-02-25,1978
2017-02-26,1978
2017-02-27,1952
2017-02-28,1952
2017-03-01,1964
2017-03-02,1964
2017-03-03,1964
2017-03-04,1964
2017-03-05,1941
2017-03-06,1941
2017-03-07,1940
2017-03-08,1940
2017-03-09,1940
2017-03-10,1973
2017-03-11,1973
2017-03-12,2006
2017-03-13,2006
2017-03-14,1971
2017-03-15,1971
2017-03-16,1972
2017-03-17,1972
2017-03-18,1951
2017-03-19,1951
2017-03-20,1961
2017-03-21,1961
2017-03-22,1986
2017-03-23,1986
2017-03-24,1961
2017-03-25,1961
2017-03-26,1948
2017-03-27,1948
2017-03-28,1983
2017-03-29,1983
2017-03-30,1990
2017-03-31,1990
2017-04-01,1974
2017-04-02,1974
2017-04-03,1954
2017-04-04,1954
2017-04-12,1967
2017-04-13,1998
2017-04-14,1998
2017-04-15,2010
2017-04-16,2010
2017-04-17,1973
2017-04-18,1973
2017-04-19,1989
2017-04-20,1989
2017-04-21,1995
2017-04-22,1995
2017-04-23,1981
2017-04-24,1981
2017-04-25,1963
2017-04-26,1963
2017-04-27,1963
2017-04-28,1976
2017-04-29,1976
2017-04-30,1997
2017-05-01,1997
2017-05-02,2000
2017-05-03,2000
2017-05-04,2038
2017-05-05,2038
2017-05-06,2060
2017-05-07,2060
2017-05-08,2032
2017-05-09,1974
2017-05-10,1974
2017-05-11,1952
2017-05-12,1952
2017-05-13,1963
2017-05-14,1963
2017-05-15,1963
2017-05-16,1950
2017-05-17,1950
2017-05-18,1972
2017-05-19,1972
2017-05-20,1981
2017-05-21,1981
2017-05-22,2012
2017-05-23,2012
2017-05-24,2056
2017-05-25,2056
2017-05-26,2075
2017-05-27,2075
2017-05-28,2097
2017-05-29,2097
2017-05-30,2064
2017-05-31,2064
2017-06-01,1984
2017-06-02,1984
2017-06-03,2068
2017-06-04,2068
2017-06-05,2025
2017-06-06,2017
2017-06-07,2017
2017-06-08,2008
2017-06-09,2008
2017-06-10,2000
2017-06-11,2000
2017-06-12,1975
2017-06-13,1975
2017-06-14,2006
2017-06-15,2006
2017-06-16,1998
2017-06-17,1998
2017-06-18,2036
2017-06-19,2036
2017-06-20,2120
2017-06-21,2120
2017-06-22,2120
2017-06-23,2143
2017-06-24,2143
2017-06-25,2132
2017-06-26,2132
2017-06-27,2088
2017-06-28,2088
2017-06-29,2058
2017-06-30,2058
2017-07-01,2058
2017-07-02,2036
2017-07-03,2036
2017-07-04,2003
2017-07-05,2003
2017-07-06,1992
2017-07-07,1992
2017-07-08,1992
2017-07-13,2043
2017-07-14,2084
2017-07-15,2084
2017-07-16,2084
2017-07-17,2149
2017-07-18,2149
2017-07-19,2066
2017-07-20,2066
2017-07-21,2058
2017-07-22,2058
2017-07-23,2021
2017-07-24,2021
2017-07-25,2021
2017-07-26,2059
2017-07-27,2059
2017-07-28,2084
2017-07-29,2084
2017-07-30,2092
2017-07-31,2092
2017-08-01,2092
2017-08-02,2062
2017-08-03,2062
2017-08-04,2128
2017-08-05,2060
2017-08-06,2060
2017-08-09,2035
2017-08-10,2035
2017-08-11,2050
2017-08-12,2050
2017-08-13,2096
2017-08-14,2096
2017-08-15,2075
2017-08-16,2075
2017-08-17,2123
2017-08-18,2123
2017-08-19,2123
2017-08-20,2071
2017-08-21,2071
2017-08-22,2090
2017-08-23,2090
2017-08-24,2043
2017-08-25,2043
2017-08-26,1988
2017-08-27,1988
2017-08-28,1991
2017-08-29,1991
2017-08-30,1990
2017-08-31,1990
2017-09-01,1990
2017-09-03,2006
2017-09-04,2006
2017-09-05,2032
2017-09-06,2032
2017-09-07,2116
2017-09-08,2116
2017-09-09,2103
2017-09-10,2103
2017-09-11,2061
2017-09-12,2061
2017-09-13,1989
2017-09-14,1989
2017-09-15,2009
2017-09-16,2009
2017-09-17,1989
2017-09-18,1989
2017-09-19,1989
2017-09-20,2031
2017-09-21,2031
2017-09-22,1961
2017-09-23,1961
2017-09-24,1911
2017-09-25,1911
2017-09-26,1976
2017-09-27,1976
2017-09-28,1976
2017-09-29,2043
2017-09-30,2043
2017-10-01,2019
2017-10-02,2019
2017-10-03,1994
2017-10-04,1994
2017-10-05,1994
2017-10-06,2034
2017-10-07,2034
2017-10-08,2019
2017-10-09,2019
2017-10-10,2033
2017-10-11,2033
2017-10-12,2033
2017-10-13,2024
2017-10-14,2024
2017-10-15,2024
2017-10-16,2021
2017-10-17,2021
2017-10-18,1952
2017-10-19,1952
2017-10-20,1952
2017-10-21,1980
2017-10-22,1980
2017-10-23,1990
2017-10-24,1990
2017-10-25,1991
2017-10-26,1991
2017-10-27,1995
2017-10-28,1995
2017-10-29,2002
2017-10-30,2002
2017-10-31,2012
2017-11-01,2012
2017-11-02,2012
2017-11-03,2033
2017-11-04,2039
2017-11-05,2039
2017-11-06,1982
2017-11-07,1982
2017-11-08,1982
2017-11-09,2014
2017-11-10,2014
2017-11-11,2014
2017-11-12,2016
2017-11-13,2016
2017-11-14,1980
2017-11-15,1980
2017-11-16,1977
2017-11-17,1977
2017-11-18,1977
2017-11-19,2037
2017-11-20,2037
2017-11-21,2021
2017-11-22,2021
2017-11-23,2038
2017-11-24,2038
2017-11-25,1989
2017-11-26,1989
2017-11-27,1989
2017-11-28,1942
2017-11-29,1942
2017-11-30,1942
2017-12-01,1996
2017-12-02,1996
2017-12-03,2028
2017-12-04,2028
2017-12-05,2047
2017-12-06,2047
2017-12-07,2031
2017-12-08,2031
2017-12-09,2031
2017-12-10,2035
2017-12-11,2035
2017-12-12,2063
2017-12-13,2063
2017-12-14,2062
2017-12-15,2062
2017-12-16,2050
2017-12-17,2050
2017-12-18,2014
2017-12-19,2014
2017-12-20,1958
2017-12-21,1958
2017-12-22,1957
2017-12-23,1957
2017-12-24,1952
2017-12-25,1952
2017-12-26,1950
2017-12-27,1950
2017-12-28,1930
2017-12-29,1930
2017-12-30,1978
2017-12-31,1978
2018-01-01,2037
2018-01-02,2037
2018-01-03,2023
2018-01-04,2023
2018-01-05,1985
2018-01-06,1985
2018-01-07,2017
2018-01-08,2017
2018-01-09,2041
2018-01-10,2041
2018-01-11,2017
2018-01-12,2017
2018-01-13,1950
2018-01-14,1950
2018-01-15,1938
2018-01-16,1938
2018-01-17,1949
2018-01-18,1949
2018-01-19,1993
2018-01-20,1993
2018-01-21,1987
2018-01-22,1987
2018-01-23,1996
2018-01-25,2045
2018-01-26,2045
2018-01-27,2036
2018-01-28,2007
2018-01-29,2007
2018-01-30,2000
2018-01-31,2000
2018-02-01,2023
2018-02-02,2023
2018-02-03,2004
2018-02-04,2004
2018-02-05,1993
2018-02-06,2002
2018-02-07,2025
2018-02-08,2025
2018-02-09,2005
2018-02-10,2005
2018-02-11,1982
2018-02-12,1982
2018-02-13,1954
2018-02-14,1954
2018-02-15,2011
2018-02-16,2011
2018-02-17,1938
2018-02-18,1938
2018-02-19,1966
2018-02-20,1966
2018-02-21,1994
2018-02-22,1994
2018-02-23,2062
2018-02-24,2062
2018-02-25,2120
2018-02-26,2120
2018-02-27,2131
2018-02-28,2131
2018-03-01,2097
2018-03-02,1999
2018-03-03,2035
2018-03-04,2035
2018-03-05,2022
2018-03-06,2022
2018-03-07,2037
2018-03-08,2037
2018-03-09,2038
2018-03-10,2038
2018-03-11,2019
2018-03-12,2019
2018-03-13,2007
2018-03-14,2007
2018-03-15,2001
2018-03-16,2001
2018-03-17,1999
2018-03-18,1999
2018-03-19,2016
2018-03-20,2026
2018-03-21,2026
2018-03-23,2009
2018-03-24,1994
2018-03-25,1994
2018-03-26,2009
2018-03-27,2079
2018-03-28,2079
2018-03-29,2062
2018-03-30,2062
2018-03-31,2000
2018-04-01,2000
2018-04-02,1996
2018-04-03,1996
2018-04-04,1988
2018-04-05,1988
2018-04-06,1983
2018-04-07,1983
2018-04-08,1948
2018-04-09,1948
2018-04-10,1957
2018-04-11,1957
2018-04-12,1995
2018-04-13,1995
2018-04-14,1941
2018-04-15,1953
2018-04-16,1953
2018-04-17,1960
2018-04-18,1960
2018-04-19,1998
2018-04-20,1998
2018-04-21,2011
2018-04-22,2011
2018-04-23,2005
2018-04-24,2005
2018-04-25,1994
2018-04-26,1994
2018-04-27,1993
2018-04-28,1993
2018-04-29,1996
2018-04-30,1996
2018-05-01,1995
2018-05-03,1950
2018-05-04,1950
2018-05-05,1956
2018-05-07,2005
2018-05-08,2005
2018-05-09,1975
2018-05-10,1975
2018-05-11,1978
2018-05-12,1968
2018-05-13,1968
2018-05-14,1966
2018-05-15,1966
2018-05-16,1965
2018-05-17,1965
2018-05-18,1961
2018-05-19,1958
2018-05-20,1958
2018-05-21,1992
2018-05-22,1992
2018-05-23,1947
2018-05-24,1947
2018-05-25,1990
2018-05-26,2019
2018-05-27,2019
2018-05-28,2008
2018-05-29,2002
2018-05-30,2002
2018-05-31,1992
2018-06-01,1992
2018-06-02,1977
2018-06-03,1977
2018-06-04,1984
2018-06-05,2005
2018-06-06,2004
2018-06-07,2004
2018-06-08,1990
2018-06-09,1990
2018-06-10,1981
2018-06-11,1981
2018-06-12,1998
2018-06-13,2001
2018-06-14,2001
2018-06-15,1970
2018-06-16,1970
2018-06-17,1986
2018-06-18,1986
2018-06-19,1959
2018-06-20,1959
2018-06-21,1968
2018-06-22,1949
2018-06-23,1949
2018-06-24,1997
2018-06-25,1997
2018-06-26,1998
2018-06-27,1998
2018-06-28,1982
2018-06-29,1984
2018-06-30,1984
2018-07-01,1969
2018-07-02,1969
2018-07-03,1986
2018-07-04,1986
2018-07-05,2016
2018-07-06,1998
2018-07-07,1998
2018-07-08,1948
2018-07-09,1964
2018-07-10,1964
2018-07-11,2024
2018-07-12,2024
2018-07-13,1987
2018-07-14,1939
2018-07-15,1939
2018-07-16,1949
2018-07-17,2012
2018-07-18,2012
2018-07-19,1966
2018-07-20,1966
2018-07-21,1986
2018-07-22,1994
2018-07-23,1977
2018-07-24,1977
2018-07-25,2008
2018-07-26,1995
2018-07-27,1987
2018-07-28,1987
2018-07-29,2008
2018-07-30,2008
2018-07-31,2001
2018-08-01,2001
2018-08-02,1972
2018-08-03,1972
2018-08-04,1986
2018-08-05,2010
2018-08-06,2010
2018-08-07,1942
2018-08-08,1953
2018-08-09,1953
2018-08-10,1997
2018-08-11,1972
2018-08-12,1964
2018-08-14,1948
2018-08-16,1964
2018-08-17,1943
2018-08-18,1943
2018-08-19,1980
2018-08-20,1964
2018-08-21,1964
2018-08-22,1964
2018-08-23,1964
2018-08-24,2021
2018-08-25,1978
2018-08-26,1978
2018-08-27,1968
2018-08-28,1951
2018-08-29,1951
2018-08-30,1938
2018-08-31,1993
2018-09-01,1966
2018-09-02,1966
2018-09-03,1934
2018-09-04,1929
2018-09-05,1981
2018-09-06,1981
2018-09-07,2014
2018-09-08,1975
2018-09-09,1975
2018-09-10,1966
2018-09-11,1966
2018-09-12,1964
2018-09-13,1964
2018-09-14,1951
2018-09-15,1978
2018-09-16,1978
2018-09-17,1972
2018-09-18,1990
2018-09-19,1990
2018-09-20,1981
2018-09-21,1981
2018-09-22,2017
2018-09-23,1990
2018-09-24,1970
2018-09-25,1970
2018-09-26,1991
2018-09-27,1991
2018-09-28,1982
2018-09-29,1982
2018-09-30,2005
2018-10-01,1955
2018-10-02,1955
2018-10-03,2023
2018-10-04,2023
2018-10-05,2005
2018-10-06,1988
2018-10-07,1988
2018-10-08,1989
2018-10-09,1971
2018-10-10,2019
2018-10-11,1987
2018-10-12,1987
2018-10-13,1974
2018-10-14,1974
2018-10-15,1997
2018-10-16,1997
2018-10-17,1986
2018-10-18,1982
2018-10-19,1974
2018-10-20,1974
2018-10-21,1980
2018-10-22,1952
2018-10-23,1952
2018-10-24,1969
2018-10-25,1994
2018-10-26,1994
2018-10-27,2012
2018-10-28,2024
2018-10-29,2024
2018-10-30,1987
2018-10-31,1997
2018-11-01,2022
2018-11-03,2027
2018-11-04,2026
2018-11-05,2061
2018-11-06,2143
2018-11-07,2118
2018-11-08,2069
2018-11-09,1977
2018-11-10,1980
2018-11-11,1948
2018-11-12,2015
2018-11-13,2024
2018-11-14,2017
2018-11-15,2002
2018-11-16,1995
2018-11-17,1998
2018-11-18,2071
2018-11-19,2058
2018-11-20,2108
2018-11-21,2021
2018-11-22,2060
2018-11-23,2088
2018-11-24,2016
2018-11-25,2024
2018-11-26,1977
2018-11-27,1991
2018-11-28,2004
2018-11-29,1994
2018-12-01,2003
2018-12-02,2034
2018-12-03,2034
2018-12-04,2059
2018-12-05,2073
2018-12-07,1996
2018-12-09,1968
2018-12-10,1975
2018-12-11,2020
2018-12-12,2017
2018-12-13,2017
2018-12-14,1972
2018-12-15,1965
2018-12-16,1963
2018-12-17,1942
2018-12-18,1938
2018-12-19,1906
2018-12-20,1944
2018-12-21,1978
2018-12-22,1985
2018-12-23,2009
2018-12-24,2050
2018-12-25,2073
2018-12-26,2020
2018-12-27,1976
2018-12-28,1966
2018-12-29,1958
2018-12-30,1969
2018-12-31,2024
2019-01-01,1995
2019-01-02,2023
2019-01-03,1994
2019-01-04,2000
2019-01-05,1997
2019-01-06,2001
2019-01-08,1931
2019-01-10,1974
2019-01-11,2001
2019-01-12,1984
2019-01-13,1953
2019-01-14,1942
2019-01-15,1919
2019-01-16,1927
2019-01-17,1954
2019-01-18,1977
2019-01-19,1930
2019-01-20,1918
2019-01-21,1926
2019-01-22,1941
2019-01-23,2002
2019-01-24,1988
2019-01-25,1950
2019-01-26,1937
2019-01-27,1953
2019-01-28,1965
2019-01-29,1934
2019-01-30,1925
2019-01-31,1907
2019-02-01,1934
2019-02-02,1974
2019-02-03,1958
2019-02-04,1958
2019-02-05,1985
2019-02-06,1985
2019-02-07,1969
2019-02-08,1960
2019-02-09,1963
2019-02-10,1970
2019-02-11,1970
2019-02-12,1958
2019-02-13,1970
2019-02-14,1970
2019-02-15,1978
2019-02-16,1974
2019-02-17,2013
2019-02-18,2040
2019-02-19,2119
2019-02-20,2090
2019-02-21,2081
2019-02-22,2024
2019-02-23,2014
2019-02-24,2028
2019-02-25,1998
2019-02-26,2023
2019-02-27,2037
2019-02-28,2033
2019-03-01,2038
2019-03-02,1987
2019-03-03,2022
2019-03-04,2017
2019-03-05,2019
2019-03-06,2000
2019-03-07,1998
2019-03-08,1998
2019-03-09,2003
2019-03-10,2001
2019-03-11,2007
2019-03-12,1993
2019-03-13,1993
2019-03-14,1993
2019-03-15,2004
2019-03-16,2001
2019-03-17,1997
2019-03-18,1997
2019-03-19,2017
2019-03-20,2028
2019-03-21,1994
2019-03-22,2006
2019-03-23,2007
2019-03-24,2028
2019-03-25,2021
2019-03-26,2028
2019-03-27,2028
2019-03-28,2007
