date_obj,Spice price
2018-04-11,148
2018-04-12,147
2018-04-13,143
2018-04-14,138
2018-04-16,127
2018-04-17,122
2018-04-18,116
2018-04-19,117
2018-04-20,119
2018-04-21,118
2018-04-22,114
2018-04-23,113
2018-04-24,112
2018-04-25,112
2018-04-26,108
2018-04-27,107
2018-04-28,109
2018-04-29,107
2018-04-30,107
2018-05-01,111
2018-05-02,117
2018-05-03,113
2018-05-04,108
2018-05-05,111
2018-05-06,109
2018-05-07,107
2018-05-08,112
2018-05-09,110
2018-05-10,109
2018-05-11,109
2018-05-12,108
2018-05-13,107
2018-05-14,107
2018-05-15,109
2018-05-16,107
2018-05-17,108
2018-05-18,109
2018-05-19,110
2018-05-20,110
2018-05-21,109
2018-05-22,112
2018-05-23,108
2018-05-24,110
2018-05-25,106
2018-05-26,110
2018-05-27,108
2018-05-28,111
2018-05-29,116
2018-05-30,118
2018-05-31,115
2018-06-01,118
2018-06-02,121
2018-06-03,124
2018-06-04,129
2018-06-05,132
2018-06-06,130
2018-06-07,124
2018-06-08,130
2018-06-09,131
2018-06-10,131
2018-06-11,135
2018-06-12,130
2018-06-13,127
2018-06-14,123
2018-06-15,118
2018-06-16,112
2018-06-17,107
2018-06-18,109
2018-06-19,114
2018-06-20,114
2018-06-21,112
2018-06-22,109
2018-06-23,107
2018-06-24,102
2018-06-25,105
2018-06-26,109
2018-06-27,104
2018-06-28,99
2018-06-29,96
2018-06-30,96
2018-07-01,94
2018-07-02,96
2018-07-03,93
2018-07-04,94
2018-07-05,90
2018-07-06,86
2018-07-07,87
2018-07-08,85
2018-07-09,86
2018-07-10,89
2018-07-11,92
2018-07-12,92
2018-07-13,92
2018-07-14,89
2018-07-15,94
2018-07-16,94
2018-07-17,91
2018-07-18,91
2018-07-19,93
2018-07-20,91
2018-07-21,89
2018-07-22,93
2018-07-23,91
2018-07-24,95
2018-07-25,93
2018-07-26,92
2018-07-27,94
2018-07-28,95
2018-07-29,98
2018-07-30,102
2018-07-31,108
2018-08-01,114
2018-08-02,120
2018-08-03,118
2018-08-04,121
2018-08-05,128
2018-08-06,134
2018-08-07,134
2018-08-08,139
2018-08-09,137
2018-08-10,131
2018-08-11,131
2018-08-12,136
2018-08-14,129
2018-08-16,131
2018-08-17,131
2018-08-18,124
2018-08-19,117
2018-08-20,111
2018-08-21,105
2018-08-22,99
2018-08-23,94
2018-08-24,89
2018-08-25,88
2018-08-26,84
2018-08-27,79
2018-08-28,75
2018-08-29,71
2018-08-30,67
2018-08-31,63
2018-09-01,60
2018-09-02,61
2018-09-03,57
2018-09-04,54
2018-09-05,57
2018-09-06,60
2018-09-07,63
2018-09-08,66
2018-09-09,66
2018-09-10,70
2018-09-11,74
2018-09-12,78
2018-09-13,82
2018-09-14,87
2018-09-15,92
2018-09-16,97
2018-09-17,102
2018-09-18,108
2018-09-19,114
2018-09-20,117
2018-09-21,118
2018-09-22,121
2018-09-23,116
2018-09-24,115
2018-09-25,109
2018-09-26,103
2018-09-27,98
2018-09-28,95
2018-09-29,98
2018-09-30,102
2018-10-02,114
2018-10-03,120
2018-10-04,126
2018-10-05,133
2018-10-06,140
2018-10-07,147
2018-10-08,155
2018-10-09,163
2018-10-10,172
2018-10-11,181
2018-10-12,175
2018-10-13,166
2018-10-14,157
2018-10-15,149
2018-10-16,141
2018-10-17,142
2018-10-18,142
2018-10-19,137
2018-10-20,139
2018-10-21,132
2018-10-22,133
2018-10-23,126
2018-10-24,131
2018-10-25,138
2018-10-26,141
2018-10-27,141
2018-10-28,145
2018-10-29,151
2018-10-30,159
2018-10-31,167
2018-11-01,169
2018-11-03,152
2018-11-04,144
2018-11-05,138
2018-11-06,131
2018-11-07,124
2018-11-08,117
2018-11-09,111
2018-11-10,107
2018-11-11,103
2018-11-12,102
2018-11-13,96
2018-11-14,91
2018-11-15,88
2018-11-16,88
2018-11-17,85
2018-11-18,84
2018-11-19,87
2018-11-20,90
2018-11-21,92
2018-11-22,93
2018-11-23,98
2018-11-24,99
2018-11-25,104
2018-11-26,110
2018-11-27,112
2018-11-28,115
2018-11-29,121
2018-12-01,135
2018-12-02,142
2018-12-03,150
2018-12-04,158
2018-12-05,160
2018-12-07,177
