date_obj,Staff%20of%20light price
2018-11-08,6648567
2018-11-09,6639170
2018-11-10,6647073
2018-11-11,6641102
2018-11-12,6638817
2018-11-13,6567514
2018-11-14,6476308
2018-11-15,6328401
2018-11-16,6304716
2018-11-17,6234194
2018-11-18,6220022
2018-11-19,6140683
2018-11-20,6064573
2018-11-21,5780621
2018-11-22,5628355
2018-11-23,5615253
2018-11-24,5464847
2018-11-25,5248573
2018-11-26,5262564
2018-11-27,5226359
2018-11-28,5220603
2018-11-29,5264888
2018-12-01,5528596
2018-12-02,5703749
2018-12-03,5777453
2018-12-04,5884195
2018-12-05,5958331
2018-12-07,6146844
2018-12-09,6070319
2018-12-10,5992859
2018-12-11,5939107
2018-12-12,5903728
2018-12-13,5946380
2018-12-14,5958340
2018-12-15,6069722
2018-12-16,6133563
2018-12-17,6163398
2018-12-18,6108182
2018-12-19,5965095
2018-12-20,6024833
2018-12-21,6046046
2018-12-22,6177735
2018-12-23,6146423
2018-12-24,6078976
2018-12-25,6006484
2018-12-26,5942145
2018-12-27,5864393
2018-12-28,5830219
2018-12-29,5821243
2018-12-30,5830058
2018-12-31,5832244
2019-01-01,5812165
2019-01-02,5764807
2019-01-03,5682769
2019-01-04,5585770
2019-01-05,5513194
2019-01-06,5435753
2019-01-08,5388104
2019-01-10,5202743
2019-01-11,4959716
2019-01-12,4729868
2019-01-13,4591898
2019-01-14,4529299
2019-01-15,4625963
2019-01-16,4725011
2019-01-17,4759258
2019-01-18,4738869
2019-01-19,4623689
2019-01-20,4569630
2019-01-21,4551825
2019-01-22,4590819
2019-01-23,4733048
2019-01-24,4775231
2019-01-25,4916419
2019-01-26,4917158
2019-01-27,4863680
2019-01-28,4815021
2019-01-29,4736870
2019-01-30,4640037
2019-01-31,4559427
2019-02-01,4533947
2019-02-02,4457729
2019-02-03,4446195
2019-02-04,4420295
2019-02-05,4438769
2019-02-06,4400548
2019-02-07,4442283
2019-02-08,4556797
2019-02-09,4730306
2019-02-10,4715170
2019-02-11,4652245
2019-02-12,4599683
2019-02-13,4615388
2019-02-14,4535961
2019-02-15,4523843
2019-02-16,4515932
2019-02-17,4498284
2019-02-18,4545513
2019-02-19,4712800
2019-02-20,4901979
2019-02-21,4951670
2019-02-22,4958582
2019-02-23,4977509
2019-02-24,5137672
2019-02-25,5130209
2019-02-26,5131927
2019-02-27,5095578
2019-02-28,5043516
2019-03-01,5028632
2019-03-02,5116866
2019-03-03,5066138
2019-03-04,5055460
2019-03-05,5042391
2019-03-06,5028982
2019-03-07,5017017
2019-03-08,4976678
2019-03-09,5033318
2019-03-10,4982547
2019-03-11,4971796
2019-03-12,4957725
2019-03-13,4963468
2019-03-14,5008736
2019-03-15,5052874
2019-03-16,5178209
2019-03-17,5429003
2019-03-18,5414690
2019-03-19,5633276
2019-03-20,5647975
2019-03-21,5721701
2019-03-22,5867343
2019-03-23,6096472
2019-03-24,6171434
2019-03-25,6246053
2019-03-26,6253862
2019-03-27,6292401
2019-03-28,6321682
2019-03-29,6321956
2019-03-30,6307293
2019-03-31,6233669
2019-04-01,6159939
2019-04-02,6103950
2019-04-03,5986541
2019-04-04,5946102
2019-04-05,5933388
2019-04-06,5894890
2019-04-07,6002075
2019-04-08,6300655
2019-04-09,6566272
2019-04-10,6536778
2019-04-11,6590716
2019-04-12,6575253
2019-04-13,6533898
2019-04-14,6665632
2019-04-15,6806333
2019-04-16,6614931
2019-04-17,6367077
2019-04-18,6417760
2019-04-19,6446055
2019-04-20,6511765
2019-04-21,6579843
2019-04-22,6700667
2019-04-23,6940814
2019-04-24,7187059
2019-04-25,7111899
2019-04-26,7024725
2019-04-27,7142490
2019-04-28,7197369
2019-04-29,7123202
2019-04-30,7128257
2019-05-01,7440387
2019-05-02,7779619
2019-05-03,7678341
2019-05-04,7676741
2019-05-05,7822853
2019-05-06,7886302
2019-05-07,7908447
2019-05-08,8023605
2019-05-09,8016040
2019-05-10,8163804
2019-05-11,8182894
2019-05-12,8230319
2019-05-13,8159276
2019-05-14,8133931
2019-05-15,8187482
2019-05-16,8529677
2019-05-17,8410071
2019-05-18,8261708
2019-05-19,8185314
2019-05-20,8110872
2019-05-21,8058339
2019-05-22,8039139
2019-05-23,8145717
2019-05-24,8170809
2019-05-25,8223063
2019-05-26,8225714
2019-05-27,8115642
2019-05-28,7983290
2019-05-29,7796276
2019-05-30,7807376
2019-05-31,7871882
2019-06-01,7871611
2019-06-02,7746635
2019-06-03,7695699
2019-06-04,7600467
2019-06-05,7479571
2019-06-06,7197035
2019-06-07,7083480
2019-06-08,6978155
2019-06-09,6892969
2019-06-10,6723538
2019-06-11,6605340
2019-06-12,6477478
2019-06-13,6264357
2019-06-14,6044065
2019-06-15,5873554
2019-06-16,5750834
2019-06-17,5982354
2019-06-18,6181645
2019-06-19,6084955
2019-06-20,5937080
2019-06-21,5923237
2019-06-22,5839998
2019-06-23,5807630
2019-06-24,5832470
2019-06-25,5991749
2019-06-26,6154138
2019-06-27,6312295
2019-06-28,6513337
2019-06-29,6764610
2019-06-30,6970468
2019-07-01,7249365
2019-07-02,7485821
2019-07-03,7460615
2019-07-04,7203886
2019-07-05,7112169
2019-07-06,6940048
2019-07-07,6760800
2019-07-08,6794789
2019-07-09,6890812
2019-07-10,7099624
2019-07-11,6906459
2019-07-12,6912582
2019-07-13,6886792
2019-07-14,6931841
2019-07-15,6984447
2019-07-16,7089043
2019-07-17,7025456
2019-07-18,6989238
2019-07-19,6950346
2019-07-20,6807892
2019-07-21,6858662
2019-07-22,6910333
2019-07-23,7085868
2019-07-24,7053819
2019-07-25,6880136
2019-07-26,6886332
2019-07-27,6984706
2019-07-28,6968472
2019-07-29,7050690
2019-07-30,6981023
2019-07-31,6957021
2019-08-01,7042354
2019-08-02,7135776
2019-08-03,7190147
2019-08-04,7114083
2019-08-05,7090761
2019-08-06,7066360
2019-08-07,7098416
2019-08-08,7124592
2019-08-09,7146303
2019-08-10,7390420
2019-08-11,7504950
2019-08-12,7671290
2019-08-13,7681710
2019-08-14,7758075
2019-08-15,7621419
2019-08-16,7533856
2019-08-17,7554364
2019-08-18,7463854
2019-08-19,7376467
2019-08-20,7269474
2019-08-21,7238493
2019-08-22,7197842
2019-08-23,7182288
2019-08-24,7329385
2019-08-24,7329385
2019-08-25,7267545
2019-08-25,7267545
2019-08-26,7175899
2019-08-26,7175899
2019-08-27,7220583
2019-08-27,7220583
2019-08-28,7195299
2019-08-29,7150976
2019-08-30,7162524
2019-08-31,7148159
2019-09-01,7197862
2019-09-02,7222742
2019-09-03,7254793
2019-09-04,7561940
2019-09-05,7925029
2019-09-06,8042948
2019-09-07,7967381
2019-09-08,7679652
2019-09-09,7621553
2019-09-10,7522886
2019-09-11,7471617
2019-09-12,7569381
2019-09-13,7664972
2019-09-14,7906160
2019-09-15,7939160
2019-09-16,7967241
2019-09-17,8092892
2019-09-18,8026078
2019-09-19,8050584
2019-09-20,8173657
2019-09-21,8259608
2019-09-22,8184223
2019-09-23,8148240
2019-09-24,8072181
2019-09-25,8030139
2019-09-26,7918307
2019-09-27,7916850
2019-09-28,7866985
2019-09-29,7883325
2019-09-30,7818029
2019-10-01,7693390
2019-10-02,7580511
2019-10-03,7493789
2019-10-04,7454820
2019-10-05,7336174
2019-10-06,7148996
2019-10-07,7222925
2019-10-08,7234870
2019-10-09,7228978
2019-10-10,7194312
2019-10-11,7189344
2019-10-12,7135697
2019-10-13,7145031
2019-10-14,7095232
2019-10-15,7062478
2019-10-16,6997990
2019-10-17,6810529
2019-10-18,6797830
2019-10-19,6795221
2019-10-20,6783706
2019-10-21,6800659
2019-10-22,6903102
2019-10-23,7002617
2019-10-24,7011012
2019-10-25,6992144
2019-10-26,7056542
2019-10-27,7008137
2019-10-28,6876635
2019-10-29,6852617
2019-10-30,6834626
2019-10-31,6795331
2019-11-01,6820043
2019-11-02,6917375
2019-11-03,6887188
2019-11-04,6883668
2019-11-05,6893353
2019-11-06,6962362
2019-11-07,6993090
2019-11-08,6948523
2019-11-09,6912896
2019-11-10,6852082
2019-11-11,6950213
2019-11-12,6955284
2019-11-13,7108762
2019-11-14,7043352
2019-11-15,7008622
2019-11-16,7258606
2019-11-17,7305087
2019-11-18,7322038
2019-11-19,7290988
2019-11-20,7168432
2019-11-21,7090156
2019-11-22,6973441
2019-11-23,6942974
2019-11-24,6880528
2019-11-25,6775246
2019-11-26,6904651
2019-11-27,6893464
2019-11-28,6874522
2019-11-29,6801719
2019-11-30,6746266
2019-12-01,6686439
2019-12-02,6663621
2019-12-03,6642541
2019-12-04,6573729
2019-12-05,6524413
2019-12-06,6529397
2019-12-07,6484279
2019-12-08,6402255
2019-12-09,6287399
2019-12-10,6271196
2019-12-11,6249147
2019-12-12,6222865
2019-12-13,6210816
2019-12-14,6259286
2019-12-15,6110188
2019-12-16,6128762
2019-12-17,6113287
2019-12-18,6080541
2019-12-19,6073165
2019-12-20,6117543
2019-12-21,6331754
2019-12-22,6249273
2019-12-23,6245986
2019-12-24,6163609
2019-12-25,6105160
2019-12-26,6141882
2019-12-27,6124628
2019-12-28,6133079
2019-12-29,6158182
2019-12-30,6268419
2019-12-31,6186791
2020-01-01,6137790
2020-01-02,6038228
2020-01-03,5976577
2020-01-04,5970815
2020-01-05,6025736
2020-01-06,6066685
2020-01-07,6071077
2020-01-08,6124264
2020-01-09,6127062
2020-01-10,6279426
2020-01-11,6298873
2020-01-12,6242235
2020-01-13,6200333
2020-01-14,6167817
2020-01-15,6159913
2020-01-16,6109726
2020-01-17,6094112
2020-01-18,6050622
2020-01-19,5993158
2020-01-20,5951010
2020-01-21,5931634
2020-01-22,5934606
2020-01-23,5811255
2020-01-24,5758741
2020-01-25,5748305
2020-01-26,5679355
2020-01-27,5632978
2020-01-28,5563310
2020-01-29,5520297
2020-01-30,5596698
2020-01-31,5674522
2020-02-01,5734610
2020-02-02,5733099
2020-02-03,5646531
2020-02-04,5608531
2020-02-05,5540794
2020-02-06,5289280
2020-02-07,5024816
2020-02-08,4871380
2020-02-09,4680630
2020-02-10,4730298
2020-02-11,4863862
2020-02-12,4964852
2020-02-13,4890736
2020-02-14,4789144
2020-02-15,4907400
2020-02-16,4854452
2020-02-17,4810895
2020-02-18,4736105
2020-02-19,4687859
2020-02-20,4789520
2020-02-21,4809169
2020-02-22,4830615
2020-02-23,4849068
2020-02-24,4869731
2020-02-25,4866272
2020-02-26,4910080
2020-02-27,4904583
2020-02-28,4895188
2020-02-29,4947742
2020-03-01,5074297
2020-03-02,5083171
2020-03-03,5127523
2020-03-04,5099761
2020-03-05,5065308
2020-03-06,5030633
2020-03-07,5091750
2020-03-08,5167565
2020-03-09,5177430
2020-03-10,5133813
2020-03-11,5128521
2020-03-12,5091539
2020-03-13,5118702
2020-03-14,5187036
2020-03-15,5182764
2020-03-16,5278624
2020-03-17,5323935
2020-03-18,5411350
2020-03-19,5522937
2020-03-20,5362146
2020-03-21,5183717
2020-03-22,5086487
2020-03-23,5085593
2020-03-24,5054212
2020-03-25,5034365
2020-03-26,5014538
2020-03-27,5023337
2020-03-28,4978924
2020-03-29,4957682
2020-03-30,5056791
2020-03-31,5048200
2020-04-01,4999852
2020-04-02,4964795
2020-04-03,4974860
2020-04-04,4866958
2020-04-05,4719095
2020-04-06,4655629
2020-04-07,4621386
2020-04-08,4562573
2020-04-09,4549017
2020-04-10,4613235
2020-04-11,4612552
2020-04-12,4642866
2020-04-13,4648945
2020-04-14,4659969
2020-04-15,4731442
2020-04-16,4824572
2020-04-17,4954546
2020-04-18,4981404
2020-04-19,5051262
2020-04-20,5107761
2020-04-21,5185810
2020-04-22,5135601
2020-04-23,5046452
2020-04-24,5039750
2020-04-25,4923760
2020-04-26,4861233
2020-04-27,4830299
2020-04-28,4770211
2020-04-29,4718113
2020-04-30,4636287
2020-05-01,4644035
2020-05-02,4573309
2020-05-03,4575331
2020-05-04,4576251
2020-05-05,4612423
2020-05-06,4649081
2020-05-07,4662661
2020-05-08,4638756
2020-05-09,4591499
2020-05-10,4568892
2020-05-11,4559009
2020-05-12,4582114
2020-05-13,4598922
