date_obj,Blamish%20red%20shell%20(pointed) price
2017-11-07,4772
2017-11-08,4772
2017-11-09,4772
2017-11-10,4772
2017-11-11,4772
2017-11-12,4772
2017-11-13,4772
2017-11-14,4772
2017-11-15,4772
2017-11-16,4772
2017-11-17,4772
2017-11-18,4772
2017-11-19,4772
2017-11-20,4772
2017-11-21,4772
2017-11-22,4772
2017-11-23,4772
2017-11-24,4772
2017-11-25,4772
2017-11-26,4772
2017-11-27,4772
2017-11-28,4772
2017-11-29,4772
2017-11-30,4772
2017-12-01,4772
2017-12-02,4772
2017-12-03,4772
2017-12-04,4772
2017-12-05,4772
2017-12-06,4772
2017-12-07,4543
2017-12-08,4543
2017-12-09,4543
2017-12-10,4543
2017-12-11,4543
2017-12-12,4543
2017-12-13,4543
2017-12-14,4543
2017-12-15,4543
2017-12-16,4543
2017-12-17,4543
2017-12-18,4543
2017-12-19,4543
2017-12-20,4543
2017-12-21,4543
2017-12-22,4543
2017-12-23,4543
2017-12-24,4543
2017-12-25,4543
2017-12-26,4543
2017-12-27,4543
2017-12-28,4543
2017-12-29,4543
2017-12-30,4543
2017-12-31,4543
2018-01-01,4543
2018-01-02,4543
2018-01-03,4543
2018-01-04,4543
2018-01-05,4543
2018-01-06,4543
2018-01-07,4543
2018-01-08,4375
2018-01-09,4375
2018-01-10,4375
2018-01-11,4375
2018-01-12,4375
2018-01-13,4375
2018-01-14,4375
2018-01-15,4375
2018-01-16,4375
2018-01-17,4375
2018-01-18,4375
2018-01-19,4375
2018-01-20,4375
2018-01-21,4375
2018-01-22,4375
2018-01-23,4375
2018-01-24,4166
2018-01-25,4166
2018-01-26,4166
2018-01-27,4166
2018-01-28,4166
2018-01-29,4166
2018-01-30,4166
2018-01-31,4166
2018-02-01,4166
2018-02-02,4166
2018-02-03,4166
2018-02-04,4166
2018-02-05,4166
2018-02-06,4166
2018-02-07,3974
2018-02-08,3974
2018-02-09,3974
2018-02-10,3974
2018-02-11,3974
2018-02-12,3974
2018-02-13,3974
2018-02-14,3974
2018-02-15,3974
2018-02-16,3974
