date_obj,Crushed%20nest price
2016-07-27,2995
2016-07-28,3012
2016-07-29,3068
2016-07-30,2940
2016-07-31,2946
2016-08-01,2910
2016-08-02,2832
2016-08-03,2715
2016-08-04,2595
2016-08-05,2471
2016-08-06,2468
2016-08-07,2490
2016-08-08,2455
2016-08-09,2478
2016-08-10,2601
2016-08-11,2656
2016-08-12,2703
2016-08-13,2828
2016-08-14,2855
2016-08-15,2795
2016-08-16,2677
2016-08-17,2648
2016-08-18,2720
2016-08-19,2658
2016-08-20,2535
2016-08-21,2610
2016-08-22,2741
2016-08-23,2878
2016-08-24,2993
2016-08-25,3077
2016-08-26,3001
2016-08-28,2895
2016-08-31,3003
2016-09-01,2895
2016-09-02,2926
2016-09-03,2883
2016-09-04,2831
2016-09-05,2802
2016-09-06,2885
2016-09-07,2871
2016-09-08,2925
2016-09-09,2910
2016-09-10,3038
2016-09-11,3190
2016-09-12,3340
2016-09-13,3442
2016-09-14,3399
2016-09-15,3486
2016-09-16,3654
2016-09-17,3829
2016-09-18,3930
2016-09-19,3958
2016-09-20,4156
2016-09-21,4363
2016-09-22,4503
2016-09-23,4278
2016-09-24,4100
2016-09-25,3949
2016-09-26,3903
2016-09-27,3920
2016-09-28,4090
2016-09-29,4180
2016-09-30,4187
2016-10-01,4119
2016-10-02,4134
2016-10-03,4205
2016-10-04,4145
2016-10-05,4034
2016-10-06,3882
2016-10-07,3941
2016-10-08,3858
2016-10-09,3933
2016-10-10,4047
2016-10-11,4249
2016-10-12,4462
2016-10-13,4636
2016-10-14,4617
2016-10-15,4664
2016-10-16,4491
2016-10-17,4311
2016-10-18,4404
2016-10-19,4547
2016-10-20,4760
2016-10-21,4803
2016-10-22,4751
2016-10-23,4599
2016-10-24,4466
2016-10-25,4660
2016-10-26,4751
2016-10-27,4548
2016-10-28,4320
2016-10-29,4126
2016-10-30,4010
2016-10-31,3990
2016-11-01,4030
2016-11-02,4172
2016-11-03,4362
2016-11-04,4561
2016-11-05,4516
2016-11-06,4541
2016-11-07,4489
2016-11-08,4466
2016-11-09,4420
2016-11-10,4254
2016-11-11,4074
2016-11-12,3903
2016-11-13,3755
