date_obj,Bottled%20dragonbreath price
2019-07-26,14211
2019-07-27,14214
2019-07-28,13870
2019-07-29,14328
2019-07-30,14872
2019-07-31,15447
2019-08-01,16058
2019-08-02,16645
2019-08-03,16287
2019-08-04,16146
2019-08-05,16653
2019-08-06,17073
2019-08-07,17046
2019-08-08,17001
2019-08-09,16988
2019-08-10,16898
2019-08-11,17448
2019-08-12,17753
2019-08-13,17128
2019-08-14,16995
2019-08-15,16810
2019-08-16,16280
2019-08-17,16013
2019-08-18,15922
2019-08-19,15263
2019-08-20,14499
2019-08-21,13774
2019-08-22,13085
2019-08-23,12430
2019-08-24,11808
2019-08-24,11808
2019-08-25,11217
2019-08-25,11217
2019-08-26,10656
2019-08-27,10435
2019-08-27,10435
2019-08-28,10428
2019-08-29,10674
2019-08-30,11145
2019-08-31,11564
2019-09-01,12102
2019-09-02,12673
2019-09-03,12886
2019-09-04,13260
2019-09-05,12650
2019-09-06,13003
2019-09-07,13538
2019-09-08,13811
2019-09-09,13297
2019-09-10,12772
2019-09-11,12294
2019-09-12,11915
2019-09-13,11595
2019-09-14,12074
2019-09-15,12511
2019-09-16,11990
2019-09-17,11390
2019-09-18,11066
2019-09-19,11319
2019-09-20,11386
2019-09-21,11770
2019-09-22,12002
2019-09-23,12295
2019-09-24,12130
2019-09-25,12064
2019-09-26,11599
2019-09-27,11859
2019-09-28,12354
2019-09-29,12844
2019-09-30,12445
2019-10-01,11822
2019-10-02,11777
2019-10-03,11657
2019-10-04,11652
2019-10-05,11834
2019-10-06,12287
2019-10-07,11853
2019-10-08,11758
2019-10-09,12034
2019-10-10,12072
2019-10-11,11892
2019-10-12,11701
2019-10-13,11586
2019-10-14,11006
2019-10-15,10456
2019-10-16,10084
2019-10-17,9867
2019-10-18,10008
2019-10-19,10491
2019-10-20,10826
2019-10-21,11361
2019-10-22,11925
2019-10-23,11857
2019-10-24,11266
2019-10-25,10706
2019-10-26,11065
2019-10-27,11567
2019-10-28,11482
2019-10-29,10971
2019-10-30,10942
2019-10-31,10755
2019-11-01,10217
2019-11-02,10617
2019-11-03,11053
2019-11-04,11384
2019-11-05,10983
2019-11-06,10887
2019-11-07,10886
2019-11-08,10869
2019-11-09,11096
2019-11-10,11149
2019-11-11,10887
2019-11-12,10881
2019-11-13,10695
2019-11-14,10301
2019-11-15,10697
2019-11-16,10674
2019-11-17,10883
2019-11-18,10969
2019-11-19,10782
2019-11-20,10889
2019-11-21,11248
2019-11-22,11657
2019-11-23,11541
2019-11-24,11200
2019-11-25,11157
2019-11-26,10814
2019-11-27,10647
2019-11-28,10268
2019-11-29,10507
2019-11-30,10366
2019-12-01,10724
2019-12-02,10949
2019-12-03,11064
2019-12-04,10733
2019-12-05,10550
2019-12-06,10722
2019-12-07,11033
2019-12-08,11351
2019-12-09,11503
2019-12-10,11898
2019-12-11,11906
2019-12-12,11734
2019-12-13,11328
2019-12-14,11170
2019-12-15,11081
2019-12-16,10721
2019-12-17,10184
2019-12-18,9923
2019-12-19,9875
2019-12-20,10041
2019-12-21,10053
2019-12-22,10225
2019-12-23,10572
2019-12-24,10674
2019-12-25,10972
2019-12-26,11235
2019-12-27,11299
2019-12-28,11353
2019-12-29,11921
2019-12-30,12488
2019-12-31,13030
2020-01-01,13536
2020-01-02,13886
2020-01-03,14524
2020-01-04,14819
2020-01-05,15210
2020-01-06,15057
2020-01-07,14454
2020-01-08,14052
2020-01-09,13882
2020-01-10,13268
2020-01-11,12660
2020-01-12,12350
2020-01-13,12867
2020-01-14,12564
2020-01-15,11958
2020-01-16,12077
2020-01-17,12557
2020-01-18,12371
2020-01-19,11795
2020-01-20,11205
2020-01-21,10724
2020-01-22,10589
2020-01-23,10719
2020-01-24,10786
2020-01-25,10448
2020-01-26,10012
2020-01-27,10235
2020-01-28,10702
2020-01-29,11052
2020-01-30,11488
2020-01-31,12006
2020-02-01,12250
2020-02-02,12318
2020-02-03,12743
2020-02-04,13197
2020-02-05,13816
2020-02-06,13801
2020-02-07,13322
2020-02-08,12961
2020-02-09,12586
2020-02-10,11987
2020-02-11,11721
2020-02-12,11938
2020-02-13,12215
2020-02-14,11918
2020-02-15,11661
2020-02-16,11542
2020-02-17,11141
2020-02-18,11182
2020-02-19,10896
2020-02-20,11020
2020-02-21,11354
2020-02-22,11437
2020-02-23,11433
2020-02-24,11322
2020-02-25,11419
2020-02-26,11923
2020-02-27,12436
2020-02-28,12786
2020-02-29,13222
2020-03-01,13083
2020-03-02,12580
2020-03-03,12483
2020-03-04,12466
2020-03-05,12592
2020-03-06,12955
2020-03-07,12926
2020-03-08,12713
2020-03-09,12372
2020-03-10,12584
2020-03-11,13042
2020-03-12,13350
2020-03-13,13680
2020-03-14,13662
2020-03-15,13055
2020-03-16,12914
2020-03-17,13226
2020-03-18,13733
2020-03-19,13826
2020-03-20,13649
2020-03-21,13662
2020-03-22,13417
2020-03-23,13501
2020-03-24,14153
2020-03-25,14821
2020-03-26,15299
2020-03-27,15873
2020-03-28,15578
2020-03-29,15055
2020-03-30,14302
2020-03-31,14272
2020-04-01,14811
2020-04-02,15243
2020-04-03,15186
2020-04-04,14969
2020-04-05,14472
2020-04-06,15007
2020-04-07,14848
2020-04-08,14755
2020-04-09,14703
2020-04-10,14679
2020-04-11,14577
2020-04-12,14244
2020-04-13,14291
2020-04-14,14429
2020-04-15,13930
2020-04-16,13697
2020-04-17,14247
2020-04-18,14857
2020-04-19,15495
2020-04-20,15125
2020-04-21,14381
2020-04-22,14436
2020-04-23,14412
2020-04-24,14310
2020-04-25,14064
2020-04-26,13883
2020-04-27,13977
2020-04-28,14280
2020-04-29,14443
2020-04-30,14708
2020-05-01,14721
2020-05-02,14583
2020-05-03,14169
2020-05-04,14627
2020-05-05,14125
2020-05-06,13854
2020-05-07,14469
2020-05-08,14983
2020-05-09,14368
2020-05-10,13786
2020-05-11,13360
2020-05-12,13856
2020-05-13,14432
