date_obj,Dragonstone%20dragon%20bolts price
2018-06-08,2075
2018-06-09,2075
2018-06-10,1998
2018-06-11,1998
2018-06-12,1998
2018-06-13,1921
2018-06-14,1921
2018-06-15,1921
2018-06-16,1921
2018-06-17,1853
2018-06-18,1853
2018-06-19,1853
2018-06-20,1853
2018-06-21,1775
2018-06-22,1775
2018-06-23,1775
2018-06-24,1775
2018-06-25,1775
2018-06-26,1731
2018-06-27,1731
2018-06-28,1731
2018-06-29,1731
2018-06-30,1762
2018-07-01,1762
2018-07-02,1762
2018-07-03,1762
2018-07-04,1820
2018-07-05,1820
2018-07-06,1820
2018-07-07,1820
2018-07-08,1809
2018-07-09,1809
2018-07-10,1809
2018-07-11,1809
2018-07-12,1809
2018-07-13,1809
2018-07-14,1809
2018-07-15,1819
2018-07-16,1819
2018-07-17,1819
2018-07-18,1819
2018-07-19,1775
2018-07-20,1775
2018-07-21,1775
2018-07-22,1803
2018-07-23,1803
2018-07-24,1803
2018-07-25,1803
2018-07-26,1844
2018-07-27,1844
2018-07-28,1844
2018-07-29,1844
2018-07-30,1816
2018-07-31,1816
2018-08-01,1816
2018-08-02,1811
2018-08-03,1811
2018-08-04,1811
2018-08-05,1811
2018-08-06,1822
2018-08-07,1822
2018-08-08,1822
2018-08-09,1822
2018-08-10,1788
2018-08-11,1788
2018-08-12,1788
2018-08-14,1745
2018-08-16,1745
2018-08-17,1774
2018-08-18,1774
2018-08-19,1774
2018-08-20,1734
2018-08-21,1734
2018-08-22,1734
2018-08-23,1734
2018-08-24,1706
2018-08-25,1706
2018-08-26,1706
2018-08-27,1703
2018-08-28,1703
2018-08-29,1703
2018-08-30,1703
2018-08-31,1707
2018-09-01,1707
2018-09-02,1707
2018-09-03,1707
2018-09-04,1717
2018-09-05,1717
2018-09-06,1717
2018-09-07,1717
2018-09-08,1709
2018-09-09,1709
2018-09-10,1709
2018-09-11,1709
2018-09-12,1709
2018-09-13,1730
2018-09-14,1730
2018-09-15,1730
2018-09-16,1730
2018-09-17,1739
2018-09-18,1739
2018-09-19,1739
2018-09-20,1739
2018-09-21,1717
2018-09-22,1717
2018-09-23,1717
2018-09-24,1721
2018-09-25,1721
2018-09-26,1721
2018-09-27,1721
2018-09-28,1721
2018-09-29,1733
2018-09-30,1733
2018-10-02,1715
2018-10-03,1715
2018-10-04,1715
2018-10-05,1724
2018-10-06,1724
2018-10-07,1724
2018-10-08,1777
2018-10-09,1777
2018-10-10,1777
2018-10-11,1777
2018-10-12,1834
2018-10-13,1834
2018-10-14,1834
2018-10-15,1822
2018-10-16,1822
2018-10-17,1822
2018-10-18,1788
2018-10-19,1788
2018-10-20,1788
2018-10-21,1788
2018-10-22,1795
2018-10-23,1795
2018-10-24,1795
2018-10-25,1795
2018-10-26,1827
2018-10-27,1827
2018-10-28,1827
2018-10-29,1858
2018-10-30,1858
2018-10-31,1858
2018-11-01,1854
2018-11-03,1854
2018-11-04,1843
2018-11-05,1843
2018-11-06,1843
2018-11-07,1902
2018-11-08,1902
2018-11-09,1902
2018-11-10,1864
2018-11-11,1864
2018-11-12,1864
2018-11-13,1807
2018-11-14,1807
2018-11-15,1807
2018-11-16,1796
2018-11-17,1796
2018-11-18,1796
2018-11-19,1773
2018-11-20,1773
2018-11-21,1773
2018-11-22,1697
2018-11-23,1697
2018-11-24,1697
2018-11-25,1661
2018-11-26,1661
2018-11-27,1628
2018-11-28,1628
2018-11-29,1628
2018-12-01,1612
2018-12-02,1666
2018-12-03,1666
2018-12-04,1699
2018-12-05,1699
2018-12-07,1708
2018-12-09,1692
2018-12-10,1692
2018-12-11,1696
2018-12-12,1696
2018-12-13,1696
2018-12-14,1701
2018-12-15,1701
2018-12-16,1687
2018-12-17,1687
2018-12-18,1687
2018-12-19,1679
2018-12-20,1679
2018-12-21,1679
2018-12-22,1692
2018-12-23,1692
2018-12-24,1703
2018-12-25,1703
2018-12-26,1703
2018-12-27,1668
2018-12-28,1668
2018-12-29,1668
2018-12-30,1714
2018-12-31,1714
2019-01-01,1714
2019-01-02,1712
2019-01-03,1712
2019-01-04,1712
2019-01-05,1684
2019-01-06,1684
2019-01-08,1668
2019-01-10,1644
2019-01-11,1644
2019-01-12,1574
2019-01-13,1574
2019-01-14,1520
2019-01-15,1520
2019-01-16,1472
2019-01-17,1472
2019-01-18,1430
2019-01-19,1430
2019-01-20,1405
2019-01-21,1405
2019-01-22,1418
2019-01-23,1418
2019-01-24,1418
2019-01-25,1440
2019-01-26,1440
2019-01-27,1413
2019-01-28,1413
2019-01-29,1443
2019-01-30,1443
2019-01-31,1443
2019-02-01,1431
2019-02-02,1431
2019-02-03,1472
2019-02-04,1472
2019-02-05,1515
2019-02-06,1515
2019-02-07,1515
2019-02-08,1574
2019-02-09,1574
2019-02-10,1574
2019-02-11,1615
2019-02-12,1615
2019-02-13,1598
2019-02-14,1598
2019-02-15,1598
2019-02-16,1658
2019-02-17,1658
2019-02-18,1708
2019-02-19,1708
2019-02-20,1715
2019-02-21,1715
2019-02-22,1677
2019-02-23,1677
2019-02-24,1649
2019-02-25,1649
2019-02-26,1665
2019-02-27,1665
2019-02-28,1665
2019-03-01,1644
2019-03-02,1644
2019-03-03,1693
2019-03-04,1693
2019-03-05,1760
2019-03-06,1760
2019-03-07,1795
2019-03-08,1795
2019-03-09,1795
2019-03-10,1743
2019-03-11,1743
2019-03-12,1743
2019-03-13,1718
2019-03-14,1718
2019-03-15,1705
2019-03-16,1705
2019-03-17,1727
2019-03-18,1727
2019-03-19,1727
2019-03-20,1795
2019-03-21,1795
2019-03-22,1855
2019-03-23,1897
2019-03-24,1897
2019-03-25,1897
2019-03-26,1923
2019-03-27,1923
2019-03-28,1923
2019-03-29,1945
2019-03-30,1945
2019-03-31,1945
2019-04-01,1917
2019-04-02,1917
2019-04-03,1917
2019-04-04,1973
2019-04-05,1973
2019-04-06,1973
2019-04-07,1988
2019-04-08,1988
2019-04-09,1988
2019-04-10,1914
2019-04-11,1914
2019-04-12,1914
2019-04-13,1860
2019-04-14,1860
2019-04-15,1886
2019-04-16,1886
2019-04-17,1886
2019-04-18,1857
2019-04-19,1857
2019-04-20,1813
2019-04-21,1813
2019-04-22,1813
2019-04-23,1749
2019-04-24,1749
2019-04-25,1762
2019-04-26,1762
2019-04-27,1685
2019-04-28,1685
2019-04-29,1631
2019-04-30,1631
2019-05-01,1604
2019-05-02,1604
2019-05-03,1618
2019-05-04,1618
2019-05-05,1642
2019-05-06,1642
2019-05-07,1642
2019-05-08,1646
2019-05-09,1646
2019-05-10,1646
2019-05-11,1629
2019-05-12,1629
2019-05-13,1612
2019-05-14,1612
2019-05-15,1612
2019-05-16,1606
2019-05-17,1606
2019-05-18,1606
2019-05-19,1625
2019-05-20,1625
2019-05-21,1625
2019-05-22,1638
2019-05-23,1638
2019-05-24,1638
2019-05-25,1636
2019-05-26,1636
2019-05-27,1636
2019-05-28,1658
2019-05-29,1658
2019-05-30,1658
2019-05-31,1613
2019-06-01,1613
2019-06-02,1613
2019-06-03,1590
2019-06-04,1590
2019-06-05,1590
2019-06-06,1613
2019-06-07,1613
2019-06-08,1613
2019-06-09,1608
2019-06-10,1608
2019-06-11,1608
2019-06-12,1608
2019-06-13,1575
2019-06-14,1575
2019-06-15,1575
2019-06-16,1563
2019-06-17,1563
2019-06-18,1563
2019-06-19,1505
2019-06-20,1505
2019-06-21,1488
2019-06-22,1488
2019-06-23,1474
2019-06-24,1474
2019-06-25,1474
2019-06-26,1443
2019-06-27,1443
2019-06-28,1443
2019-06-29,1416
2019-06-30,1416
2019-07-01,1416
2019-07-02,1375
2019-07-03,1375
2019-07-04,1375
2019-07-05,1374
2019-07-06,1374
2019-07-07,1334
2019-07-08,1334
2019-07-09,1337
2019-07-10,1337
2019-07-11,1337
2019-07-12,1322
2019-07-13,1322
2019-07-14,1351
2019-07-15,1351
2019-07-16,1351
2019-07-17,1336
2019-07-18,1336
2019-07-19,1336
2019-07-20,1305
2019-07-21,1305
2019-07-22,1247
2019-07-23,1247
2019-07-24,1247
2019-07-25,1281
2019-07-26,1281
2019-07-27,1281
2019-07-28,1265
2019-07-29,1265
2019-07-30,1265
2019-07-31,1304
2019-08-01,1304
2019-08-02,1304
2019-08-03,1347
2019-08-04,1347
2019-08-05,1347
2019-08-06,1359
2019-08-07,1359
2019-08-08,1359
2019-08-09,1359
2019-08-10,1298
2019-08-11,1298
2019-08-12,1298
2019-08-13,1282
2019-08-14,1282
2019-08-15,1282
2019-08-16,1293
2019-08-17,1293
2019-08-18,1293
2019-08-19,1311
2019-08-20,1311
2019-08-21,1311
2019-08-22,1289
2019-08-23,1289
2019-08-24,1289
2019-08-24,1289
2019-08-25,1287
2019-08-25,1287
2019-08-26,1287
2019-08-27,1287
2019-08-27,1287
2019-08-28,1287
2019-08-29,1287
2019-08-30,1287
2019-08-31,1247
2019-09-01,1247
2019-09-02,1261
2019-09-03,1261
2019-09-04,1250
2019-09-05,1250
2019-09-06,1250
2019-09-07,1250
2019-09-08,1236
2019-09-09,1236
2019-09-10,1236
2019-09-11,1257
2019-09-12,1257
2019-09-13,1257
2019-09-14,1266
2019-09-15,1266
2019-09-16,1266
2019-09-17,1259
2019-09-18,1259
2019-09-19,1259
2019-09-20,1225
2019-09-21,1225
2019-09-22,1225
2019-09-23,1232
2019-09-24,1232
2019-09-25,1232
2019-09-26,1223
2019-09-27,1223
2019-09-28,1223
2019-09-29,1223
2019-09-30,1228
2019-10-01,1228
2019-10-02,1228
2019-10-03,1208
2019-10-04,1208
2019-10-05,1208
2019-10-06,1205
2019-10-07,1205
2019-10-08,1205
2019-10-09,1205
2019-10-10,1186
2019-10-11,1186
2019-10-12,1186
2019-10-13,1189
2019-10-14,1189
2019-10-15,1189
2019-10-16,1198
2019-10-17,1198
2019-10-18,1198
2019-10-19,1198
2019-10-20,1170
2019-10-21,1170
2019-10-22,1170
2019-10-23,1170
2019-10-24,1140
2019-10-25,1140
2019-10-26,1140
2019-10-27,1140
2019-10-28,1166
2019-10-29,1166
2019-10-30,1166
2019-10-31,1166
2019-11-01,1167
2019-11-02,1167
2019-11-03,1167
2019-11-04,1145
2019-11-05,1145
2019-11-06,1145
2019-11-07,1145
2019-11-08,1145
2019-11-09,1098
2019-11-10,1098
2019-11-11,1098
2019-11-12,1137
2019-11-13,1137
2019-11-14,1137
2019-11-15,1137
2019-11-16,1132
2019-11-17,1132
2019-11-18,1132
2019-11-19,1132
2019-11-20,1112
2019-11-21,1112
2019-11-22,1112
2019-11-23,1112
2019-11-24,1096
2019-11-25,1096
2019-11-26,1096
2019-11-27,1096
2019-11-28,1129
2019-11-29,1129
2019-11-30,1129
2019-12-01,1129
2019-12-02,1154
2019-12-03,1154
2019-12-04,1154
2019-12-05,1154
2019-12-06,1196
2019-12-07,1196
2019-12-08,1196
2019-12-09,1196
2019-12-10,1233
2019-12-11,1233
2019-12-12,1233
2019-12-13,1233
2019-12-14,1221
2019-12-15,1221
2019-12-16,1221
2019-12-17,1247
2019-12-18,1247
2019-12-19,1247
2019-12-20,1192
2019-12-21,1192
2019-12-22,1192
2019-12-23,1197
2019-12-24,1197
2019-12-25,1197
2019-12-26,1197
2019-12-27,1208
2019-12-28,1208
2019-12-29,1208
2019-12-30,1208
2019-12-31,1245
2020-01-01,1245
2020-01-02,1245
2020-01-03,1245
2020-01-04,1291
2020-01-05,1291
2020-01-06,1341
2020-01-07,1341
2020-01-08,1390
2020-01-09,1390
2020-01-10,1422
2020-01-11,1422
2020-01-12,1478
2020-01-13,1478
2020-01-14,1478
2020-01-15,1526
2020-01-16,1526
2020-01-17,1526
2020-01-18,1466
2020-01-19,1466
2020-01-20,1511
2020-01-21,1511
2020-01-22,1511
2020-01-23,1524
2020-01-24,1524
2020-01-25,1524
2020-01-26,1526
2020-01-27,1526
2020-01-28,1526
2020-01-29,1499
2020-01-30,1499
2020-01-31,1499
2020-02-01,1495
2020-02-02,1495
2020-02-03,1495
2020-02-04,1493
2020-02-05,1493
2020-02-06,1493
2020-02-07,1490
2020-02-08,1490
2020-02-09,1490
2020-02-10,1429
2020-02-11,1429
2020-02-12,1429
2020-02-13,1399
2020-02-14,1399
2020-02-15,1343
2020-02-16,1343
2020-02-17,1283
2020-02-18,1283
2020-02-19,1256
2020-02-20,1256
2020-02-21,1256
2020-02-22,1203
2020-02-23,1203
2020-02-24,1203
2020-02-25,1232
2020-02-26,1232
2020-02-27,1232
2020-02-28,1243
2020-02-29,1243
2020-03-01,1243
2020-03-02,1285
2020-03-03,1285
2020-03-04,1285
2020-03-05,1285
2020-03-06,1296
2020-03-07,1296
2020-03-08,1296
2020-03-09,1327
2020-03-10,1327
2020-03-11,1327
2020-03-12,1324
2020-03-13,1324
2020-03-14,1324
2020-03-15,1290
2020-03-16,1290
2020-03-17,1308
2020-03-18,1308
2020-03-19,1297
2020-03-20,1297
2020-03-21,1297
2020-03-22,1278
2020-03-23,1278
2020-03-24,1280
2020-03-25,1280
2020-03-26,1319
2020-03-27,1319
2020-03-28,1319
2020-03-29,1311
2020-03-30,1311
2020-03-31,1315
2020-04-01,1315
2020-04-02,1296
2020-04-03,1296
2020-04-04,1277
2020-04-05,1277
2020-04-06,1310
2020-04-07,1310
2020-04-08,1288
2020-04-09,1288
2020-04-10,1288
2020-04-11,1292
2020-04-12,1292
2020-04-13,1319
2020-04-14,1319
2020-04-15,1328
2020-04-16,1328
2020-04-17,1328
2020-04-18,1363
2020-04-19,1363
2020-04-20,1342
2020-04-21,1342
2020-04-22,1345
2020-04-23,1345
2020-04-24,1345
2020-04-25,1387
2020-04-26,1387
2020-04-27,1377
2020-04-28,1377
2020-04-29,1389
2020-04-30,1389
2020-05-01,1412
2020-05-02,1412
2020-05-03,1406
2020-05-04,1406
2020-05-05,1406
2020-05-06,1363
2020-05-07,1363
2020-05-08,1363
2020-05-09,1314
2020-05-10,1314
2020-05-11,1314
2020-05-12,1314
2020-05-13,1314
