date_obj,Leather%20chaps%20(g) price
2020-01-22,70251
2020-01-23,68228
2020-01-24,68228
2020-01-25,65155
2020-01-26,62544
2020-01-27,62544
2020-01-28,61650
2020-01-29,61650
2020-01-30,58794
2020-01-31,58794
2020-02-01,56996
2020-02-02,57189
2020-02-03,57189
2020-02-04,56922
2020-02-05,56922
2020-02-06,56050
2020-02-07,56050
2020-02-08,56045
2020-02-09,56045
2020-02-10,55302
2020-02-11,55302
2020-02-12,54793
2020-02-13,54793
2020-02-14,54369
2020-02-15,54369
2020-02-16,53989
2020-02-17,54436
2020-02-18,54436
2020-02-19,55449
2020-02-20,55449
2020-02-21,55699
2020-02-22,56156
2020-02-23,56156
2020-02-24,55840
2020-02-25,55840
2020-02-26,55293
2020-02-27,55293
2020-02-28,53980
2020-02-29,53980
2020-03-01,53127
2020-03-02,53127
2020-03-03,53072
2020-03-04,53072
2020-03-05,55016
2020-03-06,55016
2020-03-07,57581
2020-03-08,57581
2020-03-09,60107
2020-03-10,60107
2020-03-11,63113
2020-03-12,63113
2020-03-13,65979
2020-03-14,65979
2020-03-15,69278
2020-03-16,69278
2020-03-17,72742
2020-03-18,72742
2020-03-19,73492
2020-03-20,71238
2020-03-21,71238
2020-03-22,69383
2020-03-23,69383
2020-03-24,65941
2020-03-25,63217
2020-03-26,60599
2020-03-27,58353
2020-03-28,56604
2020-03-29,55808
2020-03-30,53741
2020-03-31,53059
2020-04-01,50814
2020-04-02,49188
2020-04-03,49188
2020-04-04,49106
2020-04-05,49410
2020-04-06,49207
2020-04-07,47972
2020-04-08,47525
2020-04-09,47068
2020-04-10,47068
2020-04-11,46718
2020-04-12,44892
2020-04-13,43788
2020-04-14,42297
2020-04-15,40182
2020-04-16,40182
2020-04-17,38991
2020-04-18,37708
2020-04-19,38095
2020-04-20,39600
2020-04-21,39600
2020-04-22,39310
2020-04-23,39580
2020-04-24,39580
2020-04-25,39319
2020-04-26,39156
2020-04-27,39405
2020-04-28,39424
2020-04-29,39424
2020-04-30,39110
2020-05-01,39110
2020-05-02,37929
2020-05-03,36577
2020-05-04,36577
2020-05-05,35175
2020-05-06,34602
2020-05-07,34405
2020-05-08,34405
2020-05-09,34789
2020-05-10,34762
2020-05-11,34762
2020-05-12,35518
2020-05-13,35960
