date_obj,Bronze%20kiteshield%20(g) price
2017-06-03,47481
2017-06-04,46559
2017-06-05,46559
2017-06-06,45233
2017-06-07,45233
2017-06-08,44601
2017-06-09,44601
2017-06-10,45511
2017-06-11,45511
2017-06-12,45551
2017-06-13,45551
2017-06-14,45940
2017-06-15,45940
2017-06-16,45930
2017-06-17,45930
2017-06-18,44267
2017-06-19,44267
2017-06-20,43299
2017-06-21,43299
2017-06-22,42380
2017-06-23,42380
2017-06-24,41420
2017-06-25,41420
2017-06-26,39889
2017-06-27,39889
2017-06-28,39383
2017-06-29,39604
2017-06-30,39604
2017-07-01,40275
2017-07-02,40275
2017-07-03,39710
2017-07-04,39710
2017-07-05,39710
2017-07-06,39406
2017-07-07,39406
2017-07-08,39406
2017-07-13,41506
2017-07-14,41590
2017-07-15,41590
2017-07-16,41590
2017-07-17,41749
2017-07-18,41749
2017-07-19,42320
2017-07-20,42320
2017-07-21,42860
2017-07-22,42860
2017-07-23,43792
2017-07-24,43792
2017-07-25,43442
2017-07-26,43442
2017-07-27,43731
2017-07-28,43731
2017-07-29,43283
2017-07-30,44422
2017-07-31,44422
2017-08-01,44615
2017-08-02,44823
2017-08-03,44823
2017-08-04,45418
2017-08-05,45709
2017-08-06,45709
2017-08-09,46287
2017-08-10,46287
2017-08-11,47313
2017-08-12,47313
2017-08-13,47409
2017-08-14,47409
2017-08-15,48509
2017-08-16,48509
2017-08-17,49021
2017-08-18,49021
2017-08-19,49021
2017-08-20,48515
2017-08-21,48515
2017-08-22,48675
2017-08-23,48675
2017-08-24,49632
2017-08-25,49632
2017-08-26,48656
2017-08-27,48656
2017-08-28,47785
2017-08-29,47785
2017-08-30,47735
2017-08-31,47735
2017-09-01,47735
2017-09-02,48345
2017-09-03,48345
2017-09-04,48345
2017-09-05,48524
2017-09-06,48524
2017-09-07,48660
2017-09-08,48660
2017-09-09,47997
2017-09-10,47997
2017-09-11,46544
2017-09-12,46544
2017-09-13,45766
2017-09-14,45766
2017-09-15,45454
2017-09-16,45454
2017-09-17,46078
2017-09-18,46078
2017-09-19,46078
2017-09-20,46863
2017-09-21,46863
2017-09-22,47249
2017-09-23,47249
2017-09-24,47249
2017-09-25,47416
2017-09-26,47416
2017-09-27,47244
2017-09-28,47244
2017-09-29,47956
2017-09-30,47956
2017-10-01,48773
2017-10-02,48773
2017-10-03,49276
2017-10-04,49276
2017-10-05,49838
2017-10-06,49838
2017-10-07,49838
2017-10-08,50619
2017-10-09,50619
2017-10-10,51312
2017-10-11,51312
2017-10-12,51312
2017-10-13,51667
2017-10-14,51667
2017-10-15,53027
2017-10-16,53027
2017-10-17,52401
2017-10-18,52401
2017-10-19,53322
2017-10-20,53322
2017-10-21,53322
2017-10-22,53228
2017-10-23,53228
2017-10-24,53228
