date_obj,Mysterious%20emblem price
2017-09-03,122004
2017-09-04,122315
2017-09-05,122344
2017-09-06,123549
2017-09-07,121499
2017-09-08,120875
2017-09-09,118023
2017-09-10,115710
2017-09-11,113718
2017-09-12,110526
2017-09-13,106209
2017-09-14,103299
2017-09-15,101383
2017-09-16,98166
2017-09-17,102931
2017-09-19,107457
2017-09-20,105920
2017-09-21,108200
2017-09-22,111467
2017-09-23,108681
2017-09-24,108688
2017-09-25,107108
2017-09-26,105231
2017-09-27,103729
2017-09-28,105047
2017-09-29,106145
2017-09-30,107837
2017-10-01,109640
2017-10-02,107776
2017-10-03,108195
2017-10-04,108634
2017-10-05,106883
2017-10-06,107008
2017-10-07,108187
2017-10-08,110973
2017-10-09,110060
2017-10-10,111074
2017-10-11,114564
2017-10-12,113553
2017-10-13,117170
2017-10-14,122035
2017-10-15,123748
2017-10-16,124571
2017-10-17,127726
2017-10-18,128715
2017-10-19,128316
2017-10-20,126570
2017-10-21,124240
2017-10-22,121290
2017-10-23,122195
2017-10-24,123425
2017-10-25,123642
2017-10-26,120807
2017-10-27,118859
2017-10-28,122262
2017-10-29,126141
2017-10-30,122737
2017-10-31,119020
2017-11-01,118243
2017-11-02,117172
2017-11-03,119382
2017-11-04,121273
2017-11-05,118181
2017-11-06,116957
2017-11-07,115899
2017-11-08,115723
2017-11-09,117501
2017-11-10,115628
2017-11-11,114337
2017-11-12,114337
2017-11-13,113665
2017-11-14,113017
2017-11-15,113017
2017-11-16,111237
2017-11-17,110701
2017-11-18,113276
2017-11-19,114566
2017-11-20,113744
2017-11-21,112718
2017-11-22,111374
2017-11-23,113067
2017-11-24,115663
2017-11-25,119438
2017-11-26,118236
2017-11-27,116647
2017-11-28,117741
2017-11-29,120451
2017-11-30,122326
2017-12-01,125442
2017-12-02,128463
2017-12-03,124743
2017-12-04,118505
2017-12-05,117887
2017-12-06,118402
2017-12-07,119165
2017-12-08,120052
2017-12-09,121328
2017-12-10,119164
2017-12-11,118847
2017-12-12,121230
2017-12-14,120239
2017-12-15,124153
2017-12-17,131587
2017-12-18,127675
2017-12-19,126474
2017-12-20,127535
2017-12-21,129610
2017-12-22,127549
2017-12-23,126741
2017-12-24,124377
2017-12-25,123391
2017-12-26,123315
2017-12-27,124851
2017-12-28,126372
2017-12-29,124146
2017-12-30,123116
2017-12-31,122935
2018-01-01,124725
2018-01-02,126335
2018-01-03,124096
2018-01-04,124372
2018-01-05,126472
2018-01-06,128880
2018-01-07,131052
2018-01-08,135577
2018-01-09,132107
2018-01-10,133086
2018-01-11,132133
2018-01-12,132764
2018-01-13,131462
2018-01-14,131582
2018-01-15,129888
2018-01-16,128632
2018-01-17,127014
2018-01-18,126181
2018-01-19,128386
2018-01-20,129650
2018-01-21,132102
2018-01-22,133192
2018-01-23,127590
2018-01-25,123708
2018-01-26,121246
2018-01-27,120600
2018-01-28,120927
2018-01-29,122488
2018-01-31,122167
2018-02-01,123750
2018-02-02,124671
2018-02-03,124108
2018-02-04,123912
2018-02-05,123053
2018-02-06,121964
2018-02-07,123002
2018-02-08,125296
2018-02-09,125234
2018-02-10,124921
2018-02-11,125417
2018-02-12,124397
2018-02-13,124188
2018-02-14,123944
2018-02-15,125517
2018-02-16,126452
2018-02-17,127944
2018-02-18,129008
2018-02-19,129671
2018-02-20,127739
2018-02-21,127829
2018-02-22,128390
2018-02-23,126984
2018-02-24,126045
2018-02-25,124896
2018-02-26,125484
2018-02-27,125982
2018-03-01,126341
2018-03-02,127243
2018-03-03,125725
2018-03-04,127588
2018-03-05,127163
2018-03-06,126718
2018-03-07,126636
2018-03-08,126965
2018-03-09,126347
2018-03-10,126109
2018-03-11,125738
2018-03-12,125446
2018-03-13,124887
2018-03-14,125189
2018-03-15,124843
2018-03-16,124025
2018-03-17,123755
2018-03-18,124053
2018-03-19,124052
2018-03-20,124638
2018-03-21,126388
2018-03-23,133103
2018-03-24,136235
2018-03-26,139419
2018-03-27,138438
2018-03-28,140941
2018-03-29,146960
2018-03-30,145909
2018-03-31,146882
2018-04-01,150367
2018-04-02,149184
2018-04-03,146564
2018-04-04,144093
2018-04-05,144695
2018-04-06,142325
2018-04-07,139558
2018-04-08,139458
2018-04-09,142267
2018-04-10,143884
2018-04-11,144380
2018-04-12,143160
2018-04-13,145762
2018-04-14,148402
2018-04-15,153112
2018-04-16,153373
2018-04-17,158660
2018-04-18,158181
2018-04-19,157284
2018-04-20,151841
2018-04-21,150915
2018-04-22,152818
2018-04-23,153712
2018-04-24,153772
2018-04-25,151991
2018-04-26,152215
2018-04-27,153651
2018-04-28,151955
2018-04-29,150955
2018-04-30,149004
2018-05-01,146209
2018-05-04,133653
2018-05-05,127027
2018-05-06,124866
2018-05-07,125840
2018-05-08,128252
2018-05-09,132589
2018-05-10,126957
2018-05-11,125529
2018-05-12,128149
2018-05-13,127595
2018-05-14,125230
2018-05-15,123401
2018-05-16,124950
2018-05-17,126624
2018-05-18,127245
2018-05-19,126036
2018-05-20,125207
2018-05-21,124587
2018-05-22,123940
2018-05-23,123666
2018-05-24,122224
2018-05-25,123155
2018-05-26,123630
2018-05-27,123619
2018-05-28,123143
2018-05-29,122718
2018-05-30,121626
2018-05-31,121878
2018-06-01,121961
2018-06-02,124155
2018-06-03,124960
2018-06-04,127451
2018-06-05,128487
2018-06-06,131325
2018-06-07,127102
2018-06-08,126906
2018-06-09,125810
2018-06-10,127501
2018-06-11,126109
2018-06-12,128997
2018-06-13,131777
2018-06-14,130576
2018-06-15,132044
2018-06-16,130727
2018-06-17,130424
2018-06-18,129291
2018-06-19,128124
2018-06-20,127695
2018-06-21,127221
2018-06-22,124004
2018-06-23,123685
2018-06-24,124023
2018-06-25,126864
2018-06-26,130449
2018-06-27,132345
2018-06-28,127860
2018-06-29,125719
2018-06-30,127328
2018-07-01,133000
2018-07-02,136134
2018-07-03,136993
2018-07-04,139714
2018-07-05,138290
2018-07-06,137583
2018-07-07,142818
2018-07-08,142483
2018-07-09,145855
2018-07-10,145884
2018-07-11,147078
2018-07-12,149323
2018-07-13,152335
2018-07-14,153712
2018-07-15,149738
2018-07-16,147580
2018-07-17,142733
2018-07-18,135615
2018-07-19,133132
2018-07-20,126832
2018-07-21,128751
2018-07-22,130405
2018-07-23,130943
2018-07-24,134544
2018-07-25,136361
2018-07-26,137779
2018-07-27,135565
2018-07-28,135891
2018-07-29,136086
2018-07-30,138272
2018-07-31,143316
2018-08-01,143516
2018-08-02,141766
2018-08-03,137931
2018-08-04,140225
2018-08-05,138650
2018-08-06,134002
2018-08-07,131199
2018-08-08,129332
2018-08-09,131294
2018-08-10,130201
2018-08-11,129550
2018-08-12,129030
2018-08-14,129813
2018-08-16,125935
2018-08-17,124631
2018-08-18,121330
2018-08-19,122420
2018-08-20,121624
2018-08-21,121737
2018-08-22,120934
2018-08-23,120748
2018-08-24,119789
2018-08-25,120959
2018-08-26,122574
2018-08-27,123756
2018-08-28,122310
2018-08-29,121949
2018-08-30,121361
2018-08-31,119340
2018-09-01,120430
2018-09-02,122660
2018-09-03,124332
2018-09-04,127724
2018-09-05,125124
2018-09-06,124010
2018-09-07,123253
2018-09-08,121651
2018-09-09,122369
2018-09-10,121696
2018-09-11,122253
2018-09-12,126273
2018-09-13,128199
2018-09-14,133087
2018-09-15,134188
2018-09-16,132065
2018-09-17,134814
2018-09-18,137668
2018-09-19,137251
2018-09-20,137752
2018-09-21,137823
2018-09-22,136827
2018-09-23,136527
2018-09-24,135302
2018-09-25,137108
2018-09-26,138321
2018-09-27,142754
2018-09-28,141762
2018-09-29,145740
2018-09-30,146163
2018-10-02,143950
2018-10-03,144180
2018-10-04,146669
2018-10-05,147064
2018-10-06,145628
2018-10-07,144230
2018-10-08,145334
2018-10-09,146155
2018-10-10,144510
2018-10-11,144560
2018-10-12,144285
2018-10-13,146510
2018-10-14,151561
2018-10-15,151167
2018-10-16,152684
2018-10-17,153394
2018-10-18,153345
2018-10-19,155677
2018-10-20,157730
2018-10-21,156784
2018-10-22,156685
2018-10-23,154386
2018-10-24,150903
2018-10-25,146665
2018-10-26,144854
2018-10-27,147122
2018-10-28,147646
2018-10-29,147446
2018-10-30,148612
2018-10-31,147777
2018-11-01,147484
2018-11-03,147322
2018-11-04,150011
2018-11-05,152226
2018-11-06,153637
2018-11-07,152590
2018-11-08,152026
2018-11-09,151480
2018-11-10,150739
2018-11-11,149098
2018-11-12,149360
2018-11-13,145685
2018-11-15,137654
2018-11-16,130771
2018-11-17,124232
2018-11-18,118209
2018-11-19,119513
2018-11-20,121414
2018-11-21,117521
2018-11-22,120184
2018-11-23,122203
2018-11-24,122807
2018-11-25,122355
2018-11-26,120649
2018-11-27,120321
2018-11-28,123434
2018-11-29,129606
2018-12-01,142171
2018-12-02,146579
2018-12-03,146608
2018-12-04,147296
2018-12-05,151564
2018-12-07,150283
2018-12-09,147360
2018-12-10,147821
2018-12-11,148388
2018-12-12,148393
2018-12-13,149223
2018-12-14,153354
2018-12-15,160755
2018-12-16,163737
2018-12-17,156869
2018-12-18,154076
2018-12-19,149935
2018-12-20,149194
2018-12-21,147720
2018-12-22,146571
2018-12-23,148307
2018-12-24,150858
2018-12-25,149826
2018-12-26,148057
2018-12-27,146666
2018-12-28,145616
2018-12-29,146287
2018-12-30,144369
2018-12-31,140105
2019-01-01,135552
2019-01-02,133294
2019-01-03,130232
2019-01-04,128332
2019-01-05,127366
2019-01-06,126664
2019-01-08,129752
2019-01-10,126409
2019-01-11,130865
2019-01-12,131109
2019-01-13,136763
2019-01-14,138357
2019-01-15,138368
2019-01-16,139966
2019-01-17,139151
2019-01-18,137439
2019-01-19,137600
2019-01-20,137882
2019-01-21,137277
2019-01-22,139074
2019-01-23,144780
2019-01-24,147455
2019-01-25,146963
2019-01-26,148217
2019-01-27,149197
2019-01-28,149334
2019-01-29,149528
2019-01-30,153857
2019-01-31,158060
2019-02-01,157146
2019-02-02,158111
2019-02-03,164328
2019-02-04,164525
2019-02-05,161116
2019-02-06,159800
2019-02-07,158265
2019-02-08,157596
2019-02-09,158730
2019-02-10,166258
2019-02-11,172414
2019-02-12,168390
2019-02-13,170342
2019-02-14,169051
2019-02-15,164860
2019-02-16,162934
2019-02-17,167995
2019-02-18,170882
2019-02-19,167878
2019-02-20,164619
2019-02-21,163851
2019-02-22,163818
2019-02-23,165861
2019-02-24,165705
2019-02-25,166312
2019-02-26,171099
2019-02-27,171818
2019-02-28,174311
2019-03-01,171251
2019-03-02,170689
2019-03-03,167437
2019-03-04,166215
2019-03-05,165813
2019-03-06,164313
2019-03-07,161102
2019-03-08,160454
2019-03-09,160560
2019-03-10,160216
2019-03-11,160384
2019-03-12,160934
2019-03-13,160680
2019-03-14,160204
2019-03-15,160339
2019-03-16,163381
2019-03-17,166623
2019-03-18,166808
2019-03-19,169393
2019-03-20,174404
2019-03-21,169504
2019-03-22,167623
2019-03-23,169549
2019-03-24,171762
2019-03-25,173844
2019-03-26,172162
2019-03-27,170917
2019-03-28,169951
2019-03-29,168506
2019-03-30,168841
2019-03-31,168940
2019-04-01,168900
2019-04-02,168543
2019-04-03,166610
2019-04-04,164111
2019-04-05,163762
2019-04-06,163231
2019-04-07,164992
2019-04-08,166970
2019-04-09,166777
2019-04-10,166634
2019-04-11,165858
2019-04-12,166530
2019-04-13,168634
2019-04-14,167767
2019-04-15,165737
2019-04-16,164311
2019-04-17,163488
2019-04-18,162186
2019-04-19,162333
2019-04-20,162775
2019-04-21,164300
2019-04-22,164482
2019-04-23,166198
2019-04-24,169201
2019-04-25,170383
2019-04-26,170064
2019-04-27,169860
2019-04-28,175383
2019-04-29,177244
2019-04-30,176159
2019-05-01,179189
2019-05-02,186533
2019-05-03,184940
2019-05-04,178468
2019-05-05,172125
2019-05-06,168782
2019-05-07,166634
2019-05-08,164371
2019-05-09,164047
2019-05-10,170048
2019-05-11,171961
2019-05-12,175084
2019-05-13,175790
2019-05-14,175832
2019-05-15,177609
2019-05-16,175075
2019-05-17,176498
2019-05-18,175924
2019-05-19,173201
2019-05-20,174050
2019-05-21,178789
2019-05-22,179863
2019-05-23,177884
2019-05-24,175551
2019-05-25,174952
2019-05-26,176208
2019-05-27,181136
2019-05-28,181817
2019-05-29,187429
2019-05-30,191002
2019-05-31,187255
2019-06-01,186202
2019-06-02,186219
2019-06-03,184104
2019-06-04,184812
2019-06-05,186407
2019-06-06,189858
2019-06-07,192839
2019-06-08,195866
2019-06-09,190868
2019-06-10,189457
2019-06-11,187349
2019-06-12,181554
2019-06-13,174983
2019-06-14,166233
2019-06-15,157921
2019-06-16,150024
2019-06-17,142522
2019-06-18,135395
2019-06-19,128626
2019-06-20,128341
2019-06-21,124152
2019-06-22,117961
2019-06-23,112117
2019-06-24,106511
2019-06-25,101185
2019-06-26,96125
2019-06-27,91337
2019-06-28,86770
2019-06-29,82539
2019-06-30,78412
2019-07-01,74516
2019-07-02,75435
2019-07-03,76504
2019-07-04,75845
2019-07-05,72916
2019-07-06,69516
2019-07-07,66040
2019-07-08,62738
2019-07-09,61477
2019-07-10,61645
2019-07-11,64702
2019-07-12,67938
2019-07-13,71335
2019-07-14,74902
2019-07-15,77933
2019-07-16,76616
2019-07-17,78375
2019-07-18,77709
2019-07-19,76329
2019-07-20,75483
2019-07-21,72277
2019-07-22,68664
2019-07-23,66059
2019-07-24,63222
2019-07-25,62636
2019-07-26,62435
2019-07-27,62313
2019-07-28,62278
2019-07-29,62081
2019-07-30,61420
2019-07-31,63692
2019-08-01,66754
2019-08-02,69646
2019-08-03,71181
2019-08-04,67729
2019-08-05,68173
2019-08-06,66500
2019-08-07,63866
2019-08-08,66333
2019-08-09,64993
2019-08-10,64849
2019-08-11,64870
2019-08-12,63956
2019-08-13,65916
2019-08-14,65293
2019-08-15,64099
2019-08-16,65897
2019-08-17,68702
2019-08-18,67663
2019-08-19,67458
2019-08-20,66393
2019-08-21,66853
2019-08-22,67258
2019-08-23,68012
2019-08-24,67704
2019-08-24,67704
2019-08-25,67345
2019-08-25,67345
2019-08-26,67343
2019-08-26,67343
2019-08-27,67748
2019-08-27,67748
2019-08-28,69334
2019-08-29,68922
2019-08-30,68206
2019-08-31,68679
2019-09-01,69347
2019-09-02,68652
2019-09-03,68520
2019-09-04,71210
2019-09-05,70965
2019-09-06,69940
2019-09-07,70247
2019-09-08,72025
2019-09-09,73829
2019-09-10,75364
2019-09-11,73972
2019-09-12,70283
2019-09-13,69545
2019-09-14,70286
2019-09-15,71203
2019-09-16,72415
2019-09-17,74053
2019-09-18,74851
2019-09-19,73671
2019-09-20,72426
2019-09-21,70907
2019-09-22,70093
2019-09-23,69651
2019-09-24,69540
2019-09-25,69307
2019-09-26,69377
2019-09-27,69048
2019-09-28,68733
2019-09-29,68225
2019-09-30,68278
2019-10-01,68032
2019-10-02,68085
2019-10-03,68558
2019-10-04,70333
2019-10-05,70748
2019-10-06,70413
2019-10-07,70867
2019-10-08,70344
2019-10-09,69756
2019-10-10,68951
2019-10-11,68760
2019-10-12,68743
2019-10-13,68689
2019-10-14,69788
2019-10-15,68122
