date_obj,Ring%20of%20wealth price
2016-02-10,28200
2016-02-11,28933
2016-02-12,28653
2016-02-13,28389
2016-02-14,28327
2016-02-15,28626
2016-02-16,29271
2016-02-17,28849
2016-02-18,28928
2016-02-19,28928
2016-02-20,28528
2016-02-21,28843
2016-02-22,28391
2016-02-23,28629
2016-02-24,29102
2016-02-25,29463
2016-02-26,29467
2016-02-27,29378
2016-02-28,29645
2016-02-29,29742
2016-03-01,29131
2016-03-02,28526
2016-03-03,29042
2016-03-04,28795
2016-03-05,29160
2016-03-06,29100
2016-03-07,29346
2016-03-08,29600
2016-03-09,28799
2016-03-10,28968
2016-03-11,28990
2016-03-12,29711
2016-03-13,28923
2016-03-14,29117
2016-03-15,29164
2016-03-16,29202
2016-03-17,29122
2016-03-18,29471
2016-03-19,29383
2016-03-20,29753
2016-03-21,30197
2016-03-22,30102
2016-03-23,30142
2016-03-24,31220
2016-03-25,32034
2016-03-26,31051
2016-03-27,30003
2016-03-28,30569
2016-03-29,30127
2016-03-30,29577
2016-03-31,29490
2016-04-01,29545
2016-04-02,29593
2016-04-03,29134
2016-04-04,29126
2016-04-05,29901
2016-04-06,30384
2016-04-07,30152
2016-04-08,30098
2016-04-09,29750
2016-04-10,29683
2016-04-11,30306
2016-04-12,30626
2016-04-13,30686
2016-04-14,31056
2016-04-15,31268
2016-04-16,31480
2016-04-17,31960
2016-04-18,31803
2016-04-19,31821
2016-04-20,31869
2016-04-21,32327
2016-04-22,32616
2016-04-23,33169
2016-04-24,33406
2016-04-25,34398
2016-04-26,33381
2016-04-27,31768
2016-04-28,30333
2016-04-29,30015
2016-04-30,30723
2016-05-01,30205
2016-05-02,30666
2016-05-03,30455
2016-05-04,30651
2016-05-05,30564
2016-05-06,29770
2016-05-07,29796
2016-05-08,28669
2016-05-09,27950
2016-05-10,27655
2016-05-11,26316
2016-05-12,25657
2016-05-13,26156
2016-05-14,27257
2016-05-15,27464
2016-05-16,27291
2016-05-17,27934
2016-05-18,28837
2016-05-19,29158
2016-05-22,28562
2016-05-23,28356
2016-05-24,28212
2016-05-25,28413
2016-05-26,28610
2016-05-27,28605
2016-05-28,28344
2016-05-29,28161
2016-05-30,28231
2016-05-31,28187
2016-06-01,28133
2016-06-02,28186
2016-06-03,27989
2016-06-04,27845
2016-06-05,27853
2016-06-06,27589
2016-06-07,28066
2016-06-08,28359
2016-06-09,28033
2016-06-10,27458
2016-06-11,27750
2016-06-12,27959
2016-06-13,27434
2016-06-14,27554
2016-06-15,27781
2016-06-16,27905
2016-06-17,28114
2016-06-18,28120
2016-06-19,27805
2016-06-20,27862
2016-06-21,27839
2016-06-22,27684
2016-06-23,27933
2016-06-24,28051
2016-06-25,28114
2016-06-26,28121
2016-06-27,27690
2016-06-28,27500
2016-06-29,27181
2016-06-30,27363
2016-07-01,27703
2016-07-02,27862
2016-07-04,28064
2016-07-05,28099
2016-07-06,27999
2016-07-07,28715
2016-07-08,29711
2016-07-09,30391
2016-07-10,28928
2016-07-11,28574
2016-07-12,28751
2016-07-13,27961
2016-07-14,27435
2016-07-15,26826
2016-07-16,26334
2016-07-17,26534
2016-07-18,27290
2016-07-23,29702
2016-07-24,29818
2016-07-25,29950
2016-07-26,29549
2016-07-27,29303
2016-07-28,29275
2016-07-29,28884
2016-07-30,28730
2016-07-31,29023
2016-08-01,28918
2016-08-02,29446
2016-08-03,29376
2016-08-04,29170
2016-08-05,28902
2016-08-06,29181
2016-08-07,29024
2016-08-08,29197
2016-08-09,28937
2016-08-10,28789
2016-08-11,28771
2016-08-12,28973
2016-08-13,29154
2016-08-14,29072
2016-08-15,29305
2016-08-16,29288
2016-08-17,28829
2016-08-18,30026
2016-08-19,28886
2016-08-20,27655
2016-08-21,27068
2016-08-22,26469
2016-08-23,25395
2016-08-24,25283
2016-08-25,24337
2016-08-26,24679
2016-08-28,24622
2016-08-31,24500
2016-09-01,24799
2016-09-02,25241
2016-09-03,24956
2016-09-04,25030
2016-09-05,25452
2016-09-06,26262
2016-09-07,26519
2016-09-08,25996
2016-09-09,26998
2016-09-10,26294
2016-09-11,25647
2016-09-12,24418
2016-09-13,23657
2016-09-14,23095
2016-09-15,23621
2016-09-16,24512
2016-09-17,24950
2016-09-18,25769
2016-09-19,25642
2016-09-20,25386
2016-09-21,24633
2016-09-22,24065
2016-09-23,24292
2016-09-24,24499
2016-09-25,23833
2016-09-26,23831
2016-09-27,23693
2016-09-28,23610
2016-09-29,22870
2016-09-30,22306
2016-10-01,22405
2016-10-02,21970
2016-10-03,21237
2016-10-04,21635
2016-10-05,21909
2016-10-06,22062
2016-10-07,22367
2016-10-08,22085
2016-10-09,21622
2016-10-10,21589
2016-10-11,21745
2016-10-12,21372
2016-10-13,21522
2016-10-14,21468
2016-10-15,21498
2016-10-16,21363
2016-10-17,21810
2016-10-18,21904
2016-10-19,21915
2016-10-20,21928
2016-10-21,21758
2016-10-22,20967
2016-10-23,20783
2016-10-24,20953
2016-10-25,21082
2016-10-26,21064
2016-10-27,20671
2016-10-28,20887
2016-10-29,20610
2016-10-30,20734
2016-10-31,20687
2016-11-01,20778
2016-11-02,20701
2016-11-03,20789
2016-11-04,20264
2016-11-05,20193
2016-11-06,20178
2016-11-07,19866
2016-11-08,20422
2016-11-09,20268
2016-11-10,20234
2016-11-11,20317
2016-11-12,20145
2016-11-13,20305
2016-11-14,20409
2016-12-08,19979
2016-12-09,19728
2016-12-10,19788
2016-12-11,20040
2016-12-12,19607
2016-12-13,19803
2016-12-14,20169
2016-12-15,20443
2016-12-16,20605
2016-12-17,19977
2016-12-18,20080
2016-12-19,19775
2016-12-20,19806
2016-12-21,19621
2016-12-22,19854
2016-12-23,19729
2016-12-24,19537
2016-12-25,19412
2016-12-26,19440
2016-12-27,19665
2016-12-28,19037
2016-12-29,18763
2016-12-30,18688
2016-12-31,18870
2017-01-01,18429
2017-01-02,19128
2017-01-03,19540
2017-01-04,19558
2017-01-05,18692
2017-01-06,18328
2017-01-07,18099
2017-01-08,17816
2017-01-09,17495
2017-01-10,17791
2017-01-11,17278
2017-01-12,17212
2017-01-13,17241
2017-01-14,17230
2017-01-15,17182
2017-01-16,17444
2017-01-17,17630
2017-01-18,17859
2017-01-19,17395
2017-01-20,17392
2017-01-21,17170
2017-01-22,17173
2017-01-27,17099
2017-01-28,17018
2017-01-29,17209
2017-01-30,17368
2017-01-31,17497
2017-02-01,17825
2017-02-02,17525
2017-02-03,17573
2017-02-04,17313
2017-02-05,16957
2017-02-06,16505
2017-02-07,16479
2017-02-08,16451
2017-02-09,16316
2017-02-10,16100
2017-02-11,16364
2017-02-12,16168
2017-02-13,16221
2017-02-14,16490
2017-02-15,16505
2017-02-16,16677
2017-02-18,16862
2017-02-19,17478
2017-02-20,17901
2017-02-21,17833
2017-02-22,17641
2017-02-23,17349
2017-02-24,17174
2017-02-25,17430
2017-02-26,17035
2017-02-27,16539
2017-02-28,16383
2017-03-01,16030
2017-03-02,15685
2017-03-03,15755
2017-03-04,16265
2017-03-05,15964
2017-03-06,16127
2017-03-07,16352
2017-03-08,16363
2017-03-09,16534
2017-03-10,16744
2017-03-11,17179
2017-03-12,17391
2017-03-13,16813
2017-03-14,16483
2017-03-15,16527
2017-03-16,16483
2017-03-17,16459
2017-03-18,16420
2017-03-19,16489
2017-03-20,16284
2017-03-21,16255
2017-03-22,16347
2017-03-23,16437
2017-03-24,16385
2017-03-25,16418
2017-03-26,16382
2017-03-27,16500
2017-03-28,16488
2017-03-29,16489
2017-03-30,16554
2017-03-31,16402
2017-04-01,16598
2017-04-02,16127
2017-04-03,16350
2017-04-04,16492
2017-04-12,16240
2017-04-13,16470
2017-04-14,16691
2017-04-15,16822
2017-04-16,16828
2017-04-17,16438
2017-04-18,16499
2017-04-19,16658
2017-04-20,16711
2017-04-21,17127
2017-04-22,16935
2017-04-23,16958
2017-04-24,17310
2017-04-25,17849
2017-04-26,17988
2017-04-27,17729
2017-04-28,17280
2017-04-29,16663
2017-04-30,16526
2017-05-01,16577
2017-05-02,16550
2017-05-03,16535
2017-05-04,16827
2017-05-05,16990
2017-05-06,17044
2017-05-07,17382
2017-05-08,17733
2017-05-09,17472
2017-05-10,17155
2017-05-11,16919
2017-05-12,16874
2017-05-13,16818
2017-05-14,16771
2017-05-15,16518
2017-05-16,15987
2017-05-17,16326
2017-05-18,16557
2017-05-19,16472
2017-05-20,16499
2017-05-21,16272
2017-05-22,16582
2017-05-23,16637
2017-05-24,16459
2017-05-25,16457
2017-05-26,16462
2017-05-27,16184
2017-05-28,15620
2017-05-29,15480
2017-05-30,15645
2017-05-31,15666
2017-06-01,15913
2017-06-02,15388
2017-06-03,15333
2017-06-06,15205
2017-06-07,15445
2017-06-08,15827
2017-06-09,16108
2017-06-10,15994
2017-06-11,15529
2017-06-12,15467
2017-06-13,15160
2017-06-14,14916
2017-06-15,14918
2017-06-16,14797
2017-06-17,14837
2017-06-18,15098
2017-06-19,15134
2017-06-20,15404
2017-06-21,15505
2017-06-22,15762
2017-06-23,16294
2017-06-24,16356
2017-06-25,15947
2017-06-26,15843
2017-06-27,15857
2017-06-28,15815
2017-06-29,15808
2017-06-30,16178
2017-07-01,16330
2017-07-02,16304
2017-07-03,16634
2017-07-04,16486
2017-07-05,16345
2017-07-06,16762
2017-07-07,16985
2017-07-08,17480
2017-07-13,17459
2017-07-14,17570
2017-07-15,17888
2017-07-16,18450
2017-07-17,18585
2017-07-18,18153
2017-07-19,17897
2017-07-20,17597
2017-07-21,17729
2017-07-22,17922
2017-07-23,17976
2017-07-24,17895
2017-07-25,17994
2017-07-26,17890
2017-07-27,17509
2017-07-28,17646
2017-07-29,17207
2017-07-30,17241
2017-07-31,17495
2017-08-01,17965
2017-08-02,17944
2017-08-03,18067
2017-08-04,18232
2017-08-05,18031
2017-08-06,18157
2017-08-09,18123
2017-08-10,17588
2017-08-11,17535
2017-08-12,17719
2017-08-13,17897
2017-08-14,17837
2017-08-15,18129
2017-08-17,18245
2017-08-18,18682
2017-08-19,18890
2017-08-20,18408
2017-08-22,17996
2017-08-23,17814
2017-08-24,17959
2017-08-25,17726
2017-08-26,17688
2017-08-27,17594
2017-08-28,17693
2017-08-29,17868
2017-08-30,17875
2017-08-31,18028
2017-09-01,18232
2017-09-02,18158
2017-09-03,18493
2017-09-04,18427
2017-09-05,18430
2017-09-06,18339
2017-09-07,18103
2017-09-08,17985
2017-09-09,18154
2017-09-10,18378
2017-09-11,18505
2017-09-12,18442
2017-09-13,18498
2017-09-14,18524
2017-09-15,18442
2017-09-16,18443
2017-09-17,18669
2017-09-19,18668
2017-09-20,18201
2017-09-21,17856
2017-09-22,18263
2017-09-23,17958
2017-09-24,18126
2017-09-25,17978
2017-09-26,17991
2017-09-27,18035
2017-09-28,18013
2017-09-29,18153
2017-09-30,18493
2017-10-01,18925
2017-10-02,19432
2017-10-03,19289
2017-10-04,19332
2017-10-05,19916
2017-10-06,20622
2017-10-07,20706
2017-10-08,20810
2017-10-09,20796
2017-10-10,21047
2017-10-11,21016
2017-10-12,20920
2017-10-13,20621
2017-10-14,21035
2017-10-15,21157
2017-10-16,21142
2017-10-17,21330
2017-10-18,21637
2017-10-19,21407
2017-10-20,21080
2017-10-21,20365
2017-10-22,19480
2017-10-23,19207
2017-10-24,19086
2017-10-25,19134
2017-10-26,19511
2017-10-27,19478
2017-10-28,19418
2017-10-29,20025
2017-10-30,20509
2017-10-31,20153
2017-11-01,20378
2017-11-02,20079
2017-11-03,19870
2017-11-04,19968
2017-11-05,19572
2017-11-06,19506
2017-11-07,19361
2017-11-08,19241
2017-11-09,19339
2017-11-10,19212
2017-11-11,19455
2017-11-12,19455
2017-11-13,19261
2017-11-14,19496
2017-11-15,20030
2017-11-16,19833
2017-11-17,20050
2017-11-18,19899
2017-11-19,19358
2017-11-20,19033
2017-11-21,18782
2017-11-22,19117
2017-11-23,19387
2017-11-24,19105
2017-11-25,18947
2017-11-26,19065
2017-11-27,18898
2017-11-28,18776
2017-11-29,19206
2017-11-30,19552
2017-12-01,19398
2017-12-02,19397
2017-12-03,19153
2017-12-04,19113
2017-12-05,19055
2017-12-06,19168
2017-12-07,18886
2017-12-08,19067
2017-12-09,19175
2017-12-10,19240
2017-12-11,19435
2017-12-12,19352
2017-12-14,19869
2017-12-15,19765
2017-12-16,19685
2017-12-17,19587
2017-12-18,19245
2017-12-19,18844
2017-12-20,18613
2017-12-21,18641
2017-12-22,18228
2017-12-23,18208
2017-12-24,18120
2017-12-25,18610
2017-12-26,18723
2017-12-27,19143
2017-12-28,19640
2017-12-29,19829
2017-12-30,19413
2017-12-31,19296
2018-01-01,18850
2018-01-02,18750
2018-01-03,18907
2018-01-04,18698
2018-01-05,18448
2018-01-06,18400
2018-01-07,18004
2018-01-08,17645
2018-01-09,17912
2018-01-10,17801
2018-01-11,17797
2018-01-12,17752
2018-01-13,17246
2018-01-14,16963
2018-01-15,16697
2018-01-16,16618
2018-01-17,16455
2018-01-18,16282
2018-01-19,16378
2018-01-20,16201
2018-01-21,16501
2018-01-22,16509
2018-01-23,16440
2018-01-24,16286
2018-01-25,16259
2018-01-26,16172
2018-01-27,15648
2018-01-28,15383
2018-01-29,15159
2018-01-31,15524
2018-02-01,15441
2018-02-02,15419
2018-02-03,15375
2018-02-04,15392
2018-02-05,15355
2018-02-06,15536
2018-02-07,15589
2018-02-08,15740
2018-02-09,16064
2018-02-10,16235
2018-02-11,15801
2018-02-12,15232
2018-02-13,15184
2018-02-14,14928
2018-02-15,14520
2018-02-16,14416
2018-02-17,14025
2018-02-18,13834
2018-02-19,13928
2018-02-20,14067
2018-02-21,13990
2018-02-22,14156
2018-02-23,14221
2018-02-24,14214
2018-02-25,13920
2018-02-26,13964
2018-02-27,14182
2018-02-28,14137
2018-03-01,13960
2018-03-02,13742
2018-03-03,13250
2018-03-04,13056
2018-03-05,13185
2018-03-06,13231
2018-03-07,13387
2018-03-08,13612
2018-03-09,13477
2018-03-10,13501
2018-03-11,13602
2018-03-12,14035
2018-03-13,14123
2018-03-14,13921
2018-03-15,13617
2018-03-16,13467
2018-03-17,13145
2018-03-18,13081
2018-03-19,13284
2018-03-20,13130
2018-03-21,12826
2018-03-23,12654
2018-03-24,12905
2018-03-26,12817
2018-03-27,12486
2018-03-29,12299
2018-03-30,12017
2018-03-31,12041
2018-04-01,11834
2018-04-02,11767
2018-04-03,11850
2018-04-04,12074
2018-04-05,12108
2018-04-06,11879
2018-04-08,12011
2018-04-09,11907
2018-04-10,11904
2018-04-11,11902
2018-04-12,11978
2018-04-13,11931
2018-04-14,11902
2018-04-15,12082
2018-04-16,12148
2018-04-17,12046
2018-04-18,11735
2018-04-19,11739
2018-04-20,11691
2018-04-21,11375
2018-04-22,11035
2018-04-23,11358
2018-04-24,11349
2018-04-25,11397
2018-04-26,11719
2018-04-27,11991
2018-04-28,12168
2018-04-29,12210
2018-04-30,12745
2018-05-01,13074
2018-05-02,13117
2018-05-03,13457
2018-05-04,12996
2018-05-05,12613
2018-05-06,12373
2018-05-07,11979
2018-05-08,11949
2018-05-09,11951
2018-05-10,12047
2018-05-11,11785
2018-05-12,11910
2018-05-13,11837
2018-05-14,12078
2018-05-15,12042
2018-05-16,12109
2018-05-17,11834
2018-05-18,11762
2018-05-19,11696
2018-05-20,11701
2018-05-21,11866
2018-05-22,11760
2018-05-23,12009
2018-05-24,12323
2018-05-25,12555
2018-05-26,12335
2018-05-27,12820
2018-05-28,12881
2018-05-29,12768
2018-05-30,12303
2018-05-31,12439
2018-06-01,12185
2018-06-02,12091
2018-06-03,12182
2018-06-04,12448
2018-06-05,12406
2018-06-06,12350
2018-06-07,12110
2018-06-08,11915
2018-06-09,11634
2018-06-10,11789
2018-06-11,11964
2018-06-12,12225
2018-06-13,12024
2018-06-14,11711
2018-06-15,11568
2018-06-16,11625
2018-06-17,11536
2018-06-18,11692
2018-06-19,11859
2018-06-20,11957
2018-06-21,12037
2018-06-22,12285
2018-06-23,12225
2018-06-24,11932
2018-06-25,11795
2018-06-26,12121
2018-06-27,12054
2018-06-28,12088
2018-06-29,12214
2018-06-30,12254
2018-07-01,12061
2018-07-02,11994
2018-07-03,12001
2018-07-04,12099
2018-07-05,12315
2018-07-06,12543
2018-07-07,12428
2018-07-08,12331
2018-07-09,12350
2018-07-10,12179
2018-07-11,12144
2018-07-12,11782
2018-07-13,11960
2018-07-14,12095
2018-07-15,12095
2018-07-16,12003
2018-07-17,12046
2018-07-18,11940
2018-07-19,12014
2018-07-20,12000
2018-07-21,12300
2018-07-22,12495
2018-07-23,12288
2018-07-24,12105
2018-07-25,11987
2018-07-26,12080
2018-07-27,12213
2018-07-28,12529
2018-07-29,12508
2018-07-30,12365
2018-07-31,12271
2018-08-01,11827
2018-08-02,12085
2018-08-03,12325
2018-08-04,12028
2018-08-05,11789
2018-08-06,11602
2018-08-07,11742
2018-08-08,11783
2018-08-09,11787
2018-08-10,11553
2018-08-11,11655
2018-08-12,11881
2018-08-14,12395
2018-08-16,12094
2018-08-17,11978
2018-08-18,12211
2018-08-19,12175
2018-08-20,12324
2018-08-21,12352
2018-08-22,12523
2018-08-23,12963
2018-08-24,12834
2018-08-25,12372
2018-08-26,12169
2018-08-27,12121
2018-08-28,12018
2018-08-29,12063
2018-08-30,12192
2018-08-31,12119
2018-09-01,11911
2018-09-02,11637
2018-09-03,11718
2018-09-04,11899
2018-09-05,11969
2018-09-06,12118
2018-09-07,12496
2018-09-08,13042
2018-09-09,12796
2018-09-10,12752
2018-09-11,12709
2018-09-12,12612
2018-09-13,12543
2018-09-14,12373
2018-09-15,11976
2018-09-16,11630
2018-09-17,12000
2018-09-18,12079
2018-09-19,12364
2018-09-20,12642
2018-09-21,12953
2018-09-22,12615
2018-09-23,12427
2018-09-24,12394
2018-09-25,12355
2018-09-26,12165
2018-09-27,12149
2018-09-28,12226
2018-09-29,12242
2018-09-30,12356
2018-10-02,12373
2018-10-03,12462
2018-10-04,12653
2018-10-05,12784
2018-10-06,12520
2018-10-07,12325
2018-10-08,12008
2018-10-09,12036
2018-10-10,12089
2018-10-11,12308
2018-10-12,12196
2018-10-13,12138
2018-10-14,12001
2018-10-15,12273
2018-10-16,12299
2018-10-17,12437
2018-10-18,12513
2018-10-19,12598
2018-10-20,12236
2018-10-21,12340
2018-10-22,12213
2018-10-23,11980
2018-10-24,11861
2018-10-25,11706
2018-10-26,11664
2018-10-27,11753
2018-10-28,11522
2018-10-29,11859
2018-10-30,12156
2018-10-31,12458
2018-11-01,12866
2018-11-03,12580
2018-11-04,12219
2018-11-05,12066
2018-11-06,12264
2018-11-07,12252
2018-11-08,12441
2018-11-09,12395
2018-11-10,12242
2018-11-11,12091
2018-11-12,12216
2018-11-13,12449
2018-11-14,12512
2018-11-15,12592
2018-11-16,12389
2018-11-17,12068
2018-11-18,12039
2018-11-19,12198
2018-11-20,12199
2018-11-21,12434
2018-11-22,12620
2018-11-23,12872
2018-11-24,13181
2018-11-25,13308
2018-11-26,13047
2018-11-27,12788
2018-11-28,12341
2018-11-29,12308
2018-12-01,12233
2018-12-02,12267
2018-12-03,12330
2018-12-04,12269
2018-12-05,12434
2018-12-07,12683
2018-12-09,12381
2018-12-10,12426
2018-12-11,12526
2018-12-12,12424
2018-12-13,12403
2018-12-14,12351
2018-12-15,12243
2018-12-16,12126
2018-12-17,12106
2018-12-18,12289
2018-12-19,12499
2018-12-20,12512
2018-12-21,12336
2018-12-22,11947
2018-12-23,11682
2018-12-24,11535
2018-12-25,11625
2018-12-26,11793
2018-12-27,11924
2018-12-28,12009
2018-12-29,11994
2018-12-30,12090
2018-12-31,12035
2019-01-01,12228
2019-01-02,12326
2019-01-03,12193
2019-01-04,12287
2019-01-05,12313
2019-01-06,12305
2019-01-08,12450
2019-01-10,12333
2019-01-11,12411
2019-01-12,12218
2019-01-13,12104
2019-01-14,12195
2019-01-15,12256
2019-01-16,12321
2019-01-17,12539
2019-01-18,12559
2019-01-19,12406
2019-01-20,12224
2019-01-21,12183
2019-01-22,12217
2019-01-23,12295
2019-01-24,12427
2019-01-25,12438
2019-01-26,12393
2019-01-27,12342
2019-01-28,12257
2019-01-29,12276
2019-01-30,12269
2019-01-31,12356
2019-02-01,12409
2019-02-02,12348
2019-02-03,12249
2019-02-04,12325
2019-02-05,12442
2019-02-06,12403
2019-02-07,12527
2019-02-08,12590
2019-02-09,12363
2019-02-10,12139
2019-02-11,12374
2019-02-12,12436
2019-02-13,12262
2019-02-14,12144
2019-02-15,12189
2019-02-16,12135
2019-02-17,12157
2019-02-18,12256
2019-02-19,12233
2019-02-20,12273
2019-02-21,12196
2019-02-22,12139
2019-02-23,12035
2019-02-24,11952
2019-02-25,11925
2019-02-26,11958
2019-02-27,12038
2019-02-28,12159
2019-03-01,12238
2019-03-02,12234
2019-03-03,12376
2019-03-04,12526
2019-03-05,12683
2019-03-06,12725
2019-03-07,12341
2019-03-08,12209
2019-03-09,12121
2019-03-10,12125
2019-03-11,12184
2019-03-12,12317
2019-03-13,12452
2019-03-14,12449
2019-03-15,12490
2019-03-16,12325
2019-03-17,12320
2019-03-18,12425
2019-03-19,12328
2019-03-20,12260
2019-03-21,12359
2019-03-22,12400
2019-03-23,12443
2019-03-24,12338
2019-03-25,11965
2019-03-26,11929
2019-03-27,12059
2019-03-28,12300
2019-03-29,12495
2019-03-30,12578
2019-03-31,12622
2019-04-01,12486
2019-04-02,12462
2019-04-03,12658
2019-04-04,12480
2019-04-05,12429
2019-04-06,12122
2019-04-07,12113
