date_obj,Steel%20plateskirt%20(t) price
2018-04-03,3258
2018-04-04,3145
2018-04-05,3145
2018-04-06,3145
2018-04-08,3145
2018-04-09,3145
2018-04-10,3145
2018-04-11,3145
2018-04-12,3145
2018-04-13,3145
2018-04-14,3145
2018-04-16,3155
2018-04-17,3155
2018-04-18,3155
2018-04-19,3155
2018-04-20,3155
2018-04-21,3155
2018-04-22,3155
2018-04-23,3155
2018-04-24,3155
2018-04-25,3023
2018-04-26,3023
2018-04-27,3023
2018-04-28,3023
2018-04-29,3023
2018-04-30,3023
2018-05-01,3023
2018-05-02,3023
2018-05-03,3023
2018-05-04,3023
2018-05-05,3023
2018-05-06,2943
2018-05-07,2943
2018-05-08,2943
2018-05-09,2943
2018-05-10,2943
2018-05-11,2943
2018-05-12,2943
2018-05-13,2943
2018-05-14,2943
2018-05-15,2857
2018-05-16,2857
2018-05-17,2857
2018-05-18,2857
2018-05-19,2857
2018-05-20,2857
2018-05-21,2760
2018-05-22,2760
2018-05-23,2760
2018-05-24,2760
2018-05-25,2760
2018-05-26,2760
2018-05-27,2760
2018-05-28,2658
2018-05-29,2658
2018-05-30,2658
2018-05-31,2658
2018-06-01,2658
2018-06-02,2658
2018-06-03,2658
2018-06-04,2658
2018-06-05,2553
2018-06-06,2553
2018-06-07,2553
2018-06-08,2553
2018-06-09,2553
2018-06-10,2553
2018-06-11,2553
2018-06-12,2466
2018-06-13,2466
2018-06-14,2466
2018-06-15,2466
2018-06-16,2466
2018-06-17,2466
2018-06-18,2466
2018-06-19,2379
2018-06-20,2379
2018-06-21,2379
2018-06-22,2379
2018-06-23,2379
2018-06-24,2379
2018-06-25,2379
2018-06-26,2379
2018-06-27,2270
2018-06-28,2270
2018-06-29,2270
2018-06-30,2270
2018-07-01,2270
2018-07-02,2270
2018-07-03,2270
2018-07-04,2179
2018-07-05,2179
2018-07-06,2179
2018-07-07,2179
2018-07-08,2179
2018-07-09,2179
2018-07-10,2075
2018-07-11,2075
2018-07-12,2075
2018-07-13,2075
2018-07-14,2075
2018-07-15,2075
2018-07-16,2075
2018-07-17,1980
2018-07-18,1980
2018-07-19,1980
2018-07-20,1980
2018-07-21,1980
2018-07-22,1980
2018-07-23,1894
2018-07-24,1894
2018-07-25,1894
2018-07-26,1894
2018-07-27,1894
2018-07-28,1811
2018-07-29,1811
2018-07-30,1811
2018-07-31,1811
2018-08-01,1811
2018-08-02,1735
2018-08-03,1735
2018-08-04,1735
2018-08-05,1735
2018-08-06,1735
2018-08-07,1735
2018-08-08,1668
2018-08-09,1668
2018-08-10,1668
2018-08-11,1668
2018-08-12,1668
2018-08-14,1668
2018-08-16,1619
2018-08-17,1619
2018-08-18,1619
2018-08-19,1619
2018-08-20,1619
2018-08-21,1583
2018-08-22,1583
2018-08-23,1583
2018-08-24,1583
2018-08-25,1583
2018-08-26,1583
2018-08-27,1578
