date_obj,Combat%20bracelet price
2017-03-07,16390
2017-03-08,16687
2017-03-09,16874
2017-03-10,17076
2017-03-11,16783
2017-03-12,16974
2017-03-13,17354
2017-03-14,17399
2017-03-15,16812
2017-03-16,16560
2017-03-17,16098
2017-03-18,15526
2017-03-19,15348
2017-03-20,15514
2017-03-21,15667
2017-03-22,15766
2017-03-23,15597
2017-03-24,15657
2017-03-25,16073
2017-03-26,16354
2017-03-27,16633
2017-03-28,16415
2017-03-29,16171
2017-03-30,16824
2017-03-31,16963
2017-04-01,16959
2017-04-02,16685
2017-04-03,16618
2017-04-04,16596
2017-04-12,17442
2017-04-13,17486
2017-04-14,17228
2017-04-15,16550
2017-04-16,16913
2017-04-17,17049
2017-04-18,17155
2017-04-19,17247
2017-04-20,17013
2017-04-21,16889
2017-04-22,16843
2017-04-23,17247
2017-04-24,17136
2017-04-25,17313
2017-04-26,17378
2017-04-27,17617
2017-04-28,17450
2017-04-29,17378
2017-04-30,17702
2017-05-01,17599
2017-05-02,17724
2017-05-03,17578
2017-05-04,17580
2017-05-05,17481
2017-05-06,17489
2017-05-07,17461
2017-05-08,17917
2017-05-09,17886
2017-05-10,17569
2017-05-11,17681
2017-05-12,17659
2017-05-13,16827
2017-05-14,16475
2017-05-15,16694
2017-05-16,17364
2017-05-17,17346
2017-05-18,17157
2017-05-19,17011
2017-05-20,16943
2017-05-21,16961
2017-05-22,17154
2017-05-23,17237
2017-05-24,17057
2017-05-25,16910
2017-05-26,16878
2017-05-27,16854
2017-05-28,16778
2017-05-29,16433
2017-05-30,16520
2017-05-31,16616
2017-06-01,16323
2017-06-02,16205
2017-06-03,16102
2017-06-04,16012
2017-06-05,15767
2017-06-06,15908
2017-06-07,15638
2017-06-08,15624
2017-06-09,15379
2017-06-10,15103
2017-06-11,14884
2017-06-12,14804
2017-06-13,14801
2017-06-14,15084
2017-06-15,15026
2017-06-16,14913
2017-06-17,15194
2017-06-18,15381
2017-06-19,15903
2017-06-20,15779
2017-06-21,15984
2017-06-22,16244
2017-06-23,15999
2017-06-24,16046
2017-06-25,16010
2017-06-26,16011
2017-06-27,16069
2017-06-28,16486
2017-06-29,16470
2017-06-30,16540
2017-07-01,16668
2017-07-02,17003
2017-07-03,17083
2017-07-04,17938
2017-07-05,18622
2017-07-06,18701
2017-07-07,19059
2017-07-08,18482
2017-07-13,18740
2017-07-14,18458
2017-07-15,18656
2017-07-16,18783
2017-07-17,18837
2017-07-18,18460
2017-07-19,18462
